	dz	D2	D3
count	1761.0	1761.0	1761.0
mean	0.011844406587166406	4.476284475783021	4.477162494211597
std	0.08780236512981376	0.018848898761055492	0.01841596868634684
min	-0.506	4.4041218848927075	4.433019270224788
10%	-0.08600000000000008	4.451147516817632	4.451964732849404
25%	-0.043999999999999984	4.463785253510389	4.464251900944943
50%	0.006000000000000005	4.476295376002598	4.476985722942989
75%	0.064	4.489512972081294	4.489992353686606
90%	0.122	4.499470967585294	4.50000806474379
max	0.568	4.520150844791573	4.520225620438649
