idxCompression,T,B,F,dx,dy,dz,D2,D3
0,0.673,6.15123,1.33042332664192e-08,1117.5972,640.5794,-0.702442806509975,1288.16360341076,1288.16379493374
0,1.273,6.15492,1.32236386725047e-08,1115.6064,644.2134,-0.7143913368668,1288.25018706015,1288.25038514083
0,1.872,6.15492,1.31978782090167e-08,1116.6176,644.2292,-0.723519931536505,1289.13386688986,1289.13406992581
0,2.472,6.15492,1.31894645259633e-08,1116.981,644.213399999999,-0.722637956499539,1289.44075439725,1289.4409568903
0,3.073,6.15369,1.31101668968547e-08,1118.5294,645.177199999999,-0.71868474564977,1291.26358194762,1291.26378194851
0,3.673,6.15492,1.31268697960923e-08,1119.1614,644.434600000001,-0.719964581297584,1291.44035593097,1291.44055661735
1,3.803,3.69492,6.00920669109699e-09,1121.4682,652.0976,-0.750960134592651,1297.27491440211,1297.27513175815
1,3.819,3.69615,5.97758391683401e-09,1121.0416,654.3254,-0.769033056884976,1298.02773391624,1298.02796172793
1,3.833,3.7023,5.99518990167224e-09,1121.1206,654.1516,-0.801816141953707,1298.00836496801,1298.00861262013
1,3.849,3.73674,6.03319013619316e-09,1122.2424,656.158200000001,-0.785965805896144,1299.98907217907,1299.98930977422
1,3.863,3.79332,6.18836746960664e-09,1119.6038,657.043000000001,-0.774009312561031,1298.15953288625,1298.1597636323
1,3.879,3.87573,6.36780307004015e-09,1121.563,657.343200000001,-0.774494542183982,1300.00140213588,1300.00163284399
1,3.893,3.97782,6.64650926240253e-09,1120.5834,656.9324,-0.776466409106293,1298.94854960669,1298.94878167902
1,3.909,4.10451,6.94359081805507e-09,1121.7526,657.5802,-0.771035206324215,1300.2848207369,1300.28504933883
1,3.923,4.24965,7.34444338369235e-09,1121.879,656.331999999999,-0.765477256457576,1299.76312644458,1299.76335185311
1,3.939,4.42185,7.80990380481122e-09,1121.563,655.9686,-0.767757286077101,1299.30687951498,1299.30710634792
1,3.953,4.6125,8.32046187577872e-09,1121.7052,655.7948,-0.774488501152658,1299.34190089217,1299.34213171378
1,3.969,4.83144,8.88737787153867e-09,1121.6578,656.7744,-0.778486392671059,1299.7956888666,1299.79592199594
1,3.983,5.06514,9.54880927276324e-09,1120.9152,656.4268,-0.775748291821959,1298.97922591136,1298.97945754915
1,3.999,5.32959,1.02963517324887e-08,1121.4524,655.6526,-0.774062815372875,1299.05189170892,1299.05212232834
1,4.013,5.61249,1.11356344094185e-08,1121.0416,654.6098,-0.779698609136782,1298.17112091843,1298.17135506701
1,4.029,5.91999,1.20666241558747e-08,1122.1318,652.4926,-0.785123811265409,1298.04713690451,1298.04737434556
1,4.043,6.25209,1.30861837440172e-08,1120.7256,651.971199999999,-0.781272717796039,1296.56944130455,1296.56967668994
1,4.059,6.60141,1.41255781170476e-08,1120.7414,651.75,-0.784313933425632,1296.47188483745,1296.47212207679
1,4.073,6.97533,1.53228354602854e-08,1119.351,650.7862,-0.796533850520913,1294.78544141933,1294.78568642753
1,4.089,7.37139,1.65897617708634e-08,1119.904,649.0008,-0.808305252352184,1294.36741600546,1294.36766839025
1,4.103,7.79082,1.79825914071343e-08,1118.087,648.0528,-0.818326922381499,1292.31999565001,1292.32025474175
1,4.119,8.23608,1.9491804951944e-08,1118.1976,645.6828,-0.800812756605536,1291.22893046183,1291.22917879154
1,4.133,8.70102,2.10062720360283e-08,1117.2338,645.3352,-0.788596082060158,1290.22047891881,1290.22071991782
1,4.149,9.1881,2.26989679806264e-08,1117.06,643.06,-0.770423685121165,1288.93336026344,1288.93359051297
1,4.163,9.69732,2.44743872033673e-08,1117.8184,640.374,-0.760532320447048,1288.25340490703,1288.25362940066
1,4.179,10.23114,2.63929284271747e-08,1115.4484,639.189000000001,-0.761212188396138,1285.60791487279,1285.60814023075
1,4.193,10.78956,2.83463281762786e-08,1115.243,637.482600000001,-0.762029323567688,1284.58203877828,1284.58226480068
1,4.209,11.36766,3.0505514846533e-08,1114.5636,634.686000000001,-0.765725875670909,1282.60607243259,1282.60630100475
