 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
1	1590.044	1654.098	1666.633	1608.215	1563.023	1613.808	1614.595	1563.693
2	1576.911	1631.017	1621.177	1624.864	1541.482	1625.139	1611.307	1549.417
3	1544.380	1615.090	1612.399	1602.154	1539.628	1577.038	1589.354	1560.749
4	1526.665	1599.346	1589.710	1592.498	1531.242	1568.085	1600.753	1578.238
5	1529.238	1613.346	1570.303	1597.502	1538.797	1542.272	1552.056	1535.521
6	1549.825	1600.134	1577.961	1612.094	1504.841	1529.544	1539.144	1525.337
7	1521.396	1583.422	1593.823	1593.205	1516.347	1521.448	1582.011	1547.764
8	1541.031	1566.366	1596.435	1596.409	1495.550	1515.403	1547.057	1529.028
9	1502.104	1547.325	1568.669	1582.508	1461.308	1502.072	1506.889	1526.853
10	1493.453	1568.161	1563.904	1560.950	1483.640	1505.033	1502.535	1524.345
11	1503.789	1566.695	1590.809	1544.945	1492.542	1516.229	1494.002	1544.080
12	1490.485	1539.502	1580.583	1547.714	1486.263	1507.183	1520.197	1491.048
13	1511.787	1570.655	1548.289	1539.601	1474.666	1491.190	1505.327	1507.863
14	1485.106	1560.120	1539.315	1521.985	1469.780	1514.757	1488.564	1502.623
15	1459.961	1529.823	1531.496	1517.764	1451.995	1498.671	1471.904	1480.043
16	1479.672	1527.501	1495.369	1541.493	1487.961	1469.145	1463.409	1492.997
17	1470.681	1493.962	1505.521	1502.758	1469.634	1449.138	1463.508	1485.139
18	1460.902	1511.948	1534.522	1505.123	1442.226	1472.579	1463.643	1430.369
19	1452.699	1519.958	1526.290	1503.444	1435.444	1443.641	1495.991	1432.080
20	1431.034	1500.859	1521.694	1508.179	1444.525	1463.761	1439.329	1465.422
21	1442.263	1520.863	1527.751	1497.280	1445.225	1442.867	1431.453	1430.406
22	1432.854	1527.029	1513.170	1498.629	1455.223	1441.384	1453.853	1454.917
23	1438.333	1542.691	1546.042	1479.980	1449.789	1437.608	1456.336	1423.463
24	1461.589	1547.744	1544.222	1499.602	1435.616	1456.003	1478.151	1435.170
25	1434.831	1556.554	1551.445	1524.599	1423.484	1434.768	1482.582	1429.719
26	1430.400	1562.470	1561.056	1552.433	1431.239	1456.994	1453.911	1437.703
27	1433.932	1570.321	1562.439	1547.304	1430.246	1445.905	1443.768	1412.093
28	1439.836	1582.201	1587.136	1531.331	1430.712	1455.413	1441.905	1436.354
29	1449.437	1584.039	1580.111	1569.077	1452.356	1442.636	1445.804	1451.940
30	1421.543	1609.904	1584.724	1565.423	1464.914	1488.321	1462.277	1437.601
31	1432.148	1621.464	1595.294	1545.128	1449.095	1481.489	1425.919	1460.721
32	1441.505	1608.316	1607.510	1584.672	1447.719	1474.958	1485.479	1467.910
33	1463.273	1639.459	1609.410	1555.889	1474.755	1466.666	1485.841	1467.978
34	1484.451	1669.871	1624.720	1593.176	1475.345	1483.271	1518.874	1489.900
35	1473.415	1663.818	1624.169	1563.606	1472.225	1508.432	1500.282	1511.884
36	1460.587	1701.611	1646.888	1580.798	1504.020	1486.791	1526.808	1509.065
37	1465.266	1701.944	1692.013	1599.877	1465.047	1493.316	1502.875	1508.129
38	1470.843	1731.668	1755.974	1625.925	1506.816	1502.578	1522.586	1511.720
39	1472.595	1793.654	1793.940	1616.939	1530.475	1541.756	1517.106	1525.482
40	1472.402	1833.783	1836.177	1674.795	1560.205	1568.418	1538.855	1524.042
41	1487.679	1909.970	1891.372	1699.899	1573.306	1594.373	1559.231	1532.800
42	1510.268	1949.733	1909.330	1719.433	1607.296	1599.586	1579.616	1561.760
43	1537.108	1959.412	1895.244	1753.013	1615.644	1595.415	1595.087	1587.251
44	1538.009	1936.168	1877.277	1748.613	1634.823	1637.153	1608.469	1627.213
45	1584.178	1868.637	1824.338	1755.471	1695.629	1641.196	1638.860	1622.835
46	1628.263	1771.220	1748.056	1780.895	1706.380	1656.884	1613.971	1653.975
47	1662.892	1707.126	1722.649	1752.992	1731.709	1702.384	1664.292	1687.533
48	1733.644	1634.176	1701.664	1709.463	1742.838	1725.516	1701.834	1727.554
49	1796.348	1566.598	1618.517	1664.395	1743.957	1731.567	1730.854	1748.919
50	1848.680	1506.092	1556.661	1614.713	1661.965	1735.500	1733.524	1707.483
51	1821.269	1449.368	1503.315	1524.630	1589.913	1715.543	1715.668	1664.093
52	1766.629	1409.175	1431.193	1436.116	1512.282	1646.083	1673.147	1624.764
53	1704.466	1354.956	1346.930	1371.866	1456.172	1624.233	1642.071	1565.488
54	1673.419	1304.678	1313.629	1334.381	1409.410	1576.658	1564.922	1499.970
55	1606.320	1250.194	1257.501	1289.318	1365.980	1528.079	1534.407	1468.313
56	1574.020	1205.201	1221.936	1263.403	1338.302	1459.187	1499.860	1423.406
57	1504.264	1174.813	1192.423	1243.895	1274.554	1379.470	1445.356	1399.962
58	1473.887	1140.271	1126.635	1182.066	1204.983	1364.789	1368.545	1361.059
59	1440.060	1104.814	1116.629	1140.314	1201.380	1290.954	1326.968	1307.473
60	1388.298	1091.441	1075.977	1107.322	1154.088	1261.638	1290.115	1281.308
61	1332.773	1047.480	1060.580	1089.633	1122.298	1197.313	1238.781	1220.342
62	1284.865	1013.693	1044.869	1053.489	1082.839	1166.600	1212.312	1187.889
63	1235.243	997.761	1021.387	1042.123	1050.084	1140.712	1166.983	1165.217
64	1193.591	987.864	1014.784	1031.270	1013.544	1110.025	1120.704	1143.599
65	1160.340	957.876	982.214	988.588	1007.755	1081.162	1080.968	1092.737
66	1134.418	949.043	986.358	966.628	979.094	1036.847	1069.273	1055.541
67	1107.626	934.577	941.179	951.128	953.526	1016.355	1046.428	1032.670
68	1052.731	903.382	928.857	928.163	920.540	994.158	991.612	1003.609
69	1038.624	885.428	911.368	919.010	906.313	940.191	982.599	999.106
70	1019.886	871.643	881.618	894.317	892.343	918.158	964.326	998.171
71	988.712	844.741	882.794	873.144	882.742	907.780	941.387	962.155
72	968.559	851.135	844.603	860.507	851.456	894.019	916.528	934.927
73	957.190	832.508	844.183	845.495	839.651	864.676	879.139	922.570
74	930.565	805.871	839.813	839.831	827.209	861.471	884.199	902.552
