 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
1	446.677	433.391	423.000	433.751	433.627	425.044	426.261	424.906	419.410	440.188	439.458
2	431.762	428.578	418.732	424.934	441.359	433.913	427.201	429.263	430.827	445.463	420.101
3	441.944	414.846	417.411	419.169	428.667	429.679	435.876	431.139	431.447	432.898	431.483
4	436.687	418.658	436.914	429.712	418.657	432.156	421.940	418.121	422.221	430.107	439.306
5	432.651	427.443	436.126	418.337	419.952	432.474	429.536	415.477	426.268	424.719	440.531
6	432.554	443.810	428.757	427.592	433.904	423.578	438.776	430.896	422.272	436.194	436.222
7	420.942	430.765	432.541	434.429	434.910	415.955	422.775	428.215	442.761	429.453	432.892
8	425.567	434.560	414.102	434.162	436.761	424.395	440.081	423.774	439.864	421.727	433.476
9	432.565	432.252	426.521	430.652	432.007	430.101	423.864	433.526	442.997	434.567	423.177
10	444.344	429.081	436.599	417.179	437.129	423.926	423.129	429.236	440.379	430.244	435.875
11	436.458	423.543	428.165	429.573	433.079	419.310	432.149	425.151	442.016	432.744	430.128
12	445.108	443.596	439.100	432.362	434.582	425.900	441.970	437.721	435.820	436.893	429.496
13	424.093	445.148	427.886	426.749	438.146	432.775	436.438	426.153	425.495	437.777	425.825
14	434.433	430.472	425.431	431.184	434.929	425.704	425.298	431.580	431.124	444.742	436.060
15	441.926	435.241	431.856	432.683	440.583	424.829	444.289	434.784	434.243	437.872	448.753
16	433.189	432.248	431.663	435.880	420.076	436.290	453.078	437.910	429.932	444.753	436.759
17	445.365	436.075	443.974	429.050	432.871	441.399	441.494	436.148	450.072	450.390	432.743
18	446.696	440.807	437.063	442.305	449.126	434.886	441.288	463.842	452.562	442.915	448.453
19	452.820	443.223	448.027	452.623	442.671	455.087	440.848	458.084	460.605	462.968	449.220
20	457.144	448.675	447.961	460.248	455.933	443.997	446.499	454.644	453.142	469.567	454.220
21	467.174	447.702	451.941	450.215	442.815	450.407	448.618	463.359	448.360	462.313	463.600
22	462.854	450.183	453.849	445.753	439.427	450.954	457.252	467.409	476.345	468.115	455.180
23	443.161	453.017	450.210	450.300	460.819	457.272	453.288	479.212	472.562	454.592	453.251
24	470.803	444.860	456.570	452.648	454.697	457.103	475.171	471.211	471.186	463.202	465.301
25	469.193	458.774	449.219	461.139	461.942	447.175	473.772	480.173	488.396	471.752	472.130
26	472.068	457.099	450.909	446.003	456.047	460.260	466.229	469.857	466.607	463.661	457.366
27	466.639	453.710	455.279	450.934	451.889	459.014	470.216	483.848	467.579	478.644	477.984
28	472.072	454.276	449.007	453.514	459.432	461.398	459.471	479.007	452.162	481.917	468.042
29	485.724	470.974	455.210	464.888	451.153	462.818	459.106	473.972	472.911	477.062	469.007
30	472.930	467.950	467.162	462.295	451.949	467.501	454.934	462.285	467.093	473.619	479.117
31	459.098	455.428	465.346	464.857	469.975	465.199	465.011	493.863	484.359	461.885	471.004
32	472.143	465.511	464.015	475.850	475.292	463.021	462.350	488.617	472.179	474.173	480.867
33	478.639	460.732	462.990	473.908	473.399	474.511	476.006	471.312	466.913	469.612	473.490
34	467.190	466.153	474.506	476.610	485.654	478.284	464.742	473.919	478.066	475.644	486.540
35	489.370	488.659	477.954	482.112	475.507	468.348	470.456	477.594	479.249	475.553	491.704
36	486.265	479.428	492.302	476.739	481.886	475.019	485.202	478.620	489.510	489.366	487.397
37	481.987	475.985	492.475	496.696	485.331	473.841	487.400	480.171	481.616	486.691	493.734
38	493.762	488.719	484.464	478.501	471.045	466.224	502.759	495.311	491.700	498.374	496.188
39	499.567	488.403	488.396	487.276	472.378	470.708	487.166	485.009	508.102	504.488	503.475
40	496.225	485.368	488.275	489.369	479.327	488.549	488.270	497.152	504.981	492.216	512.515
41	516.952	498.931	496.082	484.440	495.750	485.941	496.030	497.838	496.918	494.023	503.465
42	521.370	520.669	508.563	510.920	500.854	491.199	495.913	503.361	506.370	515.445	505.776
43	525.147	517.420	519.831	502.687	499.856	495.730	495.938	511.014	503.282	512.724	518.756
44	510.103	505.832	510.262	516.359	505.218	493.830	502.872	517.843	505.135	509.128	513.388
45	531.010	522.832	516.603	520.414	510.502	511.123	513.855	518.147	514.901	510.012	519.215
46	524.694	537.894	518.418	505.384	516.503	504.829	513.440	506.381	535.055	513.404	515.762
47	535.752	541.663	528.241	521.719	513.719	499.315	513.324	509.568	511.426	524.342	530.493
48	537.213	545.273	538.087	537.757	518.533	515.317	517.656	527.720	540.233	525.380	539.130
49	528.096	569.005	548.587	533.569	538.964	520.479	546.737	550.915	536.350	532.466	540.797
50	544.137	577.126	560.036	540.945	548.787	543.175	546.323	538.666	553.115	530.479	558.260
51	556.621	572.577	568.919	564.925	553.783	537.839	554.671	556.075	542.423	546.681	567.186
52	577.151	561.957	564.588	572.394	535.709	549.407	547.494	547.055	555.503	560.379	575.367
53	572.804	562.232	575.236	544.754	553.507	563.629	546.194	561.326	549.043	553.248	569.150
54	573.375	570.850	568.691	545.338	558.599	550.399	537.621	538.628	571.157	554.926	564.039
55	572.939	583.046	574.597	552.742	545.913	554.481	547.038	567.781	564.931	562.654	576.306
56	579.005	605.067	566.236	557.484	561.383	559.540	568.397	578.123	577.024	587.220	574.385
57	589.365	595.067	562.904	559.825	565.063	578.611	558.477	563.503	598.223	600.317	601.716
58	588.588	602.769	569.095	567.516	570.326	568.221	570.004	569.482	562.438	593.127	598.025
59	609.107	605.984	570.986	572.887	581.894	562.449	577.275	582.439	592.495	600.799	604.853
60	604.268	611.906	585.183	592.905	594.374	588.981	590.028	596.846	597.807	610.363	620.685
61	622.596	623.510	619.746	610.041	592.070	596.248	612.858	618.507	614.168	657.280	625.668
