 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
1	617.893	621.261	619.699	638.761	652.449	630.309	634.706	621.051	630.828	621.788	608.533
2	618.281	619.052	604.267	644.496	629.173	618.619	620.102	626.984	610.609	626.626	618.221
3	634.873	615.251	627.266	650.232	630.811	645.658	625.811	617.001	634.500	623.293	625.113
4	633.400	613.578	627.950	632.732	632.454	646.546	624.232	616.194	631.661	621.485	610.101
5	633.276	608.944	623.841	630.188	622.273	619.001	629.609	634.752	629.790	620.138	618.780
6	628.173	629.048	625.047	655.935	625.353	648.113	640.017	632.481	613.720	618.018	621.540
7	622.814	617.754	619.949	648.825	637.000	634.462	642.679	630.596	617.595	624.822	605.871
8	635.054	613.481	615.160	648.337	631.722	628.694	652.076	631.801	617.169	615.168	616.607
9	630.174	623.007	614.952	645.749	618.686	646.787	658.050	626.919	602.463	608.516	615.980
10	615.136	642.036	632.784	652.904	626.170	637.079	646.101	621.847	603.220	606.174	604.848
11	608.564	621.856	644.317	651.658	635.625	623.945	649.489	635.719	611.365	600.086	612.644
12	600.432	630.321	642.540	631.249	651.207	613.851	665.934	621.134	609.338	610.426	603.324
13	597.626	612.456	631.119	622.311	648.656	630.829	654.530	619.757	610.781	603.074	606.541
14	621.876	609.128	626.426	613.967	656.330	624.865	651.528	626.257	632.031	614.629	598.204
15	633.585	620.299	633.822	631.418	642.178	629.813	631.253	634.920	613.238	620.205	621.772
16	617.847	629.038	633.248	623.485	646.695	629.192	647.588	646.308	624.858	603.470	607.571
17	630.212	630.644	629.459	625.251	631.976	625.601	641.998	634.426	628.781	609.945	616.131
18	631.405	622.331	632.648	621.951	641.610	619.481	626.695	618.995	618.333	620.607	622.275
19	624.776	625.807	621.093	605.799	643.510	632.636	631.715	641.542	624.038	628.702	619.016
20	623.647	610.267	614.535	622.161	638.518	623.677	634.224	639.252	618.293	611.620	631.234
21	620.309	633.063	616.238	614.459	632.994	626.503	635.495	630.500	625.607	614.146	626.183
22	634.683	618.261	617.772	621.674	640.543	644.954	651.050	639.313	638.901	627.968	621.509
23	622.591	630.287	620.819	625.331	618.445	637.320	643.147	639.311	633.798	623.453	632.979
24	633.827	617.339	605.098	635.451	658.477	643.764	636.001	660.167	643.670	622.050	651.415
25	625.723	609.786	625.202	641.434	653.088	641.749	652.560	641.832	632.503	627.180	635.030
26	637.713	611.914	630.110	636.226	631.871	655.487	648.094	642.275	625.403	633.989	631.165
27	650.619	634.739	620.564	643.115	638.974	659.638	660.285	645.101	638.316	638.069	652.067
28	639.848	636.208	628.521	651.131	637.180	651.116	657.701	648.324	613.231	637.342	623.498
29	643.201	623.639	636.807	633.196	646.649	648.720	646.661	634.961	610.812	643.691	624.912
30	645.650	651.486	647.726	639.953	656.769	661.008	647.358	635.927	629.420	645.358	635.716
31	632.357	646.722	663.695	650.704	653.221	674.225	667.635	648.854	643.479	637.699	630.503
32	622.844	657.399	659.409	638.541	664.640	666.772	668.121	643.429	646.331	655.605	656.255
33	636.720	668.201	651.752	632.444	643.630	686.474	670.324	656.681	638.967	642.903	623.999
34	634.635	656.082	637.626	650.471	644.721	696.442	669.518	646.752	632.010	633.162	656.424
35	658.261	657.981	634.536	637.111	672.523	685.513	668.971	645.632	642.039	648.614	656.982
36	648.887	657.855	643.891	639.811	665.494	682.068	674.500	648.497	628.323	642.934	655.164
37	648.933	654.670	637.566	652.153	664.980	691.789	678.066	664.715	652.268	664.595	671.729
38	657.444	652.943	653.799	654.625	687.524	709.653	672.012	672.826	675.717	664.511	672.253
39	669.784	641.273	649.866	662.010	680.547	710.330	680.971	649.877	671.628	669.219	668.217
40	669.439	639.317	657.631	666.690	685.281	713.467	696.549	650.325	674.062	650.404	681.464
41	688.404	652.088	660.141	673.242	696.995	721.060	704.610	662.261	677.851	675.061	684.948
42	691.941	660.695	668.568	681.092	714.160	715.685	703.427	678.287	691.081	678.745	682.496
43	700.087	670.952	666.516	695.815	714.888	736.257	709.783	694.959	698.693	705.479	694.357
44	733.233	658.863	689.883	710.064	696.670	736.406	723.244	711.575	708.431	685.873	722.234
45	739.695	671.413	688.911	688.890	726.998	744.732	729.959	714.575	729.875	696.613	729.154
46	769.111	692.877	684.388	707.298	735.149	754.084	735.780	720.885	714.009	730.552	749.889
47	782.634	686.150	705.791	730.575	738.436	778.308	768.496	716.987	749.478	740.195	778.421
48	797.183	684.486	713.185	736.911	772.958	801.551	778.394	720.863	766.416	759.116	788.648
49	807.808	685.411	734.622	753.578	781.342	822.048	796.138	744.837	773.404	796.904	815.293
50	821.723	711.379	740.688	759.706	815.137	838.584	782.761	753.702	778.615	814.696	827.250
51	840.362	725.902	750.934	796.363	841.657	851.907	824.450	778.472	781.869	840.309	864.488
52	868.081	747.276	759.835	820.519	845.489	881.643	849.065	766.931	809.888	836.041	872.730
53	872.564	747.782	790.440	840.768	821.156	880.529	870.807	778.071	836.487	852.810	890.538
54	871.616	739.874	798.619	854.700	832.002	883.849	874.527	792.543	826.823	880.137	907.744
55	853.504	771.234	823.012	853.327	858.738	869.973	896.420	809.145	831.953	841.732	894.575
56	852.946	795.269	834.693	865.380	873.930	891.023	882.436	804.103	847.527	822.917	860.198
57	806.487	804.725	851.538	865.029	865.507	862.834	860.627	836.250	822.384	817.434	830.397
58	792.394	812.963	852.131	843.921	857.032	828.671	841.999	836.650	797.373	788.180	804.242
59	767.467	818.468	848.864	848.659	831.763	793.883	833.843	842.698	784.823	762.437	789.705
60	740.889	827.096	838.674	828.650	787.158	762.942	800.043	843.780	753.759	736.873	754.979
61	721.068	813.989	834.026	806.529	765.995	729.359	770.759	825.803	743.616	736.908	718.104
62	691.161	799.975	836.339	769.909	734.940	692.737	738.438	793.151	720.361	711.219	696.529
63	700.607	790.218	786.557	754.896	714.722	661.295	729.066	777.160	700.712	684.908	691.073
64	663.307	783.860	765.792	721.690	682.257	643.333	696.059	765.262	701.537	665.468	672.746
65	639.215	750.334	749.099	702.762	669.599	637.289	675.705	751.250	689.664	658.759	667.559
66	605.379	749.862	737.223	680.725	656.227	615.548	662.152	722.354	649.183	643.917	661.360
67	602.282	740.424	705.078	660.497	630.803	609.025	627.677	703.027	635.761	614.374	627.338
68	596.126	712.229	690.061	635.704	607.546	586.273	594.219	659.320	603.035	587.927	592.989
69	571.786	684.703	655.199	612.192	596.438	565.551	584.643	624.841	580.013	573.912	572.495
70	565.307	681.971	625.389	576.423	570.606	543.392	574.602	612.250	563.038	555.679	550.055
71	535.831	644.610	616.151	556.850	563.936	519.754	548.034	579.997	523.002	521.967	558.212
72	539.745	614.003	598.586	550.856	538.877	514.098	528.191	564.533	524.207	510.676	541.804
73	517.624	588.002	585.815	532.403	524.312	495.440	522.362	534.304	499.547	492.290	513.676
74	498.989	560.114	567.480	533.683	492.145	475.866	493.897	513.714	495.291	488.803	496.733
75	486.427	550.413	564.846	508.133	489.842	479.417	490.902	501.549	495.438	474.725	486.541
76	490.595	531.967	543.649	498.429	494.788	475.262	477.568	499.191	477.429	475.542	494.288
77	471.765	503.676	514.417	486.601	478.974	471.109	474.335	464.191	475.476	455.937	474.830
78	455.375	492.853	511.735	492.687	477.052	473.008	462.534	474.746	469.401	450.059	453.107
79	440.197	477.506	482.870	466.774	464.899	462.016	450.174	470.971	452.160	453.801	453.367
80	444.350	477.160	466.171	466.003	455.881	454.508	440.791	458.348	450.069	440.573	447.186
81	444.230	484.765	472.062	453.125	444.533	439.907	451.505	441.593	438.999	419.588	422.097
82	424.919	465.666	474.656	451.877	434.460	427.978	439.658	429.998	429.396	415.120	426.701
83	424.224	462.875	447.574	431.739	421.697	424.782	426.023	442.100	410.855	425.710	420.883
84	410.518	452.313	445.846	429.315	428.089	422.827	407.603	417.463	412.086	416.058	410.819
85	407.018	445.297	437.610	411.957	420.751	409.437	414.324	413.695	405.339	406.656	404.889
86	399.933	436.503	425.571	405.881	412.522	406.503	417.388	403.713	400.879	394.651	394.824
87	404.875	441.394	426.124	399.869	407.729	410.560	401.952	407.107	393.503	385.483	388.653
88	387.957	421.547	414.612	393.901	393.393	397.703	391.903	409.969	399.477	393.350	397.465
89	378.085	429.516	414.484	396.084	389.099	391.449	371.924	398.294	381.459	383.680	374.180
90	367.923	417.997	396.673	396.910	390.171	380.091	369.364	380.287	385.667	371.061	389.422
91	357.212	408.245	383.276	385.783	373.606	373.729	372.124	365.823	376.978	374.415	377.670
92	369.464	414.895	382.443	378.837	374.686	377.914	373.323	372.185	372.674	364.212	372.334
93	361.048	395.901	387.588	382.201	379.858	371.912	360.170	387.937	362.840	363.459	371.575
94	366.161	383.338	366.392	368.047	368.521	362.741	354.118	382.480	355.206	354.975	365.886
95	353.824	372.627	359.998	358.510	351.863	359.245	349.611	364.029	352.704	349.114	348.238
96	349.905	358.083	367.871	371.084	355.336	354.645	352.736	347.280	352.705	340.477	349.670
97	343.229	370.454	360.583	359.074	355.121	345.035	353.014	345.744	338.578	336.032	344.325
98	346.820	364.339	344.385	352.156	344.901	350.959	346.129	343.357	335.392	332.706	336.016
99	344.140	358.378	340.955	347.745	338.259	353.357	344.348	339.538	326.567	334.925	332.286
100	333.021	343.774	330.245	337.020	342.012	351.142	330.189	336.879	333.023	337.486	327.075
101	324.748	350.646	332.306	326.171	331.796	338.796	338.889	336.139	326.927	338.539	326.652
102	324.866	354.624	327.701	337.333	316.018	327.204	326.133	328.369	329.366	312.974	313.079
103	324.396	353.985	319.414	328.820	327.396	326.758	334.163	321.376	316.277	318.587	313.024
104	320.696	343.431	324.878	317.705	319.395	320.691	319.851	319.454	323.666	318.971	316.494
105	306.670	326.948	328.899	316.124	316.281	317.979	314.775	316.576	302.024	307.239	318.248
106	308.317	328.798	321.006	309.245	308.276	308.049	303.026	300.944	298.637	307.611	306.344
107	297.204	329.065	310.906	300.500	302.418	301.704	308.281	307.258	297.840	310.434	297.053
108	289.858	317.677	313.039	304.164	298.505	306.086	307.401	297.998	303.806	292.978	299.540
109	287.195	312.481	306.038	308.602	308.979	299.674	299.170	295.981	295.445	302.673	294.117
110	294.049	310.438	304.864	301.397	301.730	293.368	289.066	297.140	295.964	292.885	292.714
111	281.939	315.034	299.460	299.889	291.532	301.525	290.374	297.166	290.744	287.332	282.440
112	276.116	296.210	290.636	294.066	285.812	295.319	297.033	281.271	282.692	288.041	280.056
113	282.997	290.491	287.977	292.402	289.866	291.784	284.963	292.472	284.135	289.535	281.930
114	290.812	289.764	286.674	289.624	286.431	286.914	283.068	282.131	280.316	281.123	281.694
115	284.988	288.999	283.509	279.242	282.239	291.914	280.154	284.455	265.854	274.794	273.057
116	280.922	286.604	288.996	286.285	285.283	282.598	272.979	277.822	275.828	276.774	267.494
117	274.078	288.448	285.166	274.754	277.044	275.695	273.561	278.943	271.500	272.367	264.043
118	264.651	284.225	273.449	279.478	273.909	274.641	266.082	263.333	266.103	265.584	269.034
119	275.301	282.551	271.631	274.279	268.980	274.289	266.363	269.543	265.258	270.425	260.340
120	280.443	278.435	271.430	270.208	275.468	269.551	264.688	262.928	271.045	272.098	270.517
