 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	941.471	941.471	958.957	959.240	991.536	897.493	909.666	874.191	900.543	877.708
2	922.581	922.581	929.183	953.484	973.499	879.937	887.294	880.513	861.953	880.295
3	901.620	901.620	911.757	956.862	956.184	884.899	881.341	867.611	871.454	888.631
4	912.834	912.834	926.587	966.111	941.010	885.909	867.587	883.723	881.312	872.009
5	891.374	891.374	907.237	961.169	949.980	873.485	874.350	897.245	879.335	873.212
6	922.591	922.591	931.580	952.240	956.014	864.786	878.152	907.781	885.257	877.734
7	914.307	914.307	885.233	957.767	954.944	865.823	887.965	901.569	903.629	881.578
8	920.813	920.813	895.146	953.040	952.145	848.118	876.108	889.553	898.919	851.791
9	917.358	917.358	906.786	938.445	968.357	869.898	870.178	882.170	896.378	856.303
10	912.176	912.176	910.541	919.745	947.367	887.279	857.358	876.689	887.058	850.170
11	895.666	895.666	897.459	922.823	950.399	880.906	838.080	857.958	868.496	833.651
12	898.519	898.519	903.222	921.033	921.093	891.631	835.130	867.544	877.972	856.806
13	877.236	877.236	888.706	900.731	923.790	857.135	832.811	856.436	850.018	836.560
14	886.224	886.224	887.023	898.034	908.762	851.020	845.441	869.830	869.491	836.084
15	875.208	875.208	900.486	907.763	910.920	863.766	830.514	856.078	862.168	832.489
16	883.453	883.453	880.340	918.314	920.046	854.086	844.742	860.480	849.899	857.958
17	882.509	882.509	866.527	913.932	907.714	851.291	845.350	839.264	865.994	831.928
18	900.309	900.309	883.779	907.669	918.386	854.164	854.542	829.938	858.749	820.720
19	888.113	888.113	887.295	912.531	920.650	861.380	844.309	830.990	836.452	827.016
20	859.469	859.469	889.305	900.658	889.432	845.561	822.140	842.593	829.593	810.161
21	880.307	880.307	876.643	918.690	894.665	838.018	841.220	837.868	835.159	812.271
22	878.718	878.718	860.119	907.635	887.950	846.520	837.779	833.420	840.446	817.128
23	870.479	870.479	871.130	914.569	884.165	851.709	821.549	844.326	842.082	810.276
24	875.611	875.611	863.760	899.932	896.075	865.821	801.634	842.028	821.993	811.791
25	865.267	865.267	862.944	905.883	908.885	839.817	816.499	872.358	826.381	789.747
26	865.469	865.469	864.297	896.309	881.812	835.192	820.685	848.460	827.662	808.339
27	850.607	850.607	852.889	881.302	894.366	826.644	814.184	830.129	838.200	809.094
28	846.339	846.339	858.642	879.324	876.631	840.089	809.715	835.049	825.502	805.782
29	872.377	872.377	872.521	885.497	878.262	852.229	811.787	860.294	837.150	794.390
30	874.367	874.367	859.366	883.793	874.990	843.476	824.139	856.262	841.534	815.798
31	848.577	848.577	847.472	881.458	872.527	840.629	847.327	845.083	828.117	808.766
32	852.771	852.771	844.736	878.031	872.483	846.069	853.003	851.079	828.237	799.820
33	872.892	872.892	815.334	870.575	889.012	851.164	839.971	851.762	840.068	798.666
34	864.834	864.834	843.857	882.213	888.088	844.633	834.208	841.905	834.535	804.516
35	874.568	874.568	864.863	860.384	865.448	868.869	856.453	839.609	818.223	820.954
36	870.734	870.734	856.327	871.052	873.028	849.113	840.991	841.185	832.684	813.508
37	860.712	860.712	865.653	861.818	881.483	834.028	845.442	834.928	827.034	821.675
38	868.327	868.327	875.597	857.303	857.755	829.187	828.728	833.219	820.444	828.490
39	851.517	851.517	884.946	877.393	862.188	827.763	804.375	834.404	826.449	834.783
40	866.078	866.078	862.286	873.427	897.293	833.366	822.225	854.749	841.700	816.888
41	874.572	874.572	861.304	878.526	884.166	830.526	822.878	840.792	818.745	805.597
42	871.439	871.439	861.292	903.897	873.004	827.517	821.384	839.899	830.179	810.665
43	870.966	870.966	875.273	909.754	875.021	861.186	847.045	833.603	840.600	830.619
44	878.395	878.395	876.170	910.775	900.421	864.928	841.394	835.778	839.501	822.470
45	889.423	889.423	872.981	906.956	876.998	881.591	841.408	842.528	819.855	815.838
46	891.963	891.963	883.470	931.756	883.160	872.225	851.295	866.130	825.608	808.456
47	885.453	885.453	884.914	925.175	903.244	902.515	839.678	871.350	824.893	837.857
48	892.482	892.482	906.587	923.894	911.697	887.484	861.442	862.520	835.752	836.653
49	888.384	888.384	902.850	907.481	910.595	878.022	853.682	860.552	846.332	824.925
50	883.434	883.434	889.079	923.314	906.400	883.806	876.573	850.603	828.137	834.068
51	885.178	885.178	912.335	935.559	917.464	875.364	865.528	873.290	833.549	818.329
52	917.285	917.285	910.783	959.436	931.850	871.942	869.129	874.143	848.945	829.081
53	929.634	929.634	897.867	959.513	925.077	885.712	860.025	848.062	848.158	843.007
54	917.769	917.769	908.248	987.611	955.135	882.352	876.309	871.438	859.446	831.214
55	923.128	923.128	928.542	990.225	932.074	873.894	862.763	862.592	858.948	847.924
56	918.604	918.604	941.846	1000.973	945.191	907.629	871.821	871.111	859.241	887.441
57	939.717	939.717	963.622	1026.390	969.113	900.721	876.672	865.350	851.153	907.692
58	943.429	943.429	1004.335	1089.300	984.287	927.341	878.984	871.801	856.744	940.480
59	976.772	976.772	1029.177	1112.369	977.000	935.781	914.365	885.866	877.975	974.305
60	999.420	999.420	1074.132	1109.800	1003.879	953.833	935.425	902.129	895.392	987.487
61	1021.905	1021.905	1108.562	1131.357	1041.814	971.229	968.078	916.152	916.540	1016.373
62	1060.618	1060.618	1140.414	1129.699	1070.816	971.581	968.827	949.534	980.665	990.152
63	1059.567	1059.567	1115.679	1085.353	1107.708	982.531	979.244	942.457	1024.509	961.188
64	1041.467	1041.467	1082.474	1062.245	1120.965	1003.083	957.497	947.490	1009.065	930.429
65	1038.299	1038.299	1051.691	1034.469	1107.351	964.467	943.968	956.798	1028.150	906.745
66	1004.710	1004.710	1015.801	1007.327	1094.061	939.991	916.919	975.108	996.617	897.499
67	978.012	978.012	987.506	988.174	1087.021	936.758	897.854	966.358	945.220	850.423
68	922.413	922.413	943.970	949.232	1038.596	903.189	886.091	961.524	908.064	790.753
69	894.015	894.015	929.544	959.182	1034.417	879.444	854.281	948.489	861.212	793.152
70	883.314	883.314	909.718	928.816	998.740	868.665	835.162	896.988	822.154	773.433
71	852.774	852.774	862.366	890.565	978.353	800.267	794.578	848.281	787.325	755.148
72	817.981	817.981	845.228	861.023	907.388	787.393	784.120	820.933	755.524	729.992
73	789.343	789.343	846.809	848.445	882.827	779.965	765.214	793.068	742.616	692.072
74	739.088	739.088	812.798	819.332	851.861	752.837	744.918	749.250	716.753	672.877
75	722.904	722.904	770.255	802.523	832.660	726.262	719.038	732.123	700.930	661.758
76	701.552	701.552	728.538	780.393	800.755	708.477	684.910	697.574	674.218	644.689
77	703.051	703.051	711.087	759.531	769.386	701.472	686.543	661.242	649.071	625.988
78	679.607	679.607	677.548	734.374	750.782	668.563	672.626	663.649	630.971	614.263
79	637.423	637.423	664.505	700.326	708.568	654.392	652.065	619.619	632.478	587.211
80	635.154	635.154	645.060	675.785	684.964	632.427	639.133	606.952	598.654	583.319
81	611.791	611.791	634.634	666.282	670.938	619.129	623.185	611.878	590.677	569.463
82	601.600	601.600	629.109	652.497	649.477	605.471	587.829	579.487	581.257	557.699
83	592.193	592.193	597.028	643.094	644.411	596.942	587.398	594.426	563.636	544.255
84	576.554	576.554	583.470	625.118	619.524	580.404	567.679	572.888	556.749	539.579
85	569.554	569.554	559.924	584.681	603.742	575.751	563.506	555.891	556.730	524.896
86	529.573	529.573	556.219	588.305	615.584	549.296	528.142	544.393	545.179	520.789
87	544.200	544.200	550.174	591.944	600.695	558.421	530.258	533.185	535.030	513.974
88	543.928	543.928	527.807	559.753	582.734	538.370	533.958	524.232	509.846	493.703
89	524.000	524.000	532.989	545.688	561.473	535.295	511.757	515.252	507.396	503.760
90	507.491	507.491	526.307	543.545	555.793	517.430	511.918	492.809	508.311	490.907
91	494.062	494.062	507.918	540.296	544.932	489.968	495.493	483.725	493.200	474.568
92	494.905	494.905	499.698	518.982	544.325	499.958	476.667	476.962	491.266	463.857
93	477.267	477.267	475.766	500.788	513.819	493.753	472.539	468.876	476.408	461.916
94	480.485	480.485	473.802	484.481	509.862	486.902	473.320	464.589	473.555	456.303
95	476.564	476.564	469.063	495.240	502.672	474.885	465.996	457.371	468.658	452.347
96	463.835	463.835	467.575	489.921	497.028	455.274	452.924	457.942	453.769	457.993
97	445.637	445.637	452.440	479.437	484.702	445.768	454.379	443.574	436.243	440.819
98	437.740	437.740	459.029	462.843	480.103	448.818	443.914	439.301	438.505	429.160
99	436.299	436.299	456.049	456.442	471.096	439.574	434.534	439.158	446.037	440.149
100	422.882	422.882	432.906	457.426	465.574	428.843	428.586	428.649	430.242	420.617
101	424.581	424.581	426.804	454.104	466.103	423.950	418.894	413.698	424.672	409.470
102	416.230	416.230	427.652	452.250	460.818	417.956	416.987	416.589	417.677	411.121
103	414.713	414.713	422.118	446.393	433.465	421.975	415.794	409.983	413.742	411.258
104	402.470	402.470	418.495	443.806	433.244	415.616	415.261	400.847	407.517	403.878
105	407.245	407.245	420.681	428.740	430.613	410.774	409.572	403.533	400.169	389.104
106	387.886	387.886	407.464	411.541	423.151	401.639	393.297	383.776	397.227	394.990
107	380.611	380.611	399.129	417.002	410.175	398.262	398.568	388.693	389.566	385.228
108	380.317	380.317	391.307	405.926	409.567	400.913	388.742	388.399	382.952	380.528
109	386.960	386.960	402.337	412.200	421.159	393.327	383.493	379.241	392.998	372.463
110	380.039	380.039	389.240	397.041	417.505	383.163	367.001	386.835	384.375	374.728
111	383.222	383.222	386.609	410.272	411.749	382.484	372.756	378.430	362.638	372.305
112	359.914	359.914	379.214	402.644	395.662	366.055	361.202	363.606	371.026	356.142
113	361.698	361.698	375.127	396.549	389.761	367.539	360.468	352.715	368.402	358.052
114	352.150	352.150	375.109	397.381	381.253	368.207	357.445	354.418	369.363	357.340
115	351.528	351.528	367.916	384.223	380.950	360.003	354.628	358.478	372.709	356.315
116	349.566	349.566	348.017	372.355	363.454	354.511	351.780	353.677	365.390	350.666
117	342.968	342.968	350.399	370.285	368.163	356.753	356.514	334.126	345.629	336.496
118	343.631	343.631	342.668	367.449	377.285	354.663	336.400	337.491	339.692	337.320
119	344.458	344.458	343.424	357.923	373.242	345.625	326.365	339.768	342.278	331.053
120	323.081	323.081	341.392	350.668	355.931	340.093	327.729	330.261	349.872	327.408
121	319.260	319.260	350.478	348.248	344.931	334.878	324.097	332.880	342.284	331.004
122	316.615	316.615	343.226	344.758	350.236	331.844	321.778	333.674	338.084	320.488
123	315.990	315.990	335.456	349.907	357.952	336.529	322.541	324.604	323.566	318.311
124	319.186	319.186	341.374	338.618	349.223	333.440	324.170	327.289	323.296	327.250
125	317.497	317.497	325.984	337.304	346.419	324.001	326.906	321.272	321.677	314.865
126	302.100	302.100	325.715	330.752	349.321	326.793	312.837	315.337	320.733	326.130
127	304.033	304.033	318.744	344.324	332.772	327.972	304.604	324.981	321.054	313.751
128	299.256	299.256	313.542	331.393	328.880	319.001	312.329	318.447	315.551	317.529
129	307.388	307.388	311.202	321.908	324.974	311.291	304.558	306.918	309.374	308.176
130	302.234	302.234	326.764	324.320	318.152	303.582	295.637	303.860	308.695	316.621
131	296.496	296.496	314.834	317.508	327.364	308.406	301.909	307.972	306.692	301.844
132	300.419	300.419	311.465	314.685	321.135	297.794	312.461	300.492	304.902	299.958
133	292.092	292.092	314.745	317.833	313.952	303.686	296.320	303.022	292.785	297.571
134	286.714	286.714	301.518	322.738	312.230	304.323	300.987	299.046	290.770	292.981
135	278.792	278.792	299.654	306.723	306.157	297.164	292.735	303.417	305.656	293.306
136	285.313	285.313	296.240	302.189	301.898	293.010	285.213	297.942	298.374	288.711
