 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
1	227.971	227.971	226.959	229.909	225.302	224.115	228.511	217.678
2	227.015	227.015	233.686	227.697	224.338	225.882	225.808	230.306
3	214.983	214.983	231.440	232.523	225.899	220.781	227.964	232.727
4	229.052	229.052	222.900	231.825	237.601	229.295	229.831	230.857
5	231.755	231.755	233.136	227.271	224.801	226.480	225.034	229.696
6	232.876	232.876	238.384	231.294	226.775	234.531	229.593	231.280
7	227.205	227.205	236.419	241.169	223.724	229.317	233.542	230.162
8	235.847	235.847	234.083	241.531	232.890	237.000	229.277	231.056
9	238.946	238.946	230.557	235.068	230.319	233.213	237.394	230.848
10	229.666	229.666	237.155	240.268	229.364	232.059	233.731	227.732
11	229.614	229.614	232.157	242.247	228.183	227.036	240.329	231.569
12	233.145	233.145	232.899	243.374	231.430	230.536	237.121	236.220
13	236.912	236.912	241.681	238.590	235.959	231.605	234.118	236.534
14	233.049	233.049	233.465	233.121	227.492	236.263	226.411	235.868
15	242.301	242.301	241.345	235.672	235.063	241.564	229.593	241.911
16	245.203	245.203	240.530	236.265	239.619	242.803	230.367	243.284
17	238.572	238.572	246.154	228.414	235.262	241.477	231.508	241.165
18	246.389	246.389	240.022	236.378	229.025	243.237	238.747	240.950
19	242.636	242.636	242.830	250.000	237.373	242.100	240.024	243.499
20	233.226	233.226	248.923	241.310	238.286	238.435	244.671	248.253
21	239.650	239.650	247.729	238.383	240.836	235.923	237.815	246.763
22	242.875	242.875	236.864	250.541	244.252	239.056	235.909	246.290
23	248.424	248.424	245.535	244.788	236.673	247.120	237.319	234.914
24	239.777	239.777	243.308	252.426	237.227	242.624	238.012	241.908
25	243.028	243.028	241.086	255.832	245.760	235.353	240.527	242.091
26	243.136	243.136	248.309	247.751	241.450	234.993	243.565	246.444
27	248.799	248.799	250.109	240.506	242.031	245.184	240.540	248.521
28	253.415	253.415	248.789	247.145	243.675	253.855	250.204	249.183
29	257.080	257.080	249.826	253.508	237.492	258.147	252.205	244.744
30	257.124	257.124	250.130	251.911	236.965	259.194	243.609	262.958
31	248.412	248.412	255.401	260.424	249.193	256.273	255.486	266.144
32	262.711	262.711	252.868	256.923	247.329	256.402	258.948	259.306
33	259.343	259.343	250.061	255.357	248.934	256.136	261.573	269.136
34	255.860	255.860	261.719	263.793	255.141	259.034	262.552	265.136
35	255.688	255.688	260.459	258.570	246.318	256.038	256.205	262.834
36	253.767	253.767	264.012	260.703	253.642	259.822	250.567	260.910
37	257.671	257.671	270.862	266.975	252.100	263.484	258.810	268.080
38	264.739	264.739	270.967	260.344	256.226	261.419	271.979	268.528
39	273.831	273.831	261.804	261.996	254.501	265.609	266.749	262.677
40	265.075	265.075	265.263	269.377	254.888	264.238	261.580	270.996
41	265.149	265.149	270.799	273.341	256.313	264.262	265.354	271.279
42	267.905	267.905	274.430	266.890	269.427	276.197	268.597	267.826
43	274.550	274.550	277.903	270.698	271.735	269.795	266.290	267.358
44	262.962	262.962	276.127	273.279	262.399	263.427	265.958	280.250
45	275.257	275.257	279.006	271.617	265.232	261.454	266.033	275.707
46	279.442	279.442	277.279	275.222	262.727	281.938	274.719	282.043
47	278.299	278.299	285.510	282.458	266.723	278.593	284.846	283.554
48	279.615	279.615	280.871	270.035	271.307	267.414	272.639	273.194
49	289.409	289.409	283.650	273.429	270.869	271.574	270.702	273.218
50	288.535	288.535	283.671	282.533	266.426	279.671	275.866	281.443
51	282.056	282.056	284.524	276.781	277.271	275.405	274.449	282.816
52	283.756	283.756	292.380	289.669	282.253	278.856	279.678	289.819
53	282.106	282.106	291.614	289.854	276.480	281.490	290.957	284.368
54	284.012	284.012	288.374	291.413	278.202	288.212	284.068	286.261
55	285.948	285.948	287.937	289.992	286.780	289.707	279.537	289.419
56	295.908	295.908	296.821	295.013	281.285	295.604	291.034	284.029
57	293.964	293.964	296.984	296.685	285.911	289.910	300.382	285.866
58	296.002	296.002	291.773	299.718	290.309	288.553	290.346	294.238
59	296.357	296.357	292.363	303.314	288.856	295.961	294.787	306.351
60	296.682	296.682	302.311	305.158	286.612	300.838	299.435	295.092
61	300.301	300.301	310.159	304.993	297.560	301.848	292.974	293.452
62	312.744	312.744	300.535	306.766	296.519	297.870	295.064	301.418
63	313.939	313.939	302.463	311.331	303.498	305.454	298.221	318.306
64	318.855	318.855	309.295	302.492	306.933	296.618	296.258	302.965
65	316.752	316.752	300.363	314.652	293.334	304.991	302.570	311.953
66	328.888	328.888	316.063	321.534	307.257	318.084	313.758	316.502
67	320.546	320.546	322.819	324.507	311.364	323.955	315.184	318.481
68	327.441	327.441	318.756	317.874	319.483	314.024	308.909	323.572
69	328.712	328.712	326.475	329.175	311.821	325.598	311.623	326.221
70	334.260	334.260	327.233	334.487	311.831	325.189	323.855	324.319
71	332.730	332.730	325.623	330.108	315.127	325.392	323.529	323.559
72	321.649	321.649	325.273	319.101	327.284	321.056	317.568	327.203
73	316.615	316.615	337.297	335.440	329.710	320.232	328.942	320.954
74	336.668	336.668	342.133	332.218	329.895	335.816	329.255	337.511
