 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
1	196.037	196.037	179.035	539.421	529.651	525.623	521.637	531.230	524.080	524.370	532.537	541.842
2	197.789	197.789	176.241	548.545	527.717	510.074	522.639	517.923	527.527	533.171	536.811	521.663
3	190.013	190.013	179.132	552.614	522.307	517.867	511.888	529.077	530.292	531.021	530.148	537.365
4	194.052	194.052	181.238	550.608	523.755	510.753	525.174	518.701	522.239	524.719	529.227	532.453
5	197.991	197.991	181.412	540.690	522.471	523.863	518.402	518.121	512.144	528.618	519.698	527.515
6	191.818	191.818	180.578	539.251	524.635	511.079	523.668	509.737	516.423	533.090	522.094	528.630
7	194.984	194.984	179.294	549.488	523.135	519.509	509.086	506.705	525.152	532.205	525.485	533.889
8	189.332	189.332	181.711	532.308	527.038	509.359	515.475	507.678	529.117	530.359	533.552	536.304
9	186.804	186.804	178.950	538.011	520.764	510.473	506.665	509.658	519.278	527.606	518.731	526.952
10	192.333	192.333	181.152	518.449	515.578	503.071	524.052	507.810	516.504	523.347	528.005	529.001
11	197.036	197.036	179.248	507.343	529.694	506.366	521.381	507.150	512.379	524.548	524.872	521.871
12	194.869	194.869	183.545	521.732	519.274	508.012	504.381	509.829	513.738	525.376	510.569	507.842
13	196.104	196.104	184.186	523.169	517.320	495.390	495.437	499.564	512.531	522.444	515.995	515.651
14	188.874	188.874	184.730	516.789	511.247	493.359	494.363	506.040	498.087	516.303	520.809	513.252
15	189.540	189.540	186.094	512.703	497.606	501.424	489.952	502.179	494.272	513.471	521.261	512.215
16	193.157	193.157	184.020	507.071	493.222	497.964	513.923	501.703	507.940	525.247	520.129	510.934
17	187.058	187.058	182.922	506.753	504.408	487.314	493.436	508.775	499.758	508.944	524.140	504.223
18	195.108	195.108	189.784	494.583	493.774	492.756	478.556	488.936	500.723	518.893	511.524	511.669
19	189.986	189.986	185.418	480.571	493.476	488.269	495.948	490.585	495.371	506.462	501.699	506.691
20	193.044	193.044	180.149	477.778	490.708	480.833	478.969	489.212	490.462	513.449	503.659	490.074
21	191.361	191.361	184.487	473.570	492.062	472.360	469.351	488.339	498.366	502.819	503.907	486.559
22	193.376	193.376	182.813	476.130	481.818	471.038	473.026	487.319	495.878	491.681	498.014	489.722
23	190.708	190.708	184.760	469.181	472.851	481.555	463.867	485.610	498.835	486.544	498.692	495.536
24	187.454	187.454	182.910	463.512	467.060	463.429	453.073	473.843	485.521	484.784	490.536	481.667
25	190.334	190.334	187.653	452.530	457.012	459.468	451.146	461.088	467.696	487.076	494.966	478.879
26	185.485	185.485	187.295	443.568	454.644	450.044	444.176	458.691	473.109	477.676	489.315	476.288
27	192.249	192.249	183.557	433.001	445.476	441.993	429.901	461.135	459.223	476.507	477.096	471.126
28	188.717	188.717	188.093	420.657	440.593	430.721	420.722	444.157	459.619	467.444	463.438	462.641
29	187.953	187.953	188.238	411.456	414.227	424.399	419.421	448.004	456.935	461.787	466.473	445.797
30	188.964	188.964	189.327	400.291	409.659	402.924	411.297	432.073	443.296	457.472	458.845	436.961
31	187.702	187.702	189.579	382.328	400.103	394.350	391.109	419.799	441.401	449.419	460.720	435.235
32	186.771	186.771	186.042	365.976	384.199	380.676	375.179	395.472	423.896	444.290	443.501	403.571
33	188.209	188.209	189.047	355.387	378.724	377.795	367.554	389.986	397.724	437.682	441.997	401.007
34	191.584	191.584	187.113	347.570	357.346	363.804	352.630	390.396	379.642	423.980	440.882	379.930
35	189.872	189.872	189.969	336.828	345.917	359.376	338.505	377.127	376.718	409.839	423.601	369.176
36	188.057	188.057	188.359	322.867	328.595	354.555	333.586	355.780	355.303	398.703	411.776	358.820
37	183.299	183.299	189.113	309.414	316.646	335.351	313.345	344.958	334.059	385.273	395.913	357.287
38	189.801	189.801	187.804	303.616	309.860	312.039	304.211	329.064	329.469	375.864	378.358	339.151
39	191.897	191.897	188.730	299.316	307.935	311.811	289.009	319.648	316.262	355.490	366.545	315.799
40	189.596	189.596	184.767	291.414	295.094	296.232	282.937	307.453	302.629	339.894	350.997	310.124
41	185.860	185.860	182.688	289.267	286.292	280.172	280.837	290.394	290.133	332.997	335.148	306.552
42	188.979	188.979	182.903	293.424	281.162	283.549	276.278	279.226	277.246	314.280	311.944	306.854
43	185.773	185.773	184.549	281.616	269.047	277.539	278.247	274.440	273.249	299.598	297.051	296.989
44	183.415	183.415	188.106	275.526	273.578	271.656	266.108	271.570	273.951	285.686	286.749	293.461
45	187.150	187.150	184.671	262.871	267.937	266.046	258.220	278.065	268.505	285.487	274.334	290.392
46	187.963	187.963	183.454	254.550	263.210	262.311	259.107	272.865	259.619	284.693	273.691	276.120
47	180.979	180.979	179.518	249.310	254.705	253.839	254.830	260.389	254.808	271.137	274.361	265.925
48	179.059	179.059	187.030	249.573	247.562	256.982	248.115	249.502	253.751	268.361	266.438	270.553
49	181.753	181.753	184.006	251.725	243.583	249.137	247.554	250.143	254.556	267.176	263.542	269.399
50	184.277	184.277	180.150	241.777	253.430	251.432	241.636	246.639	248.802	253.933	256.815	264.303
51	185.369	185.369	184.032	235.757	249.805	239.224	240.729	250.622	241.753	248.030	253.939	257.041
52	189.058	189.058	186.313	241.113	242.366	241.864	236.103	240.310	237.251	250.468	242.813	255.496
53	186.753	186.753	181.557	235.745	234.147	231.659	231.689	235.716	241.721	248.158	244.154	251.448
54	184.366	184.366	182.252	227.425	229.752	235.058	230.101	230.640	234.116	238.639	242.527	244.433
55	181.756	181.756	183.071	223.553	225.276	233.771	230.653	233.672	235.739	240.701	236.561	240.663
56	181.266	181.266	178.492	227.283	229.168	231.276	228.432	227.680	231.785	232.958	231.101	235.674
57	187.846	187.846	177.514	226.192	224.226	226.763	222.967	227.326	233.392	232.387	230.578	238.491
58	190.903	190.903	182.196	222.053	217.081	232.379	226.653	223.996	227.577	230.428	226.370	235.865
59	187.234	187.234	186.933	224.888	227.393	228.342	223.385	228.250	230.691	229.054	232.406	230.729
60	183.241	183.241	187.348	215.647	226.102	226.637	218.149	224.260	227.971	227.959	229.434	226.655
61	182.995	182.995	183.463	214.423	227.588	218.116	218.507	219.110	216.200	225.976	226.817	238.628
62	187.104	187.104	178.110	215.665	225.454	214.172	217.272	214.592	219.456	227.333	227.544	229.961
63	182.606	182.606	181.891	206.957	215.601	212.298	214.001	216.676	219.420	222.284	218.734	230.092
64	183.983	183.983	183.703	213.749	216.049	218.514	213.468	211.962	209.920	215.151	218.138	229.707
65	189.053	189.053	182.504	213.445	218.286	215.128	213.554	220.748	211.692	214.707	219.485	234.913
