 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
1	238.319	242.838	241.343	246.242	247.303	235.084	244.930	243.798	235.611	253.346	228.325	250.252	249.368	248.186	246.277
2	238.454	234.006	243.738	241.762	244.354	245.435	245.529	241.134	241.605	250.206	229.775	251.878	241.385	255.253	241.766
3	235.594	241.073	245.347	250.207	247.053	237.260	252.554	244.032	248.101	243.967	238.141	256.662	246.471	264.911	250.988
4	244.182	241.213	240.539	247.332	246.601	243.257	246.527	242.554	249.709	247.703	238.966	242.601	242.529	245.061	245.556
5	240.039	241.460	247.116	258.045	247.413	252.252	249.917	241.396	250.327	241.899	243.000	247.097	250.969	250.409	249.480
6	239.381	244.160	252.009	252.176	252.739	253.141	252.229	241.899	246.682	242.344	253.698	252.192	246.631	247.735	249.436
7	246.651	243.443	253.887	249.800	250.262	252.827	245.221	253.483	258.386	245.899	242.265	245.783	254.664	248.227	249.110
8	241.450	242.420	253.492	247.719	242.202	245.371	250.782	245.831	248.337	243.427	236.413	257.140	254.400	262.069	248.793
9	246.061	251.438	248.411	247.428	247.035	248.394	248.303	251.537	246.533	245.403	239.369	259.113	250.656	256.094	251.483
10	237.649	253.314	258.004	251.914	244.235	257.977	251.521	254.523	247.940	258.471	249.692	263.254	251.448	257.774	243.500
11	247.872	253.669	259.362	248.963	256.664	255.389	253.253	258.088	255.377	253.826	236.730	264.115	255.877	252.365	252.077
12	248.965	247.109	250.731	255.002	254.812	263.910	250.411	263.794	251.925	249.308	249.119	250.482	262.894	261.473	245.916
13	242.187	246.136	250.088	258.995	257.110	258.582	254.079	259.599	251.262	257.392	243.632	256.312	256.850	256.071	244.206
14	241.854	245.634	254.456	249.098	258.476	256.396	255.651	251.710	251.713	249.800	242.335	258.005	262.165	252.201	247.856
15	248.717	256.094	254.272	258.948	262.570	252.035	260.883	243.944	259.307	248.082	259.800	253.411	255.920	257.110	248.276
16	250.431	252.187	255.950	262.917	262.539	256.727	254.859	253.924	257.432	255.730	254.902	259.420	259.256	247.346	262.819
17	264.335	256.466	251.943	259.959	261.891	262.997	251.156	269.396	260.106	259.550	250.391	267.476	261.426	259.299	247.652
18	257.748	256.104	261.213	258.827	268.321	258.180	268.900	263.272	258.155	258.549	256.597	269.542	256.383	257.064	254.499
19	257.271	253.036	249.667	265.954	260.535	255.732	265.378	250.096	262.254	254.536	252.978	264.742	265.477	260.805	266.229
20	248.263	249.074	254.830	265.778	269.060	251.799	259.360	260.460	258.633	260.846	254.408	261.530	263.426	264.753	257.182
21	261.285	261.211	252.416	264.482	269.771	262.399	255.676	256.832	262.970	257.998	254.475	268.218	269.212	255.726	262.088
22	259.498	259.704	252.661	253.201	270.955	266.258	264.821	263.063	269.900	260.963	259.481	278.688	258.387	256.617	263.770
23	260.184	252.342	251.538	256.099	274.058	260.828	267.056	262.674	268.985	270.167	266.577	269.089	270.636	263.567	266.275
24	260.576	255.427	248.353	253.863	268.711	259.529	274.531	274.751	259.048	261.590	262.362	274.003	271.725	264.327	256.986
25	262.099	263.226	259.077	261.013	278.098	276.066	275.701	275.671	255.121	267.137	269.205	265.728	263.807	270.689	268.112
26	257.275	259.258	264.749	267.582	273.615	274.729	267.099	279.312	259.391	271.763	265.747	274.861	277.094	269.357	268.702
27	259.833	262.023	256.943	269.033	277.001	267.336	279.783	276.752	268.616	277.484	268.588	281.205	270.809	273.787	272.462
28	262.906	273.716	269.670	272.944	278.299	268.185	274.329	261.467	277.498	274.844	266.719	284.838	265.766	272.146	271.744
29	266.830	271.587	274.342	274.874	270.801	267.354	276.286	269.839	268.295	277.633	263.518	282.812	270.912	273.912	260.723
30	266.195	275.310	271.852	278.064	277.045	267.900	272.576	269.825	265.868	278.763	271.609	281.604	273.754	273.309	272.944
31	275.421	280.626	270.817	273.970	271.898	268.890	275.802	277.357	268.930	276.110	271.697	271.693	280.680	273.322	269.181
32	279.106	274.180	278.264	279.455	275.916	279.995	279.322	281.664	280.082	273.046	269.564	277.375	281.838	273.724	278.412
