 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
1	693.526	693.526	699.740	683.546	686.384	694.074	677.569	644.776	642.855	652.930	657.715	659.941	636.959	654.561	639.757	670.158	662.652
2	705.905	705.905	701.331	694.932	682.828	692.292	666.246	650.867	654.364	653.280	662.264	668.211	626.984	651.540	660.868	648.507	660.222
3	690.652	690.652	683.321	678.906	661.961	685.591	653.065	633.536	656.090	642.692	668.968	654.125	614.544	641.392	653.042	655.718	643.737
4	692.931	692.931	688.712	689.654	678.634	693.661	672.220	641.543	650.352	647.539	662.210	663.297	635.739	623.420	638.470	647.915	642.569
5	684.630	684.630	692.242	683.412	676.392	673.256	665.180	639.510	653.604	652.098	658.425	633.392	618.426	616.742	628.477	643.820	644.459
6	680.157	680.157	698.533	685.091	681.409	680.445	653.063	646.547	641.408	644.681	671.775	650.229	619.354	625.548	625.250	633.127	634.598
7	672.964	672.964	672.907	677.371	676.756	681.066	656.454	648.261	630.174	627.124	662.707	639.315	628.581	651.094	631.546	644.415	634.527
8	663.299	663.299	682.183	676.488	661.912	673.655	638.301	641.511	639.528	615.745	636.062	632.258	620.262	626.182	631.984	648.095	629.356
9	653.764	653.764	671.307	694.288	677.294	678.218	650.271	636.132	649.885	634.324	626.719	633.402	616.385	628.155	627.627	654.930	641.788
10	661.276	661.276	664.629	714.115	684.735	677.491	656.920	645.707	637.865	639.226	627.784	639.346	624.002	632.616	631.655	653.172	635.882
11	653.372	653.372	691.807	693.610	691.246	689.337	660.621	655.807	651.362	650.882	643.401	631.302	628.701	641.051	617.693	636.948	629.874
12	656.286	656.286	679.606	690.660	692.995	682.757	675.631	666.014	654.379	631.800	614.155	617.500	610.244	633.873	617.238	636.330	616.267
13	665.002	665.002	685.389	689.329	711.190	685.828	666.212	695.487	656.171	639.849	629.483	627.796	619.685	634.409	626.739	643.447	615.236
14	675.572	675.572	708.686	718.251	706.289	694.414	676.855	706.317	658.661	624.861	637.496	624.140	632.738	633.053	641.486	641.968	638.898
15	687.946	687.946	716.467	715.669	716.301	697.014	673.793	706.835	666.143	637.242	628.536	658.559	620.249	631.200	649.528	649.854	635.369
16	691.642	691.642	717.572	731.646	716.487	705.786	683.040	697.167	670.729	650.447	638.087	655.047	622.769	644.048	645.474	649.310	622.537
17	678.482	678.482	714.718	720.276	709.916	702.129	685.140	687.522	681.770	625.384	630.651	649.962	641.250	619.481	622.511	635.241	625.765
18	688.698	688.698	728.699	738.882	730.386	719.857	691.290	697.084	677.039	632.699	641.590	661.699	626.915	640.851	631.978	630.822	628.237
19	698.995	698.995	731.327	735.847	734.794	713.883	693.651	714.499	684.905	655.933	637.338	673.761	626.002	638.184	642.661	637.719	621.441
20	704.435	704.435	736.358	766.646	726.227	726.912	704.686	704.336	703.277	671.053	649.419	687.398	639.942	642.513	655.765	643.563	641.056
21	715.711	715.711	741.739	761.807	723.143	714.962	706.523	714.518	720.504	667.205	647.582	656.714	645.880	646.531	656.453	633.946	630.100
22	707.189	707.189	734.846	752.480	721.293	721.825	727.336	735.577	701.034	668.687	649.889	654.699	630.570	633.694	651.533	641.682	633.835
23	697.911	697.911	751.958	758.628	736.465	722.690	733.150	745.713	720.812	677.415	652.479	647.645	630.547	640.237	650.804	646.679	644.571
24	699.067	699.067	751.071	765.430	748.798	730.049	745.193	739.285	726.144	670.335	650.596	656.948	630.939	625.627	641.986	644.018	655.172
25	713.540	713.540	764.427	776.728	754.728	745.612	739.393	738.869	748.297	690.014	644.840	682.710	644.001	646.211	663.335	641.254	651.126
26	732.953	732.953	756.840	790.862	769.829	748.870	745.854	761.352	736.806	695.147	646.563	676.013	642.178	631.621	660.826	648.473	644.904
27	736.635	736.635	765.165	785.618	772.153	754.481	737.358	770.356	747.025	684.642	654.663	662.088	645.049	629.059	674.609	656.438	643.480
28	717.511	717.511	806.415	794.523	766.592	778.986	776.330	770.428	755.557	723.296	663.402	664.416	645.264	636.941	684.248	654.461	632.521
29	712.856	712.856	787.185	798.017	775.042	773.077	791.446	779.388	742.826	731.284	666.108	662.762	649.709	664.325	680.940	646.772	636.305
30	727.843	727.843	792.888	799.474	772.927	784.281	770.374	802.685	758.218	724.352	658.752	673.738	669.898	633.794	686.899	658.784	639.090
31	742.170	742.170	793.765	810.610	789.894	780.834	791.963	802.231	744.141	721.371	675.744	689.220	662.698	644.557	702.263	677.429	653.783
32	753.600	753.600	821.969	830.690	809.643	783.298	813.436	846.708	764.083	717.405	696.531	680.588	684.817	661.864	711.163	682.089	666.287
33	763.528	763.528	817.361	859.514	813.779	794.728	827.202	865.771	780.760	734.232	715.661	688.490	704.676	658.135	725.466	670.878	658.894
34	781.027	781.027	853.396	857.000	855.980	815.291	854.817	875.331	814.199	746.026	705.325	701.063	706.154	673.639	738.104	680.702	655.957
