 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
1	224.752	231.431	228.967	218.235	221.372	228.834	220.382	228.609	224.547	236.480	223.590	214.303	230.036	224.119	221.404	224.417	223.058	223.839	227.846
2	228.355	242.014	237.528	237.334	223.008	234.501	237.655	239.807	238.433	230.139	230.008	221.118	225.409	231.619	229.858	227.196	226.775	238.903	223.181
3	232.303	243.174	232.737	243.456	234.436	232.131	225.040	243.786	230.525	229.351	229.253	222.372	222.470	224.894	227.047	226.285	226.672	229.901	230.690
4	234.350	243.826	236.074	233.357	241.233	229.504	230.597	230.691	230.618	230.762	224.934	231.337	239.513	225.756	235.225	230.494	234.450	228.828	230.708
5	223.490	246.374	231.112	229.666	245.916	231.411	235.770	241.992	237.354	228.701	223.636	226.985	226.793	231.635	233.809	235.504	235.376	229.456	229.771
6	217.710	241.467	225.754	229.100	241.366	226.579	242.307	242.035	226.902	231.121	225.218	231.025	227.335	234.101	230.161	231.096	229.967	229.191	233.215
7	228.491	251.151	230.500	229.167	240.533	237.188	232.959	247.713	232.243	230.393	229.250	225.306	227.323	241.933	235.496	237.761	237.726	232.737	232.163
8	224.639	239.398	237.656	238.565	244.992	232.722	237.885	235.917	232.834	227.485	220.915	233.947	240.696	238.871	233.779	229.456	233.111	234.331	233.347
9	226.832	246.652	228.175	245.490	241.450	233.021	234.208	235.085	229.847	227.362	223.874	223.833	237.290	236.173	236.030	234.398	238.752	225.062	222.758
10	238.356	240.586	249.021	227.356	239.597	231.225	235.794	234.294	236.276	236.251	236.090	231.505	232.587	237.960	237.863	230.804	233.119	226.972	239.418
11	230.656	252.158	237.574	236.205	236.133	231.908	233.942	235.858	249.892	240.976	243.104	229.801	235.719	237.923	235.105	227.454	235.427	231.244	230.995
