 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4
1	420.000	420.000	419.000	460.000
2	404.557	404.557	468.774	403.939
3	459.757	459.757	444.174	430.643
4	481.600	481.600	475.643	510.226
5	422.278	422.278	457.513	485.548
6	441.783	441.783	400.870	509.522
7	439.687	439.687	438.957	494.217
8	494.000	494.000	443.130	466.391
9	438.957	438.957	437.861	476.817
10	428.870	428.870	493.296	465.409
11	501.000	501.000	497.217	484.087
12	463.670	463.670	469.122	454.565
13	488.887	488.887	409.983	455.687
14	405.330	405.330	433.322	442.217
15	440.243	440.243	467.226	480.957
16	460.261	460.261	458.130	490.087
17	419.870	419.870	518.800	468.000
18	412.809	412.809	457.887	398.191
19	438.574	438.574	452.617	504.217
20	434.713	434.713	428.235	455.835
21	472.696	472.696	409.739	466.130
22	442.739	442.739	429.722	477.670
23	373.965	373.965	435.983	483.957
24	476.600	476.600	401.600	496.800
25	468.713	468.713	407.939	510.904
26	479.043	479.043	417.478	466.652
27	452.000	452.000	408.270	529.748
28	454.052	454.052	452.696	465.965
29	450.887	450.887	436.157	524.052
30	471.383	471.383	439.026	523.226
31	397.739	397.739	469.652	495.652
32	467.278	467.278	450.783	555.496
33	479.765	479.765	482.565	492.939
34	441.070	441.070	443.626	494.174
35	461.148	461.148	471.026	547.835
36	465.739	465.739	499.217	531.609
37	420.904	420.904	459.348	530.843
38	492.061	492.061	499.470	560.400
39	535.887	535.887	470.148	552.583
40	512.965	512.965	490.983	513.513
41	502.913	502.913	464.957	557.043
42	496.609	496.609	486.904	546.809
43	483.078	483.078	509.139	562.383
44	453.835	453.835	493.165	549.809
45	499.530	499.530	463.626	534.913
46	519.217	519.217	499.087	549.478
47	502.600	502.600	511.000	485.800
48	500.304	500.304	504.948	510.417
49	548.730	548.730	512.652	572.339
50	537.530	537.530	501.374	562.704
51	539.435	539.435	548.696	539.043
52	566.983	566.983	556.174	539.426
53	571.583	571.583	530.148	543.878
54	581.991	581.991	516.113	550.052
55	547.070	547.070	584.748	555.791
56	556.913	556.913	514.652	493.957
57	521.913	521.913	581.957	484.209
58	502.835	502.835	533.113	488.052
59	517.948	517.948	490.522	475.522
60	509.791	509.791	544.965	492.078
61	508.652	508.652	478.000	463.304
62	450.383	450.383	465.574	403.626
63	511.078	511.078	426.800	431.096
64	470.087	470.087	421.670	396.965
65	465.817	465.817	449.339	383.435
66	458.217	458.217	472.391	365.391
67	430.200	430.200	438.948	402.722
68	409.087	409.087	412.243	367.687
69	415.104	415.104	447.713	359.070
70	425.800	425.800	443.000	409.600
71	374.565	374.565	452.913	356.087
72	409.113	409.113	438.565	385.287
73	326.748	326.748	437.574	385.852
74	373.139	373.139	450.104	372.809
75	368.496	368.496	410.861	373.809
76	409.261	409.261	423.565	371.652
77	377.278	377.278	400.539	374.530
78	369.087	369.087	437.487	358.470
79	358.957	358.957	419.704	341.957
80	425.130	425.130	423.678	308.687
81	367.435	367.435	407.043	378.391
82	373.052	373.052	433.791	296.078
83	390.026	390.026	393.757	331.478
84	375.470	375.470	434.948	305.635
85	351.774	351.774	362.991	370.757
86	352.565	352.565	392.348	336.043
87	335.565	335.565	370.513	313.391
88	355.748	355.748	372.113	323.409
89	338.539	338.539	340.765	305.252
90	363.061	363.061	328.626	327.235
91	341.174	341.174	317.130	332.870
92	335.157	335.157	338.670	298.191
93	346.800	346.800	334.800	327.600
94	337.922	337.922	331.130	348.730
95	343.096	343.096	323.722	290.452
96	318.826	318.826	340.478	341.087
97	337.357	337.357	330.774	313.878
98	316.565	316.565	338.539	315.287
99	324.600	324.600	329.191	305.852
100	395.957	395.957	324.687	292.296
101	330.391	330.391	310.478	311.957
102	329.835	329.835	296.139	323.913
103	267.922	267.922	316.983	294.809
104	295.896	295.896	282.043	331.052
105	308.000	308.000	339.922	266.896
106	297.565	297.565	310.609	312.870
107	282.252	282.252	279.643	304.870
108	315.913	315.913	321.261	304.165
109	299.061	299.061	289.878	283.643
110	285.948	285.948	258.870	268.191
111	256.913	256.913	267.348	266.478
112	307.861	307.861	299.513	257.278
113	294.496	294.496	281.757	313.930
114	290.243	290.243	292.070	301.548
115	269.209	269.209	312.739	240.478
116	277.000	277.000	277.000	260.000
117	411.564	411.564	417.246	405.249
118	395.154	395.154	416.256	414.254
119	379.274	379.274	392.543	435.074
120	393.609	393.609	383.177	427.055
121	407.880	407.880	400.907	408.053
122	399.177	399.177	374.072	430.585
123	412.231	412.231	368.906	428.040
124	407.557	407.557	392.965	426.183
125	399.067	399.067	412.480	471.891
126	413.852	413.852	407.259	477.778
127	416.002	416.002	438.894	456.254
128	432.158	432.158	434.488	453.551
129	471.258	471.258	442.707	447.294
130	421.196	421.196	432.188	491.272
131	421.784	421.784	427.098	454.526
132	413.892	413.892	433.677	460.089
133	421.857	421.857	425.703	520.125
134	444.629	444.629	469.501	522.111
135	416.975	416.975	443.547	533.294
136	412.240	412.240	467.640	514.600
137	458.437	458.437	464.132	524.338
138	470.496	470.496	492.357	551.185
139	480.711	480.711	519.651	546.832
140	498.557	498.557	523.149	532.976
141	492.806	492.806	530.273	526.356
142	505.982	505.982	551.964	549.633
143	519.730	519.730	560.855	536.102
144	522.517	522.517	561.714	515.245
145	522.734	522.734	540.358	524.576
146	516.201	516.201	553.476	493.267
147	502.922	502.922	531.669	490.217
148	509.926	509.926	539.888	504.657
149	501.077	501.077	537.816	497.416
150	503.384	503.384	482.217	501.705
151	473.667	473.667	534.333	481.000
152	503.169	503.169	483.646	454.678
153	477.591	477.591	503.596	476.716
154	513.182	513.182	485.517	489.168
155	514.965	514.965	509.830	519.143
156	491.193	491.193	479.887	521.702
157	480.691	480.691	449.039	484.189
158	518.607	518.607	461.954	485.509
159	489.086	489.086	439.574	517.747
160	483.597	483.597	480.702	527.710
161	494.641	494.641	469.544	537.335
162	492.898	492.898	466.817	518.208
163	490.045	490.045	491.869	469.862
164	496.624	496.624	489.284	482.408
165	484.878	484.878	491.598	484.502
166	479.987	479.987	484.213	456.667
167	492.525	492.525	470.785	478.914
168	485.260	485.260	498.682	474.089
169	480.324	480.324	500.725	521.677
170	500.959	500.959	507.872	544.001
171	410.591	410.591	512.714	544.233
172	465.014	465.014	519.022	481.704
173	513.462	513.462	521.437	463.149
174	509.554	509.554	472.319	526.297
175	526.164	526.164	508.092	519.212
176	513.370	513.370	487.370	534.259
177	517.304	517.304	487.986	514.944
178	502.325	502.325	482.805	502.061
179	474.431	474.431	494.507	490.545
180	473.763	473.763	475.641	492.190
181	505.280	505.280	463.120	485.800
182	517.722	517.722	468.933	489.411
183	482.319	482.319	466.254	495.310
184	464.613	464.613	506.546	482.038
185	485.538	485.538	490.478	457.440
186	474.396	474.396	503.816	514.030
187	461.463	461.463	507.005	499.078
188	481.980	481.980	514.818	436.163
189	454.469	454.469	567.605	466.656
190	488.349	488.349	507.254	465.443
191	485.313	485.313	481.778	455.708
192	500.748	500.748	454.717	451.225
193	475.463	475.463	470.055	451.798
194	484.878	484.878	466.046	439.302
195	476.906	476.906	483.039	457.771
196	461.293	461.293	484.307	456.253
197	476.052	476.052	466.703	485.417
198	484.277	484.277	474.267	492.749
199	455.002	455.002	478.690	474.576
200	459.203	459.203	473.148	480.373
201	465.519	465.519	462.667	485.519
202	493.987	493.987	472.628	479.735
203	477.496	477.496	445.642	465.671
204	433.617	433.617	441.299	459.831
205	460.116	460.116	461.801	491.254
206	495.890	495.890	452.319	539.855
207	459.907	459.907	454.253	478.126
208	512.448	512.448	430.318	439.946
209	463.639	463.639	498.377	488.180
210	477.206	477.206	483.757	481.498
211	493.867	493.867	473.733	471.947
212	481.083	481.083	479.186	458.114
213	482.760	482.760	481.428	460.416
214	460.387	460.387	486.753	486.355
215	452.346	452.346	477.977	453.894
216	468.102	468.102	464.879	455.833
217	467.707	467.707	480.477	484.149
218	450.265	450.265	466.402	465.969
219	457.186	457.186	470.554	442.238
220	470.269	470.269	475.758	434.579
221	468.621	468.621	449.080	486.684
222	483.500	483.500	444.988	497.584
223	480.592	480.592	511.066	464.520
224	455.444	455.444	441.879	454.031
225	453.758	453.758	448.226	474.623
226	449.000	449.000	419.000	560.000
