 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	336.000	336.000	365.000	346.000	342.000	331.000	317.000	353.000	318.000	435.000
2	350.235	350.235	348.399	334.859	329.735	345.571	331.772	356.671	354.877	382.670
3	347.207	347.207	364.989	355.941	368.839	342.393	344.817	355.573	360.958	376.591
4	335.535	335.535	372.892	305.908	348.257	359.188	358.149	336.215	374.729	387.146
5	342.074	342.074	358.713	345.081	340.623	346.013	358.873	381.730	322.060	383.285
6	353.766	353.766	340.102	348.750	347.432	333.687	347.155	377.096	366.773	392.899
7	360.319	360.319	344.948	327.849	344.660	351.668	341.831	348.937	368.311	377.974
8	331.730	331.730	345.151	330.839	323.725	345.081	334.674	359.382	356.273	357.341
9	332.434	332.434	343.233	334.269	333.973	330.802	304.941	390.969	345.105	366.743
10	364.212	364.212	326.981	317.818	357.577	329.338	338.036	338.707	333.850	365.739
11	359.578	359.578	349.278	326.593	347.669	357.516	332.471	349.885	341.198	360.383
12	357.542	357.542	343.777	323.125	354.593	356.938	341.269	377.714	346.215	342.908
13	346.946	346.946	370.553	324.248	363.558	355.510	328.253	382.436	362.953	343.518
14	332.015	332.015	353.264	338.492	347.533	334.665	316.714	345.648	336.533	342.982
15	329.121	329.121	342.709	346.274	321.774	339.276	341.664	350.134	363.832	382.025
16	318.645	318.645	334.342	343.928	330.034	354.233	331.198	345.676	364.020	375.615
17	334.237	334.237	357.790	313.108	336.217	321.899	308.140	311.886	358.940	381.052
18	330.461	330.461	340.743	373.228	327.292	322.877	339.908	354.601	369.871	344.846
19	311.002	311.002	318.023	324.890	345.026	313.670	332.753	327.532	336.263	329.162
20	328.159	328.159	330.527	336.885	348.743	319.670	337.880	327.611	331.469	329.951
21	320.600	320.600	317.505	327.206	357.492	359.514	347.044	356.002	373.483	327.012
22	318.846	318.846	357.491	316.997	321.836	338.587	340.223	330.991	354.870	343.383
23	322.908	322.908	353.137	325.453	332.192	344.985	332.819	336.835	357.269	331.701
24	316.106	316.106	355.695	327.669	347.967	340.550	348.761	339.695	345.035	327.937
25	343.223	343.223	333.038	362.788	359.924	339.030	366.507	338.729	341.984	334.401
