 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
1	287.000	348.000	382.000	318.000	317.000	330.000	330.000	335.000	313.000
2	324.959	345.088	338.513	349.446	331.334	346.754	322.682	323.444	350.998
3	328.272	354.554	351.036	321.672	333.089	340.443	330.373	332.531	357.346
4	321.062	343.690	373.431	338.870	362.827	313.391	357.770	313.615	344.724
5	338.567	369.383	351.315	332.434	364.760	330.701	376.616	316.270	344.262
6	329.502	349.489	341.922	340.685	345.809	342.390	359.754	343.383	346.613
7	317.393	319.964	338.238	354.162	363.997	326.821	350.661	353.027	336.255
8	346.719	354.592	353.665	364.557	373.573	327.795	346.835	359.688	340.119
9	351.590	379.318	333.958	335.066	347.353	335.905	363.505	376.290	375.151
10	339.598	364.662	305.891	333.898	337.216	305.650	340.891	291.635	363.109
11	347.241	365.750	355.727	328.866	360.120	316.564	356.394	332.448	329.917
12	343.900	384.864	360.497	351.709	368.583	333.297	365.298	339.545	331.026
13	334.473	346.477	349.765	348.396	385.661	342.597	355.897	348.507	382.626
14	335.313	369.029	366.783	355.801	326.621	354.902	358.749	346.837	345.318
15	337.717	361.974	316.382	356.961	336.009	324.405	343.457	345.688	361.355
16	368.292	393.084	334.800	352.766	360.585	359.700	346.554	373.305	342.334
17	368.810	383.466	337.840	365.124	367.430	320.168	353.174	372.966	339.474
18	364.585	360.330	355.807	346.653	397.063	323.974	366.395	379.986	397.831
19	356.501	362.372	353.454	368.483	361.493	352.662	351.775	350.264	347.259
20	343.662	368.679	353.118	384.168	370.574	349.977	352.671	347.248	360.496
21	346.193	339.229	360.271	408.524	401.067	371.761	359.078	384.881	336.649
22	350.662	362.509	340.742	364.795	402.820	337.537	365.256	359.857	354.227
23	360.267	389.693	342.895	367.691	388.996	349.394	345.320	357.781	371.516
24	365.852	384.863	363.167	350.448	367.020	365.815	368.236	385.725	393.146
25	396.517	384.879	397.317	378.626	378.921	375.581	351.022	367.534	359.514
26	376.850	382.166	398.439	382.318	381.133	366.406	354.346	342.771	345.610
27	364.405	433.974	369.916	374.268	390.624	343.583	364.659	355.770	370.938
28	336.428	393.257	358.982	360.866	345.627	362.009	347.980	355.987	359.966
29	359.273	389.281	355.689	366.235	360.600	369.530	358.530	367.490	351.389
30	382.380	384.673	393.447	357.243	399.957	370.596	404.960	404.624	352.119
31	381.882	395.814	377.465	359.624	398.464	371.317	398.038	381.590	376.939
32	354.019	413.775	387.846	392.278	389.621	374.852	368.743	357.900	369.561
33	344.754	391.362	371.709	381.553	387.958	382.300	380.662	354.747	369.082
34	365.727	360.282	377.375	380.278	394.733	386.965	363.198	383.728	367.146
35	391.224	403.107	362.564	413.266	422.525	392.327	365.088	348.511	421.599
36	362.066	388.184	383.731	379.223	394.526	396.363	373.677	379.053	382.466
37	367.196	388.985	384.227	370.622	373.970	400.334	371.036	380.312	403.055
38	355.496	414.377	388.580	353.458	404.847	396.254	356.673	410.217	336.533
39	379.919	394.885	385.795	385.125	382.749	382.579	358.902	378.226	385.585
40	390.273	403.424	379.276	402.944	375.887	358.577	387.182	391.892	380.005
41	407.237	431.280	348.265	396.440	424.258	387.224	388.064	361.175	375.193
42	382.825	409.847	391.217	353.383	452.031	354.934	387.997	375.540	382.626
43	415.732	391.333	379.499	394.918	393.928	381.574	367.240	380.382	396.188
44	399.841	440.453	361.035	420.373	383.086	395.852	376.424	417.019	392.873
