 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	260.000	260.000	271.000	239.000	242.000	229.000	255.000	292.000	233.000	266.000
2	246.951	246.951	267.179	249.095	268.804	257.919	265.404	243.168	235.305	254.572
3	248.284	248.284	263.719	257.568	255.382	262.856	261.021	248.537	229.109	243.540
4	256.147	256.147	263.821	256.032	234.421	265.632	252.516	241.432	225.389	231.600
5	248.130	248.130	246.281	252.818	271.516	297.312	246.460	228.768	238.119	238.039
6	250.175	250.175	248.456	238.404	254.754	262.877	252.596	238.561	249.737	237.754
7	247.968	247.968	249.126	251.874	274.242	259.200	258.653	238.095	250.684	244.095
8	236.474	236.474	241.147	263.347	283.653	272.095	256.175	223.063	249.667	243.337
9	228.470	228.470	261.705	245.484	266.772	261.007	250.333	248.912	224.940	216.319
10	225.484	225.484	272.358	250.263	234.000	259.337	253.926	262.232	248.358	231.379
11	223.684	223.684	245.281	259.807	245.246	269.912	233.982	241.807	251.825	260.860
12	230.488	230.488	244.740	281.340	265.688	266.747	247.309	247.491	244.632	283.260
13	268.526	268.526	209.632	273.053	258.716	244.811	254.526	258.432	241.968	257.000
14	268.039	268.039	233.225	235.333	251.168	271.968	250.095	259.119	258.168	270.495
15	264.632	264.632	222.295	223.709	236.582	265.098	251.295	250.677	269.133	243.607
16	251.368	251.368	223.895	228.632	229.526	260.789	270.263	240.632	259.158	220.105
17	252.225	252.225	239.867	240.498	219.796	277.211	261.846	262.860	243.060	247.253
18	257.123	257.123	241.105	231.502	240.396	255.575	243.923	251.368	254.674	246.986
19	241.705	241.705	263.221	238.674	255.947	246.168	240.684	243.242	259.242	233.337
20	256.467	256.467	243.600	243.667	242.667	252.400	254.533	250.667	251.133	236.867
21	250.368	250.368	235.351	241.123	245.789	238.561	266.561	223.702	248.526	241.930
22	255.632	255.632	272.316	249.842	246.326	220.905	245.884	251.295	247.305	241.653
23	240.898	240.898	245.421	241.842	245.442	235.695	240.228	229.133	244.193	226.274
24	258.404	258.404	244.130	245.032	235.954	243.091	242.046	238.989	235.168	229.614
25	229.274	229.274	276.316	256.000	262.674	254.421	253.863	250.126	223.432	229.421
26	245.825	245.825	263.316	238.281	254.175	255.544	259.807	240.982	234.684	252.474
27	236.172	236.172	248.733	255.284	250.737	245.621	251.035	243.632	229.877	248.712
28	263.474	263.474	210.305	233.221	242.032	245.705	249.958	213.863	235.600	215.895
29	255.849	255.849	235.400	255.733	255.298	242.786	226.368	247.632	234.958	248.993
30	225.133	225.133	245.691	256.039	239.818	254.323	227.614	248.330	252.449	246.993
31	217.000	217.000	247.053	254.842	266.421	255.105	248.158	236.474	246.684	243.263
32	238.028	238.028	217.274	252.046	248.319	225.253	239.547	231.098	246.095	236.993
33	249.439	249.439	237.316	248.667	247.186	228.249	262.204	232.509	241.982	234.881
34	254.189	254.189	270.411	243.547	255.389	247.621	249.505	234.263	249.674	248.211
35	236.435	236.435	230.754	228.200	264.235	240.207	243.600	256.028	244.375	269.765
36	242.018	242.018	216.544	233.895	241.825	255.158	253.193	272.807	231.281	269.632
37	248.632	248.632	240.726	230.200	244.863	232.358	263.242	234.747	254.337	237.084
38	265.414	265.414	221.863	235.018	249.684	257.523	247.993	263.804	265.758	249.407
39	262.467	262.467	218.067	231.467	234.400	256.733	249.800	266.200	254.467	243.933
40	252.021	252.021	228.316	231.653	254.505	245.011	224.832	258.379	228.642	237.937
41	217.000	217.000	219.632	244.158	248.263	248.456	235.947	246.018	213.175	217.649
42	234.982	234.982	236.832	242.793	228.249	238.618	229.351	261.291	224.053	225.589
43	248.800	248.800	239.084	253.379	222.968	228.084	232.737	229.926	230.895	224.326
