 	Profile_Slice_1
1	239.507
2	253.881
3	258.021
4	252.490
5	267.455
6	257.425
7	253.142
8	253.281
9	268.724
10	258.897
11	262.213
12	271.272
13	252.294
14	263.760
15	250.696
16	254.702
17	250.621
18	275.237
19	244.690
20	254.193
21	264.208
22	245.001
23	259.465
24	259.425
25	260.041
26	257.906
27	260.050
28	246.507
29	254.344
30	264.778
31	271.058
32	266.428
33	253.360
34	264.454
35	254.433
36	263.149
37	249.833
38	255.321
39	246.810
40	263.120
41	265.620
42	263.105
43	269.387
44	249.781
45	266.827
46	268.512
47	270.454
48	277.993
49	268.630
50	260.779
51	262.928
52	258.778
53	238.928
54	259.770
55	254.313
56	262.691
57	250.853
58	233.101
59	268.189
60	263.516
61	264.643
62	258.225
63	272.531
64	270.187
65	251.727
66	265.449
67	265.382
68	260.931
69	273.227
70	258.426
71	256.791
72	264.560
73	280.556
74	281.001
75	269.785
76	269.302
77	268.597
78	277.313
79	258.646
80	266.164
81	275.226
82	267.114
83	273.294
84	273.212
85	261.853
86	265.763
87	265.987
88	276.102
89	269.795
90	281.131
91	284.849
92	273.655
93	279.400
94	290.373
95	284.630
96	276.130
97	289.381
98	265.399
99	268.019
100	282.649
101	284.439
102	283.550
103	280.666
104	282.784
105	290.909
106	297.491
107	276.900
108	288.474
109	300.736
110	285.159
111	290.153
112	294.598
113	289.652
114	301.726
115	307.202
116	294.975
117	301.386
118	297.934
119	313.651
120	306.009
121	293.241
122	288.585
123	311.917
124	291.535
125	323.053
126	307.348
127	319.264
128	330.972
129	305.633
130	311.659
131	332.438
132	326.998
133	328.501
134	316.975
135	347.356
136	349.203
137	323.416
138	370.082
139	353.262
140	354.406
141	349.048
142	346.736
143	376.235
144	376.393
145	391.686
146	381.229
147	389.424
148	409.175
149	420.229
150	428.786
151	421.324
152	436.599
153	441.378
154	428.109
155	425.044
156	433.566
157	463.816
158	445.941
159	470.474
160	475.070
161	466.343
162	450.073
163	465.975
164	465.070
165	436.107
166	411.580
167	418.153
168	438.118
169	420.153
170	419.302
171	428.038
172	405.783
173	398.611
174	401.631
175	390.452
176	392.085
177	405.396
178	401.910
179	394.848
180	404.690
181	392.349
182	412.376
183	398.354
184	404.283
185	409.317
186	395.966
187	413.137
188	387.912
189	401.433
190	394.322
191	401.140
192	404.323
193	397.230
194	403.556
195	391.532
196	393.492
197	392.435
198	406.321
199	378.250
200	385.568
201	382.229
202	372.492
203	404.738
204	388.495
205	383.237
206	386.756
207	382.099
208	379.889
209	392.330
210	385.968
211	392.482
212	389.546
213	372.982
214	383.074
215	402.040
216	384.549
217	376.108
218	405.146
219	370.891
220	386.629
221	392.528
222	390.113
223	432.796
224	383.366
225	401.059
226	411.719
227	380.915
228	416.261
229	387.913
230	411.843
231	412.076
232	399.002
233	400.869
234	402.331
235	379.378
236	400.924
237	411.533
238	415.635
239	429.889
240	394.979
241	403.656
242	411.994
243	414.241
244	384.662
245	427.388
246	424.422
247	422.298
248	435.327
249	450.120
250	453.532
251	432.824
252	451.029
253	419.565
254	436.760
255	439.556
256	456.028
257	445.085
258	457.585
259	443.355
260	430.365
261	465.768
262	453.848
263	442.255
264	438.382
