 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5
1	257.931	257.931	243.366	244.257	239.690
2	248.044	248.044	251.002	229.915	246.028
3	243.556	243.556	247.830	251.864	251.300
4	246.347	246.347	245.560	247.714	244.999
5	249.648	249.648	244.526	253.625	248.262
6	251.638	251.638	240.847	241.088	244.084
7	248.557	248.557	247.859	241.351	244.573
8	252.160	252.160	240.730	250.255	250.866
9	245.349	245.349	240.033	250.272	242.432
10	248.138	248.138	241.165	247.977	243.424
11	256.404	256.404	249.241	248.925	246.170
12	252.095	252.095	252.232	251.909	258.018
13	253.483	253.483	249.011	244.507	251.074
14	248.230	248.230	252.108	246.481	250.608
15	247.749	247.749	248.899	251.172	244.167
16	257.326	257.326	243.140	247.969	238.375
17	246.656	246.656	247.987	248.317	259.465
18	254.094	254.094	243.997	249.093	251.603
19	250.613	250.613	240.806	244.133	243.616
20	245.084	245.084	242.946	244.864	246.785
21	241.771	241.771	249.345	245.085	251.388
22	246.599	246.599	245.441	247.508	252.733
23	250.935	250.935	247.891	241.173	248.478
24	251.600	251.600	248.260	244.462	244.176
25	257.115	257.115	245.523	244.532	256.154
26	257.183	257.183	248.570	257.205	244.127
27	249.149	249.149	247.243	251.006	250.088
28	253.234	253.234	245.974	238.510	243.775
29	250.641	250.641	240.054	242.192	244.183
30	252.036	252.036	246.904	243.626	248.517
31	252.126	252.126	249.355	247.445	251.573
32	246.195	246.195	247.665	248.861	242.666
33	253.244	253.244	242.750	242.465	250.499
34	250.696	250.696	245.757	244.723	245.438
35	252.137	252.137	249.104	246.346	241.074
36	245.358	245.358	241.668	250.807	252.432
37	245.525	245.525	250.311	246.808	247.850
38	243.916	243.916	243.136	246.575	252.010
39	248.557	248.557	252.273	240.809	247.593
40	253.970	253.970	250.851	248.401	249.032
41	255.504	255.504	251.103	251.353	239.890
42	243.945	243.945	241.066	255.675	237.255
43	253.921	253.921	247.119	256.973	252.186
44	253.977	253.977	248.168	249.708	251.504
45	246.258	246.258	251.013	243.805	252.951
46	242.484	242.484	245.952	247.606	255.183
47	248.527	248.527	246.556	247.119	253.665
48	245.179	245.179	252.374	256.097	241.276
49	253.369	253.369	256.646	250.396	242.081
50	252.334	252.334	245.995	246.799	255.929
51	247.847	247.847	242.406	254.491	247.219
52	254.450	254.450	250.356	250.309	246.660
53	250.828	250.828	243.783	252.115	241.366
54	243.494	243.494	258.590	236.477	240.728
55	239.612	239.612	249.201	249.541	244.846
56	245.401	245.401	240.353	247.939	246.920
57	243.964	243.964	245.233	247.772	242.431
58	256.393	256.393	246.688	245.744	244.233
59	246.140	246.140	254.358	250.411	252.937
60	247.659	247.659	247.731	242.125	248.766
61	251.290	251.290	244.780	243.508	244.070
62	245.749	245.749	244.341	246.961	240.892
63	245.489	245.489	245.920	251.616	239.242
64	245.816	245.816	246.013	247.317	240.008
65	248.949	248.949	244.161	247.610	247.845
66	252.248	252.248	254.471	252.031	260.334
67	250.279	250.279	248.435	249.541	254.708
68	256.280	256.280	241.079	251.435	251.760
69	256.700	256.700	249.030	251.696	247.368
70	256.039	256.039	241.536	247.888	248.101
71	249.993	249.993	253.481	240.398	254.835
72	246.226	246.226	257.845	245.867	248.816
73	258.406	258.406	255.602	246.446	255.236
74	254.603	254.603	248.562	236.925	258.008
75	253.204	253.204	257.297	247.090	253.240
76	248.603	248.603	255.932	251.255	237.884
77	253.184	253.184	248.185	252.010	240.365
78	249.326	249.326	252.481	253.520	248.752
79	253.199	253.199	250.397	251.173	246.479
80	255.110	255.110	251.725	247.915	250.833
81	250.986	250.986	247.070	251.495	254.748
82	257.888	257.888	247.611	253.323	248.875
83	255.703	255.703	251.799	242.307	249.457
84	255.379	255.379	248.732	250.018	241.013
85	258.298	258.298	248.966	253.857	243.362
86	248.224	248.224	244.667	255.492	247.332
87	249.640	249.640	244.170	248.500	252.229
88	238.324	238.324	254.236	255.067	250.709
89	248.509	248.509	252.255	252.762	256.938
90	260.189	260.189	247.348	244.711	245.406
91	255.070	255.070	243.184	246.907	252.418
92	251.504	251.504	250.103	246.942	249.177
93	256.013	256.013	245.127	247.809	248.339
94	249.399	249.399	246.622	252.506	255.408
95	244.612	244.612	252.038	254.855	250.313
96	246.265	246.265	250.374	254.401	248.573
