 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4
1	237.141	244.838	243.043	238.254
2	241.741	246.131	239.414	249.649
3	239.086	246.975	244.647	251.296
4	247.831	249.269	252.490	251.208
5	244.769	251.436	249.036	251.997
6	241.493	246.732	242.092	239.793
7	243.959	256.201	246.197	240.509
8	251.298	252.938	248.772	250.108
9	253.201	250.771	248.628	245.328
10	246.662	247.739	245.643	245.290
11	237.900	256.401	254.735	242.687
12	247.871	257.999	242.016	253.545
13	241.418	256.074	237.877	251.823
14	242.436	247.905	237.771	244.145
15	242.852	254.521	245.933	248.316
16	246.382	247.255	256.310	248.065
17	245.499	256.704	253.545	251.050
18	248.604	247.883	249.455	253.104
19	244.485	247.384	248.666	246.943
20	238.708	248.170	248.237	250.029
21	244.699	250.400	246.837	249.705
22	255.482	252.261	251.384	257.913
23	249.020	249.582	245.368	245.736
24	250.725	257.325	248.187	245.454
25	255.474	257.464	255.495	246.357
26	247.728	256.665	256.924	242.424
27	250.041	255.680	249.303	244.092
28	257.081	246.951	250.272	244.061
29	248.365	267.127	245.623	255.395
30	244.875	250.283	246.727	250.298
31	247.169	254.164	244.887	247.041
32	248.200	259.362	258.879	238.083
33	254.206	262.924	252.966	256.805
34	251.236	262.675	253.372	258.259
35	254.032	268.396	250.950	262.817
36	250.464	258.339	250.029	252.725
37	251.316	257.562	251.069	253.897
38	249.000	256.438	245.566	242.989
39	257.535	261.016	247.978	255.198
40	250.851	257.409	250.705	244.246
41	250.701	257.481	251.727	253.876
42	252.932	251.700	252.804	253.015
43	255.726	259.676	244.993	254.558
44	243.646	264.012	253.481	247.756
45	255.267	259.166	251.530	248.114
46	243.768	249.199	259.169	249.940
47	251.551	260.936	251.321	257.375
48	255.061	257.512	266.572	260.023
49	252.419	255.897	257.373	261.955
50	253.195	257.493	251.328	254.650
51	265.901	254.715	248.343	255.783
52	260.766	264.594	259.876	256.149
53	261.211	259.899	260.198	266.913
54	264.171	264.762	256.018	264.410
55	252.161	255.372	268.780	253.296
56	260.619	263.797	263.698	262.914
57	267.042	256.763	255.453	260.154
58	260.971	264.529	267.034	254.250
59	262.701	267.629	266.642	263.538
60	268.534	276.611	265.781	252.129
61	259.572	275.281	257.581	264.867
62	267.669	275.696	264.828	275.166
63	263.845	273.105	258.794	264.260
64	266.631	268.796	268.167	270.634
65	259.783	263.342	267.623	266.443
66	269.698	255.821	258.834	261.296
67	266.977	263.449	271.714	265.091
68	267.896	267.302	272.773	274.545
69	268.742	281.394	262.315	268.474
70	263.096	276.266	272.407	265.575
71	258.853	276.053	268.566	265.457
72	276.366	275.474	271.534	267.844
73	279.585	276.048	272.288	271.389
74	274.129	275.901	266.222	266.641
75	277.144	276.761	273.733	266.848
76	270.344	274.233	273.957	273.891
77	266.860	278.829	264.577	269.324
78	273.033	287.243	266.611	266.587
79	269.659	275.674	277.990	268.542
80	264.539	281.396	280.066	280.257
81	273.606	288.096	270.540	284.079
82	279.885	284.566	282.477	283.638
83	285.928	287.361	279.218	283.792
84	280.422	291.639	281.575	284.326
85	279.417	293.873	278.520	273.205
86	283.664	284.470	300.733	281.383
87	287.530	283.046	298.785	291.989
88	287.892	296.737	293.577	304.559
89	297.216	297.261	285.326	291.397
90	287.495	289.365	288.781	291.120
91	293.575	297.355	296.807	287.792
92	292.443	294.866	299.520	286.595
93	292.126	308.703	305.911	289.574
94	290.614	304.465	297.593	296.880
95	291.772	301.215	291.276	297.816
96	301.331	306.447	313.470	295.538
97	295.428	315.835	313.109	292.928
98	305.878	302.622	310.562	301.422
99	314.248	321.242	310.387	301.990
100	299.410	309.156	310.411	309.065
101	299.079	312.614	315.311	313.158
102	309.745	311.051	309.373	316.140
103	312.046	315.998	310.938	313.487
104	307.462	317.724	318.064	315.179
105	335.627	320.335	325.669	322.797
106	334.376	331.473	325.901	328.899
107	316.992	337.469	320.885	330.455
108	312.337	346.583	327.759	333.508
109	327.049	334.421	334.366	326.902
110	330.930	324.730	337.730	335.330
111	340.444	329.665	344.022	346.047
112	342.133	347.331	338.975	350.109
113	343.693	356.323	343.611	345.884
114	352.912	353.172	357.976	337.188
115	352.144	360.591	363.159	353.297
116	357.332	356.961	358.340	362.994
117	356.300	377.817	372.228	363.345
118	369.488	383.537	384.884	356.657
119	370.323	373.520	395.095	369.101
120	368.482	383.781	406.677	388.107
121	375.997	406.138	404.853	392.557
122	391.196	415.863	417.416	396.364
123	394.191	406.860	434.237	415.677
124	404.582	420.537	445.668	426.000
125	419.319	432.908	450.287	423.555
126	428.236	438.364	464.821	450.342
127	460.113	465.239	482.121	466.078
128	488.588	473.353	493.051	471.386
129	483.455	482.198	522.001	476.244
130	503.656	505.873	519.686	477.995
131	523.350	523.058	512.294	505.926
132	556.005	523.490	542.051	525.859
133	568.227	537.316	566.064	529.565
134	594.243	555.090	585.205	553.410
135	601.571	576.246	598.591	572.335
136	600.523	581.811	644.957	598.526
137	619.952	605.080	647.191	605.503
138	634.643	622.015	652.385	632.622
139	648.673	640.699	688.609	647.606
140	651.083	663.249	689.373	651.081
141	676.700	673.701	654.476	668.801
