 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3
1	297.627	297.627	280.005
2	291.144	291.144	284.216
3	295.798	295.798	279.153
4	286.323	286.323	282.976
5	288.332	288.332	281.920
6	290.868	290.868	279.359
7	279.753	279.753	278.868
8	289.125	289.125	283.103
9	279.771	279.771	279.111
10	286.293	286.293	274.326
11	284.552	284.552	281.388
12	282.962	282.962	277.611
13	286.599	286.599	275.326
14	282.312	282.312	280.275
15	286.628	286.628	271.948
16	291.102	291.102	275.348
17	283.630	283.630	282.370
18	287.193	287.193	277.101
19	288.492	288.492	274.555
20	281.696	281.696	275.667
21	281.445	281.445	280.971
22	286.148	286.148	276.622
23	287.582	287.582	270.905
24	290.254	290.254	273.920
25	283.912	283.912	271.849
26	287.697	287.697	265.571
27	282.665	282.665	263.918
28	285.492	285.492	266.714
29	280.927	280.927	267.813
30	281.975	281.975	273.432
31	291.303	291.303	276.326
32	281.306	281.306	275.270
33	279.047	279.047	279.708
34	290.741	290.741	274.458
35	284.315	284.315	277.729
36	284.564	284.564	277.015
37	289.396	289.396	276.981
38	280.650	280.650	270.111
39	281.273	281.273	269.028
40	280.983	280.983	260.077
41	289.867	289.867	273.359
42	282.926	282.926	277.580
43	286.121	286.121	278.762
44	281.446	281.446	271.636
45	283.512	283.512	272.320
46	287.677	287.677	267.485
47	285.220	285.220	270.873
48	287.117	287.117	280.146
49	281.045	281.045	283.889
50	290.728	290.728	282.361
51	283.019	283.019	276.130
52	279.313	279.313	277.939
53	291.185	291.185	271.621
54	280.323	280.323	276.425
55	289.994	289.994	284.941
56	284.940	284.940	276.824
57	286.927	286.927	281.618
58	293.013	293.013	282.142
59	286.881	286.881	285.145
60	294.325	294.325	272.589
61	291.561	291.561	270.174
62	289.583	289.583	273.586
63	284.163	284.163	279.231
64	291.750	291.750	276.683
65	295.037	295.037	276.848
66	287.460	287.460	277.801
67	281.368	281.368	279.295
68	286.774	286.774	286.030
69	287.142	287.142	282.500
70	281.476	281.476	273.555
71	282.221	282.221	278.721
72	288.184	288.184	273.478
73	298.943	298.943	284.244
74	290.016	290.016	281.364
75	301.232	301.232	275.710
76	296.804	296.804	278.581
77	300.547	300.547	279.582
78	294.049	294.049	288.546
79	298.710	298.710	283.352
80	294.446	294.446	274.320
81	299.120	299.120	278.948
82	294.670	294.670	278.545
83	293.852	293.852	286.909
84	289.991	289.991	279.466
85	283.851	283.851	278.175
86	290.353	290.353	289.265
87	291.092	291.092	287.450
88	295.463	295.463	284.518
89	281.945	281.945	289.360
90	296.150	296.150	282.745
91	300.077	300.077	274.886
92	291.679	291.679	269.275
93	285.935	285.935	276.718
94	283.122	283.122	283.828
95	282.223	282.223	273.126
96	288.581	288.581	282.651
97	281.530	281.530	278.262
98	283.645	283.645	276.612
99	282.337	282.337	278.532
100	286.761	286.761	262.046
101	284.128	284.128	264.315
102	284.717	284.717	265.656
103	279.938	279.938	267.875
104	280.458	280.458	270.566
105	282.108	282.108	276.740
106	279.101	279.101	267.877
107	269.100	269.100	265.253
108	281.537	281.537	269.207
109	282.721	282.721	268.633
110	275.503	275.503	266.626
111	275.393	275.393	257.159
112	274.455	274.455	275.870
113	257.700	257.700	264.417
114	272.316	272.316	252.893
115	264.564	264.564	255.405
116	269.666	269.666	256.422
117	265.159	265.159	258.707
118	261.050	261.050	263.224
119	264.136	264.136	250.273
120	274.096	274.096	259.245
121	277.998	277.998	263.106
122	266.479	266.479	260.007
123	261.527	261.527	255.491
124	267.587	267.587	265.820
125	265.527	265.527	260.746
126	258.951	258.951	259.002
127	266.770	266.770	257.463
128	265.780	265.780	261.139
129	251.837	251.837	243.947
130	251.723	251.723	255.094
131	265.017	265.017	257.985
132	259.505	259.505	256.540
133	260.499	260.499	260.978
134	258.693	258.693	257.011
135	253.799	253.799	251.543
136	257.014	257.014	251.868
137	265.214	265.214	254.838
138	258.833	258.833	249.113
139	265.800	265.800	256.570
140	263.345	263.345	251.571
141	259.622	259.622	250.049
142	260.868	260.868	246.410
143	261.083	261.083	254.758
144	264.455	264.455	246.915
145	260.202	260.202	243.810
146	262.266	262.266	253.504
147	263.871	263.871	248.761
148	259.472	259.472	242.519
149	256.079	256.079	244.124
150	252.418	252.418	244.462
151	262.267	262.267	246.576
152	256.715	256.715	249.323
153	254.753	254.753	254.841
154	259.408	259.408	250.639
155	262.207	262.207	248.933
156	254.514	254.514	248.729
157	257.645	257.645	246.988
158	259.296	259.296	251.759
159	254.866	254.866	249.460
160	246.072	246.072	252.439
161	246.336	246.336	253.529
162	256.834	256.834	245.567
163	255.369	255.369	239.309
164	257.620	257.620	250.880
165	252.345	252.345	243.617
166	255.068	255.068	241.976
167	247.602	247.602	251.805
168	241.725	241.725	247.178
169	252.539	252.539	248.364
170	251.543	251.543	245.748
171	255.636	255.636	247.147
172	243.791	243.791	252.493
173	256.591	256.591	249.158
174	249.692	249.692	241.851
175	247.466	247.466	237.218
176	252.997	252.997	236.511
177	246.767	246.767	240.804
178	253.258	253.258	242.005
179	253.064	253.064	244.286
180	251.838	251.838	252.535
181	254.196	254.196	250.015
182	253.386	253.386	240.355
183	252.815	252.815	242.546
184	247.463	247.463	244.927
185	254.562	254.562	246.916
186	253.883	253.883	245.558
187	251.686	251.686	243.063
188	248.900	248.900	240.870
189	247.881	247.881	248.666
190	245.227	245.227	248.995
191	244.321	244.321	248.462
192	246.987	246.987	240.256
193	250.789	250.789	235.617
194	253.805	253.805	238.046
195	241.209	241.209	245.911
196	239.363	239.363	236.173
197	249.638	249.638	235.464
198	255.116	255.116	239.636
199	248.427	248.427	235.598
200	253.474	253.474	237.342
201	243.987	243.987	240.539
202	242.092	242.092	240.019
203	246.342	246.342	241.415
204	243.315	243.315	244.184
205	240.697	240.697	237.518
206	240.752	240.752	235.486
207	248.390	248.390	241.038
208	249.973	249.973	243.238
209	248.047	248.047	242.125
210	253.159	253.159	244.726
211	247.258	247.258	235.037
212	248.071	248.071	231.765
213	253.978	253.978	240.841
214	255.618	255.618	247.620
215	246.708	246.708	246.281
216	249.717	249.717	240.929
217	243.536	243.536	238.501
218	244.835	244.835	237.852
219	255.686	255.686	239.079
220	252.566	252.566	235.853
221	250.846	250.846	247.860
222	250.733	250.733	233.336
223	243.989	243.989	229.571
224	245.300	245.300	233.386
225	242.396	242.396	240.385
226	247.370	247.370	236.677
227	236.151	236.151	236.073
228	239.371	239.371	230.349
229	237.860	237.860	236.126
230	235.629	235.629	235.660
231	245.793	245.793	237.958
232	247.129	247.129	233.540
233	236.781	236.781	239.007
234	239.886	239.886	238.680
235	246.189	246.189	233.453
236	247.968	247.968	233.201
237	247.227	247.227	228.667
238	252.211	252.211	233.725
239	246.873	246.873	237.277
240	246.209	246.209	240.049
241	246.449	246.449	234.606
242	240.945	240.945	236.023
243	241.479	241.479	241.036
244	245.210	245.210	236.675
245	235.699	235.699	236.184
246	241.838	241.838	244.608
247	245.437	245.437	238.123
248	244.302	244.302	245.867
249	239.731	239.731	238.359
250	235.720	235.720	239.101
251	245.971	245.971	245.611
252	238.783	238.783	240.995
253	240.630	240.630	236.173
254	242.677	242.677	240.160
255	246.435	246.435	238.681
256	247.069	247.069	229.983
257	241.709	241.709	235.744
258	243.078	243.078	236.648
259	241.626	241.626	236.306
260	238.802	238.802	242.132
261	241.920	241.920	235.955
262	245.017	245.017	228.164
263	242.889	242.889	239.332
264	238.240	238.240	228.466
265	239.013	239.013	243.361
266	247.227	247.227	246.928
267	243.320	243.320	240.132
268	243.504	243.504	244.230
269	245.905	245.905	231.142
270	249.734	249.734	246.803
271	244.607	244.607	244.701
272	242.750	242.750	245.689
273	234.204	234.204	238.093
274	236.706	236.706	234.824
275	241.815	241.815	229.286
276	245.127	245.127	229.440
277	245.605	245.605	235.260
278	249.837	249.837	235.467
279	241.781	241.781	234.688
280	231.940	231.940	236.606
281	242.036	242.036	235.414
282	249.763	249.763	233.426
283	235.032	235.032	229.788
284	245.527	245.527	233.582
285	244.755	244.755	232.993
286	239.964	239.964	229.417
287	244.568	244.568	229.773
288	238.530	238.530	242.172
289	240.822	240.822	225.504
290	245.864	245.864	229.427
291	236.170	236.170	235.816
292	231.925	231.925	234.421
293	238.341	238.341	230.783
294	238.256	238.256	224.666
295	237.659	237.659	238.161
296	237.549	237.549	236.178
297	237.824	237.824	240.935
298	243.188	243.188	238.695
299	250.008	250.008	240.442
300	248.757	248.757	232.507
301	240.413	240.413	226.058
302	236.671	236.671	240.498
303	237.027	237.027	244.766
304	243.669	243.669	234.223
305	240.941	240.941	238.752
306	234.829	234.829	234.276
307	244.190	244.190	231.638
308	243.497	243.497	229.482
309	238.901	238.901	232.909
310	238.389	238.389	235.635
311	246.124	246.124	236.318
312	240.735	240.735	236.717
313	239.261	239.261	238.745
314	232.124	232.124	232.920
