 	Profile_Slice_1	Profile_Slice_2
1	350.007	337.222
2	342.600	347.085
3	352.466	345.985
4	352.557	346.092
5	334.938	340.977
6	346.545	327.010
7	352.497	343.701
8	339.703	343.084
9	332.341	343.898
10	344.518	335.362
11	352.850	324.997
12	351.296	334.637
13	339.867	341.759
14	340.599	341.504
15	353.468	331.745
16	343.712	341.846
17	340.607	334.438
18	341.998	332.759
19	346.790	344.051
20	335.817	354.743
21	342.974	337.378
22	349.436	334.431
23	353.121	345.993
24	353.539	354.397
25	347.016	345.824
26	353.234	342.336
27	343.293	334.531
28	350.932	336.328
29	356.640	344.303
30	342.511	330.267
31	343.678	343.996
32	349.281	353.131
33	350.637	349.551
34	344.453	341.513
35	347.890	355.430
36	363.822	357.508
37	353.200	346.546
38	353.397	358.508
39	355.903	349.027
40	360.717	360.216
41	354.950	350.029
42	356.971	347.745
43	349.703	352.988
44	360.212	364.723
45	361.286	344.768
46	360.862	354.075
47	357.462	365.942
48	357.718	364.784
49	367.420	361.704
50	350.852	341.969
51	363.138	346.697
52	361.549	365.408
53	353.247	350.230
54	342.059	352.110
55	361.443	353.752
56	363.314	364.384
57	363.848	366.197
58	376.313	364.597
59	367.475	358.901
60	356.100	365.570
61	354.924	365.497
62	364.186	368.912
63	374.840	366.601
64	362.990	355.141
65	371.141	358.729
66	374.930	376.177
67	373.687	374.910
68	367.752	371.508
69	372.753	373.817
70	384.109	367.849
71	390.955	376.448
72	387.320	380.138
73	364.271	382.578
74	374.518	366.740
75	384.047	374.339
76	380.179	382.092
77	380.600	378.994
78	380.489	371.743
79	384.443	379.967
80	380.185	401.699
81	385.652	393.102
82	383.307	381.585
83	386.743	377.236
84	395.623	384.688
85	388.475	386.807
86	394.311	385.953
87	391.690	390.447
88	396.310	402.204
89	398.499	387.004
90	402.975	390.813
91	403.021	390.947
92	406.429	401.955
93	390.723	401.132
94	407.407	405.812
95	412.008	401.701
96	407.724	406.673
97	408.653	407.870
98	414.430	411.694
99	432.431	421.507
100	427.113	402.732
101	423.184	416.246
102	424.297	417.408
103	431.721	416.613
104	432.472	435.213
105	425.588	433.273
106	447.342	431.111
107	429.670	433.044
108	438.630	427.419
109	449.323	429.021
110	444.557	420.960
111	457.281	431.681
112	458.047	434.847
113	462.401	439.398
114	455.854	449.711
115	472.830	456.167
116	475.184	452.330
117	471.094	465.021
118	472.795	461.168
119	488.929	461.507
120	481.190	467.000
121	477.870	465.602
122	500.223	468.997
123	527.476	490.201
124	530.658	482.724
125	545.049	501.156
126	550.575	528.900
127	579.725	528.170
128	598.083	543.169
129	628.810	548.105
130	608.178	566.059
131	605.410	585.929
132	598.333	580.790
133	592.438	576.489
134	590.740	565.447
135	576.115	556.848
136	569.276	548.080
137	583.101	558.363
138	573.750	547.971
139	559.311	531.722
140	568.599	528.892
141	571.363	526.448
142	565.026	534.206
143	561.354	541.861
144	568.936	547.410
145	569.328	532.098
146	566.272	522.727
147	566.426	546.159
148	568.827	534.313
149	572.739	539.986
150	566.137	545.025
151	566.922	549.714
152	558.798	530.190
153	559.030	530.933
154	546.672	530.932
155	535.225	529.170
156	546.892	509.586
157	543.006	508.447
158	542.048	534.349
159	539.299	518.629
160	538.742	527.138
161	544.645	541.578
162	547.238	516.470
163	545.889	542.236
164	535.188	531.980
165	540.031	523.862
166	539.588	535.105
167	555.066	538.084
168	546.415	541.139
169	552.992	533.569
170	552.278	547.168
171	557.573	538.619
172	541.438	538.509
173	532.566	532.394
174	536.587	515.275
175	542.841	526.786
176	536.756	538.161
177	546.220	517.828
178	535.052	518.964
179	538.427	521.546
180	533.105	535.239
181	538.294	540.977
182	530.350	550.213
183	516.823	553.343
184	534.721	555.867
185	514.846	556.624
186	552.777	564.902
187	534.110	575.604
188	545.903	561.853
189	528.929	555.110
190	533.023	545.844
191	534.779	550.202
192	533.399	535.606
193	526.949	533.657
194	555.731	534.584
195	559.232	553.045
196	547.166	556.273
197	559.141	534.896
198	567.362	547.368
199	568.533	538.941
200	556.872	548.540
201	572.384	546.627
202	361.476	344.148
203	354.605	347.256
204	351.497	351.237
205	352.427	350.931
206	350.298	351.753
207	364.547	336.950
208	348.291	352.706
209	355.017	351.669
210	346.095	347.828
211	351.081	357.029
212	350.879	353.239
213	364.399	346.525
214	353.564	345.681
215	346.323	350.507
216	354.338	340.113
217	363.673	354.235
218	349.923	350.700
219	356.185	337.985
220	347.716	335.170
221	356.143	340.437
222	360.883	350.316
223	350.559	344.650
224	345.649	344.642
225	348.039	340.668
226	343.412	360.511
227	353.592	356.527
228	342.337	352.801
229	347.466	341.923
230	354.662	341.580
231	352.619	340.509
232	365.246	346.441
233	354.895	341.577
234	348.943	346.236
235	349.856	341.460
236	350.036	335.791
237	342.024	335.923
238	346.112	335.749
239	361.339	337.928
240	337.285	337.252
241	348.211	343.476
242	357.150	341.315
243	344.768	350.512
244	347.825	334.002
245	343.919	323.100
246	342.845	345.777
247	351.212	344.088
248	348.004	335.080
249	346.044	355.038
250	348.422	341.524
251	348.499	331.653
252	351.817	337.113
253	352.726	337.115
254	353.936	344.806
255	341.832	336.782
256	357.572	336.790
257	353.289	329.739
258	348.483	335.051
259	356.174	342.372
260	350.765	350.313
261	352.464	334.453
262	355.318	340.700
263	345.049	339.383
264	344.191	339.910
265	339.055	340.978
266	337.885	338.722
267	347.585	344.972
268	340.344	350.493
269	347.556	350.747
270	345.036	339.015
271	342.687	344.928
272	336.737	350.838
273	331.420	338.858
274	340.433	337.220
275	351.935	347.290
276	344.092	326.292
277	343.665	338.145
278	558.544	558.544
279	557.909	557.909
280	549.242	549.242
281	552.274	552.274
282	559.495	559.495
283	562.851	562.851
284	561.990	561.990
285	551.714	551.714
286	551.906	551.906
287	545.877	545.877
288	550.229	550.229
289	563.988	563.988
290	546.361	546.361
291	546.151	546.151
292	551.265	551.265
293	547.997	547.997
294	549.431	549.431
295	540.120	540.120
296	553.991	553.991
297	556.897	556.897
298	543.810	543.810
299	533.566	533.566
300	534.773	534.773
301	557.884	557.884
302	563.050	563.050
303	555.126	555.126
304	553.223	553.223
305	556.495	556.495
306	553.448	553.448
307	568.167	568.167
308	562.660	562.660
309	572.091	572.091
310	589.966	589.966
311	575.032	575.032
312	586.973	586.973
313	585.090	585.090
314	599.949	599.949
315	599.863	599.863
316	603.626	603.626
317	606.750	606.750
318	610.332	610.332
319	614.062	614.062
320	633.625	633.625
321	616.288	616.288
