 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
1	2135.513	2271.748	2265.788	2215.806	2211.587	2167.055	2276.111	2269.842	2189.333	2194.886	2182.884	2217.394	2124.645	2134.868
2	2111.878	2291.932	2221.515	2178.473	2232.039	2171.460	2238.818	2219.620	2181.813	2170.573	2152.970	2169.808	2106.410	2117.375
3	2103.702	2252.640	2226.193	2153.508	2220.872	2138.255	2217.171	2215.754	2142.134	2133.840	2166.660	2174.811	2116.789	2112.983
4	2083.645	2239.997	2227.869	2146.956	2208.633	2129.426	2215.629	2219.719	2129.960	2125.822	2153.166	2171.144	2114.107	2101.934
5	2098.208	2247.056	2188.718	2115.568	2156.351	2116.531	2187.310	2186.528	2130.481	2109.962	2123.768	2127.701	2094.448	2060.933
6	2078.311	2256.336	2204.193	2149.040	2161.936	2106.945	2164.668	2179.798	2115.920	2127.865	2092.585	2146.069	2088.028	2093.365
7	2049.886	2244.046	2194.143	2139.661	2140.627	2098.513	2160.926	2151.333	2118.853	2115.879	2106.660	2129.178	2049.421	2058.849
8	2044.378	2240.360	2208.210	2139.920	2151.406	2097.882	2171.970	2141.611	2098.787	2113.917	2102.256	2110.669	2073.872	2043.200
9	2042.275	2226.000	2207.029	2126.951	2151.616	2117.220	2168.969	2129.192	2094.348	2115.712	2102.549	2117.655	2075.212	2044.412
10	2027.690	2207.894	2182.287	2134.761	2145.911	2095.714	2182.479	2131.823	2081.217	2136.763	2078.354	2073.007	2068.661	2079.446
11	2015.574	2222.661	2180.317	2081.014	2148.077	2103.923	2156.905	2129.275	2075.820	2096.712	2080.217	2071.358	2089.810	2051.928
12	2002.820	2229.677	2146.138	2096.655	2147.059	2095.182	2152.885	2144.919	2079.218	2103.068	2071.447	2084.174	2091.531	2030.388
13	1984.276	2221.558	2150.257	2059.875	2141.251	2083.611	2134.030	2118.511	2083.287	2103.627	2043.212	2055.215	2065.946	1999.861
14	2013.503	2187.929	2143.869	2113.581	2147.317	2095.451	2181.742	2148.564	2080.663	2129.626	2064.190	2060.026	2052.016	2038.879
15	2015.169	2189.373	2134.797	2097.055	2145.269	2079.069	2144.982	2140.433	2084.350	2081.936	2077.590	2063.474	2073.114	2005.127
16	2004.782	2199.561	2136.789	2106.440	2096.104	2063.437	2144.731	2142.362	2077.687	2077.537	2085.016	2051.284	2043.219	2015.004
17	1999.641	2203.293	2144.405	2072.667	2105.989	2032.025	2133.045	2118.986	2077.057	2059.266	2069.927	2006.083	2033.040	2008.202
18	1988.139	2198.495	2120.996	2102.419	2111.608	2067.599	2114.470	2122.254	2082.611	2093.440	2081.268	2070.678	2043.380	1991.990
19	1990.399	2210.543	2109.408	2068.959	2115.942	2048.484	2136.259	2110.314	2077.599	2077.880	2083.334	2046.866	2053.758	2010.140
20	1981.631	2223.780	2137.503	2073.825	2141.926	2059.929	2118.949	2127.848	2073.188	2098.405	2089.974	2052.201	2016.535	2041.124
21	1973.456	2240.620	2163.789	2107.448	2127.340	2067.806	2147.715	2165.191	2073.916	2148.455	2060.270	2062.689	2053.778	2011.083
22	1983.848	2234.262	2181.383	2069.616	2122.482	2067.462	2146.722	2150.738	2100.958	2125.818	2080.856	2047.861	2037.301	2010.306
23	2000.154	2306.596	2140.112	2112.670	2161.575	2090.305	2131.453	2145.040	2132.568	2161.370	2087.818	2091.687	2049.098	2023.387
24	2028.669	2307.677	2192.676	2094.911	2145.770	2086.479	2169.873	2147.984	2150.059	2161.158	2101.950	2085.366	2044.555	2045.370
25	2006.555	2335.245	2229.654	2124.951	2151.856	2081.520	2175.237	2135.434	2132.475	2188.759	2085.643	2096.410	2046.594	2046.272
26	2045.178	2355.696	2239.860	2160.376	2167.765	2123.560	2203.034	2181.940	2174.939	2188.640	2140.824	2102.876	2076.725	2055.282
27	2035.690	2387.262	2257.001	2187.433	2198.979	2153.188	2235.387	2195.420	2191.868	2191.095	2134.009	2097.263	2095.920	2048.762
28	2035.348	2388.362	2334.478	2213.147	2213.105	2223.710	2283.364	2198.157	2191.717	2210.295	2112.300	2109.284	2107.928	2061.927
29	2029.458	2454.067	2318.167	2243.018	2266.595	2243.963	2323.222	2244.378	2202.186	2213.490	2131.153	2107.457	2085.652	2035.757
30	2059.801	2522.835	2347.472	2291.244	2299.768	2265.365	2328.118	2303.408	2235.190	2240.650	2132.318	2138.055	2067.664	2048.329
31	2029.227	2562.521	2398.887	2314.036	2321.489	2312.021	2361.835	2335.604	2214.193	2228.523	2170.066	2114.307	2086.163	2046.933
32	2034.399	2652.241	2449.752	2333.077	2361.018	2334.016	2403.434	2317.476	2238.947	2225.398	2147.775	2138.166	2101.256	2063.774
33	2038.163	2732.800	2480.579	2376.465	2401.775	2357.992	2426.047	2315.381	2237.088	2236.862	2153.014	2146.427	2083.546	2074.544
34	2055.207	2852.843	2533.273	2471.073	2477.681	2398.370	2445.587	2363.726	2266.440	2250.028	2159.263	2161.817	2093.824	2064.672
35	2082.207	2889.863	2653.699	2561.185	2536.795	2456.653	2505.344	2390.963	2295.475	2273.670	2158.966	2114.548	2099.169	2074.863
36	2089.319	2921.436	2707.198	2654.004	2599.651	2512.008	2568.238	2395.829	2323.497	2310.850	2181.572	2149.950	2135.931	2105.948
37	2104.573	2894.580	2743.904	2711.329	2717.701	2540.457	2604.084	2434.218	2375.601	2360.199	2177.832	2198.961	2132.627	2131.805
38	2163.391	2864.988	2766.162	2772.406	2756.425	2640.266	2656.939	2491.466	2394.042	2395.798	2220.900	2182.025	2145.075	2120.005
39	2202.889	2811.482	2731.482	2770.420	2807.531	2645.729	2667.691	2532.920	2423.645	2436.901	2269.510	2212.790	2169.985	2145.087
40	2228.039	2715.702	2748.836	2774.882	2840.150	2687.647	2667.829	2592.762	2452.116	2479.978	2274.290	2277.062	2214.208	2209.407
41	2230.039	2625.966	2694.329	2703.345	2815.454	2686.215	2655.358	2592.505	2446.169	2523.270	2307.688	2303.749	2266.343	2239.124
42	2257.043	2517.512	2597.274	2604.783	2739.622	2643.284	2620.495	2571.472	2423.926	2506.931	2332.475	2314.218	2254.144	2257.195
43	2245.784	2457.358	2529.448	2536.411	2663.374	2562.607	2582.877	2564.202	2423.697	2468.704	2333.928	2324.954	2272.102	2274.803
44	2219.842	2327.349	2425.627	2411.521	2546.791	2474.824	2489.926	2537.981	2409.160	2415.016	2343.755	2324.567	2235.003	2245.417
45	2155.277	2252.035	2305.332	2293.788	2421.795	2388.153	2410.480	2503.701	2366.008	2352.238	2306.778	2267.395	2188.505	2200.505
46	2123.566	2195.668	2230.703	2210.728	2321.791	2284.370	2354.786	2438.378	2252.060	2247.225	2236.430	2206.438	2150.064	2184.090
47	2108.927	2154.064	2167.003	2134.800	2242.557	2207.316	2272.588	2365.436	2191.164	2205.222	2170.766	2158.338	2113.200	2118.365
48	2071.025	2068.502	2094.539	2055.519	2180.249	2146.063	2198.678	2282.013	2123.296	2164.845	2090.232	2104.789	2062.520	2090.095
49	2009.652	2049.870	2014.214	2026.335	2099.658	2067.940	2145.516	2178.282	2066.251	2070.289	2042.009	2046.062	2001.933	2034.969
50	1936.254	2036.768	1996.570	1974.184	2063.184	2012.552	2096.475	2122.383	2013.091	2001.687	2027.717	1989.712	1988.468	1983.123
