 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	1330.266	1433.263	1396.116	1387.395	1379.042	1366.603	1332.299	1325.073	1374.130	1320.732
2	1339.674	1429.139	1414.870	1386.144	1406.185	1372.427	1331.836	1343.192	1359.970	1329.629
3	1336.961	1428.542	1431.901	1395.005	1414.259	1378.296	1339.888	1305.401	1349.330	1309.888
4	1358.703	1461.765	1413.280	1396.639	1413.162	1380.035	1368.529	1322.971	1366.414	1324.098
5	1365.632	1469.180	1428.290	1415.017	1393.680	1407.853	1370.257	1330.335	1343.465	1312.245
6	1363.334	1448.970	1452.084	1399.565	1407.480	1407.425	1376.913	1319.415	1362.066	1330.031
7	1381.747	1469.660	1438.380	1414.258	1401.324	1410.455	1387.000	1335.922	1368.677	1381.393
8	1383.721	1448.598	1448.970	1445.691	1418.286	1412.314	1398.381	1342.885	1369.783	1368.632
9	1348.494	1444.521	1469.341	1452.622	1418.430	1436.723	1400.732	1356.521	1402.100	1358.786
10	1376.785	1479.421	1456.493	1447.918	1428.561	1427.637	1398.509	1349.006	1378.661	1369.375
11	1359.888	1465.774	1474.618	1462.733	1418.740	1467.763	1414.643	1361.549	1394.410	1388.906
12	1342.026	1473.906	1492.917	1456.871	1483.199	1464.010	1431.205	1361.406	1407.907	1369.605
13	1359.816	1497.993	1499.424	1448.615	1478.373	1485.693	1465.106	1379.229	1404.800	1389.237
14	1339.585	1486.153	1472.460	1469.742	1472.158	1483.243	1461.784	1392.750	1419.886	1361.905
15	1342.459	1529.936	1501.569	1488.543	1474.757	1524.696	1490.497	1397.477	1453.298	1361.978
16	1349.269	1529.033	1544.183	1503.005	1514.444	1524.294	1504.140	1438.736	1446.065	1364.427
17	1370.636	1572.940	1545.880	1530.125	1538.373	1529.480	1545.583	1411.089	1461.392	1363.972
18	1369.009	1608.738	1567.186	1560.456	1570.677	1570.901	1557.864	1434.441	1466.041	1365.982
19	1364.074	1619.164	1600.700	1549.224	1561.445	1585.838	1574.844	1442.735	1449.409	1385.682
20	1392.374	1673.980	1618.856	1551.059	1607.423	1611.226	1605.630	1450.987	1475.784	1384.091
21	1386.770	1696.334	1704.764	1609.078	1641.885	1684.179	1644.155	1465.521	1491.532	1403.701
