 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
1	520.756	498.662	494.425	502.027	518.457	512.550	528.681
2	516.587	504.744	507.674	509.630	526.152	518.388	521.626
3	502.747	490.635	511.093	515.386	512.320	524.927	528.088
4	503.331	504.131	508.242	503.122	520.727	521.695	528.245
5	519.506	506.632	496.095	501.655	515.406	529.374	516.260
6	522.202	508.214	498.588	520.085	513.926	529.032	524.803
7	518.979	508.762	505.988	526.661	517.603	527.451	522.705
8	523.574	516.346	497.676	520.871	522.213	521.968	518.189
9	521.377	497.592	496.019	512.351	507.133	511.252	515.358
10	515.238	513.153	501.944	509.198	519.173	515.436	520.814
11	532.905	510.780	503.633	512.495	506.016	511.166	527.546
12	521.478	494.655	499.365	510.732	512.000	513.364	522.309
13	531.144	514.318	503.297	518.878	516.798	514.431	519.077
14	525.628	511.287	506.010	493.396	509.996	519.919	522.606
15	530.120	509.080	498.906	525.003	525.867	519.526	512.809
16	529.255	511.801	503.746	529.644	522.262	535.851	520.660
17	525.129	513.779	511.225	519.161	522.473	522.548	520.495
18	524.587	512.295	515.149	515.089	522.762	516.258	528.991
19	519.923	511.935	508.123	528.684	530.639	521.398	524.563
20	525.013	509.920	510.934	525.878	529.894	525.376	536.161
21	519.545	502.678	512.438	521.144	528.365	519.894	522.685
22	521.289	499.293	506.983	510.389	522.981	531.018	527.915
23	519.426	508.190	516.582	511.378	525.115	530.235	525.048
24	516.538	509.338	516.019	521.600	507.936	532.065	532.775
25	521.714	504.207	511.381	520.777	524.277	534.708	536.525
26	527.762	513.193	500.637	521.944	521.676	521.442	525.010
27	525.075	505.118	510.068	522.847	524.100	525.372	531.533
28	525.383	502.493	510.984	518.745	521.331	520.653	533.141
29	523.655	498.440	511.200	529.777	530.666	526.429	540.430
30	531.160	511.500	509.177	517.960	520.727	524.874	543.993
31	526.236	513.094	517.878	528.963	517.456	536.188	525.480
32	531.127	521.295	513.360	531.610	522.086	528.707	524.086
33	537.228	512.748	514.236	533.305	514.036	528.129	526.851
34	530.458	510.550	507.264	523.722	514.854	535.247	535.897
