 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13
1	579.029	579.029	532.339	519.531	532.322	539.212	528.647	522.137	515.509	511.333	530.037	531.390	532.390
2	550.877	550.877	529.570	530.316	540.881	536.953	531.451	527.744	513.867	533.960	545.104	536.034	524.159
3	554.154	554.154	519.971	517.218	541.663	533.975	530.085	521.471	529.256	531.588	535.856	530.518	525.688
4	548.586	548.586	512.699	517.106	517.136	527.968	518.249	525.244	519.385	528.672	531.655	542.474	516.910
5	540.074	540.074	519.778	522.207	536.214	516.616	529.830	523.771	537.414	512.353	531.466	541.187	528.225
6	540.400	540.400	508.735	526.839	535.541	524.939	524.566	538.091	523.809	514.372	538.899	537.821	534.180
7	544.947	544.947	507.852	521.946	526.061	526.600	530.928	524.072	524.658	525.767	540.066	533.791	527.979
8	541.097	541.097	505.361	506.355	515.912	529.774	524.401	522.548	519.417	520.310	527.461	529.770	532.007
9	547.458	547.458	514.628	506.839	527.603	523.841	525.989	539.385	524.579	528.207	534.658	527.874	537.529
10	545.051	545.051	514.859	516.963	518.199	509.332	523.895	527.058	522.045	528.932	528.724	527.633	536.830
11	543.380	543.380	518.148	510.266	519.295	528.857	525.833	535.987	520.845	514.073	525.468	532.602	515.342
12	541.017	541.017	501.453	503.976	508.904	526.547	521.127	531.448	521.232	526.360	530.227	516.875	528.156
13	546.181	546.181	505.668	509.997	502.742	523.629	510.823	517.267	519.178	512.979	522.985	518.430	530.241
14	534.027	534.027	514.241	517.030	508.054	514.441	524.042	524.271	527.524	516.517	525.974	514.372	534.159
15	534.640	534.640	492.393	513.461	516.480	515.895	516.603	531.370	522.895	534.236	518.855	515.220	528.642
16	531.377	531.377	513.189	516.287	512.987	520.911	512.416	524.888	536.839	537.169	517.823	517.884	519.351
17	525.440	525.440	505.909	506.552	508.143	531.578	526.545	515.448	528.541	526.653	520.160	512.107	508.503
18	533.430	533.430	512.731	516.476	510.750	535.305	520.455	527.561	527.995	522.869	512.929	516.211	507.230
19	530.796	530.796	509.147	530.552	520.312	538.084	528.276	536.377	513.969	516.919	517.389	524.054	517.792
20	536.837	536.837	503.959	523.125	513.808	527.750	528.137	522.705	523.113	524.065	522.006	515.200	518.652
21	545.869	545.869	517.590	520.032	518.590	519.739	533.567	514.001	515.302	520.666	519.210	520.588	519.539
22	549.479	549.479	515.094	512.794	513.256	521.624	532.701	526.428	511.105	516.532	523.682	517.492	507.806
23	537.755	537.755	496.449	511.869	511.222	531.707	530.938	524.170	514.517	523.255	513.362	508.394	515.019
24	535.673	535.673	503.784	517.153	522.554	539.293	522.319	528.195	513.642	526.815	513.528	511.755	506.461
25	540.859	540.859	507.484	517.021	511.838	527.145	511.257	516.586	516.490	522.068	526.004	522.463	510.223
26	531.086	531.086	512.324	507.940	514.026	529.402	524.225	518.162	514.711	517.443	526.564	523.658	516.261
27	518.262	518.262	510.607	516.897	516.456	523.924	517.701	515.916	514.208	508.933	520.513	516.655	510.160
28	519.573	519.573	505.804	520.438	509.714	522.683	517.224	513.244	521.075	516.245	526.687	507.053	499.775
29	523.797	523.797	516.528	511.055	498.082	531.542	532.443	508.540	515.555	517.393	524.505	519.913	517.832
30	519.274	519.274	507.850	507.586	524.789	524.956	527.533	517.089	521.412	526.426	521.305	515.615	513.791
31	522.629	522.629	510.487	511.143	503.642	516.732	516.966	516.864	521.373	519.244	521.556	520.371	510.056
32	536.286	536.286	514.728	512.933	511.978	519.708	522.009	516.433	507.536	525.763	513.156	528.626	506.934
33	532.083	532.083	512.186	519.097	520.148	519.524	524.529	517.887	524.477	511.343	520.539	512.158	507.359
34	524.045	524.045	516.933	508.838	523.191	524.324	518.975	505.960	511.669	521.121	506.595	521.414	500.303
35	531.256	531.256	517.249	511.229	521.444	519.091	513.273	522.784	514.197	532.151	515.454	514.362	505.773
36	533.090	533.090	521.572	506.051	514.164	520.481	527.658	528.656	522.915	519.797	519.422	521.398	498.909
37	527.554	527.554	517.948	516.109	514.665	525.624	525.794	525.151	510.170	516.366	518.403	517.045	488.272
38	526.468	526.468	499.498	512.210	511.055	516.665	524.965	512.892	518.592	506.349	506.308	515.987	487.590
39	543.166	543.166	499.904	516.315	513.987	519.686	512.658	519.267	511.151	504.030	495.548	508.800	499.853
40	533.591	533.591	497.644	503.633	521.239	509.449	521.407	509.099	507.094	514.619	500.290	504.183	506.543
41	528.319	528.319	505.583	509.603	528.016	509.700	517.993	513.035	507.359	523.351	500.769	502.515	502.546
42	535.385	535.385	512.143	513.474	517.626	507.436	512.065	519.662	502.428	509.461	502.613	509.287	507.506
43	530.961	530.961	507.663	502.334	521.315	511.922	508.378	511.232	501.256	513.058	504.925	506.325	500.472
44	531.538	531.538	507.785	506.479	517.244	523.448	517.115	498.765	509.314	510.110	510.370	508.787	501.161
45	534.744	534.744	495.540	510.178	524.605	514.860	520.475	499.747	504.706	508.284	500.768	509.422	500.716
46	516.347	516.347	504.704	512.845	520.473	510.935	508.224	514.606	504.737	503.973	495.447	498.599	491.599
47	506.954	506.954	505.147	515.132	524.304	504.494	508.357	504.025	505.538	504.210	489.119	500.193	495.695
48	514.545	514.545	498.197	515.183	515.994	500.262	512.066	507.282	503.619	502.297	489.072	507.075	500.725
49	518.526	518.526	503.380	512.095	510.905	510.141	522.579	507.259	498.114	514.414	498.527	509.704	497.483
50	518.520	518.520	502.968	507.287	509.134	517.213	506.075	508.686	503.676	511.584	505.785	506.239	506.919
51	507.477	507.477	493.161	503.410	511.319	505.432	502.352	510.724	505.598	508.034	491.292	501.946	494.475
52	520.327	520.327	493.282	507.264	503.092	509.304	514.948	509.500	509.649	505.750	502.817	514.021	498.082
53	514.482	514.482	497.042	488.856	494.997	516.237	516.448	502.545	497.368	504.856	502.098	510.305	508.015
54	525.491	525.491	502.983	489.331	518.873	514.162	507.650	505.120	497.760	508.440	495.676	506.440	500.819
55	515.584	515.584	487.964	489.073	511.160	509.375	501.497	495.030	502.474	517.144	497.291	502.835	493.173
56	507.024	507.024	491.462	503.202	494.903	506.955	517.496	489.186	494.859	510.788	509.656	506.941	503.005
57	511.863	511.863	486.857	498.211	498.656	500.671	505.363	503.700	504.153	507.971	505.103	508.000	489.923
58	518.600	518.600	486.399	492.531	502.691	503.713	506.632	506.474	509.246	501.727	507.815	496.084	486.956
59	520.019	520.019	493.792	490.694	500.701	504.371	499.520	511.630	504.256	512.013	504.101	499.245	490.851
60	507.594	507.594	504.030	485.498	496.489	495.309	509.125	495.240	499.166	494.317	507.886	500.223	489.151
61	504.566	504.566	490.125	490.154	489.723	503.130	513.569	502.846	500.610	508.339	497.138	508.454	494.283
62	510.894	510.894	480.497	498.855	496.303	511.755	505.210	507.146	506.198	515.756	490.839	509.209	492.100
63	497.423	497.423	472.906	499.966	502.089	509.242	498.757	508.719	509.667	507.385	490.677	501.734	494.552
64	497.350	497.350	489.476	489.826	487.357	489.888	503.313	500.071	517.234	487.344	504.200	492.320	496.476
65	509.428	509.428	493.071	493.929	485.714	494.584	495.766	491.710	501.913	499.967	499.767	495.053	494.809
66	488.953	488.953	480.844	487.303	480.262	496.716	502.076	489.990	503.062	493.880	495.232	488.193	493.164
67	497.752	497.752	472.923	481.558	482.765	491.640	493.944	501.899	498.275	491.313	502.129	492.017	497.127
68	501.188	501.188	488.381	483.471	485.920	501.055	506.161	497.733	506.166	492.624	501.560	494.391	491.969
69	507.378	507.378	481.370	489.029	483.092	500.684	489.458	498.139	492.694	492.588	500.106	499.022	492.384
70	498.783	498.783	478.073	490.904	486.167	489.854	499.347	502.919	490.929	501.300	509.224	499.650	496.976
71	498.932	498.932	479.345	485.176	492.574	486.497	511.125	498.258	498.014	502.582	493.094	494.245	496.314
72	495.880	495.880	478.200	476.907	484.807	494.963	500.221	496.625	493.533	507.080	503.602	502.441	497.417
73	500.442	500.442	494.102	493.761	489.851	498.667	494.212	510.838	509.106	496.494	501.624	505.432	497.163
74	500.855	500.855	503.203	497.976	488.513	493.847	499.313	510.880	501.359	503.627	497.840	509.898	487.127
75	512.857	512.857	500.636	499.786	505.229	505.233	505.912	499.389	502.626	513.739	497.005	490.392	502.067
76	510.033	510.033	484.922	485.365	481.673	499.587	506.934	488.201	511.785	505.971	495.296	495.406	492.190
77	507.729	507.729	490.915	490.018	486.148	501.762	492.242	504.003	510.466	489.188	503.048	501.570	495.840
78	501.107	501.107	496.838	495.375	507.692	491.258	494.770	503.148	493.231	501.519	495.567	497.140	479.619
79	498.148	498.148	484.202	498.137	483.313	498.207	487.076	499.313	499.903	502.681	490.573	504.042	498.458
80	502.107	502.107	480.040	496.174	483.118	483.897	489.442	505.171	492.544	495.635	490.259	491.997	499.976
81	508.688	508.688	483.504	501.469	499.741	493.372	499.291	498.134	487.667	490.723	485.437	486.984	482.321
82	503.866	503.866	494.089	488.415	486.918	494.047	503.964	505.190	487.089	489.784	475.529	494.646	485.021
83	504.708	504.708	487.869	494.065	498.550	488.881	492.189	507.443	489.846	495.699	488.954	495.837	479.681
84	508.038	508.038	482.604	500.292	493.412	488.653	487.143	494.575	498.141	495.744	491.675	479.553	489.828
