 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
1	1829.960	1634.953	1812.530	1814.330	1804.804	1829.821	1799.860	1737.446	1758.189	1871.366	1859.442	1910.852
2	1835.345	1612.453	1795.156	1787.534	1787.276	1822.450	1794.818	1710.847	1734.394	1860.755	1870.260	1915.935
3	1824.534	1587.723	1776.267	1759.031	1806.617	1796.737	1789.050	1687.480	1743.681	1840.429	1848.748	1888.239
4	1838.466	1601.082	1787.671	1739.259	1797.085	1793.606	1783.502	1693.569	1758.854	1833.019	1847.734	1872.353
5	1800.180	1576.238	1776.128	1739.349	1794.915	1791.438	1771.080	1700.260	1729.492	1820.103	1826.839	1860.559
6	1820.014	1559.453	1744.727	1747.505	1783.916	1757.322	1775.922	1721.126	1731.966	1803.999	1835.690	1861.418
7	1806.296	1548.730	1714.431	1718.388	1765.388	1745.915	1768.993	1699.250	1721.758	1792.201	1823.067	1845.268
8	1814.774	1575.204	1687.583	1696.812	1753.992	1761.532	1761.883	1703.563	1728.624	1781.786	1805.010	1824.543
9	1795.991	1548.401	1685.712	1672.851	1746.121	1728.496	1722.217	1672.427	1714.783	1767.136	1787.624	1819.217
10	1789.745	1556.076	1663.537	1658.957	1728.324	1688.357	1705.492	1677.867	1710.095	1737.820	1751.034	1800.774
11	1797.458	1555.629	1654.680	1611.163	1681.122	1665.874	1677.298	1673.961	1686.110	1717.181	1739.514	1765.343
12	1783.848	1551.648	1654.076	1587.139	1644.672	1646.413	1632.460	1649.038	1662.717	1685.499	1739.929	1730.355
13	1777.409	1540.759	1631.310	1568.956	1633.373	1629.151	1630.391	1635.490	1617.570	1654.788	1729.570	1738.751
14	1741.386	1531.212	1627.256	1533.340	1609.138	1622.704	1599.356	1637.723	1618.220	1653.256	1693.983	1724.498
15	1746.702	1555.029	1633.421	1536.241	1577.956	1599.594	1610.015	1612.063	1607.750	1663.545	1669.643	1674.941
16	1727.329	1559.158	1606.105	1560.348	1584.350	1592.371	1597.452	1598.384	1635.254	1620.751	1653.603	1663.244
17	1684.872	1565.447	1615.546	1559.508	1553.693	1614.240	1609.166	1568.216	1597.813	1599.536	1613.618	1655.318
18	1687.352	1557.915	1622.256	1572.805	1563.607	1567.876	1584.211	1555.867	1589.068	1596.374	1606.203	1634.992
19	1669.566	1544.233	1628.982	1590.606	1558.731	1572.719	1594.553	1564.999	1579.062	1593.154	1602.643	1602.875
20	1667.671	1544.836	1635.644	1614.169	1577.682	1597.387	1601.147	1546.394	1571.941	1603.492	1616.608	1584.308
21	1651.722	1504.606	1609.892	1606.047	1594.101	1592.076	1587.447	1532.214	1582.701	1598.494	1573.960	1587.370
22	1611.225	1504.444	1613.257	1604.600	1585.814	1555.506	1590.269	1566.967	1569.071	1603.808	1573.876	1565.245
23	1625.877	1518.165	1605.751	1627.062	1587.845	1594.978	1603.875	1582.472	1579.735	1609.289	1569.159	1581.923
24	1600.862	1526.098	1598.260	1632.740	1588.923	1586.249	1589.442	1569.420	1577.687	1603.958	1577.400	1583.393
25	1588.637	1503.230	1573.032	1608.824	1577.598	1564.280	1579.994	1588.311	1585.906	1596.800	1576.524	1567.459
26	1567.111	1532.075	1570.091	1578.066	1592.931	1577.751	1586.489	1586.430	1575.959	1595.289	1570.623	1551.062
