 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
1	498.786	498.786	503.865	504.644	507.304	490.972	512.508	504.504	484.936	498.904	518.295
2	484.302	484.302	501.202	505.722	502.194	497.882	497.444	502.920	494.061	510.437	511.358
3	498.251	498.251	504.812	495.818	507.872	504.049	507.152	504.634	502.424	511.711	510.024
4	489.963	489.963	491.847	511.432	498.843	502.319	501.449	505.108	507.964	495.093	517.436
5	497.326	497.326	497.427	502.329	505.102	511.496	499.788	505.420	501.893	506.948	513.054
6	479.977	479.977	493.353	505.677	507.185	502.502	511.431	511.442	504.685	513.637	526.723
7	500.082	500.082	496.112	496.794	510.703	497.149	507.647	505.997	507.824	505.268	517.374
8	502.899	502.899	495.932	504.264	508.356	503.503	510.961	513.546	517.348	510.070	504.673
9	487.904	487.904	493.516	492.694	515.647	502.408	515.705	521.122	502.202	504.528	519.089
10	488.394	488.394	492.671	498.851	512.398	502.133	506.842	512.635	504.090	507.473	514.522
11	496.474	496.474	503.372	510.744	509.931	494.054	506.694	516.869	497.609	514.524	518.530
12	497.781	497.781	506.348	489.703	502.873	505.132	501.575	514.505	497.701	504.123	521.628
13	501.280	501.280	504.534	508.867	503.983	490.255	504.768	513.857	492.146	505.650	515.128
14	500.429	500.429	510.777	511.514	510.569	507.595	512.040	507.767	503.306	508.147	508.340
15	484.557	484.557	500.761	510.727	491.231	508.175	509.606	509.188	494.635	509.171	507.210
16	486.157	486.157	497.910	511.507	497.734	507.207	501.926	505.936	503.310	519.800	515.328
17	495.428	495.428	502.188	505.085	506.888	495.742	493.226	507.672	504.326	515.620	513.545
18	495.683	495.683	502.070	503.749	520.456	495.208	503.754	501.185	504.155	512.575	517.083
19	498.444	498.444	497.999	509.672	527.886	503.583	502.979	507.293	503.570	516.534	506.957
20	504.112	504.112	499.100	514.179	511.460	511.667	498.685	508.313	504.272	504.632	511.823
21	494.031	494.031	511.632	516.461	510.856	501.724	503.001	513.148	509.977	512.767	516.367
22	489.615	489.615	505.880	508.430	503.583	521.956	503.588	516.240	499.843	520.306	521.387
23	490.773	490.773	506.680	507.821	508.051	509.152	525.019	506.967	505.800	503.175	525.733
24	504.961	504.961	500.153	518.331	506.282	507.383	514.001	501.346	510.723	507.068	529.485
25	496.405	496.405	492.959	520.311	510.022	500.438	507.209	492.910	511.829	503.532	524.777
26	488.560	488.560	503.742	514.484	522.836	507.137	502.314	501.752	495.428	494.926	523.129
27	498.619	498.619	506.437	510.825	495.219	495.329	505.327	496.042	511.805	515.195	521.045
28	492.617	492.617	509.338	500.409	504.379	507.815	508.398	517.701	504.698	506.834	511.148
29	485.763	485.763	512.247	510.473	518.220	510.503	500.176	516.549	522.463	520.841	523.652
30	492.212	492.212	507.223	522.842	502.339	511.121	514.517	515.440	505.228	514.456	524.531
31	492.097	492.097	501.013	499.329	513.544	505.783	506.261	508.950	510.438	520.023	511.474
32	498.019	498.019	509.557	500.927	520.482	507.187	510.093	501.364	510.004	514.195	535.016
33	500.282	500.282	508.442	502.390	516.045	502.118	511.115	506.587	490.279	513.530	536.350
34	496.887	496.887	506.281	503.913	510.127	505.935	523.401	520.321	512.783	517.279	525.236
35	499.135	499.135	504.996	501.429	534.089	511.695	515.524	507.852	518.694	514.128	527.463
36	496.235	496.235	507.936	512.256	494.367	501.899	509.396	508.983	507.600	509.949	523.396
37	502.361	502.361	508.698	507.835	502.374	501.983	497.610	511.939	504.781	512.249	525.980
38	497.740	497.740	511.278	508.715	515.188	501.370	493.416	513.787	513.137	506.806	523.203
39	501.293	501.293	518.771	502.423	520.185	513.668	517.230	517.726	509.373	506.333	524.467
40	507.314	507.314	500.817	512.457	507.477	510.418	511.409	505.154	506.720	513.303	518.802
41	500.414	500.414	510.313	517.489	519.515	514.445	514.258	508.535	505.328	514.885	525.571
42	493.415	493.415	505.265	519.102	518.382	513.160	507.522	515.065	511.397	517.152	529.101
43	501.968	501.968	498.421	521.442	514.665	514.089	507.061	504.487	502.799	517.809	522.411
44	494.883	494.883	501.551	507.594	513.635	498.948	512.190	528.391	510.306	524.679	513.760
45	501.266	501.266	507.129	512.569	515.516	505.930	504.810	532.339	504.505	518.846	519.564
46	510.601	510.601	497.486	513.181	506.314	505.616	496.480	515.270	509.440	519.216	515.195
47	510.494	510.494	500.317	512.878	508.999	509.864	512.728	501.831	509.957	526.555	513.623
48	500.624	500.624	512.103	512.097	511.823	509.185	514.986	515.412	502.250	516.420	520.359
49	505.942	505.942	525.510	513.446	509.244	516.641	517.807	520.388	497.895	515.210	516.752
50	508.697	508.697	505.612	522.519	513.853	509.451	513.997	518.595	504.885	516.594	532.020
51	495.675	495.675	510.493	511.417	510.827	513.009	515.858	524.007	512.640	520.843	525.846
52	509.107	509.107	510.420	502.976	512.022	511.915	511.983	510.563	515.138	517.551	516.645
53	508.159	508.159	512.628	500.169	513.169	501.133	530.685	514.637	502.983	519.202	516.320
54	514.659	514.659	508.491	491.106	515.494	505.899	519.868	519.285	514.007	522.210	527.122
55	509.773	509.773	505.654	516.165	519.940	513.078	520.824	520.274	515.945	514.960	537.832
56	507.272	507.272	508.639	507.318	524.793	507.839	518.211	520.395	510.524	530.362	522.278
57	491.751	491.751	519.764	518.267	520.146	507.462	514.275	527.548	506.782	515.696	525.831
58	492.774	492.774	507.050	521.934	520.444	509.657	519.320	515.210	514.174	517.311	518.794
59	507.326	507.326	518.034	508.073	510.149	513.208	518.947	514.236	516.211	524.275	511.997
60	510.108	510.108	515.623	511.904	507.635	520.962	522.312	513.180	516.947	522.044	521.014
61	505.620	505.620	511.144	516.130	514.239	513.966	517.435	521.375	515.854	526.096	528.484
62	505.881	505.881	513.957	524.225	518.833	530.087	523.753	509.087	511.279	520.977	536.806
63	505.855	505.855	519.462	515.322	521.885	520.699	517.581	506.512	527.481	532.945	539.386
64	506.092	506.092	514.671	515.578	527.243	519.578	523.967	521.051	504.258	530.998	548.689
65	512.791	512.791	513.551	516.120	529.327	507.015	531.971	521.167	496.191	516.694	537.357
66	508.786	508.786	520.680	529.206	512.234	517.200	520.846	517.313	508.958	524.982	543.708
67	516.187	516.187	522.238	521.541	521.832	522.715	513.509	518.556	516.649	517.744	538.990
68	520.576	520.576	501.943	521.221	523.724	521.230	515.944	521.858	507.949	527.827	522.858
69	509.997	509.997	510.522	517.446	502.305	517.375	529.551	526.954	507.486	521.118	523.352
70	505.477	505.477	500.812	519.569	510.709	517.220	519.122	512.864	528.528	534.457	531.874
71	511.972	511.972	507.754	511.291	519.782	520.743	515.176	518.301	526.037	523.926	531.364
72	507.603	507.603	517.382	520.552	522.636	519.702	510.571	530.948	514.790	526.973	532.659
73	504.942	504.942	516.234	522.659	526.458	512.940	519.482	527.938	523.702	530.172	528.988
74	508.947	508.947	513.826	522.554	521.548	515.099	524.348	527.233	515.325	523.718	529.064
75	504.143	504.143	516.965	534.241	529.140	517.475	529.731	528.614	512.561	521.404	529.349
76	506.377	506.377	507.781	513.949	518.087	519.890	530.472	519.141	529.280	529.217	525.103
77	491.503	491.503	507.467	524.386	524.374	520.485	521.822	508.219	529.557	532.746	526.980
78	505.239	505.239	518.934	526.739	518.441	509.119	517.352	514.488	516.973	527.665	517.238
79	522.017	522.017	526.939	533.485	521.255	522.166	530.648	528.197	519.515	529.122	523.736
80	506.259	506.259	526.067	527.158	519.726	522.394	526.292	528.378	528.829	522.848	527.257
81	507.303	507.303	528.797	528.330	520.813	525.655	525.755	523.312	529.998	518.230	537.748
82	513.710	513.710	506.697	517.154	531.707	517.108	514.420	524.932	530.230	520.366	545.448
83	510.647	510.647	529.477	508.757	518.888	519.816	528.244	536.097	516.233	531.430	541.309
84	511.915	511.915	527.691	518.075	523.508	529.421	521.633	535.308	522.709	538.837	546.774
85	502.568	502.568	527.991	527.349	512.561	528.399	522.457	526.014	511.061	541.385	542.507
86	507.528	507.528	515.023	518.425	523.845	517.747	524.069	540.784	523.164	533.803	549.530
87	509.931	509.931	525.494	526.192	527.567	532.486	538.202	528.910	525.762	517.435	545.577
88	512.190	512.190	511.055	526.649	527.386	530.032	521.112	529.529	513.295	523.045	539.793
89	510.681	510.681	528.253	512.989	526.946	522.494	524.824	532.216	513.919	534.586	545.986
90	505.238	505.238	521.376	514.651	522.539	518.486	514.735	533.435	521.209	527.670	534.323
91	520.681	520.681	522.390	516.930	527.275	528.185	523.859	535.433	533.150	540.472	552.192
92	510.419	510.419	527.383	534.975	516.422	533.605	522.773	538.284	531.426	535.091	555.490
93	513.644	513.644	525.322	527.262	533.223	516.318	541.053	528.117	522.709	541.110	548.958
94	512.447	512.447	523.058	529.930	520.749	525.960	529.622	530.519	526.602	528.806	552.067
95	525.116	525.116	527.665	531.293	518.696	531.259	523.940	531.004	528.168	522.122	540.388
96	524.251	524.251	545.597	541.427	532.098	530.578	533.995	532.569	531.536	527.082	541.319
97	525.397	525.397	528.571	535.079	521.447	525.871	527.464	538.475	531.989	534.447	550.212
98	520.616	520.616	523.927	525.096	542.132	522.075	529.765	533.161	512.645	541.250	538.021
99	516.484	516.484	533.083	518.890	532.005	532.064	525.170	529.677	520.028	530.593	547.579
100	518.431	518.431	517.175	519.920	535.449	532.905	534.101	528.827	534.057	547.747	545.148
101	503.261	503.261	534.212	524.719	533.150	538.826	531.905	520.352	529.558	533.770	541.596
102	512.752	512.752	523.747	532.298	525.272	522.691	534.466	523.409	537.153	534.638	541.997
103	504.983	504.983	529.699	534.263	526.811	524.617	524.512	527.481	528.287	545.993	545.243
104	514.486	514.486	528.562	537.714	526.588	523.163	525.956	529.540	522.060	539.348	533.618
105	517.697	517.697	535.135	537.159	533.532	522.973	524.255	524.655	513.167	532.126	543.901
106	531.598	531.598	530.670	536.855	530.687	531.557	530.361	527.192	523.724	545.115	548.106
107	523.865	523.865	530.367	536.602	534.773	522.778	531.109	532.541	524.161	536.679	545.593
108	513.040	513.040	539.552	533.315	533.376	533.076	535.610	535.712	544.527	541.836	538.909
109	525.324	525.324	539.577	537.112	531.142	529.168	545.464	525.692	532.869	548.404	541.555
110	517.902	517.902	523.336	530.926	535.032	543.378	544.611	539.091	539.924	540.082	546.519
111	517.362	517.362	534.820	536.487	537.771	544.565	547.968	548.752	551.154	547.904	539.875
112	528.638	528.638	532.793	546.838	538.676	532.850	538.261	540.605	547.294	547.762	545.709
113	520.687	520.687	535.079	542.578	537.735	541.615	529.779	546.453	538.816	534.789	553.118
114	519.954	519.954	532.944	547.039	532.342	538.757	539.091	540.075	526.001	550.566	562.379
115	516.191	516.191	548.645	542.286	547.606	531.639	540.754	542.448	541.538	535.208	555.091
116	525.328	525.328	537.874	539.348	534.949	547.954	545.184	552.703	544.988	546.519	554.658
117	534.820	534.820	537.958	541.877	540.283	543.721	544.601	545.346	551.430	555.977	556.952
118	523.586	523.586	528.291	526.108	543.536	546.313	522.932	548.178	550.377	554.159	542.130
119	528.848	528.848	530.557	530.544	546.173	545.344	533.232	539.878	546.638	552.443	548.884
120	525.704	525.704	537.475	529.885	544.376	541.137	537.795	538.668	540.051	555.566	550.451
121	522.832	522.832	533.398	542.511	543.204	548.940	537.096	553.725	542.038	549.555	554.489
122	536.726	536.726	537.589	538.461	552.920	545.910	550.446	546.218	544.727	562.430	556.426
123	538.160	538.160	540.403	538.359	539.173	546.941	548.266	548.026	534.876	554.232	565.319
124	542.357	542.357	543.189	540.460	547.641	549.441	554.225	543.111	535.587	551.320	546.535
125	529.666	529.666	537.889	551.953	532.532	539.564	541.972	538.618	543.185	553.700	552.366
126	549.278	549.278	542.310	548.290	538.987	541.578	546.198	549.011	549.327	545.029	565.550
127	540.043	540.043	533.565	554.302	551.056	539.107	547.405	541.743	553.495	556.508	558.014
128	537.568	537.568	529.887	543.331	535.858	551.486	540.400	544.788	548.199	554.653	563.176
129	532.788	532.788	540.388	547.120	553.182	543.292	545.737	546.390	550.212	558.925	558.434
130	542.748	542.748	537.345	560.078	553.569	552.170	548.367	556.542	551.471	560.300	559.148
131	539.155	539.155	538.994	552.707	548.930	551.905	552.696	548.496	559.813	565.761	569.364
132	547.245	547.245	541.661	547.354	541.881	547.340	551.644	548.098	547.926	561.299	558.578
133	549.069	549.069	563.065	563.262	548.011	546.964	548.724	558.377	552.771	566.244	567.213
134	532.007	532.007	553.564	554.929	557.733	545.877	553.107	549.925	559.916	572.370	570.543
135	540.938	540.938	548.417	556.155	568.591	557.240	554.111	551.801	549.023	560.421	580.840
136	544.427	544.427	561.309	555.301	545.615	551.778	557.337	555.994	541.337	568.623	572.610
137	550.693	550.693	553.139	556.434	555.791	561.342	572.267	566.572	545.929	553.567	567.767
138	550.128	550.128	564.351	567.414	566.404	564.092	567.264	561.592	548.163	550.895	567.391
139	546.870	546.870	547.665	574.973	569.018	552.237	564.769	566.620	553.936	567.331	560.620
140	561.316	561.316	552.756	567.187	560.191	555.513	569.355	561.157	564.170	562.394	571.732
141	554.986	554.986	560.405	558.844	565.341	544.265	555.239	564.014	565.257	574.520	585.566
142	551.550	551.550	555.243	557.169	560.807	559.978	573.089	561.455	560.141	567.655	573.388
143	548.564	548.564	557.721	560.065	566.493	556.203	558.105	558.914	562.962	552.348	576.941
144	533.867	533.867	558.961	572.478	565.807	565.726	572.899	561.799	559.987	561.381	579.602
145	553.861	553.861	554.885	565.843	570.749	567.519	567.799	565.710	565.640	575.964	577.781
146	558.183	558.183	555.497	561.181	564.225	565.295	568.054	573.667	564.926	576.510	583.636
147	559.440	559.440	546.025	561.165	581.534	551.361	556.462	566.090	569.011	578.574	563.438
148	553.800	553.800	563.394	562.607	577.396	559.349	564.129	581.293	575.903	567.295	579.367
149	549.861	549.861	569.797	568.685	564.483	569.110	563.602	575.751	574.007	574.845	571.287
150	555.671	555.671	573.662	574.008	560.312	560.230	565.802	575.477	568.454	582.754	568.991
151	553.798	553.798	565.716	576.489	561.862	563.658	573.990	580.677	573.545	575.698	592.889
152	556.998	556.998	580.374	574.436	583.338	568.117	574.656	579.232	575.254	588.127	592.587
153	557.817	557.817	580.632	569.578	576.001	578.902	566.134	577.142	572.337	589.312	589.789
154	561.872	561.872	567.439	575.023	578.372	572.509	572.197	586.572	574.777	589.217	591.263
155	573.425	573.425	571.869	581.754	575.593	572.870	578.715	576.275	576.623	581.505	602.163
156	567.495	567.495	578.879	587.673	585.964	586.889	583.004	573.854	580.917	579.866	598.333
157	576.321	576.321	579.005	588.586	589.342	585.206	583.602	590.913	574.896	598.783	604.718
158	574.253	574.253	573.762	583.265	589.102	584.327	582.319	596.183	593.746	592.016	589.441
159	568.410	568.410	578.241	589.674	605.735	584.684	576.785	599.880	581.150	592.256	591.978
160	577.933	577.933	572.940	590.985	603.362	584.334	586.809	600.868	583.513	591.483	605.293
161	575.834	575.834	573.391	590.397	586.095	580.238	579.021	593.284	601.097	598.305	613.441
162	591.163	591.163	588.991	583.087	595.553	588.309	590.084	605.601	603.274	598.164	602.558
163	579.185	579.185	589.417	601.313	604.158	594.135	589.862	596.915	597.054	597.889	614.442
164	574.901	574.901	586.854	592.118	585.973	582.422	588.085	585.678	590.156	608.911	606.586
165	586.069	586.069	607.926	606.796	600.965	587.558	599.923	599.519	611.083	600.746	613.247
166	591.102	591.102	600.533	595.181	612.415	590.255	597.186	584.748	606.876	607.507	635.520
167	593.716	593.716	591.569	612.776	594.391	602.663	591.947	604.214	598.705	611.870	632.101
168	595.537	595.537	596.734	611.711	599.043	604.001	605.763	599.047	599.610	612.297	613.383
169	596.513	596.513	601.241	610.515	599.892	596.117	601.394	616.808	615.090	604.961	612.237
170	600.622	600.622	604.578	609.334	618.312	604.930	619.009	611.300	633.696	620.109	622.355
171	603.208	603.208	607.459	616.781	619.860	609.211	628.412	601.573	631.398	617.084	614.742
172	602.503	602.503	611.269	625.902	627.088	620.783	629.418	617.081	620.664	621.229	624.397
173	618.057	618.057	616.535	617.119	606.767	618.939	620.430	619.455	615.846	627.021	630.417
174	615.343	615.343	618.980	622.582	620.180	624.678	628.946	642.881	631.395	638.559	639.085
175	623.696	623.696	623.253	631.382	624.723	630.087	625.347	649.477	633.889	637.945	659.030
176	632.284	632.284	627.032	633.145	635.251	631.651	632.058	652.534	621.146	633.972	657.106
177	636.217	636.217	642.676	633.353	641.392	626.302	629.968	660.600	625.830	645.665	647.194
178	638.992	638.992	632.524	648.124	645.102	641.048	649.804	642.623	648.181	651.810	653.885
179	636.407	636.407	635.061	635.980	647.171	643.438	656.298	649.152	651.093	639.088	662.829
180	657.016	657.016	633.851	646.637	667.830	644.576	653.982	650.764	643.443	651.223	664.486
181	653.012	653.012	648.489	648.785	673.812	646.687	649.740	659.924	657.684	674.647	677.446
182	652.241	652.241	642.645	652.776	662.656	671.138	658.025	667.679	665.874	678.529	669.365
183	668.670	668.670	647.236	668.709	667.641	674.784	668.420	669.217	674.685	669.076	682.741
184	668.327	668.327	655.904	670.677	676.549	657.139	672.685	677.170	674.343	659.777	684.458
185	676.174	676.174	679.016	672.962	673.993	662.850	670.800	689.151	677.204	682.200	690.373
186	676.303	676.303	677.240	685.193	695.373	680.175	675.596	694.551	686.754	683.221	704.507
187	679.374	679.374	669.375	686.211	685.737	677.467	700.436	684.933	686.991	687.524	704.907
188	696.872	696.872	698.328	691.706	693.944	688.021	684.763	704.610	693.292	705.033	701.894
189	697.821	697.821	691.541	698.377	693.190	689.194	700.169	698.619	713.866	703.840	710.065
190	708.509	708.509	695.159	706.591	699.691	699.029	715.076	719.725	717.509	716.196	723.117
191	713.343	713.343	711.212	716.539	719.864	720.464	715.711	720.036	712.237	710.732	722.112
192	711.108	711.108	713.658	715.538	719.653	710.384	693.101	719.424	710.196	725.270	728.346
193	724.619	724.619	706.151	732.915	728.816	699.047	711.903	726.345	735.338	727.224	739.699
194	729.620	729.620	707.907	724.070	710.523	711.242	732.827	719.779	731.193	740.153	741.539
195	729.103	729.103	719.742	730.179	747.930	713.694	729.764	734.794	737.958	755.851	764.433
196	739.954	739.954	747.856	741.736	744.045	743.543	738.603	734.893	742.014	760.083	766.019
197	741.353	741.353	749.224	727.300	745.604	714.852	740.120	761.055	751.533	771.311	764.187
198	759.505	759.505	762.316	753.937	766.503	731.647	751.698	758.534	765.978	776.921	770.235
199	761.176	761.176	777.208	765.269	771.761	749.166	757.663	772.071	771.959	785.761	782.258
200	778.946	778.946	775.520	772.208	772.800	755.376	781.798	767.819	797.934	789.912	786.575
201	782.566	782.566	779.400	778.284	772.359	750.964	775.619	781.662	796.786	814.138	801.651
202	798.791	798.791	801.509	798.359	795.345	764.448	782.420	787.836	807.902	812.363	808.301
203	800.729	800.729	796.548	792.910	804.514	767.811	787.978	802.434	805.602	820.311	820.896
204	826.465	826.465	808.929	817.067	827.410	785.226	808.221	808.419	837.742	827.298	830.594
205	828.242	828.242	821.018	819.283	816.846	800.033	825.016	824.848	852.431	843.720	839.269
206	837.309	837.309	840.175	833.080	809.122	814.334	833.723	828.832	857.270	846.000	861.835
207	862.549	862.549	839.089	841.931	823.797	824.807	829.335	846.765	868.784	860.980	870.730
208	861.714	861.714	854.945	852.660	839.847	826.056	845.997	851.643	860.150	857.019	881.657
209	868.030	868.030	865.706	885.055	868.544	832.336	850.079	861.912	889.303	887.113	898.102
210	877.721	877.721	891.538	879.058	893.201	872.014	876.595	863.715	902.674	899.496	904.290
211	889.803	889.803	908.514	905.080	906.218	871.879	884.266	878.318	908.026	904.631	907.408
212	913.477	913.477	919.099	913.104	911.412	894.169	896.190	891.687	926.145	921.544	933.552
213	927.004	927.004	938.592	926.387	926.806	898.641	912.828	920.341	932.277	952.173	954.195
214	932.149	932.149	950.857	951.554	945.091	908.672	919.986	929.514	934.438	929.784	958.957
215	940.867	940.867	974.313	943.264	942.445	915.299	943.722	933.843	958.178	950.979	988.266
216	963.385	963.385	974.034	974.767	966.504	939.570	965.685	964.222	976.285	967.606	990.909
217	977.912	977.912	958.375	996.123	981.517	950.714	968.318	966.588	967.588	977.608	1003.127
218	981.512	981.512	1005.763	1020.240	999.341	978.601	992.193	1006.115	1012.439	991.252	1005.070
219	1000.435	1000.435	986.668	1029.986	1006.910	1000.871	1010.628	1032.537	1040.367	997.910	1020.649
220	1040.878	1040.878	1021.603	1076.297	1042.698	1017.303	1036.564	1055.265	1066.777	1028.777	1051.460
221	1043.166	1043.166	1057.663	1093.610	1055.922	1046.199	1077.389	1090.765	1078.995	1057.855	1072.660
222	1046.957	1046.957	1062.191	1120.063	1085.474	1080.245	1094.809	1114.221	1113.820	1088.601	1100.343
223	1061.700	1061.700	1081.781	1145.858	1130.964	1106.710	1145.331	1132.482	1149.587	1108.649	1115.176
224	1112.286	1112.286	1117.536	1169.831	1159.505	1142.692	1179.302	1174.113	1160.179	1140.686	1143.920
225	1107.632	1107.632	1137.701	1217.265	1190.680	1165.285	1208.175	1221.458	1189.506	1164.920	1173.925
226	1124.862	1124.862	1163.116	1205.482	1218.204	1198.926	1233.316	1242.472	1213.949	1182.504	1201.309
227	1172.620	1172.620	1211.805	1212.422	1274.583	1232.567	1287.894	1278.640	1253.295	1196.993	1254.526
228	1212.271	1212.271	1233.312	1249.869	1261.213	1262.648	1346.802	1296.424	1292.594	1225.566	1253.222
229	1252.765	1252.765	1278.362	1264.287	1281.524	1311.319	1371.211	1321.386	1309.869	1254.447	1273.239
230	1270.905	1270.905	1337.763	1295.565	1277.521	1343.912	1407.663	1321.200	1353.907	1269.420	1309.033
231	1269.401	1269.401	1386.597	1317.238	1268.095	1353.176	1425.882	1338.266	1388.835	1313.336	1299.525
232	1276.894	1276.894	1364.693	1313.384	1257.045	1354.631	1406.574	1311.561	1353.636	1325.963	1285.729
233	1274.226	1274.226	1360.637	1303.624	1234.886	1348.232	1357.706	1292.542	1338.359	1323.680	1268.989
234	1261.480	1261.480	1315.879	1277.235	1221.000	1319.147	1323.357	1269.907	1306.599	1313.610	1262.816
235	1230.715	1230.715	1279.761	1245.270	1190.452	1280.794	1271.560	1215.932	1271.985	1271.159	1226.592
236	1197.893	1197.893	1247.419	1211.606	1148.349	1226.335	1225.684	1190.690	1220.223	1241.460	1206.557
237	1155.595	1155.595	1210.975	1178.117	1139.364	1197.398	1187.558	1168.542	1187.173	1217.282	1206.609
238	1142.138	1142.138	1160.357	1156.960	1128.387	1169.310	1177.716	1155.072	1161.163	1198.413	1201.685
239	1143.040	1143.040	1137.647	1135.828	1112.445	1150.741	1158.852	1148.469	1150.903	1192.228	1190.398
240	1116.819	1116.819	1138.563	1118.409	1110.781	1134.199	1150.373	1160.290	1138.347	1189.510	1197.594
241	1093.224	1093.224	1140.800	1113.145	1124.715	1121.870	1142.625	1147.552	1116.660	1158.444	1206.612
242	1085.606	1085.606	1112.486	1100.483	1118.959	1116.307	1142.814	1135.128	1146.628	1151.840	1240.107
243	1092.685	1092.685	1110.185	1093.566	1138.612	1114.595	1155.637	1152.003	1157.475	1154.093	1245.108
244	1097.079	1097.079	1118.560	1112.819	1130.208	1098.213	1119.438	1134.331	1156.999	1177.133	1234.843
245	1101.527	1101.527	1105.021	1109.810	1129.062	1093.383	1122.274	1132.495	1171.129	1179.341	1247.440
246	1109.410	1109.410	1108.381	1102.162	1131.747	1088.972	1126.470	1141.352	1146.170	1209.178	1236.564
247	1094.082	1094.082	1106.059	1095.555	1141.410	1101.718	1139.942	1137.326	1136.692	1197.330	1200.990
248	1093.011	1093.011	1110.948	1103.004	1127.723	1094.752	1110.799	1152.661	1135.983	1178.417	1177.383
249	1101.982	1101.982	1108.031	1116.588	1140.923	1092.591	1119.437	1141.023	1150.497	1175.289	1164.284
250	1115.302	1115.302	1102.524	1118.391	1145.681	1095.146	1137.054	1124.620	1120.410	1167.509	1159.723
