,CellName,CompNum,substrate & drug,SurroundingThickness,EChadwick
342,21-01-18_M1_P1_C6,10,20um fibronectin discs & doxycyclin,223.437727620881,12979.8715880842
302,21-01-18_M1_P1_C3,2,20um fibronectin discs & doxycyclin,1120.7966953055,890.720936149482
303,21-01-18_M1_P1_C3,3,20um fibronectin discs & doxycyclin,1080.25591106197,949.667915889261
304,21-01-18_M1_P1_C3,4,20um fibronectin discs & doxycyclin,1019.5970315077301,963.030362725006
305,21-01-18_M1_P1_C3,5,20um fibronectin discs & doxycyclin,951.7019774430029,1016.72986802013
306,21-01-18_M1_P1_C3,6,20um fibronectin discs & doxycyclin,911.863048011444,1038.10355485061
307,21-01-18_M1_P1_C3,7,20um fibronectin discs & doxycyclin,870.7988616887891,1088.1306001631401
308,21-01-18_M1_P1_C3,8,20um fibronectin discs & doxycyclin,828.5182930354939,1188.72079973002
309,21-01-18_M1_P1_C3,9,20um fibronectin discs & doxycyclin,801.2744801355369,1086.38484006599
310,21-01-18_M1_P1_C3,10,20um fibronectin discs & doxycyclin,768.7660849017349,1606.3890978528
311,21-01-18_M1_P1_C3,11,20um fibronectin discs & doxycyclin,909.3410654093609,925.11202590516
312,21-01-18_M1_P1_C4,1,20um fibronectin discs & doxycyclin,919.782977769979,782.749103417051
313,21-01-18_M1_P1_C4,2,20um fibronectin discs & doxycyclin,907.228677207469,797.048288794826
314,21-01-18_M1_P1_C4,3,20um fibronectin discs & doxycyclin,878.634323927918,740.526051916361
315,21-01-18_M1_P1_C4,4,20um fibronectin discs & doxycyclin,838.149545486324,777.9806846460369
301,21-01-18_M1_P1_C3,1,20um fibronectin discs & doxycyclin,1122.43449171583,881.520578072391
316,21-01-18_M1_P1_C4,5,20um fibronectin discs & doxycyclin,838.055819131032,631.29398996342
318,21-01-18_M1_P1_C4,7,20um fibronectin discs & doxycyclin,729.037593458116,720.362213713748
319,21-01-18_M1_P1_C4,8,20um fibronectin discs & doxycyclin,721.070008324333,776.393645046107
320,21-01-18_M1_P1_C4,9,20um fibronectin discs & doxycyclin,694.359882195495,843.4823348877251
321,21-01-18_M1_P1_C4,10,20um fibronectin discs & doxycyclin,784.802264870385,721.785129580401
601,21-01-18_M3_P1_C6,16,20um fibronectin discs & doxycyclin,146.296681602276,28599.424119967003
343,21-01-18_M1_P1_C6,11,20um fibronectin discs & doxycyclin,202.839512056203,16410.9865493828
344,21-01-18_M1_P1_C7,1,20um fibronectin discs & doxycyclin,222.45302256757003,62030.647294477
345,21-01-18_M1_P1_C7,2,20um fibronectin discs & doxycyclin,232.656772487644,78855.9551856756
346,21-01-18_M1_P1_C7,3,20um fibronectin discs & doxycyclin,222.175482194532,60956.6997618534
347,21-01-18_M1_P1_C7,4,20um fibronectin discs & doxycyclin,215.33878828601001,87497.4379058464
348,21-01-18_M1_P1_C7,5,20um fibronectin discs & doxycyclin,219.995738312853,80225.5637552033
349,21-01-18_M1_P1_C7,6,20um fibronectin discs & doxycyclin,201.294916158493,76553.94402616231
350,21-01-18_M1_P1_C7,7,20um fibronectin discs & doxycyclin,224.523335061287,34146.199330949305
351,21-01-18_M1_P1_C7,8,20um fibronectin discs & doxycyclin,227.055108575853,30715.9433270785
317,21-01-18_M1_P1_C4,6,20um fibronectin discs & doxycyclin,781.5422120204739,732.7398513308591
300,21-01-18_M1_P1_C2,12,20um fibronectin discs & doxycyclin,505.928150186825,679.780705584373
299,21-01-18_M1_P1_C2,11,20um fibronectin discs & doxycyclin,482.561205703953,1051.88225230791
298,21-01-18_M1_P1_C2,10,20um fibronectin discs & doxycyclin,490.79353679397497,923.2866416201559
812,21-01-21_M2_P1_C10,7,20um fibronectin discs & doxycyclin,290.695465106487,3900.56564786344
810,21-01-21_M2_P1_C10,5,20um fibronectin discs & doxycyclin,291.136332941662,3814.49335399289
809,21-01-21_M2_P1_C10,4,20um fibronectin discs & doxycyclin,297.916769687979,3327.09389267419
808,21-01-21_M2_P1_C10,3,20um fibronectin discs & doxycyclin,221.833285224572,9577.46150662875
807,21-01-21_M2_P1_C10,2,20um fibronectin discs & doxycyclin,220.04334779321601,3421.71179054305
806,21-01-21_M2_P1_C10,1,20um fibronectin discs & doxycyclin,296.36733529800097,2622.37916792249
805,21-01-21_M2_P1_C5,10,20um fibronectin discs & doxycyclin,25.7669786589822,3052.6778946552504
804,21-01-21_M2_P1_C5,9,20um fibronectin discs & doxycyclin,19.6401766836243,2179.09564543112
