idxCompression;T;B;F;dx;dy;dz;D2;D3
0;0.766;11.5046;310.486628202116;4.64449367088608;0.198037974683545;-0;4.64871385420931;4.64871385420931
0;1.365;11.50115;308.683114679161;4.65;0.204556962025316;-0;4.65449713188364;4.65449713188364
0;1.926;11.50345;310.718832808516;4.64443037974683;0.185569620253164;-0;4.6481361464867;4.6481361464867
0;2.566;11.50345;309.674915857779;4.6479746835443;0.18746835443038;-0;4.65175375990406;4.65175375990406
0;3.126;11.50345;310.626290645005;4.64474683544304;0.185696202531645;-0;4.64845740488098;4.64845740488098
0;3.766;11.50345;311.018162073163;4.64322784810127;0.187784810126582;-0;4.64702356184014;4.64702356184014
0;4.406;11.5046;311.492488574665;4.6423417721519;0.178101265822784;-0;4.64575690177113;4.64575690177113
0;4.926;11.50345;310.430239608359;4.64436708860759;0.200759493670887;-0;4.64870412352092;4.64870412352092
1;5.031;3.45115;61.8885282546768;4.65518987341772;0.184620253164557;-0;4.65884936389335;4.65884936389335
1;5.052;3.45345;61.8416974688681;4.65708860759494;0.183607594936709;-0;4.66070660392917;4.66070660392917
1;5.074;3.4546;61.7773318597389;4.6579746835443;0.194240506329114;-0;4.6620229007201;4.6620229007201
1;5.095;3.4592;61.7825251012943;4.65993670886076;0.194746835443038;-0;4.66400433753048;4.66400433753048
1;5.116;3.50405;63.1353269655535;4.65727848101266;0.197848101265822;0;4.66147902718419;4.66147902718419
1;5.137;3.59375;65.5031924034158;4.65810126582278;0.200443037974684;0;4.66241190953055;4.66241190953055
1;5.158;3.7329;69.3244868604618;4.65784810126582;0.200569620253164;0;4.66216442299434;4.66216442299434
1;5.179;3.91805;74.3797075149504;4.65924050632911;0.195822784810128;0;4.66335379945258;4.66335379945258
1;5.2;4.1492;81.0047892869633;4.65746835443038;0.196962025316456;-0;4.6616312071996;4.6616312071996
1;5.22;4.42635;88.9575176171631;4.65670886075949;0.203101265822785;-0;4.66113586350525;4.66113586350525
1;5.242;4.7518;98.3288052811045;4.65816455696202;0.196708860759492;-0;4.662316099927;4.662316099927
1;5.262;5.12095;109.504409741589;4.65506329113924;0.202215189873417;-0;4.6594533185265;4.6594533185265
1;5.284;5.5338;121.731498305551;4.65670886075949;0.199873417721519;-0;4.6609963309348;4.6609963309348
1;5.304;5.99495;136.251942966786;4.65240506329114;0.203797468354431;0;4.65686657324909;4.65686657324909
1;5.326;6.5067;152.075215439186;4.65196202531646;0.205063291139242;0;4.65647953268982;4.65647953268982
1;5.346;7.06215;169.288553436196;4.65284810126582;0.198227848101266;0;4.65706879197804;4.65706879197804
1;5.368;7.6613;188.217077557021;4.65132911392405;0.204240506329113;0;4.65581106902579;4.65581106902579
1;5.388;8.3122;208.933731569475;4.65025316455696;0.200063291139241;0;4.65455473863328;4.65455473863328
1;5.41;9.0045;231.309165767323;4.64727848101266;0.203481012658228;0;4.65173105441359;4.65173105441359
1;5.43;9.74625;255.554905636518;4.64398734177215;0.197278481012658;-0;4.64817568833307;4.64817568833307
1;5.452;10.5317;280.425182547673;4.64341772151899;0.196772151898734;-0;4.64758511662556;4.64758511662556
1;5.472;11.36545;306.866355132749;4.64196202531646;0.198417721518988;-0;4.64620070990189;4.64620070990189
1;5.494;12.24635;334.534343129008;4.64075949367089;0.198987341772152;-0;4.64502364259667;4.64502364259667
1;5.514;13.16865;363.476438384156;4.63892405063291;0.197215189873417;0;4.64311427585594;4.64311427585594
