idxCompression;T;B;F;dx;dy;dz;D2;D3
0;0.673;5.75345;132.237944501394;4.56664556962025;0.0341772151898709;-0.597360691529957;4.56677346061422;4.6056768923097
0;1.273;5.7546;131.97547364892;4.57215189873418;0.046708860759491;-0.582462912290199;4.57239048012875;4.60934027242138
0;1.874;5.7546;132.521316900373;4.57145569620253;0.0321518987341776;-0.566157562347201;4.57156875994825;4.60649273442797
0;2.473;5.75805;132.525011394885;4.57689873417721;0.0293670886075965;-0.544045943993855;4.576992948302;4.60921364638074
0;3.074;5.75345;132.228903990055;4.58246835443038;0.0625316455696208;-0.519198243632897;4.5828949830924;4.61221131803878
0;3.673;5.75345;132.341582844811;4.5846835443038;0.0889873417721532;-0.498732836537275;4.58554707187765;4.61258890327831
1;3.803;3.45575;66.0860552527934;4.55063291139241;0.108101265822782;-0.484040462872955;4.55191671473899;4.57758025026525
1;3.819;3.45115;65.3484541108041;4.56164556962025;0.105632911392409;-0.476197962661852;4.56286846345644;4.58765006451545
1;3.833;3.4615;65.5739237439534;4.56341772151899;0.114620253164556;-0.470138233744816;4.56485696418946;4.58900305756465
1;3.848;3.49945;66.6818211757992;4.56430379746835;0.120632911392406;-0.460873937158912;4.56589766145662;4.58909863054254
1;3.864;3.54775;68.1187093108255;4.56322784810127;0.124683544303799;-0.461007234173071;4.5649309282734;4.58815017734457
1;3.878;3.62595;70.1380813158291;4.56556962025316;0.131012658227849;-0.46526863711647;4.56744898975287;4.59108540311316
1;3.894;3.71795;72.8096087459417;4.56417721518987;0.13132911392405;-0.471880884156247;4.56606624873342;4.59038479396385
1;3.908;3.83295;76.121687460076;4.56354430379747;0.133924050632913;-0.477491768070649;4.56550898192745;4.59041072809781
1;3.924;3.9721;80.1056323086863;4.56474683544304;0.142025316455694;-0.475903447222811;4.5669557543512;4.59168476196702
1;3.939;4.13195;84.8604514048924;4.56607594936709;0.136202531645573;-0.468808913039351;4.56810690604053;4.59210001001289
1;3.953;4.31365;90.763915800819;4.56227848101266;0.135822784810127;-0.460283830348216;4.56429981127278;4.58744961516361
1;3.969;4.51375;96.9829141780936;4.5623417721519;0.134430379746831;-0.452253940541965;4.56432185246845;4.58667282457085
1;3.983;4.7426;104.433056241487;4.55898734177215;0.135632911392406;-0.448182261896373;4.56100448027532;4.58297165701143
1;3.998;4.9818;111.908911041647;4.55911392405063;0.133734177215189;-0.448175531348028;4.56107493937863;4.58304112020903
1;4.014;5.2532;120.633071632169;4.55791139240506;0.128797468354428;-0.44888745497909;4.5597308088165;4.58177312796127
1;4.028;5.5338;129.567004801151;4.55778481012658;0.130696202531645;-0.450236134673723;4.5596583065814;4.58183330662986
1;4.044;5.8443;139.825508169123;4.55651898734177;0.123291139240511;-0.448037228314164;4.55818669944763;4.58015320103779
1;4.058;6.1686;150.127279968813;4.55886075949367;0.124367088607599;-0.443690046121753;4.56055682972814;4.58208898366318
1;4.074;6.5228;162.038497456048;4.5579746835443;0.120189873417722;-0.436680790846652;4.55955905998628;4.58042235329859
1;4.088;6.89425;173.98073648531;4.55873417721519;0.119556962025317;-0.442802810924358;4.56030165292589;4.58174917417367
1;4.104;7.2841;186.834644039963;4.55860759493671;0.113860759493672;-0.445590484387528;4.56002932854243;4.58174839520284
1;4.118;7.69925;200.731138079304;4.55721518987342;0.109999999999999;-0.450159761129507;4.55854256169809;4.58071545692954
1;4.134;8.1351;215.575035089979;4.5546835443038;0.113544303797468;-0.453391092951932;4.55609860491151;4.57860218634954
1;4.148;8.5882;230.585070479464;4.55430379746835;0.103164556962025;-0.460071968855287;4.55547209468435;4.57864523871136
1;4.164;9.06545;246.113221633675;4.55569620253165;0.10139240506329;-0.461206228392997;4.55682436676747;4.58010474712907
1;4.178;9.5657;262.777584835509;4.55626582278481;0.0937974683544276;-0.457839172967123;4.55723120029549;4.58017171307472
1;4.194;10.0855;280.675454801365;4.55537974683544;0.0877215189873404;-0.448494105532776;4.55622428143874;4.57824493288308
1;4.208;10.6283;298.545084167101;4.55575949367088;0.0817088607594947;-0.448741044176689;4.55649217074923;4.57853572955675
1;4.224;11.1918;317.462800664163;4.55449367088608;0.0844936708860793;-0.447667808587887;4.55527735473496;4.57722167317763
1;4.238;11.7737;335.80661991769;4.55753164556962;0.0747468354430367;-0.444472423459832;4.55814455560344;4.57976391585784
1;4.254;12.3786;356.031950475687;4.55708860759494;0.0734810126582275;-0.435836468598931;4.55768099330052;4.57847239415655
1;4.268;13.0088;376.70025373793;4.55594936708861;0.068734177215191;-0.436779844799362;4.55646782306125;4.57735465694057
1;4.284;13.65165;398.013227511474;4.55310126582278;0.0602531645569613;-0.442061786865414;4.55349992650446;4.57490767164571
1;4.298;14.32095;419.337241105914;4.55170886075949;0.0593670886075941;-0.448274618789496;4.55209600122034;4.57411501147239
1;4.314;15.0075;440.980627081171;4.55158227848101;0.0578481012658223;-0.447008209832159;4.55194987237365;4.57384564455993
1;4.328;15.72165;463.410722228296;4.55113924050633;0.0530379746835479;-0.445496798434848;4.55144827645389;4.5731989690643
1;4.344;16.45305;485.122598491308;4.55367088607595;0.0459493670886069;-0.439747726707369;4.55390270899934;4.57508556708788
1;4.358;17.2063;508.811866049064;4.55291139240506;0.0452531645569643;-0.431035399046358;4.55313628128944;4.57349335970058
1;4.374;17.98025;533.37048930188;4.55056962025316;0.0435443037974679;-0.425737216476613;4.55077795274217;4.57064898593815
1;4.388;18.7772;557.70254886211;4.55012658227848;0.0454430379746817;-0.41652035415717;4.55035350104337;4.56937700238061
1;4.404;19.59255;582.647696361504;4.54955696202532;0.0439240506329099;-0.403642271566157;4.54976899116175;4.56763888199714
1;4.418;20.43205;605.252126259111;4.55341772151899;0.0393670886075981;-0.394373813093381;4.55358789465061;4.57063380930505
1;4.434;21.2888;630.479250898618;4.55145569620253;0.029113924050634;-0.393168503722149;4.55154881057735;4.56849844559317
1;4.448;22.17085;654.560818750528;4.55158227848101;0.0280379746835457;-0.394151936926406;4.55166863532559;4.56870256365958
1;4.464;23.0713;680.974991608259;4.54791139240506;0.0286075949367124;-0.395345399628263;4.54800136627682;4.56515217847807
1;4.478;23.99705;704.773170286168;4.54898734177215;0.0194303797468365;-0.396564874636854;4.54902883869298;4.56628153699004
1;4.494;24.93775;732.016639345323;4.545;0.0165822784810103;-0.394747262190703;4.54503024983989;4.56214043766374
1;4.508;25.90835;756.901069659824;4.54493670886076;0.0133544303797493;-0.394249879717444;4.54495632854275;4.5620237829299
1;4.524;26.8916;781.127062275407;4.54601265822785;0.0113291139240488;-0.390495965205118;4.54602677484307;4.5627674208129
1;4.538;27.899;806.434588067198;4.54569620253165;0.00841772151898468;-0.386479330240909;4.54570399649451;4.56210380158646
1;4.558;28.92825;832.663972691348;4.54512658227848;0.00253164556961849;-0.375931281325296;4.54512728734452;4.56064758410937
1;4.571;29.9782;858.628349886461;4.54398734177215;0.00797468354430464;-0.371718565957635;4.54399433953908;4.55917308840548
1;4.583;31.0546;882.828254928021;4.54468354430379;0.0102531645569606;-0.371378361394793;4.54469511026308;4.55984380571982
1;4.599;32.1448;905.912934615211;4.54708860759494;0.019683544303799;-0.365857988033625;4.54713121069054;4.56182576548513
1;4.613;33.258;930.623568907991;4.54854430379747;0.0234810126582232;-0.351897047888134;4.54860491157056;4.56219663910667
1;4.629;34.39075;956.338730611509;4.54803797468354;0.0241772151898729;-0.342403503623482;4.54810223685637;4.5609729352619
1;4.643;35.5465;982.03605407523;4.54620253164557;0.0354430379746837;-0.341998943341133;4.54634068979454;4.55918599586899
