idxCompression;T;B;F;dx;dy;dz;D2;D3
0;0.783;5.5044;100.128900402498;4.8396835443038;0.175126582278482;-0.369181529030161;4.84285103310287;4.85690242131778
0;1.383;5.5;99.5373790766084;4.84056962025316;0.176645569620252;-0.402015130116143;4.84379168686932;4.86044587158695
0;1.983;5.5055;100.021082608932;4.83113924050633;0.190443037974685;-0.433494400860689;4.83489140641991;4.85428597297797
0;2.583;5.5033;99.7136238336895;4.82924050632912;0.186455696202531;-0.465125773422244;4.83283866838283;4.85516957270474
0;3.183;5.5044;99.7428219971456;4.82189873417721;0.210253164556962;-0.498309193177943;4.826480477104;4.85213621489254
0;3.783;3.3011;47.4157052602997;4.81873417721519;0.226835443037974;-0.518212314144865;4.82407020977929;4.85182413030515
1;3.803;3.3055;46.7038286440403;4.83012658227848;0.236329113924052;-0.555029318438851;4.83590469828773;4.86765156880071
1;3.819;3.3033;46.1091280610883;4.83227848101265;0.237025316455696;-0.608798187027891;4.8380880850496;4.87624153946739
1;3.833;3.311;45.7499127310488;4.83537974683544;0.239367088607596;-0.651544348498421;4.84130084783159;4.88494666677898
1;3.849;3.3429;46.2347931115005;4.83550632911393;0.232658227848102;-0.672859755044148;4.8411002168811;4.88763660267867
1;3.863;3.3957;47.1104609598485;4.83803797468354;0.228987341772152;-0.687157054576434;4.84345399969608;4.891955791381
1;3.879;3.4661;48.4058217917779;4.83905063291139;0.227088607594936;-0.70167644995722;4.84437614802768;4.89492901930192
1;3.893;3.5574;50.1934294117494;4.83949367088607;0.227088607594936;-0.713013720220449;4.84481869900678;4.89700487966557
1;3.909;3.6685;52.5332794405753;4.84056962025316;0.221772151898735;-0.712731547035364;4.84564723601251;4.89778351849233
1;3.923;3.8005;55.5679104917263;4.83816455696203;0.224367088607595;-0.705520347127267;4.84336420999844;4.89448013898355
1;3.939;3.9545;59.0451524686818;4.83721518987342;0.225063291139241;-0.700196586599489;4.84244816989925;4.89280896194059
1;3.953;4.125;62.6850063306935;4.8393670886076;0.226265822784811;-0.701039700887603;4.84465375861463;4.89511253221817
1;3.969;4.3186;67.0632134919472;4.83860759493671;0.227911392405064;-0.700190090987551;4.8439722398634;4.89431642051108
1;3.983;4.5298;72.1663060315198;4.83708860759494;0.225379746835442;-0.686549610544942;4.84233644308286;4.89076400941077
1;3.999;4.7674;78.0168669877452;4.835;0.228607594936708;-0.670939810756161;4.8404014743059;4.88668053612268
1;4.013;5.0204;84.1877375455043;4.83443037974684;0.230696202531647;-0.658262788732555;4.83993159398784;4.88449052957539
1;4.029;5.291;90.9344133969124;4.83227848101266;0.235189873417722;-0.648238290927115;4.8379985112251;4.88123370434569
1;4.043;5.5869;98.348971108425;4.83037974683544;0.237658227848101;-0.640516439012443;4.83622269254652;4.87845377558783
1;4.059;5.9026;106.127332675453;4.82822784810126;0.243481012658229;-0.643482497519178;4.83436315937328;4.87700080800887
1;4.073;6.2392;114.73553516133;4.82386075949367;0.24113924050633;-0.648645240114427;4.82988413528677;4.87324546968629
1;4.089;6.5923;123.22343890008;4.82379746835443;0.24253164556962;-0.659516255196605;4.82989064211658;4.87471079200334
1;4.103;6.9707;132.780574780372;4.82044303797468;0.237848101265824;-0.670606875290879;4.82630736709074;4.87267445894159
1;4.119;7.3645;142.789657961255;4.81677215189874;0.237025316455696;-0.681363539160053;4.82260043585907;4.87049599491107
1;4.133;7.7814;154.362398385076;4.81310126582278;0.237658227848101;-0.662705601980552;4.81896516155998;4.86431947380363
1;4.149;8.217;166.329062920875;4.81158227848101;0.227468354430378;-0.646129319824411;4.81695607981428;4.86009762996553
1;4.163;8.6735;179.252230849001;4.8096835443038;0.225063291139241;-0.619788716968239;4.81494644636523;4.85467273202286
1;4.179;9.1476;192.840624735293;4.80696202531646;0.220316455696201;-0.595977649027509;4.81200823497685;4.84877434117379
1;4.193;9.647;207.406020200881;4.80246835443038;0.223734177215189;-0.572666966205635;4.80767711866754;4.8416636326311
1;4.209;10.1662;221.91471968462;4.80240506329114;0.218354430379748;-0.549604294307024;4.80736653992504;4.83868142467673
1;4.223;10.7052;238.185352140056;4.79620253164557;0.218037974683543;-0.525826670149393;4.80115603609875;4.829864694793
1;4.239;11.2607;253.552579584838;4.79582278481012;0.213607594936709;-0.5096171901876;4.80057750566727;4.82755156041376
1;4.253;11.8393;269.036415934188;4.79177215189873;0.212278481012659;-0.523329241513328;4.79647188141589;4.82493689121798
1;4.269;12.4377;284.037422121807;4.79075949367089;0.203670886075951;-0.543439690107299;4.79508689765188;4.82578336157111
1;4.283;13.0581;299.922057371683;4.78784810126582;0.211645569620252;-0.5565;4.79252368673694;4.82472543653363
1;4.299;13.7005;317.740250848119;4.78677215189873;0.203354430379745;-0.538327036706008;4.79108971514292;4.82123808341768
1;4.313;14.3583;336.667039738829;4.78056962025316;0.205379746835444;-0.529252562309516;4.78497928255679;4.8141598445844
1;4.329;15.0381;353.759855342354;4.78170886075949;0.207468354430379;-0.523661273750071;4.78620755370637;4.81476934824311
1;4.343;15.7377;372.95589068179;4.77784810126582;0.200949367088608;-0.517756984949374;4.78207205371298;4.81001927463566
1;4.359;16.456;392.530224022125;4.77462025316456;0.201202531645569;-0.506264499008072;4.77885771086248;4.80559931367833
1;4.373;17.1974;413.132086765172;4.77075949367088;0.201962025316455;-0.489550335793493;4.7750324403213;4.8000619097462
1;4.389;17.9608;432.641000751687;4.77145569620253;0.202658227848101;-0.470763481567293;4.7757575124935;4.79890384084902
1;4.403;18.7374;453.412678208849;4.76708860759494;0.199303797468355;-0.465743776641812;4.77125306354072;4.79393085701362
1;4.419;19.5426;474.592854206657;4.76322784810127;0.198101265822784;-0.459121300280779;4.76734555538489;4.78940246928775
1;4.433;20.361;495.129535540154;4.76120253164557;0.199367088607595;-0.451811255733457;4.76537477889915;4.78674526104905
1;4.449;21.208;515.835166074849;4.75791139240506;0.197784810126581;-0.457077377455509;4.76202054269978;4.78390628859683
1;4.463;22.0682;536.639606306245;4.75829113924051;0.197784810126581;-0.438540315288822;4.76239996187758;4.78254858888283
1;4.479;22.9504;558.075953727443;4.75588607594936;0.192974683544305;-0.433846986819495;4.75979953316293;4.77953081419823
1;4.493;23.8535;579.451577798957;4.75316455696203;0.195822784810128;-0.431145097115735;4.75719663968296;4.77669404121488
1;4.509;24.7786;600.903855566426;4.75120253164557;0.19506329113924;-0.426699652846171;4.75520506227285;4.77431123597995
1;4.523;25.7235;620.998114380523;4.74962025316456;0.192088607594936;-0.438405621173097;4.75350298016512;4.77367678745795
1;4.539;26.686;642.588239362832;4.74582278481013;0.191835443037975;-0.44503238134635;4.74969838432174;4.7705019193451
1;4.557;27.6705;661.026112690908;4.74746835443038;0.196455696202532;-0.451651976322326;4.75153139702226;4.77294878713403
1;4.569;28.677;682.23417766825;4.7446835443038;0.19367088607595;-0.458430411549711;4.74863457719171;4.77071156012752
1;4.583;29.7011;701.247922433158;4.74575949367089;0.192974683544305;-0.46287860213029;4.74968129459823;4.77218283394155
1;4.599;30.7472;733.146626595858;4.74006329113924;0.190632911392404;-0.37695336664998;4.74389512014249;4.75884804879715
1;4.613;31.8131;756.872066293454;4.73936708860759;0.189620253164557;-0.34241089516807;4.74315888843996;4.75550223027146
1;4.629;32.8988;779.455219852085;4.73981012658228;0.188164556962025;-0.310776568062453;4.74354360542291;4.75371307630207
