;idxCompression;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0;0.0;70100.869;5.104;0.0;4.2734676675387195;-2.2018015242270406;0.234;4.807333549649675;4.813025229269773
3;0;0.7899999999935972;70101.659;5.112;0.0;4.271618503923108;-2.2044928633948;0.19;4.806923488866543;4.810677023851934
6;0;1.389999999999418;70102.259;5.108;0.0;4.263869297397448;-2.217921719538813;0.204;4.806220775129937;4.810548216086251
9;0;1.9909999999945285;70102.86;5.108;0.0;4.268292830279606;-2.2141018112455124;0.19;4.808385437501547;4.812137832146639
12;0;2.5910000000003492;70103.46;5.128;0.0;4.260060912855467;-2.230178386133645;0.214;4.808514803472755;4.813274417194248
15;0;3.1899999999877764;70104.059;5.145;0.0;4.256312420780463;-2.2440337092867724;0.18;4.811640334824019;4.815005992904411
18;1;3.790999999997439;70104.66;3.084;0.0;4.202657410202729;-2.283930054679559;0.18;4.783164831176162;4.7865505118196
19;1;3.8109999999869615;70104.68;3.019;0.0;4.20048602220898;-2.2881771916950364;0.204;4.783287330211975;4.7876355002617315
20;1;3.8249999999970896;70104.694;3.088;0.0;4.202680569869537;-2.286749838893215;0.196;4.784532244434882;4.788545165082719
21;1;3.8399999999965075;70104.709;3.092;0.0;4.20016420504726;-2.2918063104872965;0.192;4.784741948543273;4.788592644415442
22;1;3.855999999999767;70104.725;3.153;0.0;4.199514957684174;-2.290546389852372;0.194;4.783568609717942;4.78750087664523
23;1;3.8699999999953434;70104.739;3.14;0.0;4.20075735892449;-2.2925673662696098;0.194;4.785627181200248;4.789557758023452
24;1;3.8849999999947613;70104.754;3.315;0.0;4.199838512522208;-2.293500032396507;0.194;4.785267592294869;4.789198464238827
25;1;3.900999999998021;70104.77;3.408;0.0;4.197618991637232;-2.296491114561258;0.194;4.784754605851003;4.788685898888377
26;1;3.914999999993597;70104.784;3.506;0.0;4.197593352389165;-2.296057952564471;0.194;4.784524226457242;4.788455708634702
27;1;3.930999999996857;70104.8;3.571;0.0;4.20148164299464;-2.2984483505705295;0.208;4.78908266964158;4.793597481710508
28;1;3.944999999992433;70104.814;3.81;0.0;4.198474537191419;-2.292035105465539;0.192;4.7833684119176025;4.787220212621426
29;1;3.9609999999956926;70104.83;3.964;0.0;4.199820004959892;-2.2902641492694733;0.206;4.7837012811723865;4.788134704401113
30;1;3.974999999991269;70104.844;4.171;0.0;4.199453252192583;-2.2900883927768394;0.204;4.783295147080313;4.787643310030737
31;1;3.9909999999945285;70104.86;4.297;0.0;4.203337511849989;-2.288913086102497;0.204;4.786143474056803;4.790489051679017
32;1;4.004999999990105;70104.874;4.658;0.0;4.202724661559288;-2.288858394310402;0.202;4.785579100807323;4.789840428457281
33;1;4.019999999989523;70104.889;4.885;0.0;4.20723219964732;-2.2847408806158924;0.2;4.787571793018535;4.791747455084284
34;1;4.035999999992782;70104.905;5.124;0.0;4.206381287523731;-2.277229542644367;0.198;4.783243452503967;4.78733975459462
35;1;4.0499999999883585;70104.919;5.356;0.0;4.208266242005551;-2.2732083936890843;0.198;4.782988727222972;4.787085247281693
36;1;4.064999999987776;70104.934;5.725;0.0;4.2117102097772605;-2.271818317528503;0.196;4.785359062703661;4.789371290576672
37;1;4.080999999991036;70104.95;6.074;0.0;4.212401084683544;-2.2654944783170454;0.194;4.782968547829697;4.786901307686228
38;1;4.095000000001164;70104.964;6.402;0.0;4.214319492287336;-2.2597138112518484;0.204;4.781923806569417;4.78627321533522
39;1;4.110999999989872;70104.98;6.686;0.0;4.215480478127724;-2.251596616614659;0.2;4.7791173856086155;4.78330042809633
40;1;4.12599999998929;70104.995;7.169;0.0;4.218843746745774;-2.244248327408589;0.198;4.778628790200403;4.782729044649318
41;1;4.139999999999418;70105.009;7.514;0.0;4.2217054550894515;-2.235777712681415;0.194;4.777185251804139;4.781122768770425
