;ExpType;ExpDay;CellID;CellName;CompNum;TpsComp;MaxIndent;MinThickness;Hysteresis;CompTime;InitialThickness;SurroundingThickness;PreviousThickness;H0Chadwick;EChadwick;CiEChadwick;R2Chadwick;FitParams;Validated;Comments;manipID;date;manip;experimentType;drug;substrate;objective magnification;scale pixel per um;objective immersion;optical index correction;magnetic field correction;cell type;cell subtype;bead type;bead diameter;normal field;ramp field;compression duration;with fluo images;bacteria;comments;cellID;meanFluoPeakAmplitude
0;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;1;1s;36.7542372379019;10.178799766316098;0.545424059491568;20.816513513513502;46.933037004217994;50.9598233286279;50.9598233286279;69.8324824576687;7473.703183158109;4619.84385674117;0.806005576703654;Strain100-R20.9;0;Bad R2 on fit ;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
1;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;2;1s;25.9820785629246;15.165123064250901;-23.925100707727104;35.2284864864865;41.1472016271755;29.2246142864196;29.2246142864196;65.5072011238457;10751.969672063;7499.260379971391;0.7397452356960871;Strain100-R20.9;0;Bad R2 on fit ;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
2;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;3;1s;24.6096525484385;51.9510574541906;-0.052278649016498;49.633;76.5607100026291;38.6130861417532;38.6130861417532;100.639245599901;16652.965488048;7176.839348696509;0.9222489556027651;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
3;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;4;1s;29.340259515829896;19.679992161568002;0.7863309877061421;64.0539189189189;49.0202516773979;53.2685194421902;53.2685194421902;67.31000146079701;13047.4649207352;4224.64835937089;0.9342525357865369;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
4;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;5;1s;72.4909110799115;70.39174381936509;0.501814694390872;78.4529736842105;142.88265489927701;44.2711430893632;44.2711430893632;169.71333079629102;7321.38484509958;1322.65651761295;0.981516235577825;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
5;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;6;1s;70.9740415485064;53.255043865750196;0.36809307516662104;92.87100000000001;124.22908541425699;68.3948045661318;68.3948045661318;173.33124544540402;4835.75434840411;1407.55279490034;0.951041438149516;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
6;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;7;1s;11.337919286814401;52.924711073091004;-1.00881377105942;5.59194736842105;64.2626303599054;50.233011704380296;;107.096552653691;12504.5797535698;15469.7291034026;0.519808232122208;Strain100-R20.9;0;Bad R2 on fit ;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
7;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;1;1s;22.721810043283803;99.3530591753897;0.5280544838132429;20.3919736842105;122.074869218673;119.233230821872;119.233230821872;145.874447312244;30533.680800655602;8024.926067012909;0.965118332941923;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
8;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;2;1s;35.907936928224395;97.02247340362291;0.32737960510049;34.6135526315789;132.930410331847;109.006385977515;109.006385977515;161.288769975611;19354.128691501002;3108.98321662996;0.9841759828738991;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
9;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;3;1s;37.013536537266;93.83942934102942;0.395334916832563;48.986567567567604;130.852965878295;120.750851147667;120.750851147667;150.54655991744;26646.8155912921;6293.44128267906;0.968286150134521;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
10;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;4;1s;27.1288777974862;107.772489631171;0.403053075677994;63.3610263157895;134.901367428657;127.15206597758801;127.15206597758801;158.17582189497;28712.8328505866;6864.8002070311795;0.9678279454947389;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
11;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;5;1s;34.8642693945412;114.15420694152;0.319247845299803;77.7575135135135;149.018476336061;130.46034966780198;130.46034966780198;174.189817322118;23069.260678075;3390.66411709572;0.988112074428023;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
12;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;6;1s;19.3269407360825;138.589443906552;0.39713678418378295;92.1588918918919;157.916384642635;145.475266487246;145.475266487246;173.871457695566;65380.1621973304;25445.0324546187;0.925291441962812;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
