cellID;Compression ;Adhesion;Minor;Majeur;Square_Mean_radius;Radius ;radius_Error;ratio_adhesion;Adhesion_angle
22-06-10_M1_P1_C10;1;10;273;290;281.6283011;17.78070542;4.351177726;1.778070542;
22-06-10_M1_P1_C10;2;10;270;294;282.2552037;;;1.778070542;
22-06-10_M1_P1_C10;3;10;264;293;278.8772131;;;1.778070542;
22-06-10_M1_P1_C10;4;10;277;299;288.2099929;;;1.778070542;
22-06-10_M1_P1_C10;5;10;263;295;279.4584048;;;1.778070542;
22-06-10_M1_P1_C10;6;10;265;285;275.1817581;;;1.778070542;
22-06-10_M1_P1_C1;1;20;277.89;311.1;294.9627621;18.84643284;4.464208258;0.942321642;
22-06-10_M1_P1_C1;2;20;286.51;314.2;300.6739265;;;0.942321642;
22-06-10_M1_P1_C1;3;20;278.9;307.6;293.6008941;;;0.942321642;
22-06-10_M1_P1_C1;4;20;276.5;306.6;291.938187;;;0.942321642;
22-06-10_M1_P1_C1;5;20;280.29;308.96;294.9735291;;;0.942321642;
22-06-10_M1_P1_C1;6;20;285.6;314.6;300.4500957;;;0.942321642;
22-06-10_M1_P1_C1;7;20;297.5;304.5;301.0203481;;;0.942321642;
22-06-10_M1_P1_C1;8;20;298;311;304.5693681;;;0.942321642;
22-06-10_M1_P1_C2;1;35;332.8;332.8;332.8;21.56496424;6.282369301;0.616141835;
22-06-10_M1_P1_C2;2;35;332.3;344.2;338.3023278;;;0.616141835;
22-06-10_M1_P1_C2;3;35;335;348;341.5618538;;;0.616141835;
22-06-10_M1_P1_C2;4;35;330;378;354.8126266;;;0.616141835;
22-06-10_M1_P1_C2;5;35;320;358;339.5320309;;;0.616141835;
22-06-10_M1_P1_C2;6;35;321;355;338.4272448;;;0.616141835;
22-06-10_M1_P1_C2;7;35;323;358;340.9494097;;;0.616141835;
22-06-10_M1_P1_C2;8;35;322;356;339.425986;;;0.616141835;
22-06-10_M1_P1_C3;1;25;320;365;343.2382554;22.19157059;5.038299768;0.887662823;
22-06-10_M1_P1_C3;2;25;326;365;346.0498519;;;0.887662823;
22-06-10_M1_P1_C3;3;25;328;367;348.0466923;;;0.887662823;
22-06-10_M1_P1_C3;4;25;328;367;348.0466923;;;0.887662823;
22-06-10_M1_P1_C3;5;25;335;371;353.4586256;;;0.887662823;
22-06-10_M1_P1_C3;6;25;340;375;357.9280654;;;0.887662823;
22-06-10_M1_P1_C3;7;25;336;369;352.8859589;;;0.887662823;
22-06-10_M1_P1_C3;8;25;339;371;355.3603805;;;0.887662823;
22-06-10_M1_P1_C5;1;25;476;478;477.0010482;30.00498428;5.038299768;1.200199371;
22-06-10_M1_P1_C5;2;25;474;479;476.5065582;;;1.200199371;
22-06-10_M1_P1_C5;3;25;468;473;470.5066418;;;1.200199371;
22-06-10_M1_P1_C5;4;25;464;481;472.5764488;;;1.200199371;
22-06-10_M1_P1_C5;5;25;464;481;472.5764488;;;1.200199371;
22-06-10_M1_P1_C5;6;25;465;476;470.5321456;;;1.200199371;
22-06-10_M1_P1_C5;7;25;472;478;475.0094736;;;1.200199371;
22-06-10_M1_P1_C5;8;25;475;475;475;;;1.200199371;
22-06-10_M1_P1_C5;9;25;477;477;477;;;1.200199371;
22-06-10_M1_P1_C6;1;5;317;317;317;19.62201494;3.594175596;3.924402989;
22-06-10_M1_P1_C6;2;5;299;320;309.6780586;;;3.924402989;
22-06-10_M1_P1_C6;3;5;305;314;309.5327123;;;3.924402989;
22-06-10_M1_P1_C6;4;5;297;320;308.7142692;;;3.924402989;
22-06-10_M1_P1_C6;5;5;299;312;305.5691411;;;3.924402989;
22-06-10_M1_P1_C6;6;5;295;318;306.7156664;;;3.924402989;
22-06-10_M1_P1_C6;7;5;308;312;310.0064515;;;3.924402989;
22-06-10_M1_P1_C6;8;5;311;315;313.0063897;;;3.924402989;
22-06-10_M1_P1_C7;1;40;;;;;;;
22-06-10_M1_P1_C7;2;40;;;;;;;
22-06-10_M1_P1_C7;3;40;;;;;;;
22-06-10_M1_P1_C7;4;40;;;;;;;
22-06-10_M1_P1_C7;5;40;;;;;;;
22-06-10_M1_P1_C7;6;40;;;;;;;
22-06-10_M1_P1_C7;7;40;;;;;;;
22-06-10_M1_P1_C7;8;40;;;;;;;
22-06-10_M1_P1_C8;1;35;360;395;377.9054114;23.63654234;2.542462587;0.675329781;
22-06-10_M1_P1_C8;2;35;355;390;372.9108473;;;0.675329781;
22-06-10_M1_P1_C8;3;35;356;392;374.4329045;;;0.675329781;
22-06-10_M1_P1_C8;4;35;357;392;374.9086555;;;0.675329781;
22-06-10_M1_P1_C8;5;35;353;393;373.5358082;;;0.675329781;
22-06-10_M1_P1_C8;6;35;346;394;370.7775613;;;0.675329781;
22-06-10_M1_P1_C8;7;35;352;394;373.5906851;;;0.675329781;
22-06-10_M1_P1_C8;8;35;348;390;369.5970779;;;0.675329781;
22-06-10_M1_P1_C9;1;15;309;353;331.7303122;21.23708471;4.794122907;1.415805648;
22-06-10_M1_P1_C9;2;15;313;364;339.4591286;;;1.415805648;
22-06-10_M1_P1_C9;3;15;311;363;338.0014793;;;1.415805648;
22-06-10_M1_P1_C9;4;15;311;369;341.2345235;;;1.415805648;
22-06-10_M1_P1_C9;5;15;314;365;340.4563114;;;1.415805648;
22-06-10_M1_P1_C9;6;15;304;353;329.4123556;;;1.415805648;
22-06-10_M1_P1_C9;7;15;303;362;333.8060814;;;1.415805648;
22-06-10_M1_P1_C9;8;15;307;352;330.267316;;;1.415805648;
