cellID;compNum;Adhesion;Minor;Majeur;Square_Mean_radius;Radius ;radius_Error;ratio_adhesion;Adhesion_angle
22-06-16_M1_P1_C1;1;5;258;281;269.7452502;17.67380679;;3.534761358;
22-06-16_M1_P1_C1;2;5;266;290;278.2588723;;;3.534761358;
22-06-16_M1_P1_C1;3;5;270;286;278.1150841;;;3.534761358;
22-06-16_M1_P1_C1;4;5;273;283;278.0449604;;;3.534761358;
22-06-16_M1_P1_C1;5;5;267;287;277.1804466;;;3.534761358;
22-06-16_M1_P1_C1;6;5;265;275;270.0462923;;;3.534761358;
22-06-16_M1_P1_C1;7;5;271;279;275.0290894;;;3.534761358;
22-06-16_M1_P1_C3;1;5;302;313;307.5491831;19.51618668;;3.903237337;
22-06-16_M1_P1_C3;2;5;301;315;308.0795352;;;3.903237337;
22-06-16_M1_P1_C3;3;5;295;320;307.7539602;;;3.903237337;
22-06-16_M1_P1_C3;4;5;305;315;310.04032;;;3.903237337;
22-06-16_M1_P1_C4;1;10;342;356;349.0701935;22.1235748;;2.21235748;
22-06-16_M1_P1_C4;2;10;344;356;350.0514248;;;2.21235748;
22-06-16_M1_P1_C4;3;10;341;356;348.5806937;;;2.21235748;
22-06-16_M1_P1_C4;4;10;348;353;350.5089157;;;2.21235748;
22-06-16_M1_P1_C4;5;10;344;357;350.5602659;;;2.21235748;
22-06-16_M1_P1_C4;6;10;343;354;348.5433976;;;2.21235748;
22-06-16_M1_P1_C6;1;15;250;253;251.5044731;15.98720339;;1.065813559;
22-06-16_M1_P1_C6;2;15;259;258;258.5004836;;;;
22-06-16_M1_P1_C6;3;15;249;257;253.0316186;;;;
22-06-16_M1_P1_C6;4;15;248;252;250.0079999;;;;
22-06-16_M1_P1_C6;5;15;249;255;252.0178565;;;;
22-06-16_M1_P1_C6;6;15;247;254;250.5244499;;;;
22-06-16_M1_P1_C7;1;25;380;381;380.5003285;24.084961;;0.96339844;
22-06-16_M1_P1_C7;2;25;376;382;379.0118732;;;;
22-06-16_M1_P1_C7;3;25;378;385;381.5160547;;;;
22-06-16_M1_P1_C7;4;25;375;387;381.0472412;;;;
22-06-16_M1_P1_C7;5;25;373;383;378.0330673;;;;
22-06-16_M1_P1_C7;6;25;370;391;380.6448476;;;;
22-06-16_M1_P1_C7;7;25;373;388;380.5739087;;;;
22-06-16_M1_P1_C7;8;25;380;386;383.0117492;;;;
22-06-16_M1_P1_C7;9;25;;;0;;;;
22-06-16_M1_P1_C8;1;25;299;302;300.5037437;18.26786477;;0.730714591;
22-06-16_M1_P1_C8;2;25;300;308;304.0263147;;;;
22-06-16_M1_P1_C8;3;25;276;287;281.5537249;;;;
22-06-16_M1_P1_C8;4;25;267;281;274.0894015;;;;
22-06-16_M1_P1_C8;5;25;273;278;275.5113428;;;;
22-06-16_M1_P1_C8;6;25;288;292;290.0068965;;;;
22-06-16_M1_P1_C8;7;25;290;291;290.5004303;;;;
22-06-16_M1_P1_C8;8;25;286;298;292.0616373;;;;
22-06-16_M1_P1_C8;9;25;293;298;295.5105751;;;;
22-06-16_M1_P1_C8;10;25;290;296;293.015358;;;;
22-06-16_M1_P1_C8;11;25;288;295;291.5210112;;;;
22-06-16_M1_P1_C8;12;25;281;290;285.5354619;;;;
22-06-16_M1_P1_C8;13;25;282;288;285.015789;;;;
22-06-16_M1_P1_C8;14;25;282;282;282;;;;
