ExpType,ExpDay,CellID,CellName,CompNum,TpsComp,MaxIndent,MinThickness,Hysteresis,CompTime,InitialThickness,SurroundingThickness,PreviousThickness,H0Chadwick,EChadwick,CiEChadwick,R2Chadwick,FitParams,Validated,Comments
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,1,2s,172.944934840564,290.896639644741,0.468070262360377,5.60015789473684,463.841574485305,172.291237622464,138.904119447371,531.398678188073,3352.5185321928,638.664232691604,0.975972466512608,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,2,4s,325.048555479297,340.247874444552,0.464736654342917,20.9670512820513,665.296429923849,231.767586592529,227.523182972302,792.775299391971,1185.29902384824,59.0560500261954,0.996431175531169,Strain100-R20.9,0,Disaligned vertically 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,3,8s,563.627072714515,90.1558502617847,0.901447961786235,40.70494375,653.7829229763,192.202442697922,262.920700809629,725.884048431981,676.576116564557,74.418427556036,0.960773628334631,Strain100-R20.9,0,Disaligned vertically & Has large jumps 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,4,2s,500.630991409836,321.764383798492,0.729998355630899,66.117052631579,822.395375208328,167.247232042662,184.655263710908,955.873791452773,685.530416886476,109.029999978454,0.983909227254403,Strain100-R20.9,0,Disaligned vertically 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,5,4s,NaN,136.139589149186,-0.10059539934516,81.47925,NaN,161.661791514067,162.303074942224,10500.9878613898,12.4475490083956,33.7213278855774,0.041726659281898,Strain100-R20.9,0,Disaligned vertically & Has too big CI on E & Has large jumps & Bad R2 on fit 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,6,8s,297.039987142742,57.6945728591669,0.623854953529782,100.98194375,354.734560001909,188.386742237372,172.066739161398,789.034178391228,615.140332585692,88.5742280425422,0.925155165060703,Strain100-R20.9,0,Disaligned vertically & Has large jumps 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,7,2s,454.49716258306,90.2983973450127,0.427557431159487,125.611078947368,544.795559928073,178.622593646372,207.903528611243,708.607566144211,819.615011682055,140.162727526884,0.971000116606986,Strain100-R20.9,0,Disaligned vertically & Has large jumps 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,8,4s,85.7999840347653,156.546785295238,0.627646859501942,140.848493670886,242.346769330004,199.388261010869,204.590640221571,2756.15980953418,64.6178902129511,148.568002701165,0.0641861596594214,Strain100-R20.9,0,Disaligned vertically & Has too big CI on E & Has large jumps & Bad R2 on fit 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,9,8s,336.561485819219,62.2660438445681,0.23454480670796,160.548370860927,398.827529663788,208.408510336882,202.701763367141,853.411385673245,456.615433510967,248.625240902857,0.381309758267897,Strain100-R20.9,0,Disaligned vertically & Has large jumps & Bad R2 on fit 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,10,2s,301.149484995582,206.205826003813,-5.42548930636162,185.376875,507.355310999395,359.688531806945,211.214829018554,557.033627617361,1804.44191405443,716.052856604887,0.95268045410102,Strain100-R20.9,0,Disaligned vertically & Has large jumps 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,11,4s,685.656996236163,204.211412800205,0.888459415024962,200.475556962025,889.868409036369,374.185434126411,417.38147902707,1154.80115425876,523.518824538797,25.5771341742102,0.995222655964587,Strain100-R20.9,0,Disaligned vertically 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,12,8s,346.606438939161,95.9223392654138,0.495423561757683,220.18752795031,442.528778204575,280.015881839675,344.036960168614,657.098530536945,802.677918541374,105.066947823033,0.935996202144972,Strain100-R20.9,0,Has large jumps 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,13,2s,158.756303077097,352.07826299778,0.732196859249951,244.971947368421,510.834566074876,331.76981391665,331.009020105902,602.961236193823,3133.32625916651,493.853165075878,0.984351648826761,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,14,4s,355.112370213373,149.234681614145,0.835966391378427,260.13953164557,504.347051827517,325.446327002367,318.81114446436,726.589695603326,958.535314221775,175.57586988993,0.923896684143157,Strain100-R20.9,0,Has large jumps 
DictyAx2-Comp,20-02-13,M1_P1_C1,20-02-13_M1_P1_C1,15,8s,296.767702211272,218.793504590272,0.854675065979256,280.00809375,515.561206801543,314.428724199006,346.908760753611,701.063786412195,1203.87358130905,73.7835940831933,0.985995695769737,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,1,2s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,2,4s,132.92638157074,198.797594304307,0.634004940678171,25.8445316455696,331.723975875047,295.957931222098,331.376945390763,414.33026636896,3629.80271181899,215.353665199757,0.994927425045054,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,3,8s,188.283163423632,230.019335644535,0.357217816013655,45.75975625,418.302499068167,379.434875117746,299.647015228248,508.504270035207,2484.82738346703,166.128146982899,0.98699591617044,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,4,2s,83.6053083892287,154.685071128004,0.591326365929645,81.42,238.290379517232,222.748411414651,311.601932278836,274.433123271866,8304.03446844618,799.738337157229,0.994330718674662,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,5,4s,76.6467806958108,153.062954554382,0.733649995603018,96.6532784810126,229.709735250192,213.958883859108,222.748411414651,248.15196397103,12089.4265729222,1012.7505072175,0.992287379084924,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,6,8s,93.7236568105567,148.680087088048,0.633214076874377,121.1599625,242.403743898605,237.217093663048,213.879381937058,250.59959343322,10600.5608795597,1279.23437967736,0.972424787879942,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,7,2s,505.050134801919,196.287626247082,0.790667281551096,150.432485714286,701.337761049001,408.583569136309,279.508904279111,640.600495589972,1012.7866030452,952.372233457925,0.721073060620095,Strain100-R20.9,0,Disaligned vertically & Has large jumps & Bad R2 on fit 
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,8,4s,153.982598248389,131.927016522815,0.395939103319128,165.492265822785,285.909614771204,230.916111937962,297.516540122755,308.294542015772,3824.39992756409,671.876560673093,0.96760997953323,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,9,8s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,10,2s,144.49772851969,556.295439050468,-0.666879064599308,209.075052631579,700.793167570157,729.393986194666,820.236606244129,812.633179300928,3838.02895671967,1778.38232018955,0.870332925351105,Strain100-R20.9,0,Disaligned vertically & Has large jumps & Bad R2 on fit 
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,11,4s,304.118143989881,921.75944118767,0.837812978904734,224.130948717949,1225.87758517755,1075.14004605488,782.845176073578,1346.43176201728,1863.83932464289,186.266325544384,0.987526019865096,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C2,20-02-13_M1_P1_C2,12,8s,515.592563572705,641.338933949913,0.982283177463709,243.6809875,1156.93149752262,789.552164167822,1042.34135207855,1306.64435527802,649.743354134112,53.9361152607269,0.982167757948886,Strain100-R20.9,0,Disaligned vertically & Has large jumps 
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,1,2s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,2,4s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,3,8s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,4,2s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,5,4s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,6,8s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,7,2s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,8,4s,51.3339982145535,104.482826498687,-4.37112363565956,139.826897435897,155.816824713241,708.552415043232,402.72782683108,1113.48740473956,247.702745729088,544.667170594366,0.0750241348568446,Strain100-R20.9,0,Disaligned vertically & Has too big CI on E & Has large jumps & Bad R2 on fit 
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,9,8s,537.620672271645,301.740809254881,0.0254557041648358,159.174590062112,839.361481526526,369.015764105545,856.222451527829,946.318582367135,646.982170221247,74.6218599478689,0.959509619689429,Strain100-R20.9,1,Succes!
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,10,2s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,11,4s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,12,8s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,13,2s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,14,4s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,15,8s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,16,2s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,17,4s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,18,8s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C3,20-02-13_M1_P1_C3,19,2s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Prob from V2D : NoPts
DictyAx2-Comp,20-02-13,M1_P1_C4,20-02-13_M1_P1_C4,1,2s,-246.644874797085,540.888801931684,0.783815726755187,5.3891052631579,294.243927134599,287.140112533229,286.116642097167,1143.12979654622,643.567405269406,811.513279840276,0.528789955952356,Strain100-R20.9,0,Disaligned vertically & Has large jumps & Bad R2 on fit 
DictyAx2-Comp,20-02-13,M1_P1_C4,20-02-13_M1_P1_C4,2,4s,37.5758191628524,178.935883039401,0.552967352977998,25.9287848101266,216.511702202253,196.343654123026,253.064153490159,251.147732777541,20462.8186592022,9944.77591225864,0.79757220240324,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyAx2-Comp,20-02-13,M1_P1_C4,20-02-13_M1_P1_C4,3,8s,59.6745295555764,159.101089217068,0.465360347932631,45.540347826087,218.775618772645,200.744670688549,192.747522353892,225.742871420374,20521.0083288619,2000.0322669645,0.980946316752411,Strain100-R20.9,1,Succes!
