cellID;meanFluoPeakAmplitude
21-01-18_M1_P1_C5;1798.786253
21-01-18_M1_P1_C6;768.1929444
21-01-18_M1_P1_C7;686.7012033
21-01-18_M1_P1_C8;1655.53462
21-01-18_M1_P1_C9;187.5600429
21-01-18_M3_P1_C1;343.5031699
21-01-18_M3_P1_C2;1016.05729
21-01-18_M3_P1_C3;543.9514597
21-01-18_M3_P1_C4;436.3936695
21-01-18_M3_P1_C5;298.6030547
21-01-18_M3_P1_C6;775.311502
21-01-18_M3_P1_C7;432.0688204
21-01-21_M2_P1_C10;133.5276623
21-01-21_M2_P1_C11;358.3035862
21-01-21_M2_P1_C1;52.15326636
21-01-21_M2_P1_C2;273.3360135
21-01-21_M2_P1_C3-1;83.18677741
21-01-21_M2_P1_C4;312.1262178
21-01-21_M2_P1_C5;128.3860454
21-01-21_M2_P1_C6;148.4524488
21-01-21_M2_P1_C7;171.5834486
21-01-21_M2_P1_C8;120.5637619
21-01-21_M2_P1_C9;687.2698407
