;cell type;cell subtype;bead type;drug;substrate;compNum;EChadwick;H0Chadwick;surroundingThickness;ctFieldThickness
0;3T3;aSFL;M450;none;BSA coated glass;5;13513.668866205908;66.96835828766784;30.115780409660147;49.05063664636009
1;3T3;aSFL;M450;none;BSA coated glass;6;6585.285804393034;175.66393992300232;68.75036948102525;49.05063664636009
2;3T3;aSFL;M450;none;BSA coated glass;7;4342.729857865464;181.76120446862805;94.48237424710987;49.05063664636009
3;3T3;aSFL;M450;none;BSA coated glass;1;26847.070895851597;173.34599306885684;137.22109295770997;131.7174770138049
4;3T3;aSFL;M450;none;BSA coated glass;2;28190.336394793347;147.9228606866759;106.96358789755504;131.7174770138049
5;3T3;aSFL;M450;none;BSA coated glass;3;22151.38455947789;157.80767122411382;120.38752729925956;131.7174770138049
6;3T3;aSFL;M450;none;BSA coated glass;4;34464.38031004231;145.25431390629103;125.27579294311;131.7174770138049
7;3T3;aSFL;M450;none;BSA coated glass;5;35981.53471658843;153.83323398510404;129.0589717689004;131.7174770138049
8;3T3;aSFL;M450;none;BSA coated glass;6;26070.212542915568;171.29736314377075;141.08019899858482;131.7174770138049
9;3T3;aSFL;M450;none;BSA coated glass;8;44112.78168925037;180.297265848136;158.36117739777;131.7174770138049
10;3T3;aSFL;M450;none;BSA coated glass;9;23934.250774101405;212.6685324583008;163.02352750287537;131.7174770138049
11;3T3;aSFL;M450;none;BSA coated glass;1;5413.3364816081485;192.41921784806453;118.52255243355512;207.74933445384025
12;3T3;aSFL;M450;none;BSA coated glass;2;4952.5365294343965;345.7380531816725;231.17025782431983;207.74933445384025
13;3T3;aSFL;M450;none;BSA coated glass;3;5770.893587344942;278.2134468039105;192.82915118099027;207.74933445384025
14;3T3;aSFL;M450;none;BSA coated glass;4;4033.196212505235;395.28574781565743;265.9784000694799;207.74933445384025
15;3T3;aSFL;M450;none;BSA coated glass;5;4301.953714203596;441.0529970115391;305.3159357027703;207.74933445384025
16;3T3;aSFL;M450;none;BSA coated glass;6;4497.461784577118;368.00219420510695;247.99117244389527;207.74933445384025
17;3T3;aSFL;M450;none;BSA coated glass;7;6962.666649719275;235.8066972968604;155.91208759279016;207.74933445384025
18;3T3;aSFL;M450;none;BSA coated glass;8;12427.534547592291;208.16906006439416;149.24067226521493;207.74933445384025
19;3T3;aSFL;M450;doxycyclin;BSA coated glass;1;10520.2871154436;79.42179446704553;36.443685254494994;30.923527429874863
20;3T3;aSFL;M450;doxycyclin;BSA coated glass;2;19906.68957971971;63.35616558272817;32.12077876380499;30.923527429874863
21;3T3;aSFL;M450;doxycyclin;BSA coated glass;3;11555.2797868094;51.83523677144409;18.27623897737976;30.923527429874863
22;3T3;aSFL;M450;doxycyclin;BSA coated glass;4;15400.672913390195;38.3534057014908;16.4713404737945;30.923527429874863
23;3T3;aSFL;M450;doxycyclin;BSA coated glass;5;17892.46372978063;61.90224386818132;33.01384109414039;30.923527429874863
24;3T3;aSFL;M450;doxycyclin;BSA coated glass;6;13256.155550643462;84.07861694907761;41.67007935799484;30.923527429874863
25;3T3;aSFL;M450;doxycyclin;BSA coated glass;1;7038.313178139051;230.48866857025536;153.48683221784495;226.45467480714524
