 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
1	1050.080	1012.100	1015.278	1043.974	1062.820	1026.891	1038.053	1040.344	1059.889	1061.223	1073.286
2	1080.613	1017.493	1026.074	1041.530	1061.059	1033.220	1048.987	1072.357	1064.687	1040.336	1069.407
3	1088.542	1026.350	995.378	1017.123	1038.288	1055.410	1042.581	1088.411	1077.532	1052.436	1072.380
4	1079.235	1022.102	1011.852	1034.375	1054.166	1038.240	1039.272	1064.292	1065.573	1084.697	1094.721
5	1073.125	1052.858	1018.805	1043.702	1034.809	1072.355	1051.753	1063.481	1073.264	1062.587	1118.580
6	1080.059	1076.761	1007.590	1039.311	1046.183	1071.662	1063.052	1062.030	1089.746	1057.281	1137.687
7	1101.469	1053.939	1001.210	1041.038	1034.828	1085.883	1071.242	1069.364	1067.418	1072.790	1139.473
8	1133.462	1048.465	986.279	1051.025	1052.006	1068.715	1079.975	1089.745	1067.785	1117.316	1116.944
9	1151.406	1082.733	1002.477	1037.973	1088.386	1056.901	1078.229	1122.883	1109.964	1122.516	1126.985
10	1140.695	1073.290	1009.005	1031.701	1077.253	1068.172	1090.801	1137.186	1122.814	1137.212	1164.415
11	1139.502	1104.557	1016.816	1061.507	1086.982	1079.686	1112.685	1139.093	1141.681	1121.872	1142.557
12	1134.790	1116.136	1028.735	1085.794	1087.631	1078.745	1119.179	1128.837	1143.381	1145.938	1157.916
13	1130.189	1085.100	1021.612	1118.136	1114.659	1111.601	1133.801	1152.133	1142.854	1134.186	1137.159
14	1152.288	1081.166	1035.917	1131.165	1124.597	1120.031	1133.976	1146.520	1148.827	1121.768	1123.664
15	1175.557	1081.115	1060.065	1135.519	1121.640	1168.066	1161.508	1153.616	1158.166	1103.789	1102.322
16	1138.130	1098.944	1059.517	1135.238	1172.671	1161.772	1165.537	1163.813	1150.751	1119.901	1085.980
17	1143.025	1085.986	1087.692	1139.930	1188.867	1169.623	1174.632	1156.337	1135.754	1109.048	1087.454
18	1126.473	1100.309	1103.081	1150.794	1183.695	1181.032	1188.220	1170.436	1134.722	1100.166	1098.824
19	1140.756	1138.158	1140.948	1170.912	1212.032	1181.773	1184.851	1179.413	1125.436	1107.437	1125.345
20	1128.778	1125.101	1133.761	1176.779	1218.367	1189.716	1205.170	1178.323	1104.339	1111.718	1153.554
21	1158.122	1152.053	1145.515	1177.333	1189.398	1195.568	1193.928	1176.253	1127.013	1124.150	1166.840
22	1179.028	1174.355	1151.276	1180.302	1203.025	1209.110	1195.174	1163.339	1148.148	1149.288	1161.957
23	1175.822	1206.362	1152.499	1206.147	1194.657	1201.758	1194.061	1159.562	1125.408	1163.008	1174.524
24	1171.613	1206.089	1165.127	1208.857	1207.044	1190.678	1197.138	1172.824	1134.686	1187.155	1184.323
25	1163.941	1227.718	1191.168	1202.350	1201.956	1165.323	1204.003	1200.569	1147.058	1191.486	1174.175
26	1147.293	1231.970	1173.664	1204.076	1190.184	1177.657	1210.896	1188.758	1156.260	1177.959	1151.206
27	1115.805	1233.510	1204.987	1203.958	1206.210	1168.317	1220.015	1194.095	1163.861	1152.722	1134.254
28	1113.085	1234.726	1213.471	1209.084	1192.561	1211.228	1192.854	1212.418	1168.352	1142.225	1131.639
29	1103.378	1248.178	1218.559	1214.928	1201.635	1210.601	1205.441	1210.279	1163.163	1136.524	1107.388
30	1087.499	1245.045	1242.948	1214.009	1223.862	1196.770	1205.339	1209.564	1144.231	1120.940	1101.824
31	1082.448	1251.825	1259.939	1213.558	1217.572	1183.919	1192.124	1172.853	1152.732	1107.737	1076.874
32	1077.768	1278.515	1263.023	1224.117	1204.942	1173.598	1180.127	1173.968	1122.670	1118.971	1066.256
33	1073.010	1278.095	1293.091	1227.121	1175.607	1150.071	1186.886	1155.584	1109.787	1106.582	1086.513
34	1085.596	1302.190	1278.985	1199.727	1184.205	1155.910	1157.563	1144.003	1101.537	1066.829	1052.089
35	1072.226	1307.202	1282.185	1185.558	1178.461	1143.411	1167.283	1125.314	1095.362	1064.056	1050.839
36	1077.875	1307.560	1271.237	1180.823	1158.724	1144.653	1149.860	1102.200	1093.223	1081.062	1077.283
37	1103.024	1305.991	1266.372	1184.651	1160.214	1120.265	1110.575	1088.736	1089.983	1079.061	1080.920
38	1143.489	1312.084	1235.894	1174.177	1151.753	1127.450	1124.850	1088.801	1084.797	1069.279	1107.108
39	1144.044	1320.646	1230.012	1171.654	1132.785	1097.404	1112.253	1082.206	1073.827	1084.962	1148.946
40	1182.694	1297.497	1252.132	1145.695	1118.663	1093.458	1121.010	1087.070	1056.054	1103.797	1148.249
41	1233.976	1276.844	1232.799	1152.202	1113.514	1096.477	1109.878	1111.745	1093.815	1129.536	1219.981
42	1272.164	1245.811	1194.538	1121.944	1110.681	1081.874	1120.599	1099.782	1107.184	1180.687	1229.092
43	1300.305	1240.012	1207.332	1121.618	1107.591	1087.391	1131.729	1120.397	1137.290	1217.874	1282.054
44	1308.444	1213.147	1172.559	1124.979	1109.469	1083.118	1147.516	1119.182	1152.527	1247.492	1288.057
45	1337.939	1197.887	1152.059	1106.762	1128.273	1117.268	1164.036	1117.413	1193.122	1302.769	1296.833
