 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	840.327	840.327	856.062	845.343	833.144	822.754	805.779	847.093	824.138	835.822
2	848.964	848.964	850.708	851.888	847.014	810.551	794.091	848.296	836.216	813.762
3	858.113	858.113	849.442	849.837	824.204	793.814	797.503	836.585	844.707	807.994
4	861.466	861.466	852.011	852.531	839.350	800.330	813.341	853.621	870.431	811.882
5	866.079	866.079	849.125	856.988	834.046	793.680	821.829	821.777	856.463	833.875
6	851.443	851.443	874.190	851.863	831.016	805.622	840.026	834.683	844.044	824.831
7	846.316	846.316	877.413	866.185	834.715	788.028	839.354	852.424	830.478	814.957
8	839.764	839.764	874.157	853.034	816.925	801.961	834.941	845.980	837.732	817.762
9	835.358	835.358	860.928	854.769	812.245	792.021	820.970	836.637	830.480	797.464
10	837.118	837.118	872.764	863.211	802.708	764.046	823.465	836.413	794.740	804.977
11	848.278	848.278	861.165	845.892	810.348	778.295	819.996	849.513	799.770	801.600
12	833.853	833.853	869.416	839.916	812.275	780.226	806.940	850.106	812.003	792.319
13	837.458	837.458	844.985	850.258	796.263	775.845	818.836	849.348	803.651	790.731
14	838.129	838.129	825.925	825.953	795.171	799.086	822.275	843.528	820.063	799.352
15	831.556	831.556	839.522	839.732	781.658	786.655	809.958	837.393	802.401	803.366
16	826.055	826.055	829.484	839.936	794.713	775.800	794.788	823.174	808.455	802.703
17	820.234	820.234	821.883	813.425	796.643	788.965	798.943	850.607	807.187	783.959
18	798.298	798.298	804.189	822.855	789.270	780.881	780.429	822.986	803.924	775.763
19	795.116	795.116	804.311	807.956	778.542	759.104	778.639	826.284	792.464	806.174
20	832.209	832.209	794.167	820.488	789.598	774.605	777.876	825.769	793.333	795.753
21	820.790	820.790	799.248	819.456	777.657	764.976	766.201	812.515	788.818	791.528
