 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
1	340.163	353.827	362.345	361.388	350.895	342.900	345.991	357.271
2	350.245	372.526	366.810	364.607	357.110	353.613	351.401	348.959
3	358.879	374.415	357.289	359.818	352.529	352.265	357.794	353.030
4	356.239	361.333	348.403	366.651	356.378	354.305	358.900	347.857
5	358.325	370.548	363.471	362.619	365.071	365.392	353.734	355.173
6	356.429	369.540	362.184	364.223	352.555	360.355	346.753	352.397
7	358.602	365.650	364.137	373.078	344.846	371.494	360.687	348.596
8	371.867	372.070	378.625	352.606	356.711	373.932	366.774	350.936
9	362.370	359.809	365.084	362.555	356.344	375.396	367.203	362.832
10	372.488	361.727	358.350	365.432	350.552	370.973	375.447	363.019
11	363.476	372.422	369.942	372.532	357.937	368.864	375.118	363.467
12	365.274	379.395	371.074	369.918	365.122	360.809	369.555	371.704
13	363.509	382.517	369.857	385.047	363.762	372.735	368.045	371.367
14	378.058	377.965	373.866	378.462	347.936	374.191	361.957	362.659
15	372.213	364.798	375.068	371.534	363.491	369.057	359.878	368.103
16	360.553	373.112	378.111	362.956	366.078	365.726	357.985	361.507
17	370.716	371.906	380.980	372.318	369.112	366.514	360.539	376.905
18	367.570	375.256	378.175	367.495	356.066	368.463	370.657	375.928
19	367.009	375.088	367.358	376.433	363.554	361.270	369.613	375.864
20	376.823	377.227	370.606	384.981	368.838	365.709	373.527	370.412
21	376.627	386.288	383.400	375.917	362.532	372.885	372.458	383.299
22	362.050	389.618	381.815	370.938	369.442	374.427	368.647	379.601
23	365.077	379.184	390.183	390.737	373.519	375.424	383.820	369.163
24	376.267	379.953	397.150	374.568	357.011	362.972	368.639	376.203
25	376.688	375.358	397.477	374.994	366.038	365.609	380.437	368.869
26	385.584	376.743	394.221	382.222	367.713	376.910	372.644	379.929
27	388.284	378.788	398.063	381.233	382.696	375.141	377.553	368.050
28	387.937	376.879	398.358	376.837	383.904	385.315	377.928	375.846
29	387.532	393.379	382.055	385.453	377.516	383.309	381.871	376.146
30	378.866	391.723	388.583	388.521	376.000	384.430	381.797	391.109
31	380.472	393.625	385.090	391.913	377.432	377.060	392.175	388.755
32	378.565	385.516	392.051	390.243	379.293	396.411	386.655	395.407
33	379.709	398.325	401.342	396.164	381.555	401.142	385.426	405.264
34	391.441	409.899	404.833	382.513	378.842	402.157	385.166	388.922
35	390.738	410.413	400.182	392.345	377.674	394.015	385.843	397.304
36	400.222	393.682	390.613	392.778	379.699	386.615	392.169	378.148
37	383.102	409.571	388.051	400.010	384.275	379.553	388.591	384.993
38	385.539	409.197	404.837	400.176	388.865	396.554	390.083	401.593
39	406.702	400.991	408.093	398.285	389.671	404.958	403.860	392.974
40	401.044	405.730	407.796	400.964	393.522	413.066	404.908	398.689
41	397.294	396.843	410.511	415.607	388.631	411.367	408.754	395.473
42	387.763	413.910	409.681	420.889	392.649	402.521	413.815	406.389
43	396.988	417.368	416.771	419.746	402.259	408.912	401.543	422.291
44	393.327	406.613	408.250	422.509	397.480	405.383	395.050	402.577
45	402.332	418.784	421.527	415.934	401.449	398.528	397.464	409.924
46	417.802	421.808	409.386	413.074	406.385	414.114	407.802	403.869
47	415.937	434.332	416.582	428.728	398.693	410.370	412.902	407.667
48	407.008	444.884	432.893	415.114	411.574	415.522	413.852	407.385
49	406.778	436.258	429.606	426.861	405.292	416.383	419.680	432.449
50	418.826	428.251	423.612	427.314	410.826	430.944	419.984	419.708
51	424.780	429.592	442.056	419.457	411.591	414.666	421.195	426.934
52	424.036	434.864	442.857	429.435	423.830	415.298	431.809	452.537
53	425.115	439.966	436.544	442.081	421.212	442.224	435.929	431.917
54	428.776	445.505	438.398	441.017	412.001	436.106	448.564	436.543
55	428.298	440.961	444.428	442.617	424.236	447.328	441.856	436.053
56	425.861	446.137	452.441	431.752	434.997	430.872	448.045	439.708
57	435.300	447.057	440.353	432.177	435.102	435.590	433.405	447.756
58	443.911	454.910	449.128	441.395	422.515	443.348	439.838	452.695
59	421.592	445.810	442.371	448.359	423.849	450.807	445.393	451.180
60	440.073	461.265	442.669	432.313	437.775	441.030	456.109	449.701
61	438.099	453.403	464.277	444.849	444.091	467.212	450.923	460.914
62	436.648	453.580	452.971	463.045	439.740	447.774	455.947	462.299
63	440.332	473.876	457.842	468.780	444.858	455.202	463.774	458.820
64	450.128	490.626	466.873	464.855	459.548	451.313	470.095	461.759
65	452.748	489.728	469.088	478.959	458.382	471.906	464.182	470.537
66	461.685	485.935	481.030	463.767	453.876	469.039	457.012	458.153
67	471.556	506.326	481.352	480.621	465.211	489.422	472.046	478.170
68	466.046	504.911	489.844	487.701	471.108	471.070	478.561	485.572
69	463.448	501.939	493.857	474.668	474.951	475.838	478.752	491.444
70	482.594	521.008	507.624	498.017	501.075	487.407	492.559	495.116
71	484.042	531.660	512.974	504.073	481.591	502.358	498.124	489.507
72	485.104	533.576	511.093	502.069	485.987	501.947	503.521	498.394
73	492.274	531.522	521.091	519.699	500.969	487.466	489.764	517.376
74	511.390	527.185	521.582	521.025	514.179	506.951	516.450	504.781
75	502.213	543.980	528.169	533.571	506.936	525.650	512.468	516.324
76	510.394	552.263	549.298	528.269	510.275	517.779	523.631	525.393
77	538.065	551.570	557.468	536.716	511.568	526.900	535.614	534.030
78	536.502	551.126	560.978	567.716	525.056	532.918	541.588	545.662
79	532.060	556.686	560.939	543.178	536.200	550.222	540.963	547.624
80	543.323	572.765	556.259	564.614	536.599	560.137	534.082	568.707
81	550.475	590.165	560.686	552.467	550.192	565.074	549.029	569.797
82	545.933	579.433	575.289	569.502	539.512	577.057	569.327	560.056
83	555.237	600.973	588.685	573.411	562.179	585.427	558.991	579.673
84	580.619	611.662	608.746	581.919	579.910	577.292	583.778	578.624
85	595.830	643.487	603.162	606.830	592.979	602.653	574.181	584.204
86	585.499	637.173	602.771	611.973	579.528	612.381	585.154	598.066
87	625.435	653.649	625.685	631.131	591.229	622.215	607.025	617.784
88	617.746	657.161	661.553	624.820	613.010	629.292	609.575	608.696
89	623.642	665.491	639.926	638.602	613.453	642.250	637.240	629.975
90	639.380	668.686	641.742	650.693	639.812	639.162	642.272	633.263
91	634.476	685.122	687.686	656.981	622.329	637.775	629.242	656.302
92	648.175	687.130	680.314	674.504	634.079	639.309	658.248	663.114
93	662.868	700.007	689.407	669.804	655.725	659.567	667.064	668.245
94	661.568	732.061	721.015	696.232	667.038	684.045	683.686	677.187
95	678.221	738.195	725.973	711.966	686.074	712.916	681.799	695.997
96	688.399	770.316	732.387	727.162	701.330	714.901	695.269	723.829
97	719.951	785.136	757.491	758.194	705.690	753.078	736.676	730.916
98	712.258	806.867	773.790	760.602	706.841	767.175	723.873	744.441
99	746.621	813.451	760.647	792.001	725.910	777.077	764.733	769.624
100	769.564	829.170	797.757	830.351	754.720	797.018	780.752	788.411
101	804.045	847.548	834.726	829.573	774.093	816.703	791.623	810.984
102	799.304	870.575	854.983	840.741	793.761	825.774	813.346	805.593
103	818.275	910.849	876.003	868.559	841.629	866.239	821.741	838.186
104	838.653	919.718	903.688	888.155	858.311	871.948	850.346	848.194
105	864.962	940.350	927.792	906.536	877.404	903.192	881.475	893.046
106	884.785	970.673	942.300	965.466	910.783	939.452	909.179	909.483
107	885.759	999.778	991.824	976.532	914.218	943.052	927.809	943.590
108	928.518	1033.776	996.342	1009.387	950.854	983.421	956.878	973.281
109	971.678	1058.563	1025.915	1050.212	984.507	1021.211	996.512	992.983
110	997.636	1075.443	1063.496	1069.187	1006.378	1030.435	1001.172	1029.714
111	1021.008	1103.546	1083.880	1117.754	1029.349	1084.663	1051.034	1066.674
112	1043.031	1163.721	1131.666	1132.706	1102.561	1110.356	1092.395	1099.814
113	1083.914	1191.455	1154.104	1177.725	1121.879	1157.999	1113.240	1127.972
114	1138.952	1211.889	1201.196	1226.644	1151.619	1233.737	1135.803	1204.791
115	1197.356	1253.683	1250.105	1280.956	1174.994	1282.565	1207.395	1276.660
116	1217.974	1311.001	1310.773	1315.888	1238.546	1310.952	1226.884	1305.753
117	1261.289	1377.635	1360.878	1367.900	1287.862	1363.963	1297.173	1378.337
118	1297.901	1437.302	1416.033	1431.037	1321.876	1447.401	1377.276	1435.809
119	1341.299	1496.529	1504.565	1526.279	1387.794	1518.277	1420.824	1495.340
120	1401.903	1575.229	1562.371	1630.223	1470.350	1600.644	1524.314	1571.874
121	1467.780	1659.225	1659.570	1686.721	1605.720	1715.026	1637.382	1643.150
122	1528.003	1732.892	1771.230	1737.995	1685.437	1848.484	1747.093	1697.055
123	1542.461	1857.164	1871.845	1835.731	1782.333	1949.465	1790.020	1747.059
124	1628.135	1909.176	1930.374	1909.635	1917.192	2013.576	1881.157	1824.924
125	1695.628	1944.723	1997.002	1939.481	1990.051	2061.766	1948.998	1920.035
126	1780.798	2019.285	2032.888	1967.045	2016.595	2113.527	2014.596	1989.774
127	1874.435	2103.084	2076.432	2028.175	2049.250	2148.555	2059.990	2051.702
128	1922.265	2145.346	2107.439	2041.561	2063.225	2203.191	2121.219	2087.946
129	1999.496	2231.708	2168.823	2120.785	2090.940	2234.202	2190.577	2147.785
130	2096.391	2300.540	2200.440	2199.202	2171.891	2291.646	2205.123	2231.301
131	2161.813	2390.924	2314.719	2285.948	2231.464	2398.632	2250.611	2291.720
132	2234.816	2425.836	2408.111	2353.351	2309.670	2415.877	2347.101	2335.861
133	2299.511	2541.076	2476.879	2411.664	2348.446	2453.898	2387.928	2388.865
134	2340.866	2597.454	2544.946	2497.041	2407.402	2540.409	2411.333	2458.994
135	2395.617	2628.226	2672.282	2588.304	2486.299	2601.549	2513.005	2494.269
136	2481.434	2691.299	2763.391	2661.199	2554.705	2662.078	2551.551	2544.308
137	2547.562	2771.458	2796.309	2703.301	2618.138	2677.597	2577.937	2636.711
138	2589.667	2860.750	2852.244	2795.862	2690.274	2749.824	2663.857	2667.587
139	2696.515	2914.961	2945.373	2891.510	2760.287	2836.540	2711.717	2703.622
140	2769.310	3004.123	3050.589	2944.269	2857.125	2935.798	2767.395	2821.979
141	2842.368	3112.087	3107.074	3014.541	2919.691	2977.824	2877.097	2881.482
142	2943.824	3191.637	3141.452	3137.544	3019.137	3066.009	2933.946	2956.159
143	3011.873	3254.918	3150.698	3181.342	3077.902	3134.463	2979.158	3020.548
144	3068.092	3222.005	3168.790	3193.462	3113.149	3138.557	3035.510	3063.757
145	3120.908	3217.516	3122.631	3190.909	3067.071	3104.751	3093.885	3085.999
146	3174.265	3088.519	3072.647	3067.128	2951.222	2952.029	3031.401	3090.649
147	3171.594	2913.267	2970.100	2996.570	2843.725	2862.771	2980.355	3020.515
148	3178.335	2783.236	2805.476	2853.347	2781.302	2779.219	2890.290	2893.593
149	3148.363	2704.410	2702.361	2753.331	2604.909	2645.836	2789.560	2773.302
150	3062.005	2663.992	2636.624	2679.792	2539.873	2597.424	2672.509	2669.396
151	2982.083	2610.135	2607.489	2648.403	2504.559	2534.351	2613.226	2583.398
152	2880.049	2613.549	2567.922	2629.404	2504.336	2517.068	2556.288	2548.808
153	2841.230	2608.366	2549.992	2585.907	2465.520	2489.856	2479.491	2564.743
154	2769.007	2566.191	2512.007	2577.718	2462.516	2480.164	2447.750	2516.856
155	2715.705	2495.306	2462.997	2530.320	2393.930	2456.034	2467.823	2512.673
156	2670.412	2463.967	2427.667	2466.621	2354.722	2467.929	2490.611	2448.166
157	2658.581	2463.190	2404.604	2455.113	2384.459	2413.168	2465.274	2441.205
158	2603.801	2468.810	2384.184	2442.713	2333.422	2412.111	2458.847	2417.341
159	2559.007	2423.597	2365.168	2430.967	2302.873	2360.398	2459.650	2374.557
160	2547.775	2407.113	2317.488	2400.047	2281.695	2326.990	2389.561	2346.504
161	2485.752	2386.866	2310.859	2417.834	2287.943	2284.754	2371.904	2328.223
162	2446.294	2377.614	2312.209	2357.740	2250.401	2312.463	2379.921	2296.264
163	2416.016	2397.174	2293.919	2339.415	2231.675	2292.156	2352.836	2301.204
164	2411.878	2365.137	2224.540	2316.518	2214.688	2258.618	2340.540	2293.559
165	2340.623	2258.077	2203.448	2285.028	2188.800	2199.201	2297.769	2238.893
166	2311.480	2256.391	2178.563	2241.430	2153.292	2190.503	2266.060	2169.252
167	2278.741	2216.731	2122.227	2205.536	2142.398	2144.401	2220.320	2191.908
168	2259.023	2232.492	2130.070	2169.827	2137.910	2118.675	2251.480	2113.300
169	2252.363	2193.131	2078.438	2124.066	2078.416	2087.042	2225.650	2076.068
170	2219.619	2166.853	2049.646	2083.848	2064.379	2085.106	2185.273	2100.219
171	2182.141	2170.540	2044.811	2096.520	2027.919	2046.696	2176.313	2091.579
172	2130.371	2143.201	2064.067	2075.964	2010.556	2054.260	2147.954	2082.326
173	2170.886	2087.855	2028.954	2093.883	2021.541	2041.453	2154.071	2029.971
174	2138.511	2077.036	2014.169	2048.850	1975.778	1994.226	2115.456	2033.623
175	2091.987	2055.501	1970.598	2010.762	1996.415	1991.623	2093.435	1979.638
176	2050.835	1992.549	1978.368	1929.116	1951.912	1955.376	2064.469	1983.184
177	2072.124	1990.810	1908.340	1956.564	1949.238	1942.714	2002.306	1947.448
178	2067.452	1924.445	1900.548	1926.470	1910.563	1903.869	1948.331	1947.037
179	2026.866	1892.468	1853.264	1899.982	1881.422	1930.002	1932.365	1906.162
