 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22	Profile_Slice_23	Profile_Slice_24
1	176.417	176.417	182.038	182.838	175.609	181.694	178.990	177.975	180.045	182.367	179.196	181.113	184.612	180.846	180.665	179.107	179.882	180.877	180.607	178.885	179.183	181.213	179.411	178.068
2	176.770	176.770	180.462	184.256	174.852	178.369	181.086	180.321	174.637	179.982	178.397	177.241	190.371	175.155	183.975	173.436	181.053	177.588	176.076	175.069	184.621	185.208	178.732	179.010
3	178.374	178.374	174.200	180.964	174.352	178.288	181.278	176.218	176.005	182.637	179.072	178.920	186.606	179.836	181.129	174.082	179.302	179.102	184.011	178.646	178.525	182.342	185.816	177.994
4	178.560	178.560	179.763	174.557	176.412	172.617	179.144	170.916	179.948	181.714	174.000	175.658	182.778	181.506	180.355	179.962	176.313	182.736	176.819	175.186	177.789	185.544	180.612	176.770
5	183.162	183.162	176.324	173.941	179.105	184.737	176.219	173.578	183.136	179.293	173.514	180.362	184.765	183.768	178.318	180.284	179.679	183.965	179.896	175.266	179.461	182.339	178.751	179.125
6	183.812	183.812	180.432	178.723	182.941	186.917	179.479	171.211	184.779	183.027	177.719	175.824	182.694	175.959	186.217	180.632	184.505	179.724	179.260	181.276	181.549	182.507	181.877	176.994
7	179.935	179.935	180.699	179.374	180.155	177.530	183.230	180.719	181.571	176.318	181.928	177.614	189.075	185.739	180.613	185.684	175.856	180.274	177.522	175.548	183.661	180.849	180.988	176.714
8	177.833	177.833	179.807	179.658	178.278	179.040	180.642	177.556	182.410	178.438	177.035	176.170	192.444	183.381	176.928	184.796	179.769	175.011	182.664	182.429	187.866	183.363	182.182	183.144
9	183.075	183.075	177.556	179.720	183.387	176.213	174.661	180.378	185.186	178.855	180.138	182.008	185.948	180.113	183.449	178.043	174.001	180.344	179.526	178.990	184.624	187.947	176.299	180.577
10	179.059	179.059	174.023	175.649	178.293	173.686	179.692	180.127	181.209	172.535	173.376	182.084	186.524	180.879	180.158	180.121	177.386	178.530	176.219	175.617	180.268	187.244	179.146	180.975
11	181.603	181.603	181.987	178.967	182.741	177.311	176.557	176.761	175.159	178.397	172.952	178.618	182.506	178.598	181.207	180.870	178.005	180.697	182.323	183.813	181.920	178.906	179.645	179.057
12	181.822	181.822	182.309	174.636	183.354	184.304	182.732	177.919	177.097	181.741	176.404	176.747	186.163	181.507	182.244	184.621	180.613	177.801	183.271	178.365	180.249	181.517	177.760	171.976
13	179.397	179.397	182.863	179.264	177.367	178.644	178.913	174.560	179.024	179.751	183.360	178.348	186.577	180.120	179.784	180.999	181.767	178.725	177.626	178.560	179.576	183.992	173.964	179.286
14	180.870	180.870	176.715	179.398	180.738	178.349	177.584	178.526	178.347	178.197	183.487	180.566	187.232	186.293	182.623	186.966	180.097	181.964	181.266	182.260	185.072	185.055	180.575	179.479
15	181.368	181.368	175.823	176.044	178.275	179.015	176.273	175.136	182.846	179.437	181.547	177.048	190.677	183.841	176.927	181.317	182.019	177.594	182.339	182.275	183.056	183.708	180.572	184.568
16	177.341	177.341	178.518	178.906	179.943	182.318	178.723	175.266	179.288	179.806	180.965	183.734	186.062	177.915	180.089	182.196	179.536	179.874	183.181	178.296	180.939	181.019	180.962	180.194
17	180.259	180.259	178.961	183.877	176.353	183.320	180.879	180.373	181.019	181.870	184.190	180.045	187.745	179.025	183.569	178.458	178.579	181.028	182.287	180.892	183.470	186.176	178.757	177.286
18	181.715	181.715	180.345	180.581	175.839	178.981	181.041	178.331	182.487	178.863	180.373	176.467	184.031	181.453	180.976	190.242	185.342	180.131	182.825	181.587	182.474	181.107	179.259	177.985
19	182.238	182.238	181.926	179.503	181.394	179.582	182.705	174.181	180.606	176.970	179.790	178.365	182.331	182.220	180.095	182.058	186.382	178.157	183.519	179.888	181.577	180.664	182.185	178.508
20	178.650	178.650	178.413	177.119	182.289	184.003	178.134	174.864	179.926	175.994	182.660	176.711	186.453	180.579	182.941	182.883	183.317	184.068	181.015	179.011	183.017	177.153	180.277	180.430
21	174.902	174.902	176.755	174.898	182.972	180.982	182.220	178.084	181.361	179.506	175.959	180.224	187.724	176.905	179.302	176.380	181.922	179.494	183.458	176.367	177.562	180.784	181.977	179.509
22	177.804	177.804	177.450	177.115	178.941	182.275	175.885	176.554	181.505	183.498	179.023	181.549	184.732	180.959	181.081	182.228	180.144	176.924	180.629	180.007	184.446	179.934	178.134	175.257
23	175.898	175.898	180.223	175.071	178.981	178.223	169.489	173.733	178.658	178.324	181.266	182.530	189.279	180.418	176.995	183.102	177.552	183.788	177.063	185.264	181.445	182.642	181.959	181.050
24	181.807	181.807	184.112	175.000	177.505	180.013	177.793	181.496	181.772	178.487	172.982	183.676	188.105	180.269	179.875	186.657	180.007	182.573	182.241	187.052	182.594	186.662	183.709	177.358
25	184.717	184.717	177.410	180.516	178.089	179.449	179.093	183.029	180.581	179.191	176.693	183.094	183.358	185.240	183.441	183.769	190.372	182.765	187.168	178.351	180.331	184.492	180.548	177.813
26	181.317	181.317	181.123	183.577	182.594	175.725	178.736	177.677	180.422	178.776	180.371	183.062	188.614	184.312	181.240	182.937	187.108	180.892	183.856	179.223	182.869	184.407	179.075	179.261
27	178.618	178.618	180.011	181.947	181.830	174.463	182.387	182.271	179.316	178.070	175.772	186.809	187.924	181.968	180.094	183.699	186.838	180.391	181.474	183.867	181.764	184.634	184.574	175.372
28	183.211	183.211	181.377	183.329	178.243	178.612	181.232	178.928	179.646	177.803	175.902	184.338	190.418	178.741	185.674	188.392	178.998	182.120	183.694	182.106	181.359	181.671	180.849	177.797
29	178.111	178.111	176.872	179.921	179.764	179.990	183.511	183.513	182.214	183.022	176.819	177.878	192.969	183.165	190.433	183.619	180.076	180.525	180.722	187.457	179.091	183.783	179.217	178.852
30	182.669	182.669	176.723	176.453	175.135	180.165	180.998	182.464	181.575	183.529	180.599	178.224	183.927	178.698	186.427	178.921	178.281	184.162	181.369	179.306	179.544	181.333	184.212	174.546
31	178.368	178.368	178.220	180.033	176.981	174.066	179.840	182.880	176.991	181.082	178.346	180.471	185.292	185.542	182.727	181.442	189.466	180.122	184.594	179.194	180.823	181.102	182.742	174.002
32	179.908	179.908	179.097	183.398	183.043	177.681	178.444	181.199	180.265	177.493	181.584	177.822	189.521	188.272	179.453	183.890	185.131	180.326	181.444	181.295	182.921	180.846	180.610	179.228
33	181.847	181.847	174.038	180.337	178.876	180.560	179.695	182.667	178.100	178.267	187.444	178.040	190.591	182.853	190.070	183.381	180.439	180.856	179.726	181.111	179.961	180.167	183.601	181.606
34	175.553	175.553	173.678	181.644	176.277	183.613	178.900	180.867	184.642	183.304	187.889	180.480	186.569	182.407	191.007	180.040	182.434	182.536	179.995	178.952	180.299	184.212	187.854	176.660
35	180.323	180.323	179.253	182.735	179.470	178.366	177.397	182.338	179.959	184.420	181.323	178.893	190.162	185.715	183.044	178.896	186.045	180.981	185.086	183.452	185.212	181.728	181.245	179.503
36	180.645	180.645	183.990	182.501	183.040	180.732	180.670	178.965	179.874	188.664	176.448	176.790	188.951	189.815	182.804	182.503	180.396	181.870	181.061	181.777	183.366	185.083	178.759	174.718
37	176.326	176.326	175.433	180.279	183.338	181.724	178.390	181.354	178.340	184.120	177.798	183.774	189.868	183.367	179.420	183.901	183.423	180.532	181.595	177.876	184.552	187.227	187.075	183.323
38	179.542	179.542	179.377	183.548	175.417	184.953	177.566	182.370	178.770	180.292	182.769	184.506	192.503	183.801	182.708	183.398	184.964	180.915	183.246	180.619	183.587	180.469	181.948	180.225
39	179.507	179.507	183.565	181.131	179.468	182.652	181.671	178.697	178.282	185.645	179.366	181.140	190.414	181.189	184.536	181.493	186.892	184.053	184.109	182.262	179.582	179.831	179.482	180.986
40	185.386	185.386	179.098	182.127	181.817	182.604	180.027	176.818	184.461	183.026	186.723	185.776	189.616	184.735	185.284	176.725	185.827	183.114	182.788	183.146	181.987	187.871	185.728	179.603
41	180.192	180.192	177.977	174.622	179.869	182.042	181.604	177.534	184.259	181.799	187.061	188.092	192.896	187.339	182.994	177.923	184.735	180.398	185.020	179.297	180.998	186.805	183.755	178.915
