 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
1	197.189	197.189	202.825	199.616	202.150	197.343	199.433	201.887	196.193	197.037	204.321	202.292	194.022	199.092
2	203.712	203.712	203.249	203.107	201.486	200.167	196.538	197.095	194.298	195.567	205.985	191.976	206.861	202.781
3	202.807	202.807	204.923	204.926	201.952	199.267	194.920	202.670	193.930	200.528	202.615	202.760	202.430	202.567
4	200.480	200.480	208.475	204.958	205.994	197.339	198.521	204.806	198.650	199.996	207.028	203.218	199.324	199.240
5	198.897	198.897	203.411	202.252	197.339	201.604	205.481	204.044	203.104	200.141	196.819	198.845	199.819	202.536
6	201.247	201.247	201.293	199.150	194.786	196.339	191.071	199.216	198.459	197.171	194.786	200.674	202.479	198.672
7	200.345	200.345	201.659	198.418	196.308	194.552	195.904	199.809	194.753	198.190	193.330	202.303	201.020	197.678
8	198.297	198.297	202.106	197.974	201.693	201.669	193.262	204.001	199.649	197.864	200.082	198.260	203.863	196.639
9	195.918	195.918	198.607	198.199	202.536	193.786	193.414	197.552	193.738	197.694	197.110	196.966	201.833	198.149
10	195.582	195.582	198.635	200.369	202.961	196.402	198.975	194.872	196.148	197.686	197.320	198.459	195.142	197.575
11	190.378	190.378	200.200	198.184	195.744	199.369	195.916	200.911	199.353	195.557	193.009	199.378	203.896	195.230
12	194.046	194.046	205.228	196.582	193.903	202.729	196.884	202.119	200.436	199.702	196.507	197.110	202.609	195.972
13	195.423	195.423	202.091	194.233	196.319	200.585	202.335	195.107	202.864	195.407	197.630	200.087	199.619	188.890
14	195.758	195.758	200.431	196.755	198.328	196.426	198.999	195.229	200.922	197.866	200.205	196.395	197.602	196.549
15	190.559	190.559	197.756	200.400	198.160	193.609	193.583	198.164	196.767	191.176	199.206	193.314	200.625	196.126
16	193.006	193.006	192.534	204.906	199.351	198.692	192.805	197.051	196.993	195.335	195.396	200.189	200.343	190.850
17	190.489	190.489	201.199	198.343	191.640	197.344	196.097	196.713	201.729	195.808	202.406	201.706	197.953	195.211
18	194.610	194.610	197.196	194.781	197.097	197.030	197.758	204.213	198.669	191.717	198.753	205.434	201.262	189.383
19	195.821	195.821	192.131	196.111	205.797	194.612	193.482	201.411	196.915	196.897	194.816	200.119	195.372	188.707
20	194.561	194.561	200.744	198.158	200.354	198.091	196.511	197.098	198.835	197.412	199.945	198.933	196.904	194.386
21	195.046	195.046	199.235	193.450	202.874	201.119	195.272	193.944	200.663	199.324	197.956	196.875	201.482	194.800
22	194.315	194.315	197.366	190.304	200.864	197.683	196.705	195.420	196.081	198.994	198.100	200.323	198.811	193.648
23	191.660	191.660	197.619	194.815	196.402	199.915	197.924	195.988	200.160	197.975	199.883	201.012	197.617	194.398
24	195.390	195.390	197.288	195.818	196.251	199.636	197.011	197.752	196.482	201.851	197.630	199.724	198.862	192.898
25	195.889	195.889	201.062	198.704	199.740	196.155	197.442	194.811	196.317	198.362	196.116	194.182	196.158	195.014
26	197.101	197.101	194.217	195.533	195.320	192.641	190.781	192.585	194.419	195.073	192.521	194.560	198.944	196.916
27	193.224	193.224	188.534	192.793	196.032	192.862	189.000	199.378	193.974	196.409	195.809	199.902	198.637	193.997
28	190.548	190.548	196.257	192.380	195.346	193.493	196.668	196.086	191.888	196.793	194.009	200.416	193.834	196.497
29	193.075	193.075	193.860	200.307	192.699	194.578	198.297	195.791	191.710	193.862	191.868	194.351	197.888	193.880
30	196.747	196.747	197.075	198.711	198.291	197.543	196.018	196.978	193.943	197.358	198.892	192.168	194.671	196.347
31	189.612	189.612	197.202	198.679	197.098	197.293	195.787	190.364	193.639	187.988	196.080	196.489	194.741	188.616
32	194.606	194.606	197.266	198.781	195.633	193.420	193.965	188.895	191.600	194.736	197.725	198.053	197.487	190.999
33	198.247	198.247	193.448	204.109	193.529	198.746	194.360	195.252	193.058	196.316	199.994	198.730	197.368	187.161
34	201.664	201.664	195.639	206.565	193.718	197.520	197.054	194.087	197.709	196.286	193.193	205.202	192.585	193.903
35	194.281	194.281	193.031	194.937	195.986	202.227	196.819	194.223	192.039	192.319	196.854	198.594	196.214	191.124
36	197.227	197.227	196.842	198.087	199.296	199.326	197.940	194.622	197.743	195.297	198.844	197.026	194.619	193.348
37	199.815	199.815	193.452	194.195	202.781	198.658	196.651	198.982	197.908	190.886	193.737	200.506	190.222	196.691
38	201.348	201.348	191.269	196.152	198.551	200.057	203.798	206.297	200.525	196.173	194.999	196.740	191.304	197.973
39	200.776	200.776	191.800	198.426	194.347	205.420	197.275	203.373	205.210	198.390	196.568	199.565	189.860	194.525
40	193.295	193.295	192.058	200.559	197.824	202.070	194.090	201.594	199.259	199.684	197.103	195.907	189.198	195.773
41	190.402	190.402	195.955	196.115	201.246	199.212	199.052	195.575	207.133	196.150	193.678	190.762	191.353	196.787
42	188.193	188.193	200.056	196.404	199.865	199.258	195.306	198.072	199.511	196.923	198.025	191.694	191.231	193.582
43	194.186	194.186	198.400	193.622	202.914	199.064	197.843	194.247	198.790	201.088	201.123	197.396	191.738	200.137
44	193.288	193.288	196.126	195.280	204.472	200.251	199.398	195.406	198.365	195.095	195.291	195.187	187.228	194.274
45	192.179	192.179	199.050	198.256	200.752	197.879	193.915	200.367	196.992	188.599	199.270	195.716	192.186	188.350
46	189.123	189.123	193.621	196.568	197.040	201.307	189.821	203.012	198.503	196.221	198.056	196.858	192.542	193.430
47	183.376	183.376	194.945	195.520	197.111	198.713	191.071	194.485	197.635	196.046	193.144	197.739	193.766	192.124
48	189.097	189.097	196.290	193.839	199.766	199.499	189.446	195.796	193.435	189.314	199.093	192.753	186.615	194.589
49	189.796	189.796	189.466	193.349	196.435	195.798	196.205	193.586	197.951	196.448	197.690	195.183	189.472	187.843
