 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
1	225.729	231.810	235.964	234.047	231.067	231.715	222.365	226.581	228.466	231.130	236.818	234.356	235.628	242.211	243.613	237.928	234.196
2	234.464	233.443	238.989	233.980	227.352	237.489	223.670	227.457	229.310	241.722	231.904	231.477	240.981	228.338	244.302	242.014	239.228
3	225.956	234.489	240.794	227.627	228.841	233.527	229.230	224.446	222.889	233.564	228.911	228.770	245.989	237.375	240.603	247.172	232.408
4	234.490	246.549	239.785	235.928	233.488	233.358	227.400	224.730	230.412	225.960	232.374	239.299	242.678	235.644	240.693	236.588	240.558
5	238.800	247.012	241.436	238.351	236.389	237.269	231.140	233.649	230.977	228.388	232.465	235.752	243.904	235.271	232.245	240.202	240.586
6	243.093	245.468	235.920	238.101	221.896	241.221	235.905	231.759	232.208	235.166	234.813	228.180	231.962	241.490	239.993	239.978	241.247
7	237.230	247.801	237.233	237.226	230.659	235.497	241.226	237.878	237.485	232.895	236.804	243.725	246.987	235.704	243.470	238.181	240.009
8	225.144	240.018	240.020	231.240	236.012	241.462	232.113	233.508	238.987	239.399	237.540	243.171	246.200	242.711	243.728	235.135	234.229
9	235.227	248.490	242.712	238.420	234.036	244.530	232.114	226.528	233.679	239.002	235.264	234.486	243.158	239.591	240.212	239.749	236.527
10	238.455	254.186	250.416	242.764	232.311	244.887	242.279	226.550	229.637	239.195	240.819	236.616	248.786	247.585	240.445	245.496	242.921
11	243.420	252.336	245.318	241.285	235.380	246.326	247.350	234.905	237.301	239.466	240.063	236.462	243.995	239.407	249.556	244.446	235.659
12	248.225	249.619	240.361	243.392	248.490	245.285	246.219	238.978	232.490	238.914	237.432	248.496	247.138	244.652	248.866	251.184	238.619
13	244.108	247.154	237.374	249.053	242.795	248.945	238.987	238.464	233.598	237.391	245.203	247.818	242.537	249.345	250.493	244.147	246.690
14	247.755	250.089	241.551	250.572	240.464	245.749	230.141	244.221	239.546	242.367	245.132	251.851	248.029	240.095	246.272	246.902	244.640
15	244.715	250.010	240.954	245.130	234.435	254.052	234.376	228.600	241.686	250.514	246.474	238.768	247.917	237.921	246.348	253.888	243.636
16	255.601	238.880	247.208	244.733	242.254	249.607	243.627	226.053	235.677	254.476	245.773	231.553	249.770	244.466	250.514	246.012	250.006
17	245.218	250.158	254.722	248.393	245.057	249.715	242.077	233.408	237.063	246.754	248.479	236.334	254.682	247.128	251.635	239.576	242.893
18	256.278	250.152	250.849	251.022	251.776	249.678	240.278	240.159	246.704	246.966	242.494	248.517	250.251	246.633	251.859	247.781	245.933
19	250.092	250.160	250.192	247.735	242.806	249.376	233.529	241.533	247.162	251.566	240.263	249.675	245.352	259.375	250.275	256.212	247.363
20	246.286	252.835	248.698	252.906	251.364	242.739	236.276	241.138	251.762	250.246	251.358	251.332	249.675	257.858	256.841	254.203	247.154
21	249.348	250.554	258.582	258.731	244.411	249.833	244.893	245.704	241.462	248.649	246.061	253.156	254.201	256.913	256.646	261.323	252.105
22	254.807	253.736	253.861	255.216	245.224	250.513	250.464	249.032	240.345	251.888	253.992	252.612	259.540	262.321	263.276	260.810	244.564
23	251.300	256.174	251.127	254.015	246.247	245.923	254.189	241.977	240.281	252.342	262.023	245.967	255.299	247.624	259.231	259.277	247.211
24	253.021	264.665	256.182	258.897	246.260	257.074	254.718	237.239	248.877	252.992	257.186	243.723	252.725	248.384	257.405	257.476	245.338
25	250.999	259.842	253.132	244.993	254.676	254.060	255.352	248.394	251.140	249.521	253.933	251.937	257.916	263.539	260.632	254.500	249.959
26	259.744	257.903	253.926	248.651	252.859	249.343	247.446	247.228	251.853	257.334	256.879	265.454	261.195	271.669	271.229	264.237	252.293
27	253.686	266.936	252.537	259.898	262.837	250.409	248.877	251.118	255.123	259.813	257.855	264.662	260.903	265.724	275.827	262.203	257.083
28	251.900	264.219	250.129	256.830	265.252	253.921	254.907	250.924	254.951	255.789	259.419	256.144	258.621	257.069	268.497	264.727	256.131
29	263.414	260.361	256.819	265.568	258.162	265.581	262.234	247.018	257.334	263.071	256.445	273.547	261.473	257.132	264.626	267.916	264.147
30	269.427	257.281	269.289	259.997	256.670	275.069	260.609	255.526	259.853	265.283	255.180	261.824	264.164	269.311	276.626	275.949	268.651
31	265.155	266.412	270.683	266.024	263.601	266.993	266.341	252.074	258.651	271.309	262.178	264.587	263.439	264.639	275.372	271.597	272.094
32	261.701	268.849	253.546	267.018	268.744	262.101	259.235	259.695	258.644	265.819	261.531	263.120	266.692	270.802	267.912	278.361	269.579
33	261.409	272.772	264.025	269.884	262.409	269.828	261.209	259.472	257.425	260.947	264.956	257.152	267.869	262.386	284.464	271.718	265.275
34	264.336	286.483	270.106	271.688	269.815	270.070	266.276	262.705	258.706	255.235	272.218	261.187	272.372	267.600	281.968	272.528	271.566
35	257.748	273.177	275.610	273.106	269.252	267.656	262.797	263.258	264.469	264.549	267.064	270.862	273.099	275.466	279.977	283.255	271.358
36	272.215	275.276	273.277	273.596	273.355	272.661	277.456	259.514	264.869	267.257	270.651	275.513	280.747	268.697	283.369	285.337	269.252
37	267.057	282.447	268.326	273.760	279.024	276.832	276.662	258.945	259.871	271.712	271.186	268.731	275.607	282.305	277.408	278.787	277.781
38	270.731	282.938	268.750	276.085	261.858	272.143	278.853	265.966	268.729	273.731	272.390	266.879	278.664	279.337	286.491	275.091	268.576
39	281.175	282.024	275.455	276.214	276.596	275.952	278.612	271.569	268.494	266.234	268.052	262.984	273.438	283.526	283.178	284.912	267.353
40	274.593	278.766	276.973	277.506	273.823	286.442	282.662	274.261	271.145	279.468	279.789	264.863	273.254	280.676	281.036	293.045	280.164
41	275.360	275.492	269.341	272.727	277.271	275.411	276.416	274.051	277.645	273.659	280.990	270.916	277.741	280.026	291.712	286.143	277.248
