 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
1	408.951	408.951	418.549	414.905	418.918	420.307	434.012	416.238	432.327	414.272	433.907
2	414.260	414.260	409.986	408.835	398.308	417.599	423.865	427.160	421.862	412.697	419.757
3	412.453	412.453	419.150	414.644	407.750	421.515	409.921	418.967	422.044	409.197	421.949
4	416.023	416.023	420.387	421.109	419.196	413.038	404.772	420.819	429.140	415.430	420.949
5	422.056	422.056	428.902	427.346	421.658	416.818	421.365	429.150	427.077	426.997	424.403
6	416.916	416.916	431.605	427.220	430.902	408.289	417.981	417.371	427.520	421.090	430.493
7	419.414	419.414	424.193	426.243	423.844	417.376	419.607	415.132	428.443	422.700	423.043
8	416.603	416.603	416.788	413.961	432.229	416.217	422.308	424.542	433.172	411.604	411.674
9	411.615	411.615	431.191	411.606	427.591	415.106	423.063	424.901	425.569	427.000	417.034
10	439.820	439.820	422.841	403.932	430.389	423.218	428.613	417.563	426.969	423.656	427.594
11	423.174	423.174	428.305	406.475	436.236	422.419	415.864	415.556	407.038	429.927	428.937
12	419.749	419.749	425.935	423.554	417.399	415.041	430.536	418.552	424.147	434.872	426.402
13	415.715	415.715	428.791	425.280	411.623	420.156	411.216	425.089	423.693	418.896	421.142
14	432.932	432.932	429.815	409.739	411.339	415.792	418.259	423.286	425.276	412.972	424.769
15	424.158	424.158	437.560	410.930	405.892	410.030	425.092	422.640	423.186	424.026	422.486
16	436.960	436.960	427.035	413.168	414.173	420.025	416.885	414.803	429.781	419.662	427.101
17	428.374	428.374	429.693	416.091	423.125	424.894	410.504	427.854	426.065	426.485	432.933
18	437.194	437.194	423.601	425.813	424.149	423.108	431.148	424.432	412.184	434.420	430.352
19	433.280	433.280	418.552	425.911	424.020	411.031	428.239	421.721	436.877	418.310	438.270
20	423.526	423.526	422.001	421.621	417.261	419.946	431.143	426.346	434.627	424.024	430.502
21	428.830	428.830	434.800	417.782	428.911	422.091	419.859	428.285	436.643	425.309	432.760
22	440.989	440.989	426.349	419.107	434.448	422.022	416.556	436.405	424.492	426.419	438.940
23	437.510	437.510	429.726	423.322	430.413	427.989	436.882	423.163	417.701	440.654	422.522
24	454.105	454.105	432.954	428.852	431.762	432.688	434.788	421.786	443.029	427.874	420.829
25	452.433	452.433	440.830	426.495	419.462	427.503	433.624	417.263	418.191	434.934	442.628
26	456.785	456.785	443.482	428.697	443.727	414.482	445.847	426.955	430.243	424.830	432.374
27	445.165	445.165	442.726	436.085	438.871	431.987	435.332	442.476	433.679	448.718	440.691
28	451.072	451.072	447.851	440.410	444.060	441.687	426.168	432.174	439.818	456.166	444.995
29	458.405	458.405	464.482	438.018	445.697	438.983	429.155	441.890	450.074	445.443	441.958
30	453.596	453.596	437.692	429.604	446.157	433.862	450.918	445.743	451.864	439.037	451.397
31	454.179	454.179	440.809	451.191	433.996	434.767	449.114	474.520	478.182	448.923	459.962
32	463.170	463.170	456.475	451.025	445.349	451.529	450.141	469.148	472.198	458.381	460.197
33	473.291	473.291	464.063	453.885	462.796	446.276	445.706	463.565	449.975	468.101	455.828
34	487.562	487.562	465.180	451.308	449.840	447.523	450.740	469.039	445.075	463.902	458.451
35	473.786	473.786	477.345	449.067	459.609	452.865	456.000	469.390	460.934	462.373	460.158
36	493.103	493.103	478.809	457.866	478.656	449.174	459.442	462.117	467.259	457.884	470.085
37	502.820	502.820	498.985	471.673	470.365	461.321	469.787	474.909	466.318	467.542	482.639
38	497.985	497.985	478.154	476.990	467.304	461.888	468.039	468.172	476.449	475.494	483.166
39	497.035	497.035	483.035	467.515	459.346	462.834	468.957	477.669	478.618	492.635	476.485
40	501.719	501.719	494.201	478.103	477.251	470.814	464.994	486.492	472.983	478.539	484.144
41	504.922	504.922	497.654	468.689	477.162	470.949	471.179	491.095	485.045	481.408	477.762
42	520.744	520.744	497.584	494.291	484.228	487.752	486.644	496.130	493.960	498.077	490.421
43	534.612	534.612	521.717	502.032	509.111	495.796	487.253	503.396	498.599	503.417	497.890
44	544.275	544.275	522.820	495.835	520.409	507.422	499.681	500.302	525.371	495.905	504.380
45	544.746	544.746	535.792	524.069	507.628	523.990	497.261	509.636	525.054	510.860	507.184
46	555.200	555.200	533.760	520.721	508.028	530.629	519.402	514.465	512.115	526.015	514.937
47	558.921	558.921	552.824	543.448	524.308	514.976	535.116	527.310	537.060	539.121	518.160
48	577.355	577.355	544.501	545.028	529.547	528.707	519.587	530.838	536.852	539.027	508.948
49	586.178	586.178	571.230	536.488	540.643	544.615	541.290	536.794	550.514	545.490	547.273
50	604.057	604.057	572.820	564.946	536.829	541.512	546.210	538.064	545.156	532.111	551.406
51	612.892	612.892	578.583	553.151	571.473	550.510	553.941	552.770	557.041	539.615	538.099
52	621.970	621.970	587.357	562.160	579.516	568.295	556.557	561.358	579.294	561.648	568.101
53	625.262	625.262	603.271	583.773	570.683	565.718	568.887	584.477	585.251	582.519	588.479
54	614.245	614.245	614.479	610.099	585.218	587.803	579.741	603.661	611.030	595.432	608.173
55	614.365	614.365	619.217	612.823	603.524	605.266	592.850	623.433	639.954	618.716	623.224
56	618.970	618.970	634.289	605.910	614.242	605.225	603.920	627.949	637.354	612.390	609.427
57	612.158	612.158	634.192	608.930	634.652	624.913	600.620	628.655	630.510	620.163	609.969
58	610.358	610.358	638.860	620.270	632.465	612.003	638.373	638.958	642.860	624.314	627.223
59	596.286	596.286	616.526	627.484	613.041	606.381	629.784	642.522	646.033	637.657	633.735
60	589.433	589.433	605.178	611.269	596.267	613.140	625.916	634.515	623.138	637.288	620.723
61	555.009	555.009	583.589	607.090	596.732	604.536	625.443	623.383	622.912	631.373	610.420
62	563.803	563.803	596.505	593.056	602.715	600.748	609.433	602.813	605.556	600.488	619.786
63	561.925	561.925	570.644	580.222	602.353	600.047	592.640	585.884	593.884	598.017	603.251
64	539.681	539.681	565.046	577.160	591.981	576.950	593.958	580.683	589.562	605.312	574.428
65	523.044	523.044	572.075	576.960	562.122	570.039	589.207	578.433	582.510	569.791	568.595
66	521.533	521.533	563.168	571.374	553.063	567.473	573.305	561.014	563.831	562.223	546.290
67	516.753	516.753	536.599	544.820	541.687	555.995	546.227	538.395	554.610	544.884	550.958
68	509.869	509.869	531.511	529.541	536.912	539.343	539.928	532.309	520.918	536.343	532.564
69	495.623	495.623	524.652	526.351	535.600	522.359	520.853	540.832	533.442	527.890	533.074
70	502.913	502.913	511.584	509.930	523.203	511.235	514.990	521.326	525.666	514.063	509.742
71	464.193	464.193	490.218	497.157	501.220	510.113	512.160	511.075	493.495	500.466	506.220
72	458.931	458.931	502.581	505.453	503.364	516.531	516.009	491.435	493.883	500.845	495.532
73	464.157	464.157	475.390	490.658	473.293	493.909	504.405	482.423	501.533	495.159	483.660
74	457.641	457.641	458.927	474.431	484.294	492.461	490.976	489.483	484.699	492.060	483.872
75	440.981	440.981	467.449	460.421	469.618	470.967	482.725	463.268	483.472	470.081	467.675
