 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
1	188.560	188.560	187.640	182.342	186.050	190.668	191.377	187.016	182.826
2	186.763	186.763	187.117	194.239	194.072	196.237	183.771	187.212	186.102
3	184.827	184.827	190.988	190.391	193.069	190.396	184.140	190.780	183.754
4	191.927	191.927	186.351	187.489	197.289	190.906	196.351	192.943	184.839
5	185.601	185.601	184.559	193.970	188.067	197.898	187.867	188.444	186.892
6	186.902	186.902	188.261	189.853	190.923	189.014	188.579	188.259	184.375
7	185.185	185.185	189.625	183.205	193.903	192.939	186.505	190.160	182.836
8	183.112	183.112	190.215	187.428	195.941	193.451	187.058	187.168	185.636
9	184.614	184.614	189.657	191.787	185.690	189.628	188.172	195.272	182.311
10	183.393	183.393	188.725	191.820	196.406	200.491	190.062	192.426	187.459
11	181.883	181.883	191.003	194.698	195.931	197.156	191.444	190.546	190.650
12	183.531	183.531	194.729	195.048	195.771	196.877	187.800	189.182	186.254
13	183.833	183.833	192.567	188.842	197.515	192.497	186.287	189.575	191.810
14	177.152	177.152	186.519	185.092	202.376	190.460	181.966	182.970	186.885
15	184.848	184.848	190.000	192.682	202.749	197.926	184.578	190.431	190.196
16	188.371	188.371	185.379	184.118	201.886	207.308	191.887	191.875	192.743
17	180.932	180.932	190.828	186.853	192.680	206.497	193.396	183.202	189.040
18	181.044	181.044	188.680	191.068	198.825	198.294	189.895	184.637	193.867
19	177.010	177.010	186.831	188.581	203.230	201.265	189.604	189.429	185.028
20	175.024	175.024	183.081	194.450	209.228	201.583	189.912	188.834	186.854
21	182.456	182.456	187.358	197.662	211.877	206.456	189.202	189.962	185.488
22	185.201	185.201	187.739	199.854	207.450	210.467	191.607	198.700	188.592
23	187.195	187.195	192.319	193.602	210.762	203.931	192.345	192.471	188.523
24	184.235	184.235	188.940	195.226	207.754	202.128	194.669	190.480	192.333
25	183.128	183.128	191.210	188.948	198.074	201.916	193.497	194.994	191.654
26	183.486	183.486	191.306	190.066	199.267	205.765	198.682	193.165	188.095
27	187.688	187.688	190.471	195.191	208.950	197.186	193.068	198.546	191.951
28	185.744	185.744	192.745	196.570	207.640	194.332	195.122	191.221	191.724
29	190.502	190.502	189.320	188.072	209.622	192.321	196.653	199.260	194.578
30	191.208	191.208	194.876	189.032	205.111	193.930	188.302	194.013	189.828
31	187.728	187.728	184.055	194.419	202.560	194.032	196.001	193.090	191.693
32	193.404	193.404	183.183	188.935	205.529	193.047	197.867	194.947	187.514
33	185.884	185.884	182.724	195.618	203.132	192.772	192.319	199.616	190.624
34	190.009	190.009	187.714	190.001	200.496	191.167	191.278	191.984	188.873
35	190.761	190.761	191.022	190.346	200.298	192.343	190.788	191.679	189.557
36	192.313	192.313	195.522	187.309	191.279	194.647	190.158	187.043	193.068
37	190.434	190.434	195.575	185.903	187.406	193.512	191.138	189.252	201.355
38	196.499	196.499	192.516	187.027	190.900	190.981	190.004	190.705	197.004
39	199.758	199.758	190.380	189.066	186.128	194.285	187.975	194.711	196.685
