 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16
1	197.844	197.844	197.001	195.215	180.737	201.617	195.509	203.974	203.983	204.013	201.473	200.490	202.393	204.428	206.676	204.246
2	197.275	197.275	199.767	197.725	186.085	194.326	191.422	199.288	200.240	201.521	197.991	202.483	199.299	203.836	204.103	207.855
3	209.039	209.039	201.091	190.729	184.967	199.952	180.895	195.566	196.170	206.567	200.751	191.593	200.167	194.025	199.060	203.552
4	200.534	200.534	198.788	186.355	190.387	194.236	190.905	197.299	204.730	206.659	199.119	197.387	200.131	197.880	199.208	203.443
5	197.683	197.683	195.262	190.850	183.487	193.190	191.720	194.322	200.956	200.352	198.504	194.453	194.984	201.338	205.522	204.604
6	199.419	199.419	190.467	192.371	185.760	192.194	188.900	195.667	201.017	199.145	189.665	197.402	197.281	201.492	204.306	205.359
7	199.520	199.520	197.250	198.585	189.419	190.642	189.626	192.001	199.146	199.222	194.097	196.419	196.594	196.608	204.067	201.941
8	202.013	202.013	190.952	189.714	183.743	189.081	192.260	195.907	200.872	201.382	196.629	194.253	195.698	200.702	200.546	202.780
9	192.885	192.885	189.498	187.180	182.905	191.425	187.486	193.052	203.809	195.844	192.390	190.393	197.837	195.299	200.952	205.271
10	191.727	191.727	193.745	189.594	182.217	188.146	187.403	197.193	197.684	193.635	196.163	200.592	196.582	199.249	204.669	203.497
11	199.034	199.034	186.126	191.703	182.221	187.734	189.003	197.650	200.128	195.003	198.804	195.000	202.984	203.325	198.540	202.249
12	199.329	199.329	190.260	191.477	185.770	185.418	183.603	197.975	197.210	198.179	197.933	201.608	197.109	202.715	200.043	210.583
13	195.192	195.192	195.115	188.578	184.792	187.287	190.981	195.219	199.403	200.475	202.605	204.009	202.050	204.601	199.997	212.448
14	197.118	197.118	188.544	189.159	182.613	191.840	192.026	190.511	201.683	202.064	196.391	197.522	201.093	200.206	202.898	210.361
15	195.272	195.272	192.776	194.718	184.136	187.258	190.575	195.478	195.656	200.584	200.151	196.956	197.825	200.942	206.745	205.922
16	197.723	197.723	190.769	191.795	184.916	191.145	194.401	190.885	198.992	196.929	199.576	196.947	196.139	200.316	206.147	202.412
17	200.356	200.356	194.681	194.291	186.722	194.362	188.124	196.819	198.458	194.280	198.680	198.560	187.290	202.969	208.269	206.826
18	202.702	202.702	192.947	190.040	192.816	194.055	188.920	194.868	198.092	192.496	194.534	202.708	195.186	198.914	204.712	200.012
19	194.780	194.780	197.538	189.416	192.294	193.092	189.314	195.449	194.041	196.176	198.144	204.889	190.977	196.261	199.249	199.979
20	199.544	199.544	194.366	198.786	186.240	193.681	192.031	196.202	194.540	193.175	193.301	202.716	192.378	191.265	201.535	200.176
21	197.321	197.321	193.600	196.837	188.647	194.720	187.853	189.466	189.880	190.200	193.049	198.090	192.827	195.126	195.789	203.974
22	201.882	201.882	198.286	192.448	189.544	191.829	183.189	190.812	186.639	191.120	196.310	192.231	185.286	198.318	197.053	200.150
23	199.249	199.249	189.880	193.266	182.021	191.687	191.671	194.257	189.812	187.572	192.820	193.342	194.987	200.461	199.102	202.556
24	208.055	208.055	193.819	190.811	188.152	194.801	188.970	194.856	196.327	192.237	198.380	201.998	191.062	198.781	199.380	204.912
25	196.668	196.668	194.754	187.413	184.931	188.762	189.594	192.406	190.412	189.076	194.563	199.506	189.751	193.090	204.188	200.857
26	192.890	192.890	191.667	186.970	182.865	190.704	189.962	190.350	186.531	192.541	190.342	197.663	189.436	189.640	203.278	199.221
27	195.174	195.174	193.672	190.731	183.506	193.186	186.025	191.580	187.781	189.239	197.376	195.712	191.442	195.768	194.474	199.735
28	198.736	198.736	194.919	187.792	189.190	187.257	190.158	187.558	185.734	189.971	194.793	189.484	185.959	190.805	197.595	194.833
29	196.740	196.740	193.685	186.928	186.873	192.188	189.434	189.465	192.766	197.541	188.882	191.578	179.878	194.538	191.599	194.408
30	189.887	189.887	186.172	188.542	180.689	184.988	186.102	195.497	189.273	193.529	191.461	186.684	184.942	195.024	191.644	193.155
31	191.755	191.755	183.481	185.175	181.413	184.472	187.453	195.333	192.548	192.820	193.279	187.680	192.573	190.358	195.634	198.316
32	193.908	193.908	184.957	179.347	176.325	184.163	180.375	194.590	186.108	191.263	195.887	190.772	189.682	190.891	195.482	194.582
33	190.615	190.615	189.730	182.711	175.455	182.697	181.311	190.522	193.143	190.461	191.168	186.346	189.071	188.887	193.101	192.371
34	190.631	190.631	186.889	184.842	173.740	179.962	174.381	190.581	193.710	198.169	190.787	193.265	188.770	187.117	193.338	193.731
35	193.232	193.232	190.125	183.166	170.254	182.312	172.843	185.649	187.931	193.065	191.085	190.034	190.159	188.540	192.062	190.922
36	194.196	194.196	190.249	184.764	169.977	184.927	176.348	186.345	181.643	192.927	186.187	193.050	191.316	185.861	193.669	199.479
37	184.665	184.665	183.069	181.057	176.136	185.985	179.054	187.120	190.398	194.318	184.847	190.317	189.442	192.922	194.145	190.267
38	189.805	189.805	182.815	180.470	172.936	188.443	176.197	186.472	184.105	185.106	184.599	187.419	187.322	187.299	191.828	189.241
39	189.645	189.645	182.491	182.307	173.878	184.052	175.779	185.935	190.551	186.224	184.104	194.237	187.492	191.870	190.799	192.392
40	187.008	187.008	177.545	179.029	179.580	185.170	175.460	183.366	184.686	184.908	185.028	194.354	183.362	193.036	185.811	190.571
41	187.273	187.273	181.843	183.035	174.610	179.495	175.726	182.315	184.582	184.978	186.517	186.834	189.773	195.113	187.320	191.695
42	190.552	190.552	182.911	183.042	172.755	184.525	177.397	181.833	187.774	185.812	187.310	190.929	189.313	191.128	195.540	194.350
43	188.403	188.403	176.050	183.184	168.804	175.324	179.683	186.091	185.571	188.027	186.088	187.731	184.151	193.211	190.346	198.704
44	186.453	186.453	179.399	180.893	171.488	180.929	181.567	188.331	188.882	188.293	187.424	184.768	188.578	188.159	192.371	197.562
45	189.263	189.263	184.076	176.498	178.897	187.715	181.325	187.887	189.105	196.882	190.338	190.635	194.350	193.996	197.700	197.178
46	187.106	187.106	188.392	179.184	176.953	189.025	184.882	183.404	188.393	195.523	193.009	195.479	188.073	195.551	193.655	196.685
47	187.600	187.600	181.241	185.159	176.998	187.384	181.812	187.538	187.019	190.713	193.762	192.606	194.373	197.388	199.901	197.315
48	187.170	187.170	181.525	182.789	178.367	184.758	178.783	184.700	187.345	191.699	194.958	196.838	193.277	197.671	193.202	198.409
