 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
1	194.974	174.365	168.430	167.967	169.307	175.446	170.562	176.254	169.812	172.308	171.131	180.654	177.826	182.749	190.517
2	187.670	170.463	170.781	173.771	170.290	176.949	174.278	176.759	168.874	172.673	170.970	176.567	173.722	185.508	191.015
3	190.977	172.403	166.859	170.381	170.706	180.110	177.996	175.360	170.059	175.692	173.602	179.992	177.137	186.874	185.800
4	184.679	167.775	171.024	168.159	167.797	178.067	176.011	172.867	168.554	181.816	177.396	176.229	177.277	188.661	184.023
5	188.060	169.016	168.192	169.158	166.481	175.730	171.654	173.475	165.736	171.568	185.018	176.369	169.962	180.359	189.554
6	192.804	167.793	175.553	168.894	168.618	174.118	171.855	173.570	171.978	172.775	176.201	178.491	176.371	185.956	189.393
7	195.487	166.622	170.960	175.841	166.242	174.666	172.417	171.697	172.950	174.256	177.324	172.448	175.798	187.012	182.682
8	195.776	170.407	171.722	169.987	160.531	171.407	173.289	173.009	174.912	173.182	172.478	176.725	170.877	188.159	183.928
9	192.954	176.764	168.959	171.517	167.181	172.014	174.078	166.377	177.624	179.412	174.805	176.247	169.591	183.780	183.533
10	190.954	169.090	171.190	170.258	164.759	175.017	167.549	170.265	171.206	175.163	174.077	180.199	175.232	189.129	183.220
11	194.050	167.557	168.084	168.978	168.806	176.446	171.003	176.742	172.215	171.910	174.659	179.220	174.998	188.501	185.794
12	191.784	176.244	170.711	167.584	168.200	170.451	169.545	173.527	168.559	168.011	173.891	172.937	173.714	189.702	189.140
13	195.413	171.411	172.519	172.252	166.751	169.400	170.767	167.814	171.915	173.847	170.760	172.095	171.487	194.219	188.183
14	196.114	170.912	172.686	170.065	166.862	168.464	172.118	164.453	173.167	170.890	172.687	170.779	174.811	192.332	193.432
15	196.340	169.222	172.048	164.792	165.975	172.974	169.194	164.922	167.911	167.122	172.544	168.608	173.207	193.421	188.932
16	199.974	171.015	173.213	167.374	165.156	171.783	172.854	173.281	169.312	172.809	167.595	169.334	171.540	191.384	184.954
17	199.650	172.172	175.314	171.570	162.596	170.107	171.395	174.923	169.691	175.830	172.649	169.842	172.298	191.097	190.969
18	200.848	178.167	179.642	171.548	165.898	175.198	169.482	174.678	174.871	172.200	172.816	173.765	175.107	186.062	200.562
19	197.929	180.246	180.487	176.112	169.681	174.473	171.180	171.541	170.817	170.760	176.183	175.427	175.893	183.335	196.316
20	205.741	176.795	175.395	175.138	174.962	175.371	174.695	171.805	175.047	177.481	179.196	174.287	174.973	184.035	197.113
21	198.505	178.523	172.574	173.908	169.149	175.050	176.615	172.659	173.981	171.920	177.396	179.143	177.046	182.338	193.026
22	195.689	181.712	171.622	170.571	171.444	171.516	170.314	175.528	176.655	175.078	176.500	173.006	176.488	184.104	185.753
23	199.282	174.917	175.831	172.011	169.180	171.399	172.773	174.575	177.525	171.448	176.673	178.731	175.023	180.613	190.881
24	195.786	176.670	172.652	173.501	169.263	170.050	172.555	175.623	177.804	172.471	179.553	178.004	180.287	176.038	192.828
25	189.663	179.246	169.806	176.765	169.436	170.326	174.869	176.802	171.352	173.575	178.605	173.050	185.203	180.993	183.787
26	190.331	181.923	175.382	170.524	167.039	174.456	168.281	171.211	174.564	174.741	180.364	176.826	181.149	182.051	183.678
27	188.282	185.083	174.548	171.105	169.598	175.683	176.723	169.339	175.102	177.022	176.059	175.798	179.852	182.951	183.369
28	190.862	185.044	174.632	174.475	174.307	175.100	179.437	172.522	175.585	176.785	176.002	176.059	180.021	184.186	177.162
29	187.209	188.808	178.316	174.654	169.380	182.415	177.825	178.667	177.355	179.876	178.933	177.286	184.474	183.033	181.762
30	187.634	182.817	179.957	178.130	169.888	182.178	173.501	176.371	175.013	174.405	179.199	179.238	183.058	181.684	180.673
31	191.372	181.239	179.239	182.132	171.351	180.275	172.527	178.589	179.416	190.566	182.457	175.384	177.268	184.285	184.437
32	197.471	179.912	173.932	176.582	170.040	175.065	176.635	180.700	182.455	183.272	178.514	181.014	185.347	189.975	180.334
33	202.629	186.192	181.073	180.098	169.189	177.784	178.444	182.367	177.773	185.888	179.158	183.388	184.611	191.105	190.211
34	196.295	182.587	181.472	182.226	172.783	174.275	182.828	182.141	181.269	178.925	183.618	180.695	185.138	182.410	190.219
35	202.024	180.821	179.626	181.208	173.192	176.562	179.897	180.009	180.844	175.865	185.929	175.390	181.550	187.249	188.165
36	191.941	182.596	178.672	179.887	172.114	174.196	182.257	187.873	183.232	178.559	180.923	181.750	181.597	184.736	186.529
37	193.826	173.518	178.741	181.857	176.184	178.636	177.003	181.017	179.567	179.118	180.793	180.923	176.259	176.193	184.563
38	195.640	182.746	176.557	177.879	175.621	183.065	180.416	184.527	184.810	182.355	184.147	182.348	179.245	183.192	190.740
39	196.527	184.823	177.803	175.372	176.228	184.338	182.972	180.190	178.913	184.017	179.208	179.197	181.184	183.053	191.255
40	191.354	180.920	186.308	182.753	175.518	175.996	180.246	181.997	191.138	181.821	177.502	180.350	180.514	183.597	184.849
41	189.984	182.876	184.822	177.929	172.609	179.914	181.908	182.078	184.960	188.113	182.241	185.203	179.523	180.230	177.444
42	186.663	182.644	179.527	176.110	176.198	179.225	179.386	180.652	183.338	183.908	181.782	182.952	179.766	178.742	181.394
43	185.620	180.885	180.847	175.865	178.570	184.072	176.453	182.855	180.849	185.685	183.647	179.874	178.201	181.766	182.666
44	185.074	184.070	185.753	178.032	179.089	183.328	183.237	188.357	179.276	182.406	182.902	187.925	177.929	179.634	178.489
45	183.385	180.396	184.062	181.092	178.214	183.846	183.478	186.583	185.661	181.975	177.291	190.049	181.892	182.153	178.789
46	179.705	183.553	179.611	176.385	172.551	183.319	185.441	182.701	181.853	177.286	184.194	181.753	184.638	182.268	184.071
47	177.574	182.634	178.535	178.912	175.439	184.127	181.052	186.662	184.786	179.791	178.644	187.823	177.718	177.900	181.431
48	182.477	181.419	181.721	181.773	182.257	182.900	184.151	187.739	182.914	183.165	183.476	190.592	180.045	170.303	179.282
49	184.893	181.411	178.190	184.951	176.180	183.133	189.123	190.823	186.733	180.487	190.950	178.284	180.571	173.006	181.819
50	186.569	179.308	182.346	183.400	177.908	185.564	179.443	184.056	179.113	181.922	187.324	184.609	182.483	176.486	181.739
