 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
1	180.658	180.658	181.151	187.046	179.210	187.509	190.344	187.639
2	180.289	180.289	180.403	182.781	178.073	189.214	186.084	188.125
3	185.405	185.405	178.518	182.973	180.545	190.171	192.960	188.372
4	183.077	183.077	179.663	180.332	181.381	184.650	182.616	186.911
5	184.913	184.913	180.313	182.267	177.170	193.355	182.969	185.750
6	183.023	183.023	177.524	174.694	179.026	188.453	186.469	190.491
7	187.114	187.114	176.797	179.933	179.378	186.749	190.079	190.927
8	183.559	183.559	178.020	179.082	177.516	185.464	185.325	184.876
9	180.635	180.635	171.355	176.027	177.241	183.601	183.961	182.161
10	182.467	182.467	173.439	172.502	176.601	187.174	185.667	177.403
11	179.873	179.873	176.512	173.457	171.881	182.546	186.937	185.831
12	179.655	179.655	177.311	176.618	173.919	182.869	184.926	185.561
13	178.096	178.096	173.241	175.029	173.924	182.550	184.096	185.261
14	176.535	176.535	174.274	175.256	177.145	181.077	182.305	184.155
15	176.201	176.201	178.940	179.702	179.991	188.818	183.301	175.542
16	175.384	175.384	180.956	177.393	183.103	185.827	186.921	182.666
17	182.722	182.722	182.476	172.474	177.592	178.568	190.173	186.281
18	181.185	181.185	179.627	179.290	179.146	185.700	186.134	183.222
19	179.630	179.630	180.588	175.734	177.510	183.169	180.588	181.678
20	180.076	180.076	176.605	180.359	180.959	186.978	182.941	186.827
21	184.314	184.314	177.789	178.386	186.037	182.462	188.162	181.748
22	180.074	180.074	175.304	176.143	183.144	180.979	179.814	188.017
23	180.968	180.968	175.884	179.768	182.510	180.027	182.177	185.539
24	182.205	182.205	172.899	179.793	179.459	181.062	182.453	191.879
25	183.770	183.770	176.091	176.421	176.770	183.207	182.161	184.097
26	187.774	187.774	176.099	180.264	178.246	188.546	189.094	181.442
27	183.989	183.989	180.501	184.273	176.465	183.973	180.640	181.741
28	180.724	180.724	179.295	177.643	176.579	185.110	183.700	186.430
29	177.446	177.446	181.949	178.976	176.740	181.078	179.808	183.464
30	175.398	175.398	178.895	177.618	178.352	188.331	186.767	182.511
31	178.351	178.351	174.596	174.541	179.629	184.570	185.049	184.841
32	173.196	173.196	178.376	174.851	176.041	185.211	185.634	180.703
33	174.905	174.905	179.863	175.166	180.300	180.799	186.537	183.725
34	179.904	179.904	177.395	175.459	175.629	179.011	191.092	180.661
35	177.497	177.497	175.016	178.776	176.960	179.914	181.171	187.517
36	180.703	180.703	174.140	179.795	179.201	187.872	184.682	185.397
37	179.318	179.318	180.356	176.923	177.225	186.584	187.490	190.737
38	179.582	179.582	179.011	178.103	172.767	187.693	186.051	183.731
