 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22
1	172.881	172.881	167.457	174.749	170.893	177.028	173.533	174.624	169.127	166.693	171.450	169.924	164.882	174.210	168.962	169.840	161.755	164.971	173.612	169.699	166.370	166.435
2	166.356	166.356	167.409	173.560	167.868	176.763	173.372	167.396	167.669	172.063	167.827	173.831	167.397	166.086	171.250	166.089	161.910	165.405	171.045	166.445	163.751	173.750
3	172.354	172.354	175.820	175.482	168.558	174.658	185.801	174.941	166.703	168.035	172.479	168.695	170.117	174.626	172.116	166.855	170.745	169.095	168.156	166.906	168.615	167.924
4	171.355	171.355	174.738	176.120	173.172	170.988	173.057	170.690	166.770	176.180	169.479	164.728	167.885	169.999	170.847	166.681	166.820	169.812	169.294	171.763	174.171	169.865
5	172.919	172.919	174.311	175.210	175.601	168.910	164.928	173.920	172.371	171.136	164.472	175.869	170.176	169.101	172.854	175.978	166.377	168.123	167.054	172.683	175.461	171.475
6	167.462	167.462	170.563	171.837	176.764	169.135	170.302	177.731	168.357	171.064	167.577	174.605	169.440	168.955	172.302	169.265	165.550	168.942	163.187	180.807	164.510	174.369
7	170.587	170.587	170.006	170.133	166.575	169.997	172.646	169.411	168.494	171.521	172.293	172.038	167.436	177.145	175.547	168.463	166.274	171.261	173.973	171.539	167.805	168.438
8	168.236	168.236	169.670	174.087	174.766	168.823	174.697	172.566	173.428	171.128	173.043	168.963	169.026	177.509	172.608	174.310	172.201	165.337	173.345	167.067	168.704	171.691
9	170.686	170.686	166.907	166.473	171.996	170.398	173.147	165.743	168.128	169.844	175.296	167.347	168.588	170.218	172.625	173.849	173.018	163.620	167.384	164.980	171.546	174.466
10	177.233	177.233	171.138	167.268	172.666	170.349	168.234	169.397	166.222	168.692	174.018	165.860	164.530	171.392	174.566	166.445	158.718	165.926	171.868	169.688	175.077	173.028
11	175.407	175.407	169.885	175.591	174.473	175.920	170.863	166.886	165.249	175.173	176.169	171.904	169.941	178.080	173.788	169.069	161.865	165.489	171.592	176.475	176.288	176.186
12	173.594	173.594	170.007	174.927	173.381	172.194	170.945	166.724	168.084	174.522	172.530	171.254	171.642	176.630	174.416	175.033	166.889	170.186	172.384	173.594	166.904	166.969
13	168.308	168.308	170.640	174.615	170.344	170.840	173.339	168.928	171.965	170.848	170.415	172.535	167.025	172.884	168.809	177.142	167.956	173.492	174.160	174.691	170.630	171.403
14	171.175	171.175	175.536	170.026	174.508	175.776	172.222	173.618	173.545	171.133	175.115	172.094	174.101	171.607	167.363	174.659	170.163	174.750	166.097	168.258	171.812	174.832
15	180.302	180.302	174.366	171.924	175.109	169.879	171.273	169.057	173.904	174.099	173.416	170.450	170.663	172.703	179.065	170.002	170.084	173.891	174.066	174.192	169.628	174.196
16	178.342	178.342	173.444	171.561	180.478	172.314	176.614	171.779	171.948	175.947	173.810	170.513	166.351	174.210	183.585	168.933	168.298	175.488	172.673	171.192	168.520	172.898
17	179.509	179.509	180.776	176.924	175.799	174.217	176.966	169.673	166.815	172.469	177.165	175.287	167.911	176.106	180.537	174.214	166.746	179.709	174.298	164.109	177.382	173.387
18	172.394	172.394	166.546	173.856	176.026	176.881	176.808	171.612	171.932	178.681	170.809	177.259	170.661	173.739	177.456	172.793	167.360	168.052	171.388	170.365	173.144	174.115
19	172.550	172.550	171.327	177.184	172.485	170.540	176.284	175.853	171.267	168.942	166.742	180.768	174.412	171.951	176.379	171.441	166.837	174.425	170.167	174.974	174.673	171.348
20	168.828	168.828	176.005	177.559	174.989	174.340	175.156	171.637	167.161	172.839	176.874	174.297	171.644	173.496	173.247	173.923	176.436	173.840	167.708	169.868	171.362	172.712
21	173.816	173.816	177.938	173.163	175.527	179.284	175.032	170.618	171.394	169.880	174.406	176.704	180.690	172.028	177.757	172.980	173.529	181.519	170.841	175.226	177.701	175.763
22	177.521	177.521	177.238	174.920	177.107	181.827	170.486	177.194	177.271	170.205	171.739	181.962	173.998	171.303	182.278	176.605	178.766	173.671	178.276	170.138	176.051	172.924
23	184.104	184.104	176.322	170.271	179.968	175.739	175.417	179.023	180.131	174.055	178.107	178.667	177.274	173.127	187.355	171.324	178.062	179.287	179.725	178.876	176.439	174.889
24	179.207	179.207	178.078	173.383	184.427	171.943	174.929	179.546	173.603	168.166	171.969	175.815	175.778	172.025	179.324	175.944	172.354	176.046	176.681	167.883	170.885	173.806
25	179.445	179.445	178.497	182.594	178.228	178.295	171.249	178.065	173.313	171.727	168.597	176.098	176.331	171.965	174.390	177.571	176.007	170.299	168.087	160.775	179.776	173.623
26	178.038	178.038	174.459	180.556	169.723	175.311	172.250	172.929	177.470	184.225	177.302	179.726	171.523	182.085	182.325	179.193	172.700	175.616	174.064	176.135	173.712	174.151
27	169.392	169.392	178.979	178.171	177.215	177.011	173.381	175.780	179.554	184.534	181.529	177.694	172.943	185.759	181.598	174.477	169.806	177.254	176.506	180.656	175.917	174.003
28	170.214	170.214	179.481	180.284	181.292	176.849	178.241	179.804	172.202	173.971	179.167	177.313	168.145	175.236	183.141	180.857	172.084	173.869	171.507	182.771	176.158	174.516
29	179.410	179.410	180.189	179.949	179.839	173.412	176.017	178.594	177.671	175.610	179.791	181.432	170.337	180.898	183.064	180.710	175.779	176.843	173.412	174.812	177.014	176.462
30	172.308	172.308	180.618	172.829	180.261	180.103	177.199	178.285	182.748	182.993	192.501	176.987	177.072	186.523	181.347	174.615	177.478	174.086	178.211	179.666	177.039	178.886
31	172.273	172.273	176.745	174.475	178.093	176.611	176.527	180.943	174.731	183.220	181.376	177.004	172.866	180.500	184.836	180.804	173.852	181.592	176.867	181.348	173.924	179.841
32	181.928	181.928	175.531	176.949	185.678	177.832	186.913	177.725	174.569	182.394	181.729	179.699	174.682	175.611	188.973	183.425	172.710	180.303	176.081	172.371	172.167	182.459
33	186.023	186.023	183.389	178.071	176.046	177.632	178.609	172.961	180.855	181.484	178.752	178.506	181.249	181.496	179.209	178.458	179.536	181.646	171.724	177.779	178.826	181.962
34	187.914	187.914	181.194	181.334	179.352	179.558	183.127	172.604	179.364	180.418	172.088	182.760	181.471	185.222	178.153	181.633	175.762	180.766	171.467	177.851	175.014	176.673
35	180.274	180.274	180.499	181.217	181.905	178.393	178.981	173.708	179.719	177.579	170.967	182.712	174.262	178.539	172.986	176.017	173.345	179.127	180.964	177.755	177.515	173.955
36	176.487	176.487	183.028	187.495	181.302	179.768	178.521	182.814	177.569	186.714	176.982	180.227	175.600	184.680	182.005	186.360	173.022	176.712	177.034	173.108	179.477	177.722
37	181.597	181.597	182.141	186.612	182.140	182.349	179.710	179.479	183.607	190.717	178.541	178.662	180.651	182.634	177.121	181.781	174.635	180.227	177.811	183.166	181.252	186.020
38	185.530	185.530	185.425	183.706	175.545	179.196	173.618	181.648	179.785	184.037	179.743	183.251	178.214	180.537	183.541	174.572	179.244	175.361	177.238	177.984	180.707	182.253
39	185.609	185.609	186.474	183.599	182.978	184.283	178.644	185.721	187.565	176.457	181.927	181.788	183.149	183.792	187.712	175.499	178.868	176.065	178.261	183.167	182.071	183.671
40	189.112	189.112	182.031	184.199	185.540	183.061	179.925	183.470	179.280	178.939	180.178	187.252	179.586	191.242	179.753	181.742	177.128	182.974	175.474	179.971	179.992	184.094
41	183.479	183.479	180.649	185.428	188.590	178.683	179.438	177.337	180.038	177.955	178.049	184.194	176.988	188.375	183.802	181.414	176.902	180.575	178.665	180.710	181.921	179.295
42	186.460	186.460	187.539	189.490	188.873	177.537	182.143	182.499	185.363	179.301	177.582	183.432	175.973	184.114	188.333	181.236	182.260	180.332	178.491	191.426	184.855	188.701
43	189.510	189.510	187.164	186.476	186.870	181.022	186.788	184.780	180.132	183.073	183.402	182.764	183.975	192.802	188.255	191.543	180.347	179.687	180.626	181.427	179.015	186.342
44	191.968	191.968	183.677	177.997	182.526	186.037	177.063	183.897	187.985	181.506	181.014	176.949	175.392	189.791	188.820	181.776	175.394	180.777	180.625	175.794	184.079	191.384
45	181.291	181.291	185.540	184.553	182.169	186.949	185.147	180.750	180.866	184.523	188.713	187.735	183.754	188.530	185.074	189.541	176.872	185.685	183.296	183.021	180.970	190.040
46	183.815	183.815	190.340	185.486	184.769	187.570	178.511	187.645	181.104	184.563	187.000	186.021	181.538	192.243	185.496	189.990	176.229	175.517	182.305	183.762	185.001	190.714
47	183.845	183.845	187.249	184.598	190.114	182.760	188.312	178.695	191.677	185.090	184.630	187.322	180.162	186.737	187.839	191.394	180.407	186.636	184.820	181.070	183.744	186.650
48	191.265	191.265	186.037	195.082	190.343	185.685	189.439	186.441	193.835	187.778	189.809	188.945	187.473	190.291	193.473	193.863	187.294	189.597	185.797	187.578	187.372	191.798
49	193.440	193.440	194.034	200.344	189.282	190.650	188.671	195.096	186.969	191.846	198.403	190.204	183.071	187.324	201.187	194.774	186.611	183.313	184.037	182.019	192.589	192.391
50	190.055	190.055	189.993	198.244	196.456	190.334	193.499	193.917	188.823	192.285	191.991	192.987	190.823	198.751	197.072	195.113	189.165	180.711	188.651	178.920	191.853	192.310
51	189.846	189.846	194.602	189.318	194.566	185.422	194.183	197.836	186.497	187.834	194.352	196.013	184.142	190.267	186.971	199.533	182.263	192.012	184.934	181.061	188.383	193.359
52	193.461	193.461	194.961	188.854	194.578	194.482	190.909	194.716	196.323	191.135	195.046	191.860	185.092	193.228	192.533	195.840	191.863	189.023	187.454	199.053	189.296	195.893
53	191.131	191.131	196.490	190.458	191.101	194.123	192.572	188.226	187.587	196.858	190.397	195.953	177.833	195.075	201.469	191.389	190.846	189.483	185.167	191.314	190.904	192.094
54	185.008	185.008	195.763	192.704	190.154	189.532	197.771	192.930	188.629	198.059	193.167	196.853	195.735	199.410	199.142	192.899	186.429	186.501	196.738	192.957	197.421	192.648
55	189.660	189.660	197.072	199.816	192.880	192.834	195.548	192.763	190.412	197.053	193.510	194.837	190.804	198.876	197.195	198.030	187.277	195.561	195.247	190.692	194.430	189.359
56	200.971	200.971	195.460	197.744	193.636	197.096	198.213	196.051	193.887	198.999	195.717	190.058	192.042	204.107	202.354	192.247	188.210	195.178	197.964	191.652	190.613	197.930
57	201.079	201.079	200.877	197.227	202.156	195.040	197.569	198.758	193.219	190.082	200.014	195.879	194.219	201.961	210.032	199.194	190.185	193.550	193.734	198.218	189.877	196.923
58	196.001	196.001	200.698	195.733	199.804	196.928	198.964	195.998	198.684	190.543	198.491	198.554	198.069	203.595	201.685	196.621	184.118	190.155	197.076	187.099	194.093	195.668
59	196.603	196.603	196.779	197.915	204.767	201.742	203.227	199.932	195.859	194.859	195.618	197.381	192.669	197.346	211.415	205.044	193.021	200.294	191.693	190.034	197.147	199.092
60	195.532	195.532	204.775	202.736	201.667	198.278	196.897	205.717	199.335	195.914	196.734	198.473	202.550	194.430	208.005	203.452	195.956	197.319	196.855	188.616	196.679	202.121
61	206.916	206.916	209.809	203.110	200.618	199.425	205.566	198.681	199.853	197.697	198.916	196.460	193.789	204.363	209.530	203.771	196.101	192.520	193.931	196.239	191.970	199.759
62	206.002	206.002	212.285	197.661	204.254	198.185	200.591	202.943	208.583	194.472	201.722	193.345	194.781	206.934	207.844	209.188	192.622	199.013	198.759	196.491	195.187	197.460
63	208.969	208.969	208.190	201.272	204.569	199.339	204.615	207.330	198.991	198.109	199.700	199.546	200.607	211.501	212.636	210.450	197.117	203.820	198.626	202.101	203.134	205.297
64	205.624	205.624	210.298	208.872	201.183	199.275	213.550	209.607	209.336	202.588	202.840	203.927	202.818	208.509	208.979	210.070	202.341	202.540	204.430	200.523	206.520	198.822
65	209.938	209.938	214.636	207.222	204.102	205.222	214.208	210.225	206.452	200.443	210.405	198.173	197.154	211.976	214.362	214.511	205.981	201.424	206.184	206.914	209.852	202.025
66	213.587	213.587	213.454	207.543	206.872	198.059	212.709	207.831	202.945	204.048	206.384	205.868	202.032	212.245	209.754	216.688	205.585	194.733	202.809	207.637	206.942	207.388
67	205.806	205.806	214.893	213.430	219.062	203.917	208.835	204.224	203.712	205.060	205.092	205.093	200.704	214.426	211.793	212.594	201.507	208.861	203.242	203.215	211.929	207.021
68	205.947	205.947	212.148	210.948	213.611	209.608	217.835	213.108	208.740	213.543	209.898	206.554	206.760	217.478	215.639	222.738	208.353	210.459	202.848	203.792	203.863	211.417
69	211.292	211.292	215.136	208.537	207.786	217.091	217.388	219.759	208.056	207.788	204.614	212.940	203.261	219.793	209.719	218.958	208.714	207.092	202.194	204.098	206.114	202.493
70	210.980	210.980	210.615	211.077	206.351	220.208	230.654	218.360	214.033	210.922	207.902	218.442	206.871	219.888	220.491	227.455	203.781	208.748	208.503	210.801	206.172	208.538
71	216.424	216.424	225.826	219.650	218.025	222.829	240.043	219.059	212.696	209.545	216.308	216.361	215.468	219.480	223.420	233.428	215.025	209.055	206.772	216.433	214.193	214.277
72	219.996	219.996	228.634	221.995	223.207	225.086	238.507	223.216	210.407	218.004	208.451	223.481	200.990	224.380	225.791	228.085	225.194	225.396	206.136	214.798	212.667	214.838
73	221.335	221.335	228.393	221.501	229.467	229.507	243.364	225.458	219.617	218.939	217.251	214.783	206.125	218.604	226.091	232.348	218.570	221.038	210.137	221.898	216.283	222.513
74	225.980	225.980	234.779	231.712	229.637	241.849	243.555	224.659	230.927	213.457	215.207	214.602	207.093	221.304	230.529	244.536	231.527	223.110	219.339	230.507	219.605	227.438
75	219.714	219.714	234.891	239.805	231.941	241.141	259.310	230.179	229.929	215.027	221.172	209.567	219.428	228.727	236.333	236.412	231.536	224.361	221.133	217.756	226.593	223.471
76	224.138	224.138	236.985	237.341	244.673	242.317	262.260	247.652	238.100	219.057	229.204	219.615	228.244	234.431	238.983	234.044	230.589	225.061	224.467	223.622	228.693	228.006
77	223.660	223.660	243.483	240.750	248.111	240.092	260.195	248.911	243.894	218.131	234.422	232.145	223.173	235.566	244.373	238.622	230.892	227.785	229.110	221.863	217.582	238.972
78	242.583	242.583	252.221	246.731	253.063	252.606	263.395	254.372	250.673	224.250	230.658	237.417	228.379	248.664	247.106	247.163	237.669	230.818	233.962	226.456	226.822	243.798
79	237.281	237.281	261.212	257.947	258.560	255.815	263.030	262.608	261.923	236.144	235.794	239.281	240.072	251.468	252.463	247.750	250.209	237.232	238.218	238.131	227.898	244.095
80	235.156	235.156	260.354	275.857	255.687	264.062	252.568	262.825	264.344	246.219	237.504	247.667	239.712	255.327	253.982	263.871	242.702	243.228	232.070	239.504	234.115	242.209
81	242.529	242.529	258.826	268.865	262.123	259.227	245.667	265.415	267.345	250.404	248.280	238.595	232.431	260.862	258.618	256.842	244.901	244.591	232.619	238.097	232.309	240.192
