 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
1	642.500	642.500	648.871	682.380	668.018	719.600	715.512	681.803	725.447	732.180	753.198	770.903	768.692	703.715	722.029	700.059	696.393	735.260	773.785
2	611.727	611.727	645.474	668.646	662.188	703.781	688.100	668.052	730.390	731.182	743.285	784.677	771.292	707.786	730.534	705.127	684.546	722.275	757.540
3	617.426	617.426	632.085	665.105	676.364	691.212	668.106	666.852	730.915	727.237	727.424	784.277	770.766	690.558	703.200	704.029	699.687	718.117	738.524
4	627.737	627.737	629.217	677.634	651.552	669.008	674.827	652.166	734.994	720.499	728.276	766.050	749.799	663.682	710.120	706.419	697.915	702.383	727.739
5	610.095	610.095	639.933	645.111	648.487	692.151	666.114	651.959	713.433	697.262	716.531	722.046	720.094	653.066	711.985	679.948	665.023	712.582	728.174
6	597.101	597.101	643.987	655.491	636.775	678.938	667.461	662.942	691.863	695.851	701.090	724.435	723.691	662.561	688.608	670.927	672.592	709.618	713.213
7	602.498	602.498	643.660	650.128	641.043	670.870	673.938	655.767	705.443	699.077	694.215	727.330	701.009	673.341	693.536	673.789	671.132	703.646	729.872
8	608.252	608.252	666.628	651.267	643.836	668.447	679.695	639.861	691.872	676.813	700.576	725.733	704.873	671.864	691.585	674.983	681.011	711.215	715.586
9	606.183	606.183	668.507	659.902	644.822	664.695	687.113	647.464	707.163	676.753	684.603	727.656	693.481	675.510	688.151	657.518	671.803	689.673	702.643
10	606.907	606.907	646.453	635.503	652.408	668.430	662.872	651.821	696.460	673.113	693.148	732.192	681.442	672.654	684.601	665.338	683.072	705.276	722.933
11	613.971	613.971	647.825	641.693	645.043	675.370	671.326	646.345	703.934	689.907	703.813	725.029	670.051	673.931	706.052	663.569	665.640	672.169	707.185
12	606.133	606.133	650.636	647.771	642.349	664.833	655.855	634.771	698.735	682.244	687.961	733.429	668.920	658.304	691.427	665.037	667.721	684.685	683.045
13	600.279	600.279	648.999	650.826	636.824	668.298	660.155	646.751	691.797	677.756	678.427	727.105	692.529	648.258	703.102	654.680	658.374	681.546	675.094
14	606.999	606.999	640.327	625.306	630.950	656.417	658.869	639.427	679.831	676.726	693.872	707.630	688.894	634.718	693.480	651.504	643.389	676.711	665.827
15	618.005	618.005	654.210	619.819	626.455	659.292	652.959	647.606	682.803	686.145	685.464	717.797	686.916	643.558	672.830	658.059	663.249	668.242	668.533
16	610.357	610.357	645.935	631.403	634.858	648.095	658.249	658.430	689.224	661.521	678.760	690.515	677.953	631.981	649.383	650.976	640.679	665.758	679.508
17	639.651	639.651	650.868	648.819	632.969	649.031	681.893	662.756	689.176	673.207	665.741	705.796	679.601	614.138	655.085	650.169	643.784	660.289	667.339
18	642.511	642.511	658.818	642.144	623.759	635.027	668.438	653.182	691.310	657.452	665.530	704.462	683.517	610.716	643.976	641.533	652.687	656.354	676.315
19	630.807	630.807	671.431	638.760	646.998	659.929	680.012	658.915	683.233	651.169	660.483	677.832	663.770	619.560	639.091	615.199	643.408	647.376	671.770
20	613.823	613.823	668.704	637.661	628.968	640.846	683.493	684.576	698.783	671.427	657.715	683.270	648.739	623.222	629.424	624.448	659.409	655.372	675.729
21	614.624	614.624	659.633	644.852	643.075	662.533	680.176	672.040	691.070	668.539	658.602	688.286	655.296	619.168	639.690	621.564	665.250	655.982	671.807
22	617.857	617.857	645.818	632.479	643.719	661.110	683.234	654.050	693.003	648.388	647.612	683.086	639.747	619.259	626.009	616.409	627.500	657.744	668.622
