 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
1	189.640	189.640	178.943	185.348	183.217	176.744	179.374	180.109	178.251	185.702	179.450	181.892
2	189.112	189.112	180.953	182.808	185.632	182.826	177.432	181.308	181.241	179.411	176.706	182.916
3	182.004	182.004	180.934	183.205	183.718	180.117	178.686	180.185	183.893	177.966	181.756	183.683
4	183.383	183.383	179.888	177.183	184.447	179.112	174.201	181.169	184.972	179.902	179.735	177.233
5	193.171	193.171	178.585	177.070	173.663	182.090	180.181	179.053	193.532	187.276	179.589	181.372
6	194.281	194.281	185.869	176.581	183.456	185.660	188.299	180.415	186.572	181.316	190.391	175.167
7	191.590	191.590	187.265	177.518	185.912	181.237	175.058	189.950	185.144	181.339	184.056	176.377
8	184.087	184.087	183.773	174.163	188.010	183.263	179.736	181.323	178.889	181.341	183.137	181.455
9	185.609	185.609	180.551	180.729	179.980	185.764	183.015	181.086	178.469	190.902	179.982	176.675
10	188.763	188.763	186.146	176.937	188.052	187.493	183.393	185.609	182.497	185.174	183.212	182.214
11	183.337	183.337	175.910	183.309	187.961	182.506	181.981	179.787	182.672	184.982	185.051	180.745
12	180.830	180.830	183.043	183.322	181.697	180.553	183.261	187.215	179.888	179.958	183.979	182.743
13	182.320	182.320	186.036	181.157	188.176	175.274	186.313	182.415	186.074	182.968	175.544	182.251
14	184.197	184.197	191.062	185.817	191.373	185.585	181.724	181.041	185.683	184.543	184.346	178.259
15	193.556	193.556	182.773	180.951	185.407	180.556	177.628	182.353	183.199	190.484	181.101	176.577
16	189.068	189.068	186.944	180.362	187.384	177.633	181.104	180.825	184.189	187.443	182.648	180.149
17	189.404	189.404	183.868	179.141	189.135	179.049	181.269	179.898	183.500	186.544	184.484	183.944
18	194.081	194.081	186.811	182.998	189.734	188.011	186.262	187.347	187.954	185.636	179.397	183.861
19	193.640	193.640	181.009	188.238	181.360	190.551	185.063	183.996	185.146	189.131	177.297	181.302
20	190.784	190.784	187.772	185.053	179.156	183.497	187.264	180.830	187.505	181.396	182.498	179.697
21	183.298	183.298	188.381	186.999	188.068	184.303	190.461	184.465	181.959	183.940	178.478	182.680
22	185.522	185.522	186.811	184.117	187.846	189.125	185.910	184.872	188.941	191.118	189.095	185.629
23	188.855	188.855	191.901	188.464	193.452	185.590	186.777	183.230	185.132	186.013	189.463	178.608
24	190.443	190.443	194.124	187.932	187.608	189.215	180.192	185.502	183.511	191.389	187.460	183.037
25	192.689	192.689	195.024	185.627	188.275	190.196	183.645	184.774	190.221	190.794	184.164	179.900
26	191.892	191.892	191.171	184.399	184.941	194.208	186.543	188.825	186.075	184.269	184.780	186.807
27	188.433	188.433	189.289	185.578	185.688	191.112	184.628	185.913	181.563	185.680	188.172	191.060
28	186.472	186.472	191.149	182.276	183.025	191.419	190.657	187.731	184.367	186.310	189.254	189.339
29	193.202	193.202	187.053	188.503	190.334	191.374	185.671	185.873	188.813	186.857	184.842	184.307
30	190.083	190.083	188.860	195.333	191.814	187.076	188.154	183.945	194.179	180.660	182.386	187.453
