 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4
1	248.000	248.000	256.000	234.000
2	249.588	249.588	283.069	270.531
3	263.682	263.682	268.138	259.944
4	291.810	291.810	255.831	259.433
5	272.483	272.483	276.037	265.372
6	276.095	276.095	269.766	271.093
7	272.712	272.712	275.780	268.605
8	261.696	261.696	254.749	265.956
9	283.645	283.645	255.357	263.067
10	310.859	310.859	271.816	264.947
11	293.452	293.452	278.160	282.178
12	292.039	292.039	255.169	267.520
13	303.573	303.573	248.393	254.594
14	272.357	272.357	274.600	258.216
15	271.108	271.108	267.036	289.932
16	295.120	295.120	260.120	265.973
17	276.705	276.705	271.608	289.256
18	256.715	256.715	257.860	263.508
19	300.661	300.661	256.595	271.027
20	290.434	290.434	280.043	259.887
21	286.031	286.031	278.222	273.979
22	270.676	270.676	286.303	270.459
23	264.730	264.730	263.341	278.294
24	266.430	266.430	273.304	275.674
25	270.336	270.336	286.182	251.269
26	282.778	282.778	266.222	283.556
27	277.368	277.368	274.738	294.173
28	267.235	267.235	286.872	289.899
29	260.162	260.162	280.311	274.856
30	274.516	274.516	280.553	279.669
31	298.187	298.187	282.467	277.387
32	286.239	286.239	273.515	273.175
33	280.308	280.308	292.993	269.675
34	285.174	285.174	298.926	262.218
35	285.979	285.979	294.070	258.996
36	286.944	286.944	301.123	296.267
37	258.797	258.797	288.613	283.474
38	284.005	284.005	296.953	257.787
39	259.796	259.796	281.140	254.303
40	294.078	294.078	258.730	294.394
41	279.283	279.283	276.372	272.764
42	282.606	282.606	272.622	302.242
43	288.548	288.548	260.566	300.794
44	276.407	276.407	268.294	276.652
45	285.821	285.821	280.012	275.224
46	286.120	286.120	280.040	285.000
47	294.151	294.151	269.323	290.188
48	297.975	297.975	281.814	279.192
49	290.276	290.276	287.301	287.289
50	318.887	318.887	274.325	275.534
51	306.222	306.222	283.074	306.148
52	301.635	301.635	293.953	303.363
53	276.759	276.759	313.461	270.489
54	269.014	269.014	305.144	295.604
55	297.954	297.954	295.806	273.570
56	310.333	310.333	284.342	280.284
57	293.406	293.406	299.377	302.032
58	330.186	330.186	283.330	345.716
59	306.179	306.179	304.341	307.520
60	310.454	310.454	285.045	311.389
61	306.413	306.413	274.867	296.400
62	308.249	308.249	301.711	315.537
63	320.418	320.418	308.801	298.941
64	331.053	331.053	310.365	295.846
65	330.761	330.761	309.205	325.779
66	315.259	315.259	303.424	311.993
67	315.198	315.198	282.699	297.628
