 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	343.000	337.000	350.000	329.000	389.000	319.000	348.000	343.000	382.000	321.000
2	354.818	342.563	341.137	327.162	362.701	346.553	359.808	354.818	372.095	335.928
3	362.986	330.464	359.665	343.622	351.933	343.404	347.836	362.986	368.738	350.200
4	352.608	299.706	357.349	356.294	350.329	339.385	345.195	352.608	324.739	372.865
5	377.435	314.492	363.111	324.640	350.383	329.180	323.886	377.435	341.525	324.025
6	356.783	348.584	360.868	319.317	351.106	328.085	318.963	356.783	350.436	323.298
7	357.321	329.122	338.693	332.055	347.571	356.459	312.196	357.321	312.289	310.935
8	341.264	310.021	343.002	313.912	361.820	359.369	331.251	341.264	343.243	338.870
9	360.515	327.539	328.394	344.935	333.050	357.371	321.594	360.515	348.015	328.742
10	348.465	326.056	339.848	340.264	339.688	354.087	337.894	348.465	348.942	343.171
11	330.484	324.895	324.340	352.080	365.790	323.460	354.542	330.484	354.090	351.642
12	351.784	331.677	327.335	346.304	354.434	324.984	330.511	351.784	328.844	338.903
13	354.259	332.468	336.842	342.581	331.351	322.805	318.686	354.259	352.017	340.665
14	342.268	332.891	335.172	339.545	368.503	326.153	332.425	342.268	333.674	322.171
15	384.203	351.369	358.250	344.451	333.255	364.122	332.951	384.203	326.682	338.696
16	345.089	338.271	316.690	346.083	328.231	362.802	330.826	345.089	361.384	365.571
17	327.858	334.120	338.632	320.458	327.377	323.011	321.162	327.858	376.303	346.035
18	343.332	343.635	328.656	323.557	334.926	341.654	343.703	343.332	364.741	341.478
19	350.988	356.254	352.738	327.726	329.897	341.756	351.729	350.988	367.142	328.017
20	339.905	333.060	304.726	329.615	314.938	328.703	321.714	339.905	339.265	323.382
21	343.855	328.274	313.761	334.054	335.622	331.267	350.359	343.855	350.815	328.729
22	355.067	323.826	331.123	336.959	345.325	314.007	339.540	355.067	329.176	350.062
23	356.955	315.554	309.146	335.666	341.996	329.651	331.188	356.955	334.542	367.663
24	353.153	322.134	319.662	318.855	351.642	315.596	351.318	353.153	341.040	333.053
25	342.008	313.056	331.514	310.041	316.218	352.498	339.384	342.008	337.654	340.917
26	337.881	307.502	317.887	320.791	320.923	354.978	330.410	337.881	336.413	325.367
27	337.925	318.387	351.029	328.485	318.269	338.800	344.574	337.925	353.468	357.864
28	313.922	317.693	329.630	335.061	343.994	330.879	349.057	313.922	339.372	327.293
29	324.631	331.296	329.022	334.086	350.329	333.405	343.064	324.631	347.987	331.655
30	349.745	317.330	361.241	340.873	331.895	339.024	301.045	349.745	360.358	378.476
31	350.714	315.214	328.880	350.607	312.400	331.094	363.254	350.714	364.788	334.248
32	346.135	325.438	317.186	333.771	336.357	323.642	354.264	346.135	352.849	333.650
33	362.992	333.834	333.241	305.928	344.328	345.979	331.721	362.992	312.640	355.451
34	359.043	321.405	285.885	319.817	360.870	353.533	326.944	359.043	332.909	340.142
35	356.089	327.453	310.284	306.273	364.438	331.485	346.374	356.089	356.082	329.842
36	344.866	312.007	331.199	314.576	340.814	351.003	349.563	344.866	380.219	329.680
37	342.164	338.916	329.898	290.591	336.095	341.919	321.049	342.164	357.769	355.851
38	361.522	302.847	338.981	314.913	356.041	324.032	345.390	361.522	345.433	320.431
