 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
1	299.000	299.000	263.000	225.000	265.000	317.000	274.000	310.000	337.000
2	277.991	277.991	267.498	261.344	286.342	307.854	297.882	300.332	291.996
3	281.257	281.257	276.231	276.239	254.171	303.210	302.232	286.380	311.934
4	294.407	294.407	277.881	302.058	233.851	306.599	302.072	290.220	306.736
5	306.504	306.504	289.606	255.150	282.359	321.136	309.513	277.845	307.855
6	304.137	304.137	287.493	273.283	259.315	300.433	307.024	277.727	312.484
7	304.241	304.241	292.145	283.617	252.911	310.990	322.281	285.803	305.825
8	277.930	277.930	274.809	264.630	264.215	314.282	291.173	303.013	321.505
9	280.309	280.309	292.013	259.617	254.735	311.956	297.070	277.716	292.504
10	289.644	289.644	286.685	264.945	262.689	319.384	289.820	299.609	324.602
11	309.708	309.708	273.403	255.134	261.277	301.299	290.305	294.038	336.525
12	288.088	288.088	288.994	249.189	281.361	310.206	326.794	317.506	301.138
13	271.655	271.655	290.277	260.008	256.501	297.587	317.677	311.429	306.325
14	294.372	294.372	284.143	244.020	264.386	294.568	310.250	292.162	332.367
15	293.017	293.017	283.450	257.065	254.009	314.986	304.916	310.205	312.619
16	285.330	285.330	287.281	251.666	247.653	287.146	306.068	285.029	298.458
17	279.921	279.921	309.166	258.772	256.493	291.000	286.828	299.164	283.896
18	279.852	279.852	293.963	253.889	257.926	286.667	284.444	301.556	292.556
19	267.702	267.702	285.090	279.644	275.093	295.931	298.675	309.073	309.619
20	300.778	300.778	253.875	284.107	280.351	286.513	295.418	297.432	323.970
21	302.656	302.656	260.554	262.138	247.695	307.135	309.405	303.265	342.331
22	292.955	292.955	265.916	251.694	239.451	273.928	302.489	291.847	329.646
23	272.449	272.449	317.792	244.401	300.251	287.015	307.416	289.066	324.917
24	257.978	257.978	289.984	271.021	300.704	305.520	294.300	302.333	318.494
25	265.239	265.239	295.012	275.956	276.800	313.227	319.381	317.239	302.324
26	298.848	298.848	275.571	278.286	275.620	309.428	340.839	317.538	314.340
27	323.209	323.209	294.430	298.763	262.525	318.329	309.449	316.221	325.372
28	325.401	325.401	304.014	283.727	272.592	308.415	314.834	307.225	321.443
29	325.152	325.152	271.705	280.579	262.928	316.468	321.410	307.438	308.678
30	307.160	307.160	270.871	287.059	284.076	282.542	345.603	332.961	322.794
31	335.160	335.160	297.428	271.627	274.148	322.226	344.516	339.881	323.521
32	304.547	304.547	294.554	284.469	278.702	334.636	332.275	329.562	304.849
33	287.856	287.856	289.513	292.813	268.942	314.435	339.603	322.333	305.075
34	282.118	282.118	290.534	283.248	276.963	342.321	358.890	336.761	323.337
35	293.963	293.963	308.000	266.741	287.259	311.185	331.222	329.407	318.000
36	287.038	287.038	311.709	270.556	292.803	305.454	317.526	325.842	321.564
37	320.702	320.702	332.612	295.315	285.522	312.076	332.260	318.010	331.190
38	312.577	312.577	310.118	272.406	296.653	347.237	325.427	338.918	330.040
39	303.007	303.007	306.722	276.747	284.381	348.498	323.291	343.385	337.311
40	315.309	315.309	316.531	290.796	310.802	332.374	312.407	342.863	339.595
41	315.402	315.402	328.694	321.026	267.744	333.092	354.272	337.401	337.868
42	305.293	305.293	306.265	329.687	289.900	356.397	340.782	323.752	350.354
43	307.810	307.810	319.133	319.767	301.779	358.762	323.815	335.657	362.622
44	339.384	339.384	305.362	307.229	295.330	348.988	346.728	320.224	341.806
45	312.320	312.320	310.069	310.082	313.314	322.152	336.596	330.316	347.383
46	326.858	326.858	341.512	329.848	305.651	355.149	371.529	343.329	340.280
47	332.118	332.118	308.560	305.010	315.286	370.248	358.979	331.630	315.207
48	317.532	317.532	329.059	302.554	321.449	364.455	336.211	322.097	341.426
49	326.496	326.496	316.337	309.051	327.217	346.095	357.020	348.050	343.729
50	333.565	333.565	309.517	326.241	317.897	352.438	365.332	341.534	361.282
51	343.626	343.626	349.163	321.327	319.807	364.217	363.452	336.473	360.173
52	345.667	345.667	320.333	319.333	317.333	361.000	353.333	334.333	377.667
53	356.359	356.359	349.019	276.277	354.965	370.153	363.009	319.504	353.200
54	350.537	350.537	337.760	332.551	314.649	390.628	353.943	368.015	391.836
55	364.810	364.810	336.436	350.498	314.824	396.201	357.799	370.779	412.087
56	367.799	367.799	324.522	313.237	352.136	384.953	344.293	357.248	376.834
57	338.098	338.098	339.596	340.519	355.077	394.262	383.946	375.586	390.917
58	351.873	351.873	332.821	316.381	351.201	372.421	376.953	389.448	388.663
59	402.943	402.943	334.422	343.062	343.113	381.540	381.015	396.687	426.840
60	397.449	397.449	330.355	332.164	352.020	376.670	386.042	370.921	376.724
61	364.406	364.406	354.218	326.749	345.869	405.662	386.161	367.065	394.806
62	351.771	351.771	358.718	315.423	327.432	408.105	390.453	356.959	399.926
63	329.652	329.652	348.201	310.126	336.186	415.878	386.656	346.730	404.839
64	392.644	392.644	365.128	356.519	337.422	423.114	405.000	379.706	404.457
65	414.138	414.138	342.187	355.575	355.114	432.980	414.414	370.892	407.135
66	450.080	450.080	348.997	351.635	349.542	444.662	405.299	406.088	429.402
67	385.203	385.203	370.322	349.757	354.518	425.528	421.547	440.662	443.129
68	382.602	382.602	393.651	363.848	385.753	420.701	433.077	422.507	455.499
69	427.111	427.111	375.000	368.037	395.704	410.074	441.296	394.000	449.074
70	404.636	404.636	389.992	402.033	419.887	472.126	463.331	398.727	469.657
71	416.408	416.408	412.992	392.301	384.907	413.798	456.316	419.715	485.643
72	416.157	416.157	399.488	383.447	378.420	437.229	468.108	428.454	484.954
73	428.837	428.837	402.218	397.097	392.114	439.377	462.875	434.270	461.111
74	438.402	438.402	424.822	393.596	398.853	474.954	479.219	461.001	457.481
75	421.403	421.403	453.671	403.668	434.465	458.234	468.947	454.561	501.199
76	451.505	451.505	433.353	439.362	415.997	494.412	473.675	427.971	504.325
77	463.450	463.450	405.098	408.631	393.587	497.017	486.164	467.610	471.754
78	449.188	449.188	425.115	409.469	399.436	542.346	530.828	473.989	536.665
79	433.794	433.794	440.860	431.378	446.627	522.796	548.970	492.715	598.044
