 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	251.000	272.000	228.000	257.000	231.000	232.000	228.000	251.000	231.000	220.000
2	252.682	248.212	234.453	238.632	247.718	230.148	240.835	247.712	236.668	228.042
3	245.990	250.383	240.206	208.565	246.314	233.490	234.581	240.283	246.004	240.984
4	225.422	253.903	247.278	197.922	226.996	232.954	223.895	231.235	232.811	248.670
5	231.032	250.817	268.579	223.463	246.088	220.461	242.767	205.925	241.184	240.222
6	237.058	248.349	242.709	241.550	247.372	232.350	222.702	214.998	243.638	234.117
7	239.370	248.900	262.646	244.821	247.129	236.550	227.727	229.716	242.461	237.614
8	245.008	236.289	254.126	236.814	249.622	234.210	233.422	232.355	252.964	242.594
9	224.478	249.054	261.302	223.423	247.951	220.867	238.234	242.510	222.143	238.990
10	221.324	240.561	224.822	220.672	234.374	224.654	235.245	224.680	229.258	239.390
11	242.371	233.004	248.215	224.563	234.833	222.972	233.972	235.853	231.941	237.118
12	239.043	237.445	250.050	235.798	248.663	219.605	227.988	239.502	236.599	236.665
13	240.900	242.511	270.920	228.384	227.297	227.180	265.730	223.931	222.125	236.960
14	251.537	240.998	222.017	241.177	245.489	225.954	234.510	238.944	241.375	241.423
15	246.392	254.464	218.281	240.897	236.061	230.328	227.882	243.619	225.542	228.736
16	238.584	237.519	237.815	249.091	232.788	245.883	237.299	247.929	232.687	233.140
17	240.209	244.286	255.528	243.728	224.128	249.884	255.861	245.098	240.078	251.575
18	261.961	261.532	248.146	236.564	240.258	220.676	226.673	216.653	222.716	244.907
19	230.201	233.349	240.508	238.424	227.821	232.532	252.825	221.691	238.531	229.505
20	227.605	239.747	237.642	240.755	239.195	237.218	251.000	239.987	239.794	225.478
21	245.250	253.005	226.154	230.895	249.639	223.005	247.633	247.329	262.771	247.084
22	232.350	241.472	234.936	238.141	251.590	248.553	244.001	236.700	255.272	231.222
23	242.808	252.561	241.613	240.642	238.155	237.669	255.473	238.622	230.591	246.658
24	231.816	240.255	245.599	224.984	238.546	241.311	234.819	236.112	226.378	239.424
25	235.558	244.745	241.491	235.917	253.983	248.939	243.285	252.388	240.524	232.036
26	243.247	266.797	239.672	222.325	243.152	246.160	261.138	234.087	233.060	224.610
27	234.437	243.363	250.627	242.352	268.212	224.176	227.575	237.661	234.303	230.117
28	233.514	234.731	238.934	242.072	234.477	245.098	228.140	243.959	236.907	239.707
29	225.228	237.321	234.737	234.252	235.126	249.023	251.492	241.047	232.514	244.727
30	229.359	266.615	277.420	260.680	227.743	248.967	214.040	242.868	267.047	223.113
31	234.852	245.003	243.998	255.930	234.865	237.449	244.002	227.038	236.957	246.183
32	253.928	230.600	237.024	233.494	237.702	249.813	249.921	226.204	241.008	249.570
33	257.362	229.876	247.967	217.246	236.578	269.423	242.623	222.146	248.164	223.658
34	230.340	227.404	249.441	237.808	232.832	247.625	238.334	228.661	233.921	239.384
