 	Profile_Slice_1
1	265.226
2	264.934
3	274.234
4	266.892
5	266.774
6	247.826
7	238.226
8	255.267
9	256.918
10	263.124
11	263.459
12	273.497
13	270.089
14	263.557
15	277.916
16	262.145
17	266.195
18	263.590
19	267.678
20	267.049
21	274.430
22	269.663
23	269.724
24	263.917
25	261.772
26	281.505
27	260.766
28	274.656
29	270.978
30	283.904
31	279.501
32	280.115
33	285.352
34	279.719
35	286.874
36	281.512
37	283.760
38	282.624
39	278.378
40	279.911
41	285.205
42	279.520
43	280.800
44	283.157
45	277.490
46	284.107
47	289.843
48	302.114
49	299.891
50	294.837
51	290.681
52	294.921
53	293.117
54	296.745
55	296.453
56	283.786
57	295.214
58	294.088
59	302.048
60	324.303
61	305.894
62	313.691
63	313.540
64	303.314
65	308.195
66	313.939
67	312.292
68	317.542
69	315.323
70	325.801
71	343.720
72	351.166
73	352.458
74	352.267
75	337.951
76	356.182
77	350.788
78	375.207
79	374.131
80	375.150
81	371.392
82	390.217
83	393.135
84	389.841
85	380.311
86	393.046
87	401.388
88	411.353
89	399.780
90	417.420
91	406.717
92	412.617
93	409.340
94	413.454
95	420.769
96	429.182
97	435.836
98	450.602
99	453.166
100	443.121
101	432.189
102	456.820
103	439.792
104	421.862
105	416.689
106	433.657
107	430.588
108	413.967
109	408.719
110	395.155
111	417.688
112	404.676
113	411.185
114	399.620
115	395.965
116	391.220
117	384.809
118	382.370
119	394.710
120	396.973
121	384.630
122	386.803
123	381.032
124	374.400
125	384.350
126	379.654
127	394.206
128	375.217
129	380.856
130	374.619
131	369.154
132	380.132
133	367.568
134	361.069
135	355.162
136	349.899
137	358.886
138	365.444
139	373.614
140	364.825
141	362.489
142	367.464
143	367.201
144	381.223
145	379.107
146	374.347
147	377.142
148	366.260
149	362.681
150	341.212
151	339.109
152	347.863
153	334.718
154	350.455
155	336.707
156	342.420
157	351.768
158	353.618
159	364.751
160	370.135
161	342.710
162	360.315
163	362.766
164	351.930
165	359.063
166	358.914
167	353.218
168	357.776
169	357.394
170	350.567
171	347.867
172	339.207
173	348.691
174	346.024
175	339.518
176	333.565
177	353.501
178	329.036
179	348.094
180	349.667
181	342.526
182	349.139
183	354.063
184	404.283
185	409.317
186	395.966
187	413.137
188	387.912
189	401.433
190	394.322
191	401.140
192	404.323
193	397.230
194	403.556
195	391.532
196	393.492
197	392.435
198	406.321
199	378.250
200	385.568
201	382.229
202	372.492
203	404.738
204	388.495
205	383.237
206	386.756
207	382.099
208	379.889
209	392.330
210	385.968
211	392.482
212	389.546
213	372.982
214	383.074
215	402.040
216	384.549
217	376.108
218	405.146
219	370.891
220	386.629
221	392.528
222	390.113
223	432.796
224	383.366
225	401.059
226	411.719
227	380.915
228	416.261
229	387.913
230	411.843
231	412.076
232	399.002
233	400.869
234	402.331
235	379.378
236	400.924
237	411.533
238	415.635
239	429.889
240	394.979
241	403.656
242	411.994
243	414.241
244	384.662
245	427.388
246	424.422
247	422.298
248	435.327
249	450.120
250	453.532
251	432.824
252	451.029
253	419.565
254	436.760
255	439.556
256	456.028
257	445.085
258	457.585
259	443.355
260	430.365
261	465.768
262	453.848
263	442.255
264	438.382
