 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3
1	250.360	240.762	250.360
2	242.240	244.418	242.240
3	247.133	241.784	247.133
4	241.046	233.629	241.046
5	238.030	238.810	238.030
6	238.864	237.106	238.864
7	241.354	235.571	241.354
8	244.222	234.275	244.222
9	239.126	241.273	239.126
10	242.449	237.019	242.449
11	240.191	239.286	240.191
12	247.623	241.981	247.623
13	245.997	240.695	245.997
14	246.201	232.730	246.201
15	244.621	236.123	244.621
16	248.550	240.892	248.550
17	244.873	237.406	244.873
18	245.226	239.411	245.226
19	241.489	236.498	241.489
20	246.887	236.352	246.887
21	244.348	231.698	244.348
22	244.055	236.445	244.055
23	237.939	234.570	237.939
24	242.659	235.722	242.659
25	246.149	232.785	246.149
26	243.473	237.646	243.473
27	243.477	232.632	243.477
28	245.047	236.514	245.047
29	244.543	245.978	244.543
30	244.305	241.558	244.305
31	245.595	243.147	245.595
32	241.263	240.402	241.263
33	248.062	238.455	248.062
34	240.746	240.411	240.746
35	238.475	244.004	238.475
36	237.189	231.710	237.189
37	234.764	230.741	234.764
38	240.735	248.878	240.735
39	239.199	242.185	239.199
40	249.219	236.836	249.219
41	245.585	238.758	245.585
42	241.387	241.685	241.387
43	245.568	242.339	245.568
44	243.594	241.817	243.594
45	242.175	239.647	242.175
46	244.362	238.093	244.362
47	247.905	229.827	247.905
48	232.091	235.329	232.091
49	238.290	238.384	238.290
50	242.400	237.882	242.400
51	246.422	241.816	246.422
52	243.292	239.388	243.292
53	245.149	240.581	245.149
54	242.456	237.186	242.456
55	247.223	236.338	247.223
56	259.343	243.018	259.343
57	255.088	244.929	255.088
58	244.825	237.515	244.825
59	245.405	234.659	245.405
60	245.586	245.689	245.586
61	242.981	250.768	242.981
62	241.077	243.996	241.077
63	246.220	235.103	246.220
64	251.447	242.349	251.447
65	242.860	239.105	242.860
66	238.793	242.428	238.793
67	252.674	240.422	252.674
68	236.253	235.736	236.253
69	244.125	237.779	244.125
70	248.747	232.212	248.747
71	245.375	225.947	245.375
72	244.993	237.373	244.993
73	248.206	247.042	248.206
74	249.126	244.104	249.126
75	248.895	239.003	248.895
76	257.924	235.200	257.924
77	241.585	230.064	241.585
78	246.778	230.678	246.778
79	251.548	236.924	251.548
80	241.347	233.953	241.347
81	251.635	231.136	251.635
82	251.786	237.732	251.786
83	247.374	239.609	247.374
84	237.618	240.281	237.618
85	240.258	242.606	240.258
86	248.925	239.822	248.925
87	250.308	236.037	250.308
88	249.153	248.209	249.153
89	238.465	246.780	238.465
90	246.180	246.940	246.180
91	250.015	240.567	250.015
92	250.198	238.530	250.198
93	247.001	238.974	247.001
94	253.332	237.668	253.332
95	241.856	229.314	241.856
96	240.745	239.699	240.745
97	255.294	250.467	255.294
98	245.283	241.814	245.283
99	249.471	242.322	249.471
100	247.084	234.551	247.084
101	249.568	236.999	249.568
102	253.223	243.035	253.223
103	249.769	229.475	249.769
104	250.265	236.757	250.265
105	244.763	238.609	244.763
106	249.355	240.615	249.355
107	242.148	240.244	242.148
108	245.221	235.019	245.221
109	245.180	242.903	245.180
110	245.310	244.607	245.310
111	249.619	242.437	249.619
112	244.490	242.010	244.490
113	254.965	243.486	254.965
114	251.943	248.517	251.943
115	260.570	235.914	260.570
116	251.724	234.082	251.724
117	257.270	248.470	257.270
118	254.565	248.959	254.565
119	246.573	240.897	246.573
120	249.474	240.741	249.474
121	257.236	231.472	257.236
122	243.606	240.546	243.606
123	249.769	237.224	249.769
124	251.028	241.193	251.028
125	256.783	244.696	256.783
126	245.322	247.398	245.322
127	241.531	235.302	241.531
128	255.734	225.232	255.734
129	246.385	232.700	246.385
130	246.186	249.982	246.186
131	253.675	243.457	253.675
132	260.058	244.233	260.058
133	252.348	244.062	252.348
134	246.322	235.949	246.322
135	249.453	237.452	249.453
136	244.464	240.454	244.464
137	243.942	239.826	243.942
138	258.544	244.677	258.544
139	255.634	244.554	255.634
140	257.835	238.693	257.835
141	256.622	240.492	256.622
142	249.676	246.911	249.676
143	251.948	235.115	251.948
144	260.497	239.686	260.497
145	254.475	239.296	254.475
146	249.735	243.270	249.735
147	262.834	241.945	262.834
148	260.926	238.436	260.926
149	254.307	245.300	254.307
150	260.570	250.321	260.570
151	243.869	246.031	243.869
152	267.557	243.700	267.557
153	253.793	244.675	253.793
154	251.119	250.137	251.119
155	249.969	247.492	249.969
156	251.679	245.586	251.679
157	256.489	248.797	256.489
158	256.558	255.964	256.558
159	256.036	250.104	256.036
160	254.899	245.672	254.899
161	245.178	244.556	245.178
