 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4
1	568.272	568.272	557.956	556.138
2	568.488	568.488	564.809	556.504
3	543.353	543.353	566.486	552.411
4	541.956	541.956	560.572	544.929
5	542.187	542.187	559.580	552.212
6	548.853	548.853	568.187	557.973
7	542.525	542.525	566.881	555.280
8	545.026	545.026	554.018	570.248
9	544.644	544.644	571.799	562.096
10	540.773	540.773	575.795	586.099
11	544.716	544.716	588.574	573.474
12	551.748	551.748	583.914	577.369
13	549.492	549.492	579.010	577.285
14	545.687	545.687	587.810	586.806
15	540.109	540.109	583.216	597.391
16	548.968	548.968	611.004	596.744
17	559.888	559.888	591.387	610.816
18	552.106	552.106	594.201	592.736
19	545.956	545.956	606.449	623.244
20	549.701	549.701	612.153	616.154
21	535.196	535.196	638.136	646.273
22	533.971	533.971	644.073	643.923
23	559.067	559.067	647.639	637.630
24	548.114	548.114	641.893	637.992
25	545.595	545.595	675.965	654.724
26	558.094	558.094	685.137	651.035
27	546.130	546.130	704.655	665.887
28	557.544	557.544	698.169	685.887
29	553.408	553.408	721.400	673.392
30	571.186	571.186	738.978	682.386
31	547.598	547.598	734.214	716.467
32	549.197	549.197	746.799	712.217
33	561.030	561.030	755.168	727.442
34	574.239	574.239	772.484	746.263
35	555.588	555.588	784.540	767.470
36	556.404	556.404	818.902	800.919
37	551.914	551.914	804.170	831.659
38	541.762	541.762	834.859	847.484
39	546.106	546.106	853.652	836.895
40	563.261	563.261	889.369	874.122
41	542.222	542.222	872.858	912.789
42	550.382	550.382	914.571	909.968
43	562.978	562.978	941.234	925.085
44	568.037	568.037	960.563	944.820
45	568.688	568.688	974.486	929.775
46	543.258	543.258	999.621	954.826
47	567.448	567.448	1004.620	942.671
48	557.143	557.143	1006.675	901.421
49	560.656	560.656	998.728	887.257
50	559.680	559.680	968.358	868.324
51	580.000	580.000	920.769	862.653
52	569.684	569.684	911.669	832.940
53	562.700	562.700	882.123	807.627
54	575.560	575.560	879.135	806.258
55	567.540	567.540	869.149	768.659
56	576.705	576.705	843.182	739.372
57	588.292	588.292	864.273	716.913
58	578.182	578.182	851.615	702.580
59	596.031	596.031	831.618	702.264
60	608.143	608.143	813.749	673.804
61	621.799	621.799	804.546	636.189
62	625.627	625.627	763.107	624.826
63	615.099	615.099	729.781	623.504
64	645.249	645.249	710.180	617.990
65	666.034	666.034	683.993	630.442
66	660.319	660.319	665.460	623.825
67	685.390	685.390	661.117	621.661
68	704.010	704.010	635.250	612.312
69	693.135	693.135	619.429	613.052
70	684.609	684.609	602.799	607.075
71	694.816	694.816	594.931	591.797
72	711.115	711.115	579.333	588.814
73	720.179	720.179	569.621	576.023
74	745.637	745.637	550.643	559.263
75	741.089	741.089	540.184	548.307
76	763.765	763.765	526.725	547.949
77	760.198	760.198	516.290	536.257
78	784.018	784.018	500.407	510.137
79	812.204	812.204	502.826	502.986
80	806.277	806.277	495.603	505.683
81	843.560	843.560	484.690	481.716
82	855.705	855.705	463.078	468.787
83	879.657	879.657	470.444	467.684
84	861.829	861.829	470.653	464.731
85	837.292	837.292	462.887	446.968
86	832.810	832.810	446.520	450.039
87	805.383	805.383	439.764	441.575
88	773.287	773.287	431.887	435.304
89	776.220	776.220	427.592	421.491
90	748.160	748.160	408.353	407.935
91	717.775	717.775	424.348	419.416
92	693.643	693.643	409.718	415.561
93	699.031	699.031	409.641	403.984
94	671.760	671.760	402.338	400.767
95	640.974	640.974	405.205	406.419
96	626.020	626.020	403.500	403.170
97	627.066	627.066	408.609	396.516
98	601.354	601.354	401.244	387.666
99	576.278	576.278	396.012	385.576
100	585.984	585.984	394.320	396.724
101	575.100	575.100	378.955	385.491
102	558.106	558.106	373.120	392.480
103	544.417	544.417	379.462	385.297
104	536.782	536.782	366.727	379.245
105	547.760	547.760	347.333	371.535
106	528.963	528.963	370.612	374.205
107	505.436	505.436	362.910	373.837
108	501.689	501.689	364.064	369.830
109	504.227	504.227	361.085	363.407
110	495.397	495.397	350.230	375.591
111	473.239	473.239	365.431	366.267
112	459.642	459.642	350.243	359.026
113	467.609	467.609	345.948	358.795
114	472.329	472.329	343.787	356.193
115	478.047	478.047	343.861	357.478
116	470.555	470.555	341.780	377.853
117	459.205	459.205	345.188	370.913
118	448.680	448.680	342.619	359.004
119	446.223	446.223	341.789	375.026
120	447.727	447.727	348.676	376.519
121	438.600	438.600	333.433	371.606
122	440.383	440.383	331.950	370.412
123	423.781	423.781	339.611	381.506
124	419.801	419.801	336.221	389.860
125	423.638	423.638	336.261	391.659
126	412.923	412.923	329.207	397.565
127	416.374	416.374	332.371	388.880
128	419.761	419.761	325.967	379.444
129	414.171	414.171	325.813	381.061
130	403.701	403.701	312.165	379.822
131	404.238	404.238	323.323	374.886
132	397.585	397.585	336.615	365.574
133	408.533	408.533	325.450	350.781
134	402.423	402.423	324.405	349.806
135	399.316	399.316	323.755	346.232
136	394.163	394.163	315.391	337.558
137	383.990	383.990	323.522	331.122
138	376.658	376.658	320.943	342.030
139	371.180	371.180	317.282	334.593
140	371.632	371.632	322.586	340.621
141	375.608	375.608	321.805	334.625
142	378.220	378.220	329.731	331.078
143	368.291	368.291	315.231	324.356
144	384.800	384.800	312.867	334.470
145	385.709	385.709	317.634	330.924
146	367.708	367.708	322.675	324.312
147	366.974	366.974	314.298	315.430
148	368.867	368.867	315.412	319.844
149	376.653	376.653	317.849	319.860
150	369.393	369.393	320.858	322.882
151	383.766	383.766	316.605	323.707
152	382.418	382.418	316.679	307.566
153	376.317	376.317	308.686	305.721
154	367.667	367.667	307.726	316.875
155	377.172	377.172	320.027	313.268
156	376.302	376.302	308.677	303.431
157	372.063	372.063	315.852	302.404
158	381.810	381.810	309.980	310.494
159	376.179	376.179	312.468	310.025
160	383.980	383.980	317.679	304.564
161	384.350	384.350	309.883	301.037
162	375.959	375.959	304.542	300.424
163	380.155	380.155	307.865	309.438
164	386.216	386.216	298.300	308.007
165	391.794	391.794	299.906	301.115
166	384.162	384.162	299.881	291.952
167	371.394	371.394	300.828	294.668
168	366.918	366.918	297.023	296.852
169	350.987	350.987	293.849	292.339
170	364.440	364.440	305.430	295.915
171	338.563	338.563	310.141	296.070
172	344.679	344.679	303.630	286.383
173	354.274	354.274	297.307	283.500
174	335.065	335.065	288.833	283.701
175	334.637	334.637	285.567	290.021
176	333.805	333.805	289.078	293.711
177	337.183	337.183	288.016	296.072
178	335.966	335.966	293.464	286.226
179	329.296	329.296	296.283	290.776
180	340.525	340.525	284.596	282.337
181	317.581	317.581	286.045	286.051
182	319.283	319.283	287.181	288.762
183	320.007	320.007	282.008	286.741
184	324.321	324.321	287.932	285.365
185	327.230	327.230	283.617	280.075
186	324.161	324.161	285.991	277.052
187	317.299	317.299	285.002	264.577
188	311.322	311.322	277.297	280.845
189	311.236	311.236	281.016	272.853
190	306.208	306.208	273.047	284.028
191	303.001	303.001	271.621	279.320
192	306.313	306.313	273.376	285.304
193	309.962	309.962	276.910	277.096
194	311.717	311.717	283.104	272.071
195	315.559	315.559	283.000	273.708
196	307.893	307.893	274.733	275.403
197	315.025	315.025	278.070	261.937
198	304.949	304.949	271.775	279.945
199	302.687	302.687	271.085	278.614
200	311.080	311.080	276.320	280.912
201	303.960	303.960	279.348	270.574
202	293.486	293.486	278.943	277.986
203	288.495	288.495	280.589	273.400
204	299.303	299.303	271.967	274.782
205	309.452	309.452	263.284	268.501
206	298.314	298.314	268.291	265.755
207	292.924	292.924	263.280	278.926
208	294.468	294.468	267.594	267.689
209	295.390	295.390	273.402	271.508
210	281.687	281.687	275.042	281.097
211	287.254	287.254	274.798	276.385
212	293.849	293.849	275.824	262.883
213	289.696	289.696	266.477	277.544
214	281.453	281.453	259.491	266.787
215	279.501	279.501	261.188	270.040
216	296.955	296.955	270.238	270.589
217	288.789	288.789	263.417	258.884
218	286.662	286.662	270.842	257.971
219	289.398	289.398	267.040	262.218
220	290.608	290.608	270.945	260.920
221	296.057	296.057	266.829	259.808
222	298.785	298.785	256.335	275.628
223	286.009	286.009	263.216	255.732
224	279.603	279.603	264.335	260.146
225	291.870	291.870	271.606	264.780
226	290.482	290.482	268.651	269.240
227	288.729	288.729	266.837	269.584
228	283.835	283.835	278.282	271.596
229	287.793	287.793	268.528	265.308
230	279.925	279.925	269.643	270.050
231	284.571	284.571	266.780	265.898
232	279.075	279.075	269.498	262.877
233	278.187	278.187	262.756	260.967
234	285.231	285.231	262.625	263.287
235	277.969	277.969	263.049	268.403
