 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5
1	722.344	722.344	746.921	778.942	752.524
2	718.236	718.236	743.437	767.218	740.875
3	728.784	728.784	734.450	765.476	755.494
4	716.108	716.108	737.519	745.606	745.535
5	702.323	702.323	731.792	733.982	737.900
6	698.204	698.204	729.608	730.614	753.024
7	689.836	689.836	742.058	748.551	750.815
8	700.661	700.661	734.929	741.123	727.985
9	699.360	699.360	732.026	731.673	736.065
10	707.027	707.027	722.605	722.366	741.599
11	700.158	700.158	735.615	727.612	728.951
12	704.547	704.547	729.612	733.943	708.840
13	695.950	695.950	717.398	735.245	715.983
14	698.383	698.383	709.929	721.081	708.873
15	696.246	696.246	694.537	710.146	696.155
16	706.261	706.261	708.128	711.464	699.642
17	688.596	688.596	719.498	707.948	681.137
18	689.637	689.637	720.743	715.193	682.845
19	678.656	678.656	723.024	697.060	710.623
20	669.596	669.596	715.427	691.865	680.918
21	658.999	658.999	717.471	690.231	690.420
22	669.896	669.896	699.843	670.371	678.565
23	660.312	660.312	691.083	677.093	696.477
24	641.302	641.302	688.375	686.837	684.936
25	648.118	648.118	666.419	671.966	679.191
26	668.778	668.778	677.830	690.520	673.531
27	669.335	669.335	660.065	676.518	672.022
28	662.739	662.739	666.380	692.457	654.280
29	656.470	656.470	676.282	706.631	674.468
30	686.284	686.284	675.412	692.897	676.085
31	668.322	668.322	681.668	704.924	668.235
32	662.641	662.641	687.622	710.745	670.476
33	665.135	665.135	700.072	727.828	682.102
34	684.831	684.831	682.255	691.223	686.504
35	671.007	671.007	695.891	710.636	686.093
36	631.769	631.769	688.557	668.401	670.138
37	634.975	634.975	668.289	668.226	665.254
38	633.728	633.728	648.958	653.710	661.356
39	665.074	665.074	644.854	653.215	666.847
40	654.883	654.883	642.163	669.385	664.512
41	640.603	640.603	635.109	652.898	663.306
42	627.756	627.756	633.178	633.211	642.713
43	629.173	629.173	632.478	654.418	653.395
44	639.844	639.844	630.616	648.301	647.085
45	646.430	646.430	633.971	666.507	636.607
46	632.098	632.098	648.866	652.329	626.583
47	634.053	634.053	648.520	640.033	629.944
48	649.260	649.260	648.075	651.639	644.998
49	652.033	652.033	653.895	648.421	641.018
50	634.001	634.001	636.813	657.618	647.308
51	643.533	643.533	636.330	653.539	641.119
52	638.743	638.743	641.171	648.514	639.143
53	643.958	643.958	628.661	635.062	622.196
54	640.829	640.829	626.720	637.629	634.679
55	616.608	616.608	627.746	645.759	617.761
56	611.556	611.556	631.958	630.254	598.610
57	610.224	610.224	619.705	621.030	594.962
58	597.460	597.460	607.289	603.969	592.112
59	596.630	596.630	593.400	578.167	584.326
60	562.793	562.793	577.813	570.142	561.620
61	552.671	552.671	574.054	565.872	556.685
62	543.633	543.633	573.965	534.535	545.059
63	540.020	540.020	538.954	545.275	523.736
64	535.714	535.714	522.595	510.723	508.612
65	508.820	508.820	525.941	512.625	496.064
66	496.257	496.257	520.699	501.969	495.956
67	473.211	473.211	511.254	493.354	483.292
68	473.581	473.581	499.317	492.283	479.316
69	482.457	482.457	491.777	474.165	478.681
70	475.500	475.500	499.349	471.059	473.673
71	474.673	474.673	479.302	471.639	473.471
72	478.167	478.167	465.241	477.134	463.544
73	467.803	467.803	464.969	469.475	468.097
74	467.276	467.276	472.586	470.584	461.989
75	463.662	463.662	474.350	467.969	466.239
76	460.954	460.954	467.366	459.835	462.002
77	454.439	454.439	470.485	458.212	461.083
78	458.163	458.163	463.611	468.141	451.286
79	435.624	435.624	458.140	453.861	465.043
80	449.473	449.473	449.233	446.857	444.373
81	448.718	448.718	451.566	447.901	437.906
82	441.933	441.933	454.757	445.252	422.436
83	432.769	432.769	437.367	437.990	445.587
84	438.696	438.696	437.633	452.808	433.037
85	431.019	431.019	438.017	434.779	439.322
86	435.770	435.770	443.299	420.706	417.542
87	425.748	425.748	428.632	427.607	436.978
88	410.920	410.920	420.826	420.664	424.010
89	430.767	430.767	427.912	412.505	419.292
90	417.581	417.581	426.502	413.116	413.768
91	421.934	421.934	430.657	410.503	414.146
92	414.224	414.224	429.377	425.784	417.445
93	405.933	405.933	412.359	402.581	411.375
94	391.031	391.031	405.383	403.956	401.931
95	397.866	397.866	411.339	401.060	405.958
96	409.887	409.887	397.800	392.807	399.996
97	389.449	389.449	401.347	400.598	384.858
98	396.766	396.766	404.438	399.641	386.770
99	389.986	389.986	401.427	395.165	389.023
100	375.656	375.656	387.496	389.606	392.833
101	387.588	387.588	380.567	400.101	380.339
102	378.920	378.920	385.252	394.411	386.041
103	384.528	384.528	386.451	393.029	392.529
104	377.894	377.894	384.232	388.915	391.637
105	380.903	380.903	376.113	373.526	374.836
106	381.738	381.738	376.405	392.624	383.711
107	383.340	383.340	386.769	388.167	373.457
108	380.065	380.065	381.267	380.651	373.535
109	378.866	378.866	380.282	377.798	391.052
110	373.411	373.411	380.499	380.188	377.233
111	370.418	370.418	387.222	367.604	371.962
112	365.677	365.677	379.188	374.424	362.529
113	371.831	371.831	369.774	374.828	361.968
114	358.486	358.486	383.362	372.240	370.889
115	360.028	360.028	372.811	366.758	361.507
116	365.984	365.984	362.640	373.879	363.870
117	366.294	366.294	375.326	368.935	364.293
118	358.796	358.796	376.524	364.002	373.919
119	367.964	367.964	371.590	359.593	371.155
120	363.919	363.919	370.568	349.912	361.027
121	352.812	352.812	374.727	370.365	356.155
122	353.881	353.881	360.894	369.768	346.598
123	359.647	359.647	355.187	368.950	360.433
124	357.036	357.036	358.179	354.077	349.217
125	354.518	354.518	358.033	359.734	352.303
126	348.508	348.508	343.594	349.544	343.212
127	351.650	351.650	367.530	364.261	354.833
128	346.285	346.285	355.855	364.603	355.164
129	341.606	341.606	356.848	360.426	367.620
130	343.324	343.324	367.329	361.712	359.750
131	355.426	355.426	359.484	350.769	353.096
132	350.856	350.856	354.598	346.447	347.858
133	346.824	346.824	349.058	342.764	342.478
134	341.446	341.446	345.506	342.984	340.172
135	346.037	346.037	347.092	341.671	346.887
136	348.696	348.696	347.958	334.811	347.448
137	350.792	350.792	347.026	340.753	345.969
138	341.026	341.026	344.455	343.931	324.867
139	337.460	337.460	347.337	347.910	336.441
140	333.331	333.331	346.619	342.186	332.844
141	329.481	329.481	343.400	340.796	335.220
142	341.049	341.049	333.941	332.195	324.273
143	333.384	333.384	344.473	339.260	329.787
144	333.584	333.584	336.592	334.177	323.641
145	333.616	333.616	339.848	328.977	332.536
146	335.979	335.979	334.382	334.011	332.006
147	326.000	326.000	341.868	324.785	334.390
148	325.885	325.885	342.892	328.206	343.034
149	326.225	326.225	338.091	331.550	326.857
150	329.552	329.552	345.233	321.907	330.082
151	324.351	324.351	340.199	322.059	323.137
152	325.460	325.460	325.997	326.405	325.018
153	323.206	323.206	328.268	333.518	320.716
154	324.286	324.286	327.430	326.852	325.012
155	332.180	332.180	323.684	323.263	327.355
156	318.103	318.103	331.362	329.502	322.636
157	317.522	317.522	321.763	320.126	328.896
158	328.567	328.567	324.956	334.315	319.459
159	320.841	320.841	327.331	327.277	316.963
160	320.086	320.086	323.497	324.437	322.806
161	325.589	325.589	322.313	328.658	324.356
162	321.630	321.630	322.334	329.485	313.309
163	312.403	312.403	315.748	326.354	324.629
164	320.298	320.298	333.191	326.665	323.015
165	319.607	319.607	328.257	326.528	318.206
166	317.584	317.584	322.714	333.108	328.461
167	308.596	308.596	310.754	325.489	325.532
168	312.197	312.197	313.810	316.413	318.868
169	317.236	317.236	328.962	326.109	316.761
170	306.427	306.427	325.743	314.438	314.339
171	308.433	308.433	310.315	316.058	315.816
172	317.006	317.006	311.406	319.441	310.432
173	318.309	318.309	314.082	317.476	315.047
174	316.103	316.103	320.710	314.709	307.183
175	304.120	304.120	310.643	307.028	312.811
176	304.997	304.997	323.038	312.781	316.870
177	305.319	305.319	325.174	317.067	312.604
178	303.434	303.434	313.853	317.870	305.448
179	313.752	313.752	315.947	313.943	299.526
180	314.626	314.626	334.922	324.244	311.177
181	303.287	303.287	315.818	319.642	314.984
182	302.460	302.460	314.139	306.481	313.163
183	312.445	312.445	307.577	305.608	321.880
184	307.951	307.951	305.487	319.990	314.331
185	300.569	300.569	305.489	312.862	314.047
186	305.574	305.574	313.451	318.447	312.435
187	316.155	316.155	309.379	302.229	297.429
188	310.475	310.475	303.635	301.804	300.306
189	315.925	315.925	316.523	311.993	303.663
190	305.602	305.602	308.886	317.234	309.726
191	303.843	303.843	302.592	320.728	299.388
192	315.236	315.236	309.961	321.458	306.616
193	310.001	310.001	308.905	308.493	313.084
194	305.800	305.800	309.121	303.625	311.677
195	297.319	297.319	308.666	307.167	317.624
196	300.800	300.800	302.924	306.097	305.135
197	304.761	304.761	300.597	301.500	306.699
198	299.505	299.505	293.974	302.769	305.718
199	305.302	305.302	296.334	310.757	300.528
200	304.580	304.580	300.507	298.608	302.270
201	303.366	303.366	302.250	298.665	298.761
202	303.662	303.662	301.939	297.077	303.968
203	297.153	297.153	299.055	312.221	310.437
204	296.824	296.824	303.210	309.174	311.418
205	295.792	295.792	301.337	310.298	301.819
206	286.818	286.818	304.541	306.873	295.402
207	297.225	297.225	302.029	301.750	303.944
208	301.175	301.175	303.219	302.257	297.363
209	307.535	307.535	301.079	309.864	296.179
210	302.668	302.668	296.514	300.322	291.635
211	289.236	289.236	306.224	305.060	298.031
212	285.440	285.440	305.294	307.344	300.112
213	284.834	284.834	308.027	302.947	305.903
214	300.179	300.179	310.045	300.840	301.847
215	307.859	307.859	301.704	307.201	297.513
216	301.760	301.760	305.389	304.025	299.137
217	302.172	302.172	295.099	302.498	310.233
218	296.694	296.694	300.262	297.909	294.952
219	293.224	293.224	302.417	304.977	305.355
220	289.057	289.057	296.130	300.535	292.063
221	290.370	290.370	291.942	290.888	289.257
222	287.773	287.773	300.228	299.235	291.134
223	303.420	303.420	295.689	295.446	298.717
224	300.602	300.602	297.515	296.351	298.965
225	295.720	295.720	307.801	303.007	287.846
