 	Profile_Slice_1	Profile_Slice_2
1	410.945	410.945
2	411.941	411.941
3	407.360	407.360
4	414.730	414.730
5	407.045	407.045
6	409.563	409.563
7	433.046	433.046
8	421.514	421.514
9	417.325	417.325
10	430.360	430.360
11	425.789	425.789
12	443.504	443.504
13	427.226	427.226
14	425.037	425.037
15	419.769	419.769
16	411.026	411.026
17	426.717	426.717
18	434.293	434.293
19	417.662	417.662
20	411.224	411.224
21	427.167	427.167
22	417.986	417.986
23	403.449	403.449
24	407.864	407.864
25	411.312	411.312
26	420.789	420.789
27	404.077	404.077
28	413.370	413.370
29	401.122	401.122
30	402.987	402.987
31	406.576	406.576
32	406.882	406.882
33	409.332	409.332
34	405.593	405.593
35	407.410	407.410
36	402.548	402.548
37	388.803	388.803
38	398.634	398.634
39	408.110	408.110
40	421.671	421.671
41	423.082	423.082
42	407.642	407.642
43	401.631	401.631
44	403.061	403.061
45	416.824	416.824
46	407.132	407.132
47	410.328	410.328
48	398.952	398.952
49	396.659	396.659
50	404.905	404.905
51	408.216	408.216
52	420.497	420.497
53	405.026	405.026
54	398.872	398.872
55	407.434	407.434
56	403.555	403.555
57	400.210	400.210
58	402.727	402.727
59	380.742	380.742
60	388.559	388.559
61	387.055	387.055
62	388.614	388.614
63	386.751	386.751
64	383.313	383.313
65	384.938	384.938
66	388.839	388.839
67	375.230	375.230
68	361.582	361.582
69	368.885	368.885
70	376.717	376.717
71	365.187	365.187
72	371.541	371.541
73	354.189	354.189
74	356.883	356.883
75	368.958	368.958
76	368.857	368.857
77	359.110	359.110
78	351.333	351.333
79	361.786	361.786
80	348.103	348.103
81	352.064	352.064
82	356.449	356.449
83	347.068	347.068
84	337.869	337.869
85	343.486	343.486
86	368.785	368.785
87	361.625	361.625
88	362.082	362.082
89	356.123	356.123
90	350.803	350.803
91	350.426	350.426
92	357.515	357.515
93	353.203	353.203
94	347.777	347.777
95	349.565	349.565
96	352.098	352.098
97	364.671	364.671
98	362.546	362.546
99	368.103	368.103
100	374.222	374.222
101	365.657	365.657
102	365.629	365.629
103	357.394	357.394
104	355.976	355.976
105	358.721	358.721
106	367.699	367.699
107	358.240	358.240
108	372.221	372.221
109	357.434	357.434
110	363.801	363.801
111	362.791	362.791
112	358.562	358.562
113	350.869	350.869
114	358.845	358.845
115	370.115	370.115
116	349.658	349.658
117	354.079	354.079
118	350.711	350.711
119	349.794	349.794
120	372.183	372.183
121	372.558	372.558
122	379.027	379.027
123	359.178	359.178
124	364.677	364.677
125	381.667	381.667
126	382.045	382.045
127	371.273	371.273
128	375.338	375.338
129	378.762	378.762
130	376.536	376.536
131	383.170	383.170
132	376.676	376.676
133	371.810	371.810
134	382.151	382.151
135	385.708	385.708
136	388.182	388.182
137	387.092	387.092
138	396.122	396.122
139	394.491	394.491
140	401.958	401.958
141	405.967	405.967
142	404.434	404.434
143	419.579	419.579
144	411.585	411.585
145	420.584	420.584
146	412.510	412.510
147	408.635	408.635
148	411.695	411.695
149	408.413	408.413
150	404.207	404.207
151	405.126	405.126
152	394.414	394.414
153	398.618	398.618
154	400.913	400.913
155	388.803	388.803
156	391.061	391.061
157	397.279	397.279
158	377.429	377.429
159	375.969	375.969
160	374.265	374.265
161	367.603	367.603
162	359.496	359.496
163	367.353	367.353
164	354.291	354.291
165	352.442	352.442
166	346.140	346.140
167	335.286	335.286
168	326.096	326.096
169	323.995	323.995
170	335.232	335.232
171	332.020	332.020
172	318.660	318.660
173	321.767	321.767
174	322.773	322.773
175	324.065	324.065
176	327.470	327.470
177	324.811	324.811
178	323.768	323.768
179	317.446	317.446
180	310.880	310.880
181	303.337	303.337
182	293.630	293.630
183	302.889	302.889
184	305.313	305.313
185	298.872	298.872
186	299.328	299.328
187	303.586	303.586
188	309.144	309.144
189	298.604	298.604
190	301.964	301.964
191	304.259	304.259
192	303.154	303.154
193	301.944	301.944
194	300.967	300.967
195	305.238	305.238
196	309.099	309.099
197	313.749	313.749
198	306.999	306.999
199	303.343	303.343
200	296.384	296.384
201	296.029	296.029
202	302.239	302.239
203	297.304	297.304
204	300.487	300.487
205	294.583	294.583
206	302.140	302.140
207	294.420	294.420
208	290.135	290.135
209	292.870	292.870
210	297.281	297.281
211	294.223	294.223
212	292.055	292.055
213	297.229	297.229
214	293.867	293.867
215	287.081	287.081
216	288.551	288.551
217	295.976	295.976
218	294.058	294.058
219	287.746	287.746
220	289.230	289.230
221	288.862	288.862
222	288.974	288.974
223	288.594	288.594
224	292.251	292.251
225	296.002	296.002
226	285.496	285.496
227	290.108	290.108
228	288.449	288.449
229	288.877	288.877
230	288.675	288.675
231	287.775	287.775
232	290.440	290.440
233	288.325	288.325
234	288.082	288.082
235	291.209	291.209
236	289.585	289.585
237	294.097	294.097
238	295.656	295.656
239	290.689	290.689
240	294.743	294.743
241	291.581	291.581
242	295.036	295.036
243	293.252	293.252
244	289.599	289.599
245	294.102	294.102
246	287.041	287.041
247	292.254	292.254
248	288.487	288.487
249	291.028	291.028
250	296.018	296.018
251	293.528	293.528
252	287.344	287.344
253	285.910	285.910
254	294.816	294.816
255	299.257	299.257
256	293.862	293.862
257	289.088	289.088
258	295.347	295.347
259	295.709	295.709
260	284.583	284.583
261	280.784	280.784
262	287.116	287.116
263	296.146	296.146
264	288.975	288.975
265	294.142	294.142
266	288.479	288.479
267	283.851	283.851
268	286.733	286.733
269	289.463	289.463
270	286.072	286.072
271	286.049	286.049
272	296.886	296.886
273	295.229	295.229
274	287.536	287.536
275	285.666	285.666
276	282.365	282.365
277	282.260	282.260
278	281.577	281.577
279	279.430	279.430
280	282.876	282.876
281	282.266	282.266
282	295.295	295.295
283	296.435	296.435
284	286.131	286.131
285	288.746	288.746
