 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
1	1111.031	1111.031	1168.753	1202.419	1206.868	1222.646	1225.753	1234.478	1222.011
2	1130.065	1130.065	1178.001	1202.899	1206.666	1216.799	1231.994	1233.629	1254.759
3	1124.535	1124.535	1177.542	1214.163	1204.474	1212.639	1239.490	1245.287	1254.267
4	1125.722	1125.722	1166.104	1192.893	1196.018	1220.766	1238.188	1230.168	1247.220
5	1134.615	1134.615	1174.279	1218.917	1229.977	1209.646	1251.247	1232.173	1247.760
6	1118.472	1118.472	1158.994	1208.586	1206.679	1220.890	1219.060	1231.450	1242.961
7	1124.789	1124.789	1172.267	1218.696	1221.327	1233.011	1222.470	1231.965	1253.259
8	1134.963	1134.963	1173.373	1203.981	1231.721	1235.473	1224.091	1232.665	1242.142
9	1114.270	1114.270	1173.676	1196.412	1213.952	1210.838	1226.808	1234.422	1240.898
10	1117.740	1117.740	1165.650	1197.076	1239.527	1224.640	1227.004	1229.784	1244.586
11	1105.397	1105.397	1150.369	1191.879	1227.910	1234.213	1229.765	1234.718	1245.596
12	1113.029	1113.029	1192.896	1198.192	1227.583	1236.049	1255.103	1252.308	1236.162
13	1117.194	1117.194	1180.978	1183.953	1212.906	1221.453	1241.445	1267.277	1231.281
14	1124.345	1124.345	1175.266	1213.187	1206.605	1231.197	1243.393	1255.407	1224.168
15	1130.254	1130.254	1175.853	1224.497	1215.647	1218.203	1247.400	1218.380	1233.282
16	1122.311	1122.311	1181.616	1219.241	1233.351	1219.532	1230.111	1252.887	1247.431
17	1144.581	1144.581	1186.520	1213.728	1239.044	1231.200	1225.086	1245.576	1250.178
18	1148.939	1148.939	1197.382	1209.899	1236.641	1247.108	1236.445	1241.737	1249.295
19	1103.226	1103.226	1189.600	1207.368	1242.561	1234.699	1250.643	1242.825	1247.304
20	1122.352	1122.352	1188.063	1205.108	1218.431	1247.224	1246.556	1235.626	1256.167
21	1130.145	1130.145	1179.183	1205.892	1223.976	1231.535	1222.206	1244.435	1253.957
22	1145.211	1145.211	1188.515	1200.509	1225.684	1243.468	1236.947	1242.704	1248.510
23	1143.462	1143.462	1196.450	1208.959	1225.934	1236.788	1257.558	1265.925	1251.108
24	1122.095	1122.095	1186.134	1220.585	1214.134	1224.862	1220.616	1256.924	1248.489
25	1116.764	1116.764	1196.117	1219.174	1240.467	1222.081	1246.150	1279.797	1264.852
26	1125.683	1125.683	1172.001	1216.767	1231.266	1236.267	1233.745	1254.807	1244.474
27	1114.199	1114.199	1182.643	1203.086	1230.468	1232.076	1252.861	1260.618	1243.801
28	1132.509	1132.509	1183.268	1206.037	1228.252	1245.818	1242.649	1243.623	1245.273
29	1160.204	1160.204	1182.377	1205.877	1233.734	1246.910	1232.919	1262.677	1259.254
30	1138.973	1138.973	1177.187	1219.655	1213.241	1246.016	1224.889	1248.338	1258.106
