 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
1	1311.022	1473.554	1424.362	1367.705	1398.175	1341.307	1412.306	1405.982	1344.477	1341.442	1347.193	1330.253	1317.141	1310.398
2	1306.750	1464.064	1429.828	1362.282	1396.179	1359.331	1392.688	1410.170	1357.878	1348.160	1353.203	1319.255	1334.651	1319.309
3	1303.554	1463.798	1403.944	1364.278	1388.601	1351.714	1414.087	1395.198	1354.410	1378.487	1355.183	1319.032	1345.682	1317.687
4	1309.711	1428.248	1395.212	1357.478	1385.356	1346.826	1416.098	1408.913	1355.516	1381.196	1358.366	1331.830	1321.783	1317.547
5	1320.074	1437.411	1391.743	1381.306	1394.916	1356.992	1396.679	1406.046	1360.034	1375.449	1347.862	1319.081	1323.444	1310.494
6	1300.526	1462.424	1401.947	1365.505	1387.045	1367.891	1400.114	1400.768	1360.629	1359.113	1339.488	1345.489	1327.023	1314.676
7	1292.027	1454.057	1397.855	1388.487	1397.266	1356.441	1411.838	1402.012	1366.878	1344.914	1368.363	1331.126	1336.316	1307.490
8	1317.930	1465.487	1410.016	1388.982	1414.261	1380.405	1413.495	1397.792	1351.226	1356.883	1337.015	1359.623	1312.297	1317.889
9	1314.728	1471.160	1409.544	1390.467	1408.680	1374.623	1409.766	1394.896	1348.165	1355.352	1364.789	1328.618	1322.353	1333.703
10	1307.030	1454.639	1421.924	1383.143	1387.610	1372.077	1404.168	1386.251	1346.537	1351.770	1333.972	1327.968	1316.794	1307.280
11	1303.186	1462.517	1429.957	1381.045	1395.675	1353.476	1399.432	1390.138	1363.711	1370.735	1346.202	1340.726	1328.131	1315.294
12	1292.178	1441.158	1417.396	1372.883	1408.098	1357.660	1385.037	1405.052	1368.648	1358.911	1351.610	1323.242	1317.355	1323.961
13	1304.860	1448.361	1422.549	1388.825	1399.631	1367.660	1398.402	1409.218	1373.430	1361.862	1344.560	1313.437	1325.596	1296.717
14	1309.718	1465.266	1437.687	1393.945	1392.002	1373.243	1391.769	1389.293	1350.068	1377.629	1339.293	1350.828	1338.933	1321.380
15	1323.124	1463.838	1414.801	1373.338	1405.053	1378.898	1380.627	1410.105	1350.427	1372.680	1357.359	1326.916	1316.076	1303.358
16	1315.190	1431.247	1404.710	1371.882	1420.771	1366.551	1380.752	1400.401	1364.777	1372.616	1371.558	1326.147	1330.250	1313.446
17	1323.846	1462.960	1424.137	1384.562	1411.612	1364.992	1395.396	1409.856	1356.328	1364.727	1352.782	1331.642	1310.455	1296.203
18	1318.654	1477.254	1425.799	1379.469	1405.609	1365.903	1400.813	1394.216	1376.703	1349.102	1345.827	1332.568	1316.204	1312.937
19	1327.392	1450.474	1404.044	1390.436	1392.919	1366.498	1409.052	1404.970	1368.990	1353.306	1364.259	1331.059	1340.314	1320.035
20	1312.206	1445.146	1427.103	1378.178	1409.337	1359.171	1390.337	1400.222	1361.964	1356.070	1342.197	1340.919	1316.111	1329.801
21	1319.888	1435.573	1416.180	1385.278	1392.140	1364.493	1388.605	1419.838	1360.484	1352.258	1343.232	1342.303	1324.573	1310.597
22	1327.917	1458.520	1414.026	1388.379	1413.534	1371.292	1404.333	1434.015	1360.904	1348.801	1361.529	1339.186	1341.594	1320.264
23	1323.911	1482.410	1410.981	1375.523	1421.209	1360.148	1402.601	1409.233	1375.199	1360.379	1353.028	1338.688	1340.443	1312.603
24	1302.801	1462.981	1411.610	1384.695	1401.924	1379.393	1424.306	1400.476	1367.164	1356.442	1328.066	1342.479	1321.028	1311.810
25	1314.107	1438.184	1402.263	1389.410	1414.866	1387.928	1401.349	1389.840	1371.393	1365.270	1333.699	1333.675	1336.634	1327.292
26	1312.467	1444.737	1403.086	1367.452	1409.609	1359.246	1405.136	1410.620	1356.629	1380.685	1330.554	1333.204	1336.942	1312.956
27	1317.778	1446.823	1396.824	1391.729	1411.108	1378.849	1408.034	1419.401	1334.534	1368.566	1350.506	1347.557	1320.130	1317.781
28	1304.344	1467.705	1414.274	1388.548	1398.401	1377.029	1395.484	1414.662	1347.449	1359.033	1357.270	1340.192	1346.874	1324.630
29	1286.239	1490.582	1422.130	1387.940	1415.156	1371.456	1399.215	1382.495	1348.198	1358.367	1352.580	1319.046	1339.207	1324.276
30	1300.019	1460.783	1408.364	1356.705	1404.996	1366.549	1398.142	1386.590	1334.617	1369.104	1361.297	1334.170	1317.977	1312.619
31	1317.770	1450.596	1408.010	1380.950	1395.303	1364.700	1399.763	1399.065	1368.696	1377.924	1365.638	1326.903	1313.921	1310.608
32	1307.245	1462.147	1407.122	1379.826	1404.834	1359.703	1407.898	1390.244	1343.451	1363.466	1357.911	1324.310	1314.810	1325.377
33	1319.743	1490.775	1431.755	1388.491	1387.553	1377.961	1408.480	1397.285	1377.532	1369.410	1376.594	1316.727	1329.385	1319.158
34	1317.252	1452.608	1436.841	1381.645	1397.224	1371.815	1406.541	1407.058	1377.018	1369.394	1361.671	1327.931	1324.756	1316.602
35	1297.857	1449.589	1430.576	1389.144	1406.756	1382.386	1390.889	1400.120	1364.124	1367.271	1360.586	1332.922	1324.168	1318.460
36	1289.684	1463.691	1407.846	1392.574	1395.814	1375.305	1382.006	1410.893	1354.194	1349.557	1347.162	1324.951	1310.055	1317.741
37	1295.398	1430.686	1403.383	1379.792	1398.878	1369.104	1395.281	1398.257	1362.513	1354.732	1363.089	1326.714	1328.371	1314.078
38	1316.196	1453.761	1437.308	1387.327	1388.063	1354.515	1391.792	1403.847	1354.272	1361.133	1354.854	1341.565	1347.187	1338.920
39	1315.560	1465.798	1436.134	1394.019	1393.469	1371.565	1406.305	1389.478	1367.438	1369.872	1352.029	1349.171	1323.232	1347.618
40	1304.679	1454.036	1439.524	1391.312	1413.093	1385.686	1428.247	1400.744	1367.866	1363.334	1362.299	1329.932	1326.416	1331.446
41	1304.794	1474.562	1429.671	1414.172	1394.651	1373.882	1411.978	1401.390	1372.314	1359.409	1363.529	1336.695	1334.658	1322.927
42	1317.070	1453.792	1416.456	1389.668	1414.712	1365.689	1405.668	1401.448	1356.865	1364.826	1350.568	1344.054	1310.291	1311.095
43	1314.732	1469.623	1420.350	1379.396	1402.496	1363.841	1410.788	1411.063	1341.043	1372.114	1351.337	1328.246	1334.056	1283.410
44	1310.529	1465.921	1419.167	1403.408	1411.091	1382.234	1400.617	1394.420	1373.595	1370.327	1371.147	1348.402	1344.794	1315.306
45	1322.839	1468.694	1407.321	1391.117	1426.196	1370.020	1408.333	1396.694	1353.036	1371.119	1367.919	1355.408	1351.180	1310.585
46	1299.759	1484.755	1430.075	1372.657	1400.086	1366.891	1418.264	1385.812	1353.690	1362.080	1359.374	1353.167	1343.758	1306.338
47	1319.836	1473.063	1424.583	1377.019	1400.952	1386.910	1426.877	1405.902	1353.357	1388.990	1353.534	1341.844	1335.435	1293.731
48	1316.892	1474.046	1417.313	1379.581	1413.287	1371.140	1416.064	1417.764	1337.771	1375.926	1330.909	1340.180	1319.304	1324.476
49	1317.123	1473.753	1411.895	1382.910	1405.616	1363.639	1409.863	1409.591	1355.164	1382.571	1349.166	1354.492	1320.168	1326.275
50	1307.277	1447.031	1415.333	1397.553	1400.090	1375.098	1411.358	1410.977	1361.042	1378.804	1357.131	1330.814	1349.942	1326.298
51	1306.748	1470.033	1401.200	1390.169	1395.735	1374.580	1409.965	1401.117	1356.080	1384.799	1361.584	1326.571	1318.010	1312.144
52	1321.209	1463.328	1412.065	1386.668	1404.180	1376.291	1417.215	1402.885	1356.622	1385.414	1340.308	1353.374	1328.950	1326.555
53	1326.731	1468.404	1429.392	1387.022	1394.914	1342.149	1409.095	1387.664	1349.396	1360.864	1342.798	1342.764	1331.378	1317.724
54	1327.016	1484.059	1422.137	1397.052	1408.896	1373.006	1410.477	1401.549	1363.212	1359.986	1340.838	1348.280	1348.740	1314.216
55	1337.985	1488.161	1432.753	1390.607	1412.732	1364.032	1426.089	1392.660	1342.987	1367.123	1358.299	1347.588	1362.147	1319.214
56	1327.029	1484.412	1432.809	1392.287	1407.650	1377.087	1413.222	1421.229	1350.521	1376.911	1347.859	1341.155	1343.230	1324.899
57	1331.165	1488.622	1440.744	1392.712	1436.001	1391.728	1429.153	1410.054	1381.029	1393.040	1375.269	1338.564	1329.645	1310.628
58	1313.033	1470.063	1420.480	1376.951	1400.878	1374.956	1400.836	1416.019	1364.613	1363.716	1350.418	1356.625	1331.650	1307.685
59	1312.694	1472.300	1431.200	1399.492	1405.498	1392.401	1388.768	1419.520	1358.668	1374.612	1349.583	1335.688	1349.496	1328.354
60	1336.936	1458.672	1432.218	1398.947	1408.583	1375.116	1411.617	1422.509	1356.935	1369.267	1353.585	1348.310	1343.091	1333.598
61	1335.243	1482.089	1432.149	1385.474	1403.177	1386.083	1418.614	1398.743	1350.760	1385.952	1349.315	1343.589	1347.055	1323.338
62	1328.030	1459.109	1427.680	1402.541	1424.682	1378.102	1425.718	1430.140	1366.158	1386.346	1350.242	1339.348	1356.843	1320.719
63	1338.842	1470.931	1415.780	1392.054	1423.585	1371.510	1409.670	1421.718	1362.488	1350.996	1370.357	1363.873	1331.564	1306.913
64	1317.712	1480.430	1423.626	1392.168	1420.295	1375.874	1406.680	1393.531	1358.100	1375.246	1357.638	1352.362	1339.540	1327.948
65	1326.101	1481.967	1429.526	1373.695	1405.563	1380.481	1408.404	1405.530	1380.185	1389.619	1354.946	1325.221	1327.326	1324.496
66	1322.237	1463.914	1425.756	1388.261	1426.910	1383.590	1405.233	1408.661	1345.742	1392.118	1363.616	1342.249	1303.295	1337.291
67	1315.609	1447.391	1415.207	1381.347	1407.623	1368.549	1395.473	1404.281	1338.354	1382.533	1350.106	1346.519	1314.746	1314.260
68	1325.711	1477.866	1422.834	1368.959	1412.542	1375.318	1432.410	1393.724	1344.019	1378.012	1340.367	1343.206	1351.405	1314.200
69	1312.259	1470.725	1421.547	1401.934	1403.715	1369.149	1436.838	1408.649	1352.907	1362.341	1354.848	1362.116	1356.301	1338.968
70	1333.237	1473.123	1437.815	1406.242	1427.940	1394.253	1425.478	1426.541	1343.937	1386.917	1350.289	1350.932	1336.058	1315.544
71	1316.634	1478.260	1443.871	1415.862	1444.243	1390.171	1428.086	1419.266	1364.730	1399.673	1334.228	1359.548	1337.090	1326.491
72	1338.504	1474.010	1448.408	1390.184	1411.276	1376.225	1409.606	1396.164	1376.833	1382.913	1367.426	1372.355	1338.064	1314.220
73	1341.705	1465.497	1450.749	1389.167	1387.409	1391.683	1397.943	1413.000	1370.119	1378.768	1367.581	1368.695	1352.956	1304.080
74	1345.670	1480.414	1433.740	1396.807	1415.102	1361.928	1421.959	1395.081	1359.911	1378.316	1361.295	1350.316	1336.489	1323.363
75	1314.824	1478.280	1434.674	1387.676	1425.902	1385.430	1416.906	1417.509	1344.220	1367.919	1364.696	1365.143	1342.003	1319.080
76	1332.620	1472.453	1439.913	1402.242	1426.889	1408.419	1422.915	1429.671	1359.562	1365.617	1364.657	1356.931	1366.759	1315.005
77	1343.190	1485.931	1422.859	1390.211	1425.808	1370.853	1417.295	1390.675	1355.506	1359.665	1351.859	1353.886	1340.792	1341.193
78	1323.635	1472.086	1444.471	1410.375	1405.266	1380.407	1408.835	1410.618	1360.555	1372.942	1376.527	1359.144	1345.605	1344.599
79	1322.052	1456.581	1438.182	1399.264	1417.003	1385.109	1431.118	1433.031	1374.608	1383.915	1376.905	1362.384	1344.348	1315.574
80	1322.026	1454.530	1410.975	1401.986	1415.774	1390.682	1420.901	1436.261	1371.131	1377.458	1361.164	1361.390	1348.324	1319.931
81	1327.252	1468.353	1461.033	1423.417	1416.422	1389.988	1412.349	1426.301	1356.511	1377.214	1355.698	1345.849	1356.183	1322.923
