 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
1	564.723	566.602	554.083	561.139	552.317	567.510	572.361
2	555.400	563.461	552.808	567.847	562.786	553.796	563.514
3	553.659	574.346	555.696	564.271	562.726	551.510	553.014
4	552.354	564.569	544.832	567.958	571.907	559.701	566.534
5	566.513	561.752	550.719	563.360	567.610	561.325	571.126
6	561.502	556.037	553.092	551.630	575.035	563.324	563.815
7	570.384	561.091	560.976	546.546	565.365	564.821	562.790
8	551.302	573.275	564.592	555.042	570.778	552.769	561.972
9	556.509	559.266	551.261	565.166	562.417	556.804	569.760
10	558.449	562.926	551.913	562.347	558.639	552.417	563.330
11	563.249	561.497	552.330	567.380	561.397	559.798	562.630
12	557.960	568.171	535.883	556.425	551.442	552.359	566.246
13	563.822	570.784	538.746	560.675	560.396	557.319	559.828
14	557.002	572.146	559.793	555.838	568.871	567.861	564.829
15	548.958	563.343	563.967	557.126	559.707	551.044	575.061
16	556.151	564.488	557.418	563.661	566.990	551.397	567.908
17	555.761	548.034	535.162	564.399	549.221	556.501	564.349
18	558.052	553.824	540.169	566.913	550.985	550.667	549.565
19	553.953	549.806	550.482	566.033	552.163	557.110	561.992
20	556.053	547.209	556.944	551.965	555.941	542.353	557.571
21	565.319	564.168	550.305	546.588	560.986	553.629	559.753
22	557.759	564.857	536.458	543.790	552.088	554.832	563.624
23	552.822	570.056	544.830	557.764	550.458	556.779	561.658
24	555.679	564.025	546.416	558.886	554.428	561.690	556.872
25	563.243	544.016	544.569	563.834	551.399	554.493	565.785
26	567.089	555.585	549.101	560.127	570.980	563.396	563.209
27	566.818	554.905	561.344	564.166	556.738	549.378	565.539
28	562.934	564.662	545.947	569.119	558.970	562.389	547.334
29	557.391	549.742	549.471	562.206	563.167	560.855	556.615
30	549.453	554.942	560.202	565.911	551.615	557.291	553.358
31	564.274	553.512	542.522	572.345	548.383	563.383	556.625
32	560.663	552.747	553.203	581.705	565.188	561.151	565.350
33	559.304	558.935	558.124	578.793	576.048	566.184	569.488
34	565.848	570.073	564.094	565.093	567.559	573.751	565.183
35	572.855	573.779	556.664	571.709	578.608	570.641	566.625
36	560.995	570.133	554.710	573.621	588.173	582.544	567.698
37	566.870	568.144	559.040	582.571	589.756	588.235	580.356
38	565.188	556.551	571.766	580.565	587.342	586.952	582.882
39	577.339	564.485	565.426	591.945	591.110	584.490	596.704
40	571.453	563.558	575.577	579.045	581.671	576.712	575.217
41	575.452	567.319	581.072	573.932	583.427	591.312	574.708
42	575.995	572.632	578.315	583.533	592.313	598.286	594.385
43	582.701	582.536	585.965	593.216	593.784	600.428	596.537
44	580.634	582.070	592.952	576.967	608.958	594.554	592.958
45	588.170	590.873	577.656	583.432	595.315	585.140	598.680
46	588.032	574.748	593.895	600.257	595.772	589.295	593.825
47	585.382	577.789	587.515	595.118	601.222	600.458	595.742
48	594.473	599.474	588.599	596.090	596.253	586.824	593.234
49	602.960	600.558	580.756	607.413	600.882	590.302	593.152
50	601.044	588.680	587.917	611.188	611.836	586.368	585.346
51	592.612	598.813	590.216	612.673	607.588	604.367	590.484
52	598.784	595.501	590.582	603.261	597.118	597.798	599.776
53	604.799	604.091	593.916	610.980	600.919	601.049	596.752
54	608.049	591.481	584.662	616.310	602.468	608.092	602.308
55	603.291	599.891	585.618	605.227	602.988	602.547	597.592
56	598.549	614.042	594.278	598.955	605.279	619.203	592.477
57	597.398	608.865	607.818	602.947	606.583	614.063	596.626
58	598.034	600.316	597.071	613.597	607.772	621.590	596.630
59	590.188	603.335	593.011	617.042	619.328	609.516	609.610
60	592.553	606.466	604.698	611.776	619.433	607.717	606.379
61	604.810	627.312	602.564	607.892	617.041	618.712	614.315
62	594.677	628.681	595.607	608.485	623.409	615.161	616.750
63	591.312	617.981	603.615	608.092	620.687	603.452	619.978
64	607.695	616.821	594.097	612.839	606.789	596.526	594.611
65	584.616	603.403	587.534	607.827	607.750	587.958	584.768
66	614.114	592.360	582.182	604.011	591.241	589.696	577.875
67	599.479	584.914	581.021	603.785	582.380	571.394	580.043
68	596.754	590.593	578.440	593.571	575.713	570.090	560.521
69	583.009	584.943	575.627	601.905	573.399	562.508	583.469
70	581.442	589.937	582.247	583.270	566.911	567.441	581.189
71	580.877	585.305	563.910	567.712	560.816	572.546	566.561
72	573.539	578.105	568.895	591.498	561.831	578.321	564.811
73	583.401	568.065	568.236	574.591	566.262	585.513	579.294
74	580.041	576.172	563.047	568.502	569.531	555.484	559.194
75	563.604	568.478	546.139	574.985	558.800	564.642	560.423
76	574.521	563.672	564.331	557.807	574.353	557.868	564.699
77	565.094	574.998	562.858	575.325	575.870	561.881	567.702
78	561.606	555.721	543.153	564.595	573.140	560.236	574.210
79	562.487	566.506	549.386	569.315	566.262	571.131	572.790
80	554.315	550.960	566.176	561.671	582.369	567.224	560.938
81	563.432	569.723	554.830	560.741	570.655	555.420	560.003
82	555.681	558.426	533.307	556.210	567.007	549.962	559.560
83	558.694	551.328	542.537	547.487	556.198	549.819	564.228
84	566.416	565.723	543.419	545.547	552.965	560.171	560.035
85	561.993	557.775	543.115	556.677	560.739	557.971	562.885
86	554.512	549.272	535.686	560.048	548.698	556.837	563.661
87	551.858	552.491	535.155	564.239	554.588	557.398	551.692
88	557.165	557.037	548.783	549.890	556.907	548.620	558.741
89	559.789	560.780	561.637	558.609	549.459	571.463	561.979
