 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	445.703	445.703	442.619	454.260	446.451	454.775	446.090	455.111	445.888	456.427
2	446.364	446.364	449.023	458.993	454.905	448.789	449.217	450.172	454.020	454.021
3	433.863	433.863	459.494	446.051	463.849	456.868	448.175	451.559	449.838	450.241
4	442.219	442.219	442.788	452.697	447.974	463.086	441.893	453.183	454.742	458.469
5	435.368	435.368	446.559	462.286	453.107	453.430	452.515	451.874	449.760	459.225
6	444.361	444.361	457.617	461.112	457.194	451.073	456.960	454.751	448.901	450.820
7	445.433	445.433	460.894	454.756	446.139	452.098	444.508	459.381	451.273	452.987
8	446.283	446.283	453.111	453.138	452.172	462.805	463.983	461.354	453.775	454.375
9	435.951	435.951	459.538	458.331	458.138	450.738	455.224	453.509	449.770	459.524
10	429.592	429.592	454.470	459.554	453.072	451.230	456.204	453.322	460.328	458.850
11	436.632	436.632	464.540	457.807	456.901	448.654	462.891	461.040	455.263	447.850
12	438.050	438.050	450.478	460.131	457.591	454.230	457.405	455.248	459.787	470.342
13	452.154	452.154	453.028	458.992	470.126	457.228	449.092	459.582	451.803	463.188
14	455.009	455.009	447.513	456.582	449.388	454.167	457.158	462.710	452.710	460.863
15	448.323	448.323	455.186	464.018	464.024	452.875	470.223	460.655	447.540	456.892
16	449.212	449.212	460.583	467.789	457.904	449.666	459.869	444.097	461.793	459.362
17	456.554	456.554	449.722	458.252	464.756	462.147	456.994	446.002	464.487	467.033
18	444.035	444.035	453.856	469.154	470.932	463.072	461.307	458.523	462.523	464.089
19	442.846	442.846	458.466	462.138	462.652	464.104	456.740	468.173	461.360	460.222
20	446.820	446.820	459.657	466.326	456.726	460.968	456.257	461.798	455.950	448.119
21	442.250	442.250	457.386	467.702	466.974	466.058	464.098	453.209	468.777	461.568
22	449.882	449.882	447.481	457.496	459.582	461.954	468.522	463.288	464.788	466.796
23	442.035	442.035	463.006	459.479	461.413	466.495	460.490	465.200	466.807	466.832
24	452.818	452.818	462.845	462.437	481.362	469.299	456.595	455.605	464.716	463.484
25	453.786	453.786	451.894	470.195	465.017	459.148	456.171	455.905	458.983	461.806
26	446.893	446.893	450.643	466.587	470.605	453.680	462.734	462.271	454.172	460.247
27	450.918	450.918	457.639	463.503	461.104	457.164	464.314	468.810	467.268	462.721
28	446.605	446.605	463.830	462.854	459.304	468.215	466.493	468.342	462.293	463.825
29	458.227	458.227	466.336	455.126	471.886	453.599	466.873	463.673	458.207	456.835
30	459.396	459.396	463.263	461.163	459.861	462.865	470.021	460.775	463.125	470.023
31	450.873	450.873	470.660	468.570	457.139	475.195	466.536	455.508	462.825	474.537
32	447.401	447.401	467.898	464.678	462.580	454.357	464.393	466.164	453.619	465.062
33	442.083	442.083	465.937	464.748	456.522	457.547	471.867	465.995	458.559	465.383
34	459.069	459.069	466.892	462.613	469.075	458.481	469.549	462.510	461.193	463.043
35	452.495	452.495	471.484	467.850	472.548	461.387	459.206	464.973	452.582	461.951
36	453.408	453.408	466.354	472.051	466.647	463.322	461.094	462.802	465.854	458.082
37	469.424	469.424	468.807	470.008	470.607	470.505	457.437	469.567	476.270	469.532
38	459.342	459.342	465.310	451.046	468.112	470.193	473.784	475.835	470.148	470.867
39	454.338	454.338	465.678	467.982	466.999	466.298	475.544	460.724	472.572	466.719
40	454.326	454.326	458.558	475.004	460.697	460.439	473.823	467.358	463.982	468.781
41	462.315	462.315	474.490	470.285	464.149	461.126	469.679	463.445	466.331	475.577
42	462.695	462.695	477.999	468.002	456.571	470.256	454.451	467.538	472.571	466.977
43	461.409	461.409	469.782	465.626	467.042	464.019	464.260	471.522	469.687	463.771
44	460.582	460.582	483.501	464.604	482.744	470.692	472.028	475.178	470.047	474.739
45	456.694	456.694	475.878	460.260	472.490	464.131	467.835	466.173	469.451	477.355
46	462.978	462.978	478.178	470.951	477.951	469.293	479.244	457.817	479.619	479.023
47	456.601	456.601	474.495	474.102	468.591	477.398	482.912	468.443	480.407	476.164
48	463.261	463.261	469.495	473.507	472.829	486.120	480.177	474.098	476.097	482.058
49	460.364	460.364	474.915	467.842	474.641	473.845	473.568	475.028	479.766	477.084
50	463.303	463.303	478.248	470.885	473.754	468.510	468.933	474.404	492.236	471.367
51	464.589	464.589	483.355	470.351	472.733	483.994	478.978	473.499	478.344	480.539
52	459.156	459.156	476.989	477.154	469.855	471.249	472.520	481.908	487.514	477.580
53	465.399	465.399	483.287	480.026	481.293	473.464	482.370	474.346	483.166	478.897
54	466.151	466.151	483.145	472.230	486.219	468.795	473.975	482.064	483.076	474.525
55	464.653	464.653	470.851	480.797	487.318	472.203	472.550	478.715	487.076	484.372
56	468.153	468.153	472.896	486.154	488.914	473.116	481.444	479.124	476.167	488.082
57	464.015	464.015	487.015	473.260	482.509	475.121	465.519	477.684	472.638	477.832
58	470.144	470.144	471.307	485.560	476.627	475.636	476.698	474.844	474.983	493.761
59	461.845	461.845	477.667	493.234	483.041	485.316	499.141	477.672	485.777	485.798
60	477.750	477.750	478.089	484.678	480.742	482.646	490.680	482.801	477.328	482.793
61	469.049	469.049	482.884	470.265	474.288	480.488	482.706	484.470	483.467	479.517
62	466.111	466.111	485.483	473.148	475.806	476.722	475.876	477.810	467.215	494.527
63	480.904	480.904	481.225	476.727	473.797	479.078	492.401	488.911	484.105	493.365
64	468.834	468.834	480.122	498.345	476.278	487.355	480.996	492.540	479.747	483.262
65	475.988	475.988	494.910	481.044	486.527	471.618	489.766	490.282	471.235	479.468
66	473.784	473.784	481.590	483.309	485.399	494.261	486.170	482.053	479.542	475.871
